rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/step_size,train/iterations,train/delta_std,train/learning_rate,rollout/return_std
-33239411.138353664,4,670.0,2126,10000,,,,,
-33167848.59056467,8,670.3333333333334,2251,20000,,,,,
-26879563.023436844,13,544.5384615384615,2296,30000,,,,,
-374756.4293935,17,17.5,2314,40000,9.84801754033704e-11,0,0.05,0.02,25385820.0
-30106439.980653204,21,607.0,2326,50000,,,,,
-35726961.003739856,25,719.2857142857143,2334,60000,,,,,
-39969879.7287618,29,803.5,2345,70000,,,,,
-41637820.46510183,34,836.25,2348,80000,,,,,
,38,,2356,90000,1.251531378532178e-10,1,0.05,0.02,19975528.0
-33287651.57560933,42,674.0,2367,100000,,,,,
-31214790.491921,46,630.5,2369,110000,,,,,
-31739300.537573818,50,641.7272727272727,2370,120000,,,,,
-192257.37401,54,13.0,2371,130000,1.0113036102987749e-10,2,0.05,0.02,24720568.0
-20010704.0544684,59,410.0,2363,140000,,,,,
-25013676.4437393,63,507.9,2367,150000,,,,,
-25007961.62530043,67,507.2857142857143,2368,160000,,,,,
-20132924.4632056,71,407.8,2369,170000,9.76336025915181e-11,3,0.05,0.02,25605938.0
-28345070.412316144,75,577.0,2369,180000,,,,,
-31645122.764715277,80,640.4545454545455,2370,190000,,,,,
-29895215.203316603,84,604.5333333333333,2370,200000,,,,,
-16908165.822306003,88,346.6666666666667,2370,210000,1.0096980890272889e-10,4,0.05,0.02,24759876.0
-17269708.702900168,92,356.9166666666667,2371,220000,,,,,
-170244.91758766668,96,15.0,2372,230000,1.0190197990977978e-10,5,0.05,0.02,24533380.0
-18772044.80824388,101,383.125,2372,240000,,,,,
-22688731.14686855,105,461.45454545454544,2373,250000,,,,,
-25100222.914451003,109,509.5,2374,260000,9.860504773806511e-11,6,0.05,0.02,25353670.0
-25099213.359885667,113,507.5,2374,270000,,,,,
,117,,2374,280000,1.0084057894266252e-10,7,0.05,0.02,24791606.0
-33309488.620788004,122,673.3333333333334,2374,290000,,,,,
-33400701.333224,126,673.8333333333334,2374,300000,,,,,
-31937363.72608645,130,644.2727272727273,2375,310000,,,,,
-32193297.019889284,134,649.7857142857143,2375,320000,,,,,
-24997986.233680252,138,506.0,2375,330000,1.0108990727841771e-10,8,0.05,0.02,24730460.0
-28511179.24460586,143,576.1428571428571,2375,340000,,,,,
-31767393.242085185,147,640.8181818181819,2375,350000,,,,,
-34525472.55948908,151,696.0769230769231,2375,360000,,,,,
,155,,2375,370000,1.1259898569093707e-10,9,0.05,0.02,22202686.0
-33256790.884992335,159,674.3333333333334,2376,380000,,,,,
-31124398.93517525,164,629.375,2376,390000,,,,,
-34885889.0625114,168,703.5,2376,400000,,,,,
-38338393.06645793,172,771.9230769230769,2377,410000,,,,,
-39871933.86430701,176,802.3333333333334,2377,420000,,,,,
-33145831.99585933,180,669.0,2377,430000,1.2511047753349658e-10,10,0.05,0.02,19982338.0
-24936586.74502212,185,505.375,2377,440000,,,,,
-24956063.01892078,189,506.14285714285717,2377,450000,,,,,
,193,,2375,460000,9.843559301003779e-11,11,0.05,0.02,25397316.0
-21439214.431576002,197,433.57142857142856,2376,470000,,,,,
-20844028.364448,201,421.9166666666667,2376,480000,,,,,
-12618964.835617749,206,258.5,2376,490000,9.82938869187322e-11,12,0.05,0.02,25433932.0
-24982739.010612335,210,505.6666666666667,2373,500000,,,,,
-23089512.189203538,214,468.46153846153845,2374,510000,,,,,
-25012106.9566775,219,503.0,2374,520000,9.837071435203626e-11,13,0.05,0.02,25414068.0
