rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/step_size,train/iterations,train/delta_std,train/learning_rate,rollout/return_std
-25035696.284330834,223,506.0,2374,530000,,,,,
-29986717.655307196,227,604.5,2369,540000,,,,,
-33274946.40524433,232,670.4166666666666,2369,550000,,,,,
,236,,2370,560000,1.0500461611329115e-10,14,0.05,0.02,23808476.0
-33306465.54573233,240,668.6666666666666,2367,570000,,,,,
-25038423.8910192,245,506.7,2367,580000,,,,,
,249,,2367,590000,9.8450886332202e-11,15,0.05,0.02,25393370.0
-37489059.72089325,253,752.0,2366,600000,,,,,
,257,,2365,610000,1.051572579013893e-10,16,0.05,0.02,23773918.0
-37528105.019377254,262,753.5,2364,620000,,,,,
-41592618.62243533,267,835.6666666666666,2357,630000,,,,,
-28590684.016603854,272,576.2857142857143,2352,640000,,,,,
-100205.93351599999,276,5.5,2352,650000,1.0063417460459689e-10,17,0.05,0.02,24842454.0
-25011562.016626164,280,504.6666666666667,2352,660000,,,,,
-17958723.19141564,284,365.42857142857144,2351,670000,,,,,
,289,,2352,680000,9.8275054760677e-11,18,0.05,0.02,25438804.0
-25041960.960093666,293,508.3333333333333,2352,690000,,,,,
-22742091.444825817,297,462.3636363636364,2353,700000,,,,,
-164998.968917,301,9.0,2352,710000,9.768165443180266e-11,19,0.05,0.02,25593340.0
-20025480.593682,306,405.2,2351,720000,,,,,
-20863543.817566082,310,421.9166666666667,2351,730000,,,,,
-23296402.082199533,315,471.6,2344,740000,,,,,
-14653742.08411457,319,302.2857142857143,2344,750000,9.753087920616466e-11,20,0.05,0.02,25632906.0
-20247546.3233167,324,412.7,2345,760000,,,,,
-27078250.559522923,329,548.2307692307693,2338,770000,,,,,
,333,,2337,780000,9.880202905820923e-11,21,0.05,0.02,25303124.0
-29989203.269074,337,604.6,2337,790000,,,,,
-518695.707398,342,29.0,2337,800000,1.0549973394891055e-10,22,0.05,0.02,23696742.0
-14369614.259068714,346,295.0,2336,810000,,,,,
-20865466.060478587,351,423.5833333333333,2331,820000,,,,,
-100018.486488,355,9.0,2331,830000,9.838822812024972e-11,23,0.05,0.02,25409544.0
-24783562.257117834,360,504.5,2331,840000,,,,,
-31002507.733691,364,628.375,2330,850000,,,,,
-28447713.913687002,369,575.2857142857143,2324,860000,,,,,
-25070101.738172498,374,505.5,2323,870000,9.837729242345716e-11,24,0.05,0.02,25412366.0
-18248121.393101815,378,369.27272727272725,2323,880000,,,,,
-179003.66312399998,383,9.333333333333334,2318,890000,1.0045302784034149e-10,25,0.05,0.02,24887252.0
-16767864.689600667,388,340.44444444444446,2318,900000,,,,,
-19299003.57905669,392,390.9230769230769,2319,910000,,,,,
-9156545.259281635,396,187.8181818181818,2318,920000,1.0049452936478076e-10,26,0.05,0.02,24876976.0
-14332885.6272995,401,291.85714285714283,2318,930000,,,,,
-25187737.2673685,405,507.5,2317,940000,1.0490209395586092e-10,27,0.05,0.02,23831746.0
-25146137.170572124,409,507.25,2317,950000,,,,,
-16803701.991882667,414,343.6666666666667,2317,960000,1.047834319312102e-10,28,0.05,0.02,23858732.0
-33309369.4927465,419,671.8333333333334,2314,970000,,,,,
-24992348.31631258,423,506.0,2313,980000,,,,,
-12558165.819264501,428,256.75,2312,990000,9.76598801827322e-11,29,0.05,0.02,25599048.0
-18773097.32439,432,380.125,2313,1000000,,,,,
-20054198.60927307,436,405.46666666666664,2313,1010000,,,,,
