train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,time/episodes,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed,train/ent_coef,train/learning_rate,time/total_timesteps
2474,67.87,-18.826885223388672,62615096.0,137,-787247.4592071399,181,3246.617919921875,55,2.3761603832244873,0.001,10000
4974,57.03,-22.57954978942871,33497492.0,318,-173748.6057975,182,8759.55859375,109,4.904892921447754,0.001,20000
7474,48.51,-23.46731948852539,60678160.0,530,-128521.65568273001,182,14170.6220703125,164,9.041375160217285,0.001,30000
9974,46.22,-23.729469299316406,99735440.0,760,-115755.73697000997,183,11406.8330078125,218,16.515071868896484,0.001,40000
12474,54.67,-17.79231071472168,62824536.0,961,-130829.00680657003,184,10553.380859375,271,28.215618133544922,0.001,50000
14974,61.47,-12.238346099853516,61649144.0,1124,-125737.53582173999,184,14587.599609375,326,43.2490348815918,0.001,60000
17474,40.84,-2.9264426231384277,27168092.0,1334,-102314.01129173998,184,19028.873046875,380,57.236244201660156,0.001,70000
19974,57.79,-2.2918190956115723,38356520.0,1500,-112896.79157702999,184,17471.560546875,434,63.544471740722656,0.001,80000
22474,72.67,2.128809690475464,76580064.0,1636,-110790.13805442,184,24710.1796875,489,63.87615966796875,0.001,90000
24974,96.4,0.47044748067855835,19554376.0,1740,-105971.04596868997,184,25028.7734375,542,61.384151458740234,0.001,100000
27474,82.81,-1.4291808605194092,63794452.0,1852,-98439.85928281,183,22707.59765625,599,54.989830017089844,0.001,110000
29974,125.58,0.8705540299415588,32827600.0,1939,-97758.91566788997,183,23544.501953125,655,50.20779800415039,0.001,120000
32474,103.91,1.1438474655151367,52718700.0,2038,-109721.57818214002,182,23596.259765625,711,49.122642517089844,0.001,130000
34974,86.49,0.797351598739624,77117632.0,2153,-94852.71487889998,182,24607.0,766,46.96906661987305,0.001,140000
37474,145.36,-0.5445854663848877,57777776.0,2218,-101233.40085606002,182,24772.9140625,822,46.46885681152344,0.001,150000
39974,152.42,0.10158208012580872,34103552.0,2285,-103411.36043946,182,24295.76953125,876,47.137149810791016,0.001,160000
42474,172.76,0.13534215092658997,15030354.0,2336,-72583.49854778999,182,26243.603515625,930,45.96706771850586,0.001,170000
44974,194.12,0.1955210417509079,24156080.0,2385,-29331.48588815,182,22621.7578125,985,45.23958206176758,0.001,180000
47474,204.35,-0.6471199989318848,18493964.0,2431,11445.522981679998,182,23082.80859375,1039,42.880577087402344,0.001,190000
49974,215.46,-0.7411457300186157,26850484.0,2473,25846.597217410002,182,17287.5859375,1094,42.358158111572266,0.001,200000
52474,186.43,-1.001801609992981,23356308.0,2538,55000.36455586999,182,13676.818359375,1147,45.48146057128906,0.001,210000
54974,127.53,-0.3330191969871521,9655648.0,2607,49129.827465509996,182,13205.466796875,1203,45.9408073425293,0.001,220000
57474,130.64,-0.3591949939727783,23634184.0,2691,98072.7286297,182,5754.3466796875,1257,48.24556350708008,0.001,230000
59974,81.81,0.0717831552028656,67658480.0,2805,112938.26352241001,183,3598.10986328125,1309,53.308807373046875,0.001,240000
62474,98.39,-2.1006195545196533,81750160.0,2903,114426.21041585,183,-1099.161865234375,1364,50.96613693237305,0.001,250000
64974,106.59,-2.6470484733581543,20670144.0,2995,102303.19805763001,183,-8275.216796875,1418,49.959808349609375,0.001,260000
67474,79.77,-1.8270783424377441,59775900.0,3113,123939.511211,183,-17950.19140625,1471,53.1689453125,0.001,270000
69974,85.19,-0.3303210139274597,55424880.0,3229,114101.10883404998,183,-19884.578125,1525,55.089874267578125,0.001,280000
72474,90.55,1.7630267143249512,22965160.0,3340,115788.51370314001,183,-28113.14453125,1580,53.281375885009766,0.001,290000
74974,134.38,0.2619335651397705,60510760.0,3406,117303.35591858,183,-27963.28515625,1634,51.13336944580078,0.001,300000
77474,74.5,2.151519775390625,63839136.0,3525,117906.5500323,183,-33163.4921875,1689,55.534156799316406,0.001,310000
79974,81.49,1.1080974340438843,33107220.0,3641,109688.83943048,183,-32738.45703125,1741,54.067867279052734,0.001,320000
82474,107.91,-1.662409782409668,76101400.0,3732,121389.81864477001,183,-39857.5078125,1794,50.54159927368164,0.001,330000
84974,76.22,0.1681177020072937,65137312.0,3847,126682.81159644999,184,-37578.6875,1847,52.40482711791992,0.001,340000
87474,70.18,-0.16832667589187622,44751000.0,3978,121715.65146934001,184,-42522.1796875,1900,51.72893142700195,0.001,350000
89974,67.9,0.027635380625724792,30674748.0,4135,110459.64915458,184,-46361.390625,1953,51.44630432128906,0.001,360000
92474,55.01,0.9293369054794312,16239280.0,4301,128852.85833065,184,-46371.84375,2006,50.22228240966797,0.001,370000
94974,66.04,0.9051772356033325,29690080.0,4428,126581.00534742,184,-45663.640625,2061,49.38705062866211,0.001,380000
97474,58.71,-0.7296169996261597,43020560.0,4592,126049.12910254001,184,-51035.796875,2116,47.866302490234375,0.001,390000
99974,68.41,-0.27690771222114563,27088910.0,4741,116796.62100423001,184,-51837.09375,2171,48.227027893066406,0.001,400000
102474,96.81,-0.19586819410324097,29793094.0,4844,115626.19131034,183,-59172.61328125,2229,42.403907775878906,0.001,410000
104974,92.42,-0.2298647165298462,17251666.0,4948,122082.63317008,183,-56180.03125,2288,45.20941925048828,0.001,420000
107474,73.81,-0.8271207809448242,79858848.0,5081,125097.64749116,183,-58184.48828125,2345,40.5712890625,0.001,430000
109974,86.44,0.05700558423995972,101699072.0,5194,121646.22529732,183,-59611.53125,2401,40.64773941040039,0.001,440000
112474,80.92,-1.949891448020935,30344852.0,5328,124473.36330562999,183,-57429.6953125,2458,41.96717834472656,0.001,450000
114974,42.28,-0.05468305945396423,9748282.0,5546,130631.21654229001,182,-61581.671875,2515,41.51951599121094,0.001,460000
117474,61.1,0.04502342641353607,18504690.0,5724,123901.25678733,182,-63936.65234375,2572,41.48699951171875,0.001,470000
119974,59.49,0.7549440860748291,11984323.0,5889,128069.65477963,182,-67529.5,2629,43.17386245727539,0.001,480000
122474,74.03,0.0660095140337944,36522704.0,6038,118125.09006391,182,-67447.7265625,2687,41.10935974121094,0.001,490000
124974,41.18,-0.7077383995056152,29548204.0,6259,130009.55412048001,182,-67349.828125,2743,40.25416946411133,0.001,500000
127474,56.23,0.33831608295440674,13733368.0,6454,122554.69114466,182,-65975.046875,2801,42.918514251708984,0.001,510000
129974,40.18,0.30855149030685425,11863416.0,6659,131546.55716306,181,-68541.25,2858,39.241764068603516,0.001,520000
132474,39.49,-0.3166773021221161,10249963.0,6904,130261.14582075,181,-64707.921875,2915,40.71540832519531,0.001,530000
