time/total_timesteps,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std
10000,-685434.125,6,-13.004426956176758,52.92,1655,-210990.47476516,4883959808.0,0.0007,499,-1.1920928955078125e-07,1.026221752166748
20000,-61509.3828125,12,-13.059267044067383,40.72,1636,-160898.92516982,501149536.0,0.0007,999,0.0,1.0325411558151245
30000,-786129.875,18,-13.072046279907227,47.42,1626,-159290.467265,4983844352.0,0.0007,1499,0.0,1.0340591669082642
40000,-103689.0703125,24,-13.167596817016602,35.04,1621,-127552.25108420997,117709200.0,0.0007,1999,0.0,1.0450977087020874
50000,-22101.69921875,30,-13.14891242980957,34.6,1624,-129454.84505963,18231932.0,0.0007,2499,2.980232238769531e-07,1.0433833599090576
60000,-161974.453125,36,-13.11528205871582,33.12,1625,-122896.91511881,1011662144.0,0.0007,2999,0.0,1.0396631956100464
70000,-70019.171875,43,-13.241979598999023,38.11,1622,-118688.22528259997,76909960.0,0.0007,3499,0.0,1.0544312000274658
80000,-39533.1640625,49,-13.294235229492188,37.37,1619,-114934.34089477,32353098.0,0.0007,3999,0.0,1.0603638887405396
90000,-55652.03125,55,-13.30702018737793,36.45,1615,-113258.51863826,508599616.0,0.0007,4499,0.0,1.062556505203247
100000,-74514.8828125,62,-13.385557174682617,39.05,1610,-131622.82028597,123322704.0,0.0007,4999,0.0,1.0724310874938965
110000,-48609.28125,68,-13.408014297485352,28.08,1604,-104576.13313259,71649864.0,0.0007,5499,0.0,1.075247049331665
120000,-431576.59375,74,-13.595979690551758,34.06,1600,-109363.61864726,2547201792.0,0.0007,5999,5.960464477539063e-08,1.097237229347229
130000,-652584.125,81,-13.583213806152344,31.78,1598,-95304.16987317002,4281584128.0,0.0007,6499,0.0,1.0960613489151
140000,5354.6982421875,87,-13.658575057983398,30.91,1595,-114456.06730680002,20049676.0,0.0007,6999,0.0,1.1048123836517334
150000,-3358.065673828125,94,-13.626680374145508,35.8,1593,-111800.22210586,33524144.0,0.0007,7499,0.0,1.1015005111694336
160000,-315888.84375,100,-13.668481826782227,36.3,1591,-101002.04624522,2371385344.0,0.0007,7999,-1.1920928955078125e-07,1.106704831123352
170000,-43114.92578125,106,-13.671140670776367,35.38,1590,-89337.49125982999,30534486.0,0.0007,8499,0.0,1.1067602634429932
180000,-140590.859375,113,-13.736211776733398,29.56,1588,-111606.23945891,152315520.0,0.0007,8999,5.960464477539063e-08,1.1148790121078491
190000,-30270.462890625,119,-13.725351333618164,32.62,1587,-97676.58674841002,28408486.0,0.0007,9499,-1.1920928955078125e-07,1.1144740581512451
200000,-45540.44140625,126,-13.824399948120117,32.8,1586,-113593.96113826001,29334240.0,0.0007,9999,-3.5762786865234375e-07,1.1264930963516235
210000,40951.1484375,132,-13.899620056152344,40.03,1586,-114685.63325259002,27552762.0,0.0007,10499,-1.1920928955078125e-07,1.1367396116256714
220000,-2282.925048828125,138,-13.967170715332031,43.19,1585,-97472.70964436,21091328.0,0.0007,10999,-1.1920928955078125e-07,1.145853042602539
230000,-201623.40625,145,-13.982122421264648,70.21,1585,-110685.76620867001,542499712.0,0.0007,11499,1.1920928955078125e-07,1.148202896118164
240000,-89243.953125,151,-13.960718154907227,38.83,1585,-96099.7717998,531300960.0,0.0007,11999,0.0,1.145883560180664
250000,-479120.0625,157,-13.945100784301758,38.37,1586,-148895.40953165002,2904863488.0,0.0007,12499,0.0,1.1442275047302246
260000,15114.0234375,163,-13.857660293579102,62.86,1586,-43939.8337047,4397055.0,0.0007,12999,5.960464477539063e-08,1.1329857110977173
270000,-120437.0234375,170,-13.890546798706055,39.06,1586,9516.625221549999,299969952.0,0.0007,13499,0.0,1.1369549036026
280000,-39002.171875,176,-13.779447555541992,74.85,1587,-54400.53514008,25600410.0,0.0007,13999,0.0,1.1226801872253418
290000,-1362.0064697265625,182,-13.748380661010742,91.95,1588,-105611.27816048003,11306.087890625,0.0007,14499,5.960464477539063e-08,1.1187719106674194
300000,-329731.4375,188,-13.729227066040039,104.9,1587,-101086.79622621999,2229037824.0,0.0007,14999,-1.1920928955078125e-07,1.117350459098816
310000,16851.9375,195,-13.727876663208008,45.35,1587,-87171.31815784998,13072280.0,0.0007,15499,1.7881393432617188e-07,1.116930603981018
320000,31617.87890625,201,-13.676362991333008,94.33,1587,-51368.11584892001,13249995.0,0.0007,15999,0.0002962350845336914,1.110668420791626
330000,112855.515625,208,-13.677606582641602,63.54,1581,-38737.73690213,1024562880.0,0.0007,16499,-2.0265579223632812e-06,1.1098880767822266
340000,-4171.32177734375,215,-13.648653030395508,66.17,1574,-116715.54517036,533649152.0,0.0007,16999,0.00016164779663085938,1.1073112487792969
350000,19702.654296875,223,-13.65376091003418,65.61,1569,-113656.1039971,9990306.0,0.0007,17499,0.006847083568572998,1.1075329780578613
360000,-1338.209228515625,230,-13.671396255493164,86.22,1564,-121657.49836063999,21941.0546875,0.0007,17999,-1.633167266845703e-05,1.1091091632843018
370000,-64552.63671875,237,-13.679094314575195,38.68,1559,-108570.32617303001,140849664.0,0.0007,18499,0.0,1.1094489097595215
380000,-336607.6875,243,-13.675430297851562,55.28,1561,-105541.06396319998,2413598976.0,0.0007,18999,-0.0001004934310913086,1.1091309785842896
390000,-139297.046875,249,-13.664701461791992,53.51,1563,-90005.34191595003,991767360.0,0.0007,19499,0.0002357959747314453,1.1076462268829346
400000,69463.59375,255,-13.640501022338867,37.02,1565,-97051.99658187997,32272214.0,0.0007,19999,0.0016909241676330566,1.1043381690979004
410000,7629.59521484375,261,-13.633241653442383,70.59,1567,-97347.77978501002,1379008.875,0.0007,20499,0.005396127700805664,1.1031712293624878
420000,-36204.7734375,267,-13.562623977661133,35.1,1568,-87000.77798692002,42958780.0,0.0007,20999,1.1920928955078125e-07,1.0946592092514038
430000,26912.328125,273,-13.596624374389648,86.5,1570,-98229.18765138001,13032234.0,0.0007,21499,0.006351888179779053,1.0998295545578003
440000,-29504.390625,279,-13.645261764526367,172.53,1572,-103570.12927295,20108648.0,0.0007,21999,5.960464477539063e-08,1.1054742336273193
450000,-149364.53125,285,-13.619138717651367,240.7,1574,-106942.55184469,619095424.0,0.0007,22499,0.00036913156509399414,1.101797103881836
