rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,train/actor_loss,time/time_elapsed
-252396.95555083003,157,7338,0.0003,547.95,124974,0.7507051825523376,500000,2966.574462890625,49.94076919555664,78714.203125,3176
-96310.92139886,158,7437,0.0003,97.78,127474,1.877732753753662,510000,2522.039306640625,49.66400146484375,65581.5390625,3220
-94001.46651190001,158,7491,0.0003,138.34,129974,1.6987173557281494,520000,2867.07177734375,46.65550231933594,70957.28125,3273
-94807.32963426,159,7615,0.0003,68.28,132474,-1.8999524116516113,530000,2827.76953125,43.64812088012695,74332.25,3321
-102236.62545801,160,7677,0.0003,132.19,134974,-0.7581802606582642,540000,3108.115966796875,48.854331970214844,70506.3203125,3374
-92110.52894795002,160,7740,0.0003,161.94,137474,-1.3555257320404053,550000,3117.711669921875,43.36640167236328,73589.6953125,3425
-92805.10217845,160,7938,0.0003,53.13,139974,3.667431354522705,560000,2465.265869140625,45.371131896972656,45274.6953125,3479
-95112.70805846002,160,8138,0.0003,60.77,142474,2.56636905670166,570000,2173.75830078125,43.911521911621094,53863.9609375,3548
-112791.44109516998,159,8206,0.0003,130.58,144974,-0.35607215762138367,580000,2237.81298828125,41.10588073730469,55675.9296875,3637
-107891.23953281002,157,8294,0.0003,118.54,147474,-0.13594722747802734,590000,2031.48974609375,39.029624938964844,70833.4375,3734
-93480.48551353,155,8350,0.0003,163.39,149974,0.8299379348754883,600000,2005.5308837890625,35.647762298583984,49519.8203125,3850
-89874.54437413001,155,8542,0.0003,45.35,152474,-0.4105743169784546,610000,1893.224609375,36.3760986328125,61893.203125,3926
-94493.15422270002,155,8686,0.0003,73.81,154974,1.8922055959701538,620000,1892.914306640625,32.3499755859375,48572.8359375,3996
-94128.03576238001,152,8824,0.0003,75.25,157474,1.0619539022445679,630000,2010.8076171875,33.475162506103516,45456.1875,4140
-92145.4814992,151,8839,0.0003,151.32,159974,-1.0400290489196777,640000,1904.063720703125,38.30954360961914,44369.78125,4221
-88926.72819821002,152,8848,0.0003,234.48,162474,-1.090593695640564,650000,1963.591064453125,38.034297943115234,43747.23046875,4272
-81747.54644459001,149,8859,0.0003,336.18,164974,-0.5770649909973145,660000,2130.06884765625,34.70802307128906,35013.68359375,4416
-79187.48708085,150,8911,0.0003,402.97,167474,1.9508438110351562,670000,2464.239013671875,29.538175582885742,35871.3515625,4464
-94302.16779949996,150,9095,0.0003,42.13,169974,-1.2444456815719604,680000,2017.80712890625,27.994714736938477,38551.81640625,4515
-92960.14060265999,151,9258,0.0003,64.43,172474,0.030993938446044922,690000,1568.5408935546875,26.882070541381836,36502.859375,4566
-89076.05313468,151,9282,0.0003,159.51,174974,-0.1086159348487854,700000,2260.0595703125,25.28660774230957,30877.478515625,4618
-162697.260338,151,9297,0.0003,237.9,177474,0.5045937299728394,710000,1999.474365234375,24.65960121154785,32149.556640625,4673
-157435.92688215998,152,9308,0.0003,345.44,179974,-0.7398592233657837,720000,1974.2750244140625,25.885343551635742,33281.734375,4726
-152573.51477624002,152,9331,0.0003,444.96,182474,1.0327069759368896,730000,1686.1190185546875,25.168676376342773,26869.4453125,4778
-156411.39306253998,153,9381,0.0003,407.64,184974,0.5634876489639282,740000,2487.103515625,24.665786743164062,32765.36328125,4827
-91785.85942590002,153,9480,0.0003,103.3,187474,0.6589573621749878,750000,1670.3739013671875,24.279691696166992,30535.248046875,4885
-94052.72290793,153,9573,0.0003,108.56,189974,1.3019394874572754,760000,1963.77978515625,23.715269088745117,30010.201171875,4942
-97655.67240974,154,9612,0.0003,148.83,192474,0.8255040049552917,770000,1911.384521484375,23.30861473083496,28859.17578125,4988
-144123.86678699002,153,9624,0.0003,256.38,194974,-0.059314340353012085,780000,1788.46630859375,22.639963150024414,33172.828125,5081
-139143.2434413,153,9632,0.0003,328.34,197474,0.5862451791763306,790000,1562.87939453125,22.39694595336914,27308.630859375,5134
-135363.60935768,154,9646,0.0003,421.31,199974,-2.8452634811401367,800000,1754.1114501953125,23.419660568237305,27605.796875,5188
-135557.48075498,154,9661,0.0003,507.13,202474,1.1999751329421997,810000,1984.25390625,24.285306930541992,26381.20703125,5244
-130543.69943923998,154,9702,0.0003,548.47,204974,0.7320364713668823,820000,1653.5833740234375,23.887767791748047,24422.615234375,5307
-91157.25498756001,154,9741,0.0003,348.0,207474,1.0716605186462402,830000,1827.8900146484375,23.180755615234375,16996.328125,5377
-89833.38249844,154,9783,0.0003,216.5,209974,0.13163059949874878,840000,1893.25439453125,24.543764114379883,20558.712890625,5432
-86119.98256046,154,9809,0.0003,262.23,212474,-1.1739014387130737,850000,2036.7552490234375,24.205507278442383,23661.0078125,5494
-84185.79078861001,154,9826,0.0003,315.44,214974,1.2504287958145142,860000,1533.663818359375,23.276771545410156,20819.283203125,5571
-82607.65964741,154,9847,0.0003,376.48,217474,-2.028343677520752,870000,2054.764892578125,22.228046417236328,26554.73828125,5631
-83009.31862559001,154,9865,0.0003,447.0,219974,1.0320786237716675,880000,1588.6697998046875,21.777437210083008,20226.77734375,5690
-87033.46730778001,154,9890,0.0003,472.8,222474,1.171454906463623,890000,1748.2230224609375,21.150144577026367,19598.34765625,5750
-92996.76176844003,155,9939,0.0003,333.22,224974,0.7263476848602295,900000,1552.7667236328125,19.857284545898438,23385.494140625,5801
-92598.16195502001,155,9994,0.0003,195.88,227474,-0.16105327010154724,910000,1753.3853759765625,18.793516159057617,24441.0390625,5851
-91241.76802603001,155,10031,0.0003,201.5,229974,1.5297834873199463,920000,1974.4398193359375,17.707460403442383,19748.806640625,5907
-86668.30872289,156,10057,0.0003,268.99,232474,-0.625985860824585,930000,1417.7615966796875,16.952289581298828,22238.1171875,5954
-83363.88559961,156,10075,0.0003,321.55,234974,-1.016099214553833,940000,2006.01220703125,16.504440307617188,23233.77734375,6003
-82695.65080988998,156,10099,0.0003,379.2,237474,-0.19275757670402527,950000,1329.8406982421875,16.45511817932129,16270.3837890625,6056
-79412.33807137,157,10116,0.0003,435.37,239974,0.7644404172897339,960000,2005.5728759765625,16.119281768798828,24163.3671875,6111
-74003.12418643999,157,10129,0.0003,516.03,242474,-1.4692816734313965,970000,1517.6800537109375,15.878299713134766,18321.259765625,6160
-70097.84233402001,157,10137,0.0003,553.64,244974,2.59214186668396,980000,1825.1761474609375,15.570450782775879,17678.9609375,6204
-65917.35360111,158,10150,0.0003,634.4,247474,0.7673977613449097,990000,1682.899169921875,15.238410949707031,17390.48046875,6256
-64550.53864088,158,10162,0.0003,653.78,249974,1.7113549709320068,1000000,1219.5721435546875,14.778496742248535,14704.974609375,6302
