train/policy_loss,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/std,rollout/ep_len_mean,train/entropy_loss,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,time/time_elapsed
858.4356689453125,-178852.98015062005,4249,-1.1920928955078125e-07,0.9903512001037598,172.06,-8.45493221282959,3454,0.0001,340000,8440058.0,98
-49642.83203125,-184074.56707034004,4374,0.0,0.9894945025444031,192.44,-8.449285507202148,3454,0.0001,350000,428626432.0,101
-24583.654296875,-171531.31157288,4499,0.0,0.9887290596961975,185.35,-8.4448823928833,3453,0.0001,360000,35149248.0,104
-38521.1953125,-172338.25618757,4624,1.1920928955078125e-07,0.988051176071167,196.3,-8.440881729125977,3453,0.0001,370000,54480928.0,107
-68517.34375,-170827.5492985,4749,0.0,0.9874057173728943,190.13,-8.43667984008789,3453,0.0001,380000,495261600.0,110
-11083.388671875,-168716.67326387,4874,0.0,0.9871005415916443,191.34,-8.43563175201416,3452,0.0001,390000,21962656.0,112
1357.7572021484375,-171231.29043539998,4999,0.0,0.98659348487854,198.27,-8.4320068359375,3452,0.0001,400000,7242622.5,115
-8597.90625,-160557.16962707,5124,0.0,0.9866292476654053,183.1,-8.43204402923584,3451,0.0001,410000,22861414.0,118
-82485.203125,-150577.45790786002,5249,0.0,0.9864060878753662,157.5,-8.430912017822266,3451,0.0001,420000,532196000.0,121
-4453.6806640625,-151202.29120235002,5374,0.0,0.986344039440155,169.27,-8.430609703063965,3450,0.0001,430000,9170327.0,124
-62039.36328125,-153783.44842365,5499,0.0,0.9859645962715149,180.18,-8.427923202514648,3450,0.0001,440000,455226048.0,127
-16122.6328125,-158485.7597234,5624,1.1920928955078125e-07,0.9858571887016296,179.96,-8.427557945251465,3449,0.0001,450000,13064679.0,130
-8012.20458984375,-141446.93487507,5749,5.960464477539063e-08,0.9847384095191956,155.43,-8.420812606811523,3449,0.0001,460000,6882581.5,133
-7588.39697265625,-147443.79113589,5874,0.0,0.9842241406440735,165.94,-8.417364120483398,3448,0.0001,470000,7147841.0,136
-26589.318359375,-150720.42353031,5999,2.384185791015625e-07,0.9843104481697083,177.42,-8.417847633361816,3447,0.0001,480000,27415462.0,139
-160657.484375,-150938.32673236,6124,0.0,0.9837853908538818,178.68,-8.414886474609375,3447,0.0001,490000,1016492416.0,142
-9697.697265625,-129021.71752661,6249,-1.1920928955078125e-07,0.984069287776947,144.74,-8.41616153717041,3446,0.0001,500000,27203820.0,145
-103495.5390625,-126963.18607587999,6374,0.0,0.9836652278900146,143.83,-8.414173126220703,3445,0.0001,510000,612261632.0,148
-11569.048828125,-134945.90632971,6499,0.0,0.9841338992118835,139.3,-8.41641902923584,3444,0.0001,520000,9946533.0,150
-21843.951171875,-135152.67856656,6624,0.0,0.9841579794883728,152.78,-8.416687965393066,3444,0.0001,530000,26360420.0,153
-35159.296875,-141929.15718148,6749,0.0,0.9836700558662415,173.63,-8.413769721984863,3443,0.0001,540000,35500288.0,156
-15982.9169921875,-153175.83236882,6874,0.0,0.9836599230766296,192.81,-8.413681983947754,3442,0.0001,550000,14444842.0,159
-18309.748046875,-140891.15465295,6999,0.0,0.9836352467536926,182.1,-8.413567543029785,3442,0.0001,560000,24437530.0,162
-41985.19140625,-148038.75753162,7124,-2.384185791015625e-07,0.9831703305244446,196.73,-8.410669326782227,3441,0.0001,570000,239450656.0,165
-74045.984375,-152118.0883874,7249,0.0,0.9827256798744202,178.92,-8.407817840576172,3441,0.0001,580000,596652032.0,168
-76669.703125,-133104.59445285,7374,1.7881393432617188e-07,0.9828781485557556,147.47,-8.408997535705566,3440,0.0001,590000,507110080.0,171
-18079.068359375,-136734.45913665998,7499,0.0,0.9828959107398987,175.16,-8.40945053100586,3439,0.0001,600000,12449464.0,174
-99778.84375,-143837.55506005997,7624,-1.1920928955078125e-07,0.9834145903587341,196.5,-8.412425994873047,3438,0.0001,610000,521762976.0,177
-19151.947265625,-150813.27024722,7749,0.0,0.9829465746879578,209.28,-8.409164428710938,3438,0.0001,620000,18533052.0,180
-63980.84375,-140121.34692612002,7874,2.384185791015625e-07,0.9834052920341492,202.59,-8.412174224853516,3437,0.0001,630000,441445824.0,183
-6593.65869140625,-129747.87938442,7999,0.0,0.9831979274749756,169.96,-8.410967826843262,3436,0.0001,640000,7441557.0,186
-10175.060546875,-141459.80495255004,8124,1.1920928955078125e-07,0.982490599155426,188.02,-8.406713485717773,3435,0.0001,650000,20087606.0,189
-1480.7698974609375,-142859.91962728,8249,0.0,0.981377363204956,187.24,-8.39958381652832,3434,0.0001,660000,4552345.5,192
