rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/std,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/explained_variance,time/fps,time/total_timesteps,train/n_updates,train/policy_loss
-410812.4836075173,-8.524310111999512,220024656.0,1.0017343759536743,2,158.60344827586206,0.0001,9.59634780883789e-06,3340,10000,124,-101011.71875
-395765.6020837799,-8.521971702575684,574833984.0,1.0013747215270996,5,166.14,0.0001,3.516674041748047e-06,3415,20000,249,-105787.7734375
-363349.73437565,-8.522326469421387,951578496.0,1.0014885663986206,8,156.97,0.0001,5.7220458984375e-06,3440,30000,374,-183947.46875
-381864.5190895099,-8.51560115814209,253192992.0,1.0003101825714111,11,154.83,0.0001,1.8477439880371094e-06,3452,40000,499,-93304.28125
-356682.0900452099,-8.514410972595215,797724288.0,1.0001484155654907,14,153.47,0.0001,-3.5762786865234375e-07,3459,50000,624,-120200.734375
-326665.99517391,-8.511351585388184,104433992.0,0.9996272921562195,17,150.26,0.0001,-6.67572021484375e-06,3463,60000,749,-65205.9765625
-305030.61557647,-8.507740020751953,542472192.0,0.9989600777626038,20,140.15,0.0001,4.172325134277344e-07,3462,70000,874,-89962.5625
-305578.32680226,-8.504055976867676,130332544.0,0.9984398484230042,23,136.97,0.0001,-4.76837158203125e-07,3446,80000,999,-54018.44921875
-255762.24129933998,-8.50286865234375,989562368.0,0.9981903433799744,26,126.22,0.0001,3.5762786865234375e-07,3448,90000,1124,-59359.01953125
-217523.57165255008,-8.503043174743652,659897024.0,0.9982247948646545,28,108.67,0.0001,-1.1920928955078125e-07,3448,100000,1249,-140641.34375
-243283.90591435003,-8.49918270111084,304484416.0,0.9975931644439697,31,122.81,0.0001,-5.960464477539062e-07,3449,110000,1374,-101000.4296875
-244921.67483434995,-8.499608993530273,49789100.0,0.9977046847343445,34,136.91,0.0001,-4.76837158203125e-07,3449,120000,1499,-40905.12890625
-234113.46509203,-8.497533798217773,173928112.0,0.9973626732826233,37,126.8,0.0001,0.0,3447,130000,1624,-77523.9609375
-232746.15182365998,-8.491174697875977,283613472.0,0.99625563621521,40,116.19,0.0001,-1.1920928955078125e-07,3448,140000,1749,-74035.734375
-201228.27798496003,-8.494897842407227,461323776.0,0.9969304203987122,43,105.7,0.0001,0.0,3446,150000,1874,-92639.890625
-195520.37447284002,-8.49331283569336,709852608.0,0.9966292381286621,46,95.93,0.0001,-1.1920928955078125e-07,3444,160000,1999,-143932.5
-186770.95025070998,-8.491464614868164,591346304.0,0.9963629245758057,49,98.89,0.0001,-1.1920928955078125e-07,3443,170000,2124,-104380.390625
-216421.20644884,-8.4866304397583,92767192.0,0.9955215454101562,52,115.69,0.0001,0.0,3442,180000,2249,-61669.5625
-202710.75087352,-8.486444473266602,77966736.0,0.995501697063446,55,117.41,0.0001,5.960464477539063e-08,3441,190000,2374,-63188.4765625
-206347.24804327,-8.484991073608398,88255944.0,0.9952709078788757,58,123.87,0.0001,0.0,3440,200000,2499,-51818.125
-179851.15561534997,-8.48313045501709,1222512640.0,0.9949581623077393,61,100.95,0.0001,5.960464477539063e-08,3439,210000,2624,-176967.984375
-192874.27144311,-8.480334281921387,823605120.0,0.9945082068443298,64,101.33,0.0001,0.0,3430,220000,2749,-109384.546875
-181010.18912572003,-8.477716445922852,818264896.0,0.9940824508666992,67,94.9,0.0001,-1.1920928955078125e-07,3428,230000,2874,-107230.0859375
-196356.66019233997,-8.477380752563477,68222504.0,0.9940574765205383,70,108.74,0.0001,0.0,3427,240000,2999,-36010.5234375
-166366.93799525,-8.476929664611816,586576960.0,0.9939424395561218,72,91.0,0.0001,0.0,3426,250000,3124,49847.40234375
-173695.99416793,-8.469379425048828,1026292416.0,0.992760419845581,75,103.26,0.0001,0.0,3425,260000,3249,-28849.287109375
-173653.85845064002,-8.470019340515137,134560800.0,0.9928427338600159,78,100.91,0.0001,0.0,3424,270000,3374,-35790.9765625
-163935.23089781002,-8.470478057861328,46226584.0,0.9928736090660095,81,96.52,0.0001,-1.1920928955078125e-07,3422,280000,3499,-28057.150390625
-149125.42553698,-8.465717315673828,556653248.0,0.9921630024909973,84,83.66,0.0001,0.0,3421,290000,3624,-103217.671875
-167549.15048004,-8.46409797668457,452061632.0,0.9918594360351562,87,98.06,0.0001,-2.384185791015625e-07,3420,300000,3749,-102186.9609375
-157070.76784137,-8.464557647705078,1457115776.0,0.9919469952583313,90,98.66,0.0001,1.1920928955078125e-07,3419,310000,3874,-167011.46875
-150234.17088458,-8.462566375732422,1180046080.0,0.9915452003479004,93,96.63,0.0001,0.0,3418,320000,3999,-85982.5625
-157858.50498196998,-8.460463523864746,650927936.0,0.9910790324211121,96,97.58,0.0001,1.1920928955078125e-07,3417,330000,4124,10137.7822265625
-151533.79404288,-8.454089164733887,447486272.0,0.9902638792991638,99,103.74,0.0001,0.0,3416,340000,4249,52053.25390625
-162658.17139145,-8.452892303466797,624690304.0,0.989995539188385,102,106.62,0.0001,0.0,3415,350000,4374,-130343.6484375
-152675.87921292,-8.452515602111816,1551356160.0,0.9899237751960754,105,90.23,0.0001,0.0,3414,360000,4499,-200684.25
-149548.09738681003,-8.453968048095703,61557672.0,0.9902047514915466,108,81.75,0.0001,0.0,3413,370000,4624,-32004.72265625
-147460.25732134999,-8.455618858337402,124968336.0,0.9904932975769043,111,92.32,0.0001,0.0,3412,380000,4749,-61861.5546875
-148641.64894485,-8.455652236938477,572564672.0,0.9904908537864685,114,91.17,0.0001,0.0,3411,390000,4874,-90094.6640625
-146134.14956172998,-8.454425811767578,660684416.0,0.990164577960968,117,88.78,0.0001,1.1920928955078125e-07,3410,400000,4999,-95085.5859375
-138892.6166289,-8.453484535217285,527812704.0,0.9901883006095886,120,85.03,0.0001,0.0,3404,410000,5124,-78779.046875
-146208.53548112002,-8.452291488647461,445912128.0,0.9899787902832031,123,85.45,0.0001,5.960464477539063e-08,3403,420000,5249,-47308.87109375
-157704.05668757,-8.45095157623291,37175764.0,0.9897391200065613,126,99.47,0.0001,0.0,3402,430000,5374,-31828.51171875
-135655.88438486002,-8.450961112976074,542842624.0,0.989754855632782,129,83.19,0.0001,0.0,3401,440000,5499,-92598.3984375
-143529.10500294997,-8.449585914611816,65025160.0,0.9894552230834961,132,101.83,0.0001,0.0,3400,450000,5624,-48097.2890625
-130322.25828898,-8.44598388671875,445443584.0,0.9889976382255554,135,94.16,0.0001,0.0,3400,460000,5749,40755.71484375
-123557.37629611998,-8.442719459533691,1107108352.0,0.9883890748023987,138,75.37,0.0001,0.0,3399,470000,5874,-165317.515625
-135342.53442305,-8.439696311950684,587416640.0,0.9879276752471924,141,71.74,0.0001,0.0,3397,480000,5999,-91347.15625
-130818.53262570001,-8.443427085876465,28310268.0,0.9885129928588867,144,87.64,0.0001,1.1920928955078125e-07,3396,490000,6124,-24790.15234375
-123977.06828209001,-8.440082550048828,1881809536.0,0.9879827499389648,147,80.54,0.0001,-1.1920928955078125e-07,3395,500000,6249,-207948.28125
-131463.75123459,-8.438282012939453,125042648.0,0.9876224994659424,150,82.87,0.0001,0.0,3394,510000,6374,-43840.234375
-131843.17044831,-8.435233116149902,1779038848.0,0.9871650338172913,153,85.9,0.0001,0.0,3393,520000,6499,-104146.5390625
-132110.15744009,-8.435471534729004,885986112.0,0.9871955513954163,156,83.95,0.0001,0.0,3388,530000,6624,-135763.21875
-127683.11292209002,-8.433480262756348,29839708.0,0.9868418574333191,159,80.63,0.0001,-1.1920928955078125e-07,3387,540000,6749,-24709.931640625
-134694.35759313998,-8.431244850158691,395026496.0,0.986484944820404,162,92.16,0.0001,0.0,3386,550000,6874,-47025.30859375
-130523.40049801001,-8.430891036987305,50427528.0,0.9864442944526672,165,82.95,0.0001,0.0,3385,560000,6999,-50205.2578125
-129427.30521599003,-8.426745414733887,39004968.0,0.9857692718505859,168,83.8,0.0001,5.960464477539063e-08,3384,570000,7124,-24705.884765625
