train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/std,train/explained_variance,time/time_elapsed
124,16.43,10000,1433,-1574904.875,9244157952.0,-306775.46125987003,0.0001,-17.031414031982422,1.0003107786178589,-2.384185791015625e-07,6
249,15.45,20000,1414,-1512939.375,9025839104.0,-285358.92783826997,0.0001,-17.030458450317383,1.0002785921096802,-7.152557373046875e-07,14
374,14.92,30000,1423,-1171472.875,6852166656.0,-279997.94886694,0.0001,-17.027996063232422,1.000083327293396,1.7881393432617188e-07,21
499,14.16,40000,1425,-1535912.75,9754564608.0,-273285.53942462,0.0001,-17.029930114746094,1.0002408027648926,5.960464477539063e-08,28
624,14.58,50000,1419,-1413104.125,7966841856.0,-265279.41162542,0.0001,-17.03121566772461,1.0003392696380615,-1.1920928955078125e-07,35
749,13.66,60000,1413,-1327819.75,6939287552.0,-261190.79587401001,0.0001,-17.039085388183594,1.0009948015213013,0.0,42
874,13.59,70000,1410,-1360381.125,8630313984.0,-245763.84933645997,0.0001,-17.03587532043457,1.0007386207580566,0.0,49
999,11.7,80000,1402,-1075078.25,6120943616.0,-212933.90144134004,0.0001,-17.034727096557617,1.000599980354309,0.0,57
1124,11.58,90000,1401,-1480127.5,9473165312.0,-215518.60224203003,0.0001,-17.03130340576172,1.0003749132156372,-1.1920928955078125e-07,64
1249,12.44,100000,1394,-1182496.0,6446752768.0,-228159.36047959,0.0001,-17.026782989501953,0.9999234080314636,0.0,71
1374,13.32,110000,1393,-1515185.75,9173946368.0,-235006.72747947,0.0001,-17.030672073364258,1.000278115272522,0.0,78
1499,11.38,120000,1386,-1334490.375,7445132288.0,-210171.90211604998,0.0001,-17.030200958251953,1.000266194343567,-1.1920928955078125e-07,86
1624,10.72,130000,1384,-1456571.5,8325043200.0,-192852.99001287,0.0001,-17.033447265625,1.0005261898040771,0.0,93
1749,11.57,140000,1383,-1506630.25,9217596416.0,-204692.79362420994,0.0001,-17.032991409301758,1.000471591949463,1.7881393432617188e-07,101
1874,12.49,150000,1378,-1103228.25,6984423936.0,-215938.28610415,0.0001,-17.03582000732422,1.000700831413269,0.0,108
1999,12.09,160000,1376,-1280459.25,6939159552.0,-201851.67335810995,0.0001,-17.030750274658203,1.0002361536026,5.960464477539063e-08,116
2124,12.58,170000,1372,-1423645.75,9218288640.0,-201880.15876509997,0.0001,-17.027956008911133,1.0000300407409668,0.0,123
2249,12.24,180000,1369,-788015.4375,5226479104.0,-203894.30085591003,0.0001,-17.02371597290039,0.9997708201408386,0.0,131
2374,12.71,190000,1366,-1164089.25,6261484032.0,-207174.00445332003,0.0001,-17.013710021972656,0.9988484978675842,5.960464477539063e-08,139
2499,11.12,200000,1364,-1200486.25,7968094720.0,-171623.40586367997,0.0001,-17.008451461791992,0.9984001517295837,0.0,146
2624,10.47,210000,1362,-1250236.875,8136349184.0,-180348.92732149997,0.0001,-17.00556755065918,0.9982147216796875,0.0,154
2749,12.01,220000,1360,-969047.375,6979525120.0,-190535.66765002,0.0001,-17.00267219543457,0.9979786276817322,1.1920928955078125e-07,161
2874,11.11,230000,1357,-1000869.1875,5909333504.0,-155735.92248086,0.0001,-17.00136947631836,0.9978284239768982,0.0,169
2999,10.9,240000,1356,-960324.8125,5871362048.0,-159657.12311969997,0.0001,-17.002552032470703,0.9979899525642395,0.0,176
3124,11.67,250000,1353,-1309795.5,8373446144.0,-162381.95823482,0.0001,-17.003009796142578,0.9979647994041443,-1.1920928955078125e-07,184
3249,11.77,260000,1352,-947401.125,5109703168.0,-152190.62740554998,0.0001,-17.00013542175293,0.9977853298187256,0.0,192
3374,12.38,270000,1350,-602833.75,4401338368.0,-175815.06994651002,0.0001,-16.994861602783203,0.9973273873329163,0.0,199
3499,11.65,280000,1350,-312850.625,2699038464.0,-151183.59109777998,0.0001,-16.989336013793945,0.9968517422676086,1.1920928955078125e-07,207
3624,12.88,290000,1346,-1022856.1875,6943400960.0,-157721.99455098,0.0001,-16.98493766784668,0.9965066909790039,0.0,215
3749,12.72,300000,1344,-942721.8125,5693047808.0,-162720.22005589,0.0001,-16.97776985168457,0.9958927035331726,0.0,223
