train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/std,train/explained_variance,time/time_elapsed
3874,12.05,310000,1341,-480792.59375,4914244096.0,-132440.65195581998,0.0001,-16.974102020263672,0.9956070780754089,0.0,231
3999,11.41,320000,1340,-1227341.625,9446959104.0,-122564.71458803998,0.0001,-16.977190017700195,0.9958327412605286,1.1920928955078125e-07,238
4124,9.47,330000,1339,-310745.96875,3283489280.0,-77936.03474532001,0.0001,-16.976024627685547,0.9957404732704163,-1.1920928955078125e-07,246
4249,11.97,340000,1337,-1129541.25,8183227904.0,-149810.38965756,0.0001,-16.978992462158203,0.9959997534751892,5.960464477539063e-08,254
4374,11.78,350000,1336,-245576.09375,2617411072.0,-143106.79367189997,0.0001,-16.975597381591797,0.9957683682441711,0.0,261
4499,10.05,360000,1334,-1227628.25,10249365504.0,-113396.34733466,0.0001,-16.974632263183594,0.9956000447273254,0.0,269
4624,10.99,370000,1333,-598433.875,5682522112.0,-118227.48486046,0.0001,-16.97296714782715,0.9955532550811768,0.0,277
4749,11.16,380000,1331,-328019.21875,2909738496.0,-118065.31235987,0.0001,-16.973222732543945,0.9955034255981445,0.0,285
4874,10.54,390000,1330,-1765749.0,14535175168.0,-106230.72970355001,0.0001,-16.96611976623535,0.9948992133140564,0.0,293
4999,11.48,400000,1329,-384026.4375,3671080448.0,-151806.36029725,0.0001,-16.965660095214844,0.9948697090148926,-1.1920928955078125e-07,300
5124,10.35,410000,1329,-353552.5625,3980659456.0,-98632.31011013001,0.0001,-16.973302841186523,0.9955112934112549,0.0,308
5249,11.06,420000,1327,-1038851.625,7769681920.0,-115761.88487937,0.0001,-16.963085174560547,0.9946796298027039,-1.1920928955078125e-07,316
5374,10.38,430000,1327,-600399.625,5468422656.0,-116241.49813537,0.0001,-16.95348358154297,0.9939150214195251,-1.1920928955078125e-07,324
5499,10.03,440000,1326,-569242.625,6641832960.0,-83987.55996933,0.0001,-16.947254180908203,0.9933650493621826,0.0,331
5624,10.2,450000,1324,-320746.21875,4286072320.0,-96867.75444923999,0.0001,-16.94068717956543,0.9928686022758484,0.0,339
5749,10.92,460000,1324,-1032334.1875,10819697664.0,-112988.18379831,0.0001,-16.92981719970703,0.991987407207489,0.0,347
5874,9.65,470000,1323,-957552.8125,7680919040.0,-76223.03697536999,0.0001,-16.92633056640625,0.9917149543762207,0.0,355
5999,9.38,480000,1322,-236418.40625,4462599168.0,-66386.20595183,0.0001,-16.924217224121094,0.9914827942848206,0.0,362
6124,10.49,490000,1321,-38918.58203125,2461084672.0,-95072.15823926,0.0001,-16.92003631591797,0.9911225438117981,0.0,370
6249,8.74,500000,1320,-296018.8125,2893553664.0,-54456.420632689995,0.0001,-16.92345428466797,0.9914491772651672,0.0,378
6374,8.94,510000,1320,-185763.78125,3419288832.0,-79645.23815927001,0.0001,-16.919431686401367,0.9910922050476074,0.0,386
6499,9.64,520000,1319,-551778.625,6078917632.0,-83763.58427688,0.0001,-16.907371520996094,0.9901321530342102,0.0,394
6624,8.49,530000,1318,-67892.875,3464925696.0,-51321.83155273,0.0001,-16.89969253540039,0.9895469546318054,0.0,402
6749,8.65,540000,1317,-202092.4375,2506927616.0,-51260.20393190999,0.0001,-16.89606475830078,0.9891679883003235,0.0,409
6874,9.28,550000,1316,71798.140625,1900811904.0,-72619.31619001999,0.0001,-16.896873474121094,0.9892516136169434,0.0,417
6999,9.76,560000,1316,-870597.875,8481553408.0,-71719.71024028001,0.0001,-16.89678382873535,0.9892416000366211,0.0,425
7124,9.26,570000,1316,-804855.0625,8245492736.0,-79035.25367087,0.0001,-16.890016555786133,0.9887232780456543,0.0,433
7249,8.97,580000,1315,-116321.0625,1965622016.0,-65409.84116052,0.0001,-16.879785537719727,0.9878466129302979,0.0,440
7374,8.52,590000,1314,-337843.0,5550871552.0,-52659.77711045,0.0001,-16.872779846191406,0.9872558116912842,0.0,448
7499,9.26,600000,1313,-499074.59375,4547876352.0,-80137.64669235001,0.0001,-16.872791290283203,0.9872892498970032,0.0,456
7624,9.11,610000,1313,315924.9375,1885200000.0,-72824.44849380999,0.0001,-16.86602020263672,0.9867258071899414,0.0,464
7749,7.84,620000,1312,-88710.765625,2786065664.0,-27015.216893539997,0.0001,-16.860368728637695,0.9862471222877502,0.0,472
7874,9.05,630000,1311,-646970.3125,7232075264.0,-63634.656897060006,0.0001,-16.860689163208008,0.9862878918647766,0.0,480
7999,7.77,640000,1310,-555675.3125,8129655808.0,-37068.70516823,0.0001,-16.858278274536133,0.9861009120941162,-1.1920928955078125e-07,488
8124,9.04,650000,1310,-350406.84375,6004144640.0,-64209.09102035,0.0001,-16.857999801635742,0.9860774874687195,0.0,495
8249,8.02,660000,1309,-279682.75,4318018560.0,-32912.303593410004,0.0001,-16.864320755004883,0.9866620898246765,0.0,504
8374,8.23,670000,1308,126781.578125,2265138688.0,-45571.611197529994,0.0001,-16.859832763671875,0.9862396121025085,0.0,512
8499,8.5,680000,1308,-1048635.625,11369388032.0,-50550.09139069999,0.0001,-16.8588924407959,0.9861757755279541,0.0,519
8624,7.96,690000,1307,-31114.34375,2934565632.0,-43850.67357863,0.0001,-16.8516788482666,0.9855727553367615,0.0,527
8749,8.47,700000,1306,-862023.1875,9952561152.0,-62380.151386089994,0.0001,-16.847332000732422,0.9852351546287537,0.0,535
8874,8.27,710000,1305,-709046.5625,8822581248.0,-46110.38509076,0.0001,-16.83540153503418,0.9842331409454346,0.0,543
8999,8.57,720000,1305,-301781.59375,4274267392.0,-61843.863824629996,0.0001,-16.832338333129883,0.9839672446250916,0.0,551
9124,7.34,730000,1304,-167338.109375,1872044672.0,-16925.12758413,0.0001,-16.824888229370117,0.9833585619926453,0.0,559
9249,7.84,740000,1303,-159297.296875,4337078272.0,-26638.55858699,0.0001,-16.826719284057617,0.9835502505302429,0.0,567
9374,7.68,750000,1303,305581.8125,2032743680.0,-24745.52717473,0.0001,-16.82290267944336,0.983228862285614,0.0,575
9499,7.41,760000,1303,-322938.0,6113893376.0,-23900.229614000003,0.0001,-16.82211685180664,0.9831300377845764,0.0,583
9624,7.36,770000,1302,193153.15625,2257372928.0,-24583.61893081,0.0001,-16.81875991821289,0.9828243255615234,0.0,591
9749,7.5,780000,1302,6670.87646484375,2985733632.0,-22578.350698969996,0.0001,-16.805736541748047,0.9817895293235779,0.0,599
9874,7.58,790000,1301,-290586.875,7494082560.0,-29417.093890449996,0.0001,-16.807558059692383,0.9819653630256653,0.0,606
9999,8.04,800000,1300,-683792.375,8777000960.0,-46964.890580319996,0.0001,-16.80912971496582,0.9821045398712158,0.0,615
10124,7.93,810000,1300,135602.40625,2049445632.0,-46883.20252385,0.0001,-16.80347442626953,0.9815613627433777,0.0,622
10249,7.15,820000,1300,-181570.546875,3476698368.0,-13502.03747737,0.0001,-16.793811798095703,0.9808240532875061,0.0,630
10374,6.79,830000,1299,330483.9375,2527634944.0,-8912.76589119,0.0001,-16.790586471557617,0.9805975556373596,0.0,638
10499,7.1,840000,1298,360230.15625,1911377664.0,-9357.153184539999,0.0001,-16.782716751098633,0.9799759387969971,0.0,646
10624,8.01,850000,1298,-549231.125,7024951296.0,-44082.306388720004,0.0001,-16.782325744628906,0.979938805103302,5.960464477539063e-08,654
10749,7.67,860000,1298,-567789.625,6113486336.0,-30968.136531869997,0.0001,-16.776365280151367,0.9794606566429138,0.0,662
10874,7.13,870000,1297,-261694.53125,4220820224.0,-11236.698958760002,0.0001,-16.774843215942383,0.9792859554290771,0.0,670
10999,6.92,880000,1297,248499.34375,2332090112.0,-9574.22120292,0.0001,-16.770038604736328,0.9789513945579529,0.0,678
11124,7.06,890000,1296,83983.9296875,3334038016.0,-11026.40809967,0.0001,-16.764177322387695,0.9784783720970154,0.0,686
11249,6.68,900000,1296,-173516.171875,3521493760.0,-90.4205531299999,0.0001,-16.758455276489258,0.9779710173606873,0.0,694
11374,7.01,910000,1295,-623263.8125,7087438336.0,-11680.05738134,0.0001,-16.748790740966797,0.9772276878356934,0.0,702
11499,7.4,920000,1295,-95038.453125,3690740480.0,-17480.50315344,0.0001,-16.743480682373047,0.9768036007881165,0.0,710
11624,6.68,930000,1294,-34148.12890625,3239033600.0,11608.413006759998,0.0001,-16.740812301635742,0.9765796661376953,0.0,718
11749,7.11,940000,1294,-148028.859375,4900803072.0,-11198.58518385,0.0001,-16.737913131713867,0.9763977527618408,0.0,726
11874,7.2,950000,1293,-217401.171875,6296248832.0,-15339.611401650001,0.0001,-16.73670196533203,0.9762396216392517,0.0,734
11999,7.1,960000,1293,-44095.01953125,3438398976.0,-15552.57522638,0.0001,-16.738374710083008,0.9763567447662354,0.0,742
12124,6.95,970000,1292,-40979.27734375,3129413120.0,-4268.57613355,0.0001,-16.72952651977539,0.9756335616111755,0.0,750
12249,6.85,980000,1292,-150343.40625,4262963200.0,-11357.431751680002,0.0001,-16.727272033691406,0.9754648804664612,0.0,758
12374,7.0,990000,1292,222903.921875,2083835648.0,-12605.610564680002,0.0001,-16.722993850708008,0.9751126170158386,0.0,766
12499,6.73,1000000,1292,282104.6875,1616681216.0,8842.4015984,0.0001,-16.720338821411133,0.9749326705932617,-1.1920928955078125e-07,773
