train/policy_objective,train/n_updates,train/explained_variance,train/std,train/is_line_search_success,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/kl_divergence_loss,time/fps
0.047470178455114365,1,-3.5762786865234375e-07,0.9948069453239441,1.0,6,8486417714.4,10000,12.21,0.001,-114106.80979068,0.006876515224575996,1491
0.032053980976343155,2,5.960464477539063e-08,0.9978712797164917,1.0,13,7423600075.2,20000,11.46,0.001,-116113.86988108,0.0057890466414391994,1482
0.03480527177453041,3,0.0,0.9928712844848633,1.0,20,7124428575.2,30000,13.03,0.001,-118155.31567720002,0.006148381158709526,1467
0.035101547837257385,4,0.0,0.9969001412391663,1.0,27,7425552927.2,40000,11.85,0.001,-110768.6130826,0.004642317071557045,1461
0.0312164518982172,6,0.0,0.990983247756958,1.0,35,6689146387.2,50000,11.67,0.001,-100759.97898983,0.00509903859347105,1396
0.04124956950545311,7,0.0,0.9816725254058838,1.0,42,6427290644.8,60000,14.46,0.001,-101957.17206244002,0.007028298918157816,1402
0.04557102918624878,8,0.0,0.9742612838745117,1.0,49,6211281400.8,70000,14.39,0.001,-86403.66244796998,0.005541155114769936,1407
0.03870619088411331,9,0.0,0.9587078094482422,1.0,56,6188692196.8,80000,13.48,0.001,-79431.8831238,0.00605355016887188,1410
0.037326253950595856,10,0.0,0.9531499147415161,1.0,63,5462542978.4,90000,14.26,0.001,-56740.651234720004,0.008093034848570824,1410
0.046535834670066833,12,0.0,0.9248292446136475,1.0,72,5102349494.8,100000,15.14,0.001,-45819.133203089994,0.005961442366242409,1382
0.042411644011735916,13,0.0,0.905640721321106,1.0,79,4821011506.8,110000,14.6,0.001,4793.51813047,0.005710642319172621,1384
0.04567839950323105,14,0.0,0.897301435470581,1.0,86,4296418878.4,120000,15.25,0.001,12008.1674149,0.00594359589740634,1385
0.04244837909936905,15,0.0024459362030029297,0.8888763189315796,1.0,93,4548486317.2,130000,14.82,0.001,36935.72624188,0.006457987707108259,1386
0.05336461216211319,17,0.0010286569595336914,0.8547623157501221,1.0,102,4315682291.2,140000,13.05,0.001,52438.49919958,0.007143264636397362,1368
0.05747869983315468,18,0.0007032155990600586,0.8387235403060913,1.0,109,4335965666.8,150000,11.87,0.001,72851.20097946,0.007174233440309763,1369
0.04624442756175995,19,0.0026988983154296875,0.8266240358352661,1.0,116,4285689475.2,160000,10.67,0.001,87074.9117636,0.006745547987520695,1369
0.04084266722202301,20,0.0013829469680786133,0.8028764128684998,1.0,124,4622083528.0,170000,10.6,0.001,82207.96544507,0.006444868165999651,1369
0.052021466195583344,21,5.620718002319336e-05,0.7866942286491394,1.0,131,4766858538.4,180000,10.35,0.001,95422.2806807,0.008398241363465786,1367
0.04240284115076065,23,0.0010775327682495117,0.7595950961112976,1.0,140,5254498890.4,190000,9.42,0.001,102638.13445527,0.006991087459027767,1353
