train/learning_rate,train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/fps,train/ent_coef,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean
0.0064,1062111744.0,11,7028832.5,756.2727272727273,2474,-889.3135986328125,165,7101543.0,60,10000,-14515851.67507909
0.0064,3954122449485824.0,19,1842718674255872.0,858.8947368421053,4974,-1798.78271484375,163,63153681465344.0,122,20000,-16790221.49609842
0.0064,3.5030274672182077e+22,31,1.6414844896729643e+22,913.516129032258,7474,-2695.329345703125,163,5.612462557560266e+20,183,30000,-18000773.175028063
0.0064,3.1057846433572057e+29,39,1.4545522508820508e+29,931.2564102564103,9974,-3589.292724609375,162,4.986877445195571e+27,245,40000,-18393943.80579154
