train/n_updates,train/kl_divergence_loss,rollout/ep_len_mean,train/value_loss,time/fps,time/time_elapsed,train/policy_objective,train/std,train/is_line_search_success,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps
1,0.006266467738896608,23.13,8747741502.4,1213,8,0.09990742057561874,0.9973781704902649,1.0,-2.384185791015625e-06,0.001,-170825.61832785004,10000
2,0.004182870499789715,22.07,7108767571.2,1222,16,0.07151821255683899,0.9886797070503235,1.0,-1.1920928955078125e-07,0.001,-156085.47302859998,20000
3,0.003957449924200773,23.14,6624478588.8,1226,24,0.0683576688170433,0.9886664152145386,1.0,-1.1920928955078125e-07,0.001,-145670.63862903998,30000
4,0.004078654572367668,22.77,5875104783.2,1234,32,0.05935855209827423,0.9819783568382263,1.0,0.0,0.001,-149418.19088141003,40000
6,0.0040508112870156765,24.31,5430592260.0,1185,42,0.06972072273492813,0.964178204536438,1.0,1.1920928955078125e-07,0.001,-143243.17911477003,50000
7,0.004587527830153704,19.67,5136304718.8,1187,50,0.06582989543676376,0.9550650715827942,1.0,-1.1920928955078125e-07,0.001,-125929.9029825,60000
8,0.004398129880428314,20.16,4990300165.2,1190,58,0.06550624221563339,0.9482613205909729,1.0,1.7881393432617188e-07,0.001,-120693.14345541003,70000
9,0.004697085358202457,22.55,4591207360.0,1191,67,0.0799441933631897,0.9467834234237671,1.0,-1.1920928955078125e-07,0.001,-124559.68847521998,80000
10,0.004714485723525286,23.9,4537222518.0,1192,75,0.0764739066362381,0.9420660734176636,1.0,5.960464477539063e-08,0.001,-128857.02751784002,90000
12,0.004411580041050911,26.84,4329466542.0,1174,85,0.07967118173837662,0.9236676692962646,1.0,2.384185791015625e-07,0.001,-124978.13243258999,100000
13,0.004538714420050383,24.02,3928719216.4,1177,93,0.07928270846605301,0.9182420372962952,1.0,-1.1920928955078125e-07,0.001,-120742.12789553,110000
14,0.005024521145969629,27.52,3959890401.2,1179,101,0.07910123467445374,0.9095841646194458,1.0,1.1920928955078125e-07,0.001,-119983.24646256,120000
15,0.004694433882832527,28.59,3851564966.4,1180,110,0.08100850135087967,0.9010674357414246,1.0,0.0,0.001,-129600.10938359001,130000
17,0.0048575024120509624,29.06,3700199441.2,1168,119,0.0866643488407135,0.8936877846717834,1.0,0.0,0.001,-121757.50942973001,140000
18,0.005054242443293333,30.71,3697209159.2,1171,128,0.07764580100774765,0.891389012336731,1.0,0.0,0.001,-124784.94370915998,150000
19,0.004830970428884029,32.5,3375659914.0,1174,136,0.08497729897499084,0.8871097564697266,1.0,1.1920928955078125e-07,0.001,-124631.14093163,160000
20,0.005762151908129454,36.3,3428772998.0,1177,144,0.09091698378324509,0.8827875852584839,1.0,-2.384185791015625e-07,0.001,-131217.25030488,170000
21,0.004966118838638067,30.43,3339282070.0,1181,152,0.07757450640201569,0.8791281580924988,1.0,-2.384185791015625e-07,0.001,-116793.88271294998,180000
23,0.005545101128518581,33.52,3137665252.4,1174,161,0.08198866248130798,0.8751230835914612,1.0,5.960464477539063e-08,0.001,-122515.69104458998,190000
24,0.0056358445435762405,35.79,3063252404.4,1177,169,0.08280199766159058,0.8700199127197266,1.0,0.0,0.001,-118538.47915998999,200000
25,0.00607953080907464,42.41,2814652592.2,1179,178,0.09260585904121399,0.8598641157150269,1.0,0.0,0.001,-120519.85782707996,210000
26,0.005908074323087931,42.24,2625016589.0,1181,186,0.09083635360002518,0.8501377105712891,1.0,0.0,0.001,-122640.78984862,220000
28,0.0058627743273973465,43.32,2626652923.8,1173,195,0.0966961681842804,0.8413140773773193,1.0,1.7881393432617188e-07,0.001,-121762.03078975999,230000
29,0.00554392347112298,52.96,2380935663.6,1174,204,0.09362257272005081,0.8434293270111084,1.0,-1.1920928955078125e-07,0.001,-127427.17791857998,240000
30,0.006126353517174721,46.97,2320289542.8,1176,212,0.08926550298929214,0.8383483290672302,1.0,5.960464477539063e-08,0.001,-106675.388674,250000
31,0.006505091208964586,53.81,2142268941.4,1178,220,0.09546443074941635,0.8359911441802979,1.0,0.0,0.001,-114561.39829639997,260000
32,0.006249589379876852,59.3,1999470770.8,1180,228,0.09952279180288315,0.8332268595695496,1.0,0.0,0.001,-95230.44272771997,270000
34,0.006741984747350216,53.77,1799669266.0,1175,238,0.10621780157089233,0.8342828154563904,1.0,2.384185791015625e-07,0.001,-75346.37810316999,280000
35,0.00724176038056612,55.28,1839637092.6,1178,246,0.09401139616966248,0.8340271711349487,1.0,0.0,0.001,-68933.70170514,290000
36,0.006432762369513512,59.74,1778181334.0,1180,254,0.09713267534971237,0.8332387208938599,1.0,0.0,0.001,-68429.71962445999,300000
37,0.006398521829396486,57.48,1813745286.1,1182,262,0.08681794255971909,0.8309226632118225,1.0,0.0,0.001,-54857.929974499995,310000
39,0.006502863485366106,58.94,1731886731.7,1178,271,0.09349263459444046,0.8314327001571655,1.0,0.0,0.001,-34384.58843586,320000
40,0.006913175340741873,62.69,1876227538.4,1180,279,0.09292871505022049,0.8296892046928406,1.0,0.0,0.001,-52645.16972040999,330000
41,0.006566948257386684,66.33,1617085304.8,1181,287,0.10467600077390671,0.8324791789054871,1.0,0.0,0.001,-39511.20215943,340000
42,0.0070042782463133335,56.85,1691568445.4,1183,295,0.10234900563955307,0.8304588794708252,1.0,5.960464477539063e-08,0.001,-7967.178662449998,350000
43,0.007257305085659027,53.94,1603540236.2,1184,303,0.09782464057207108,0.8305841684341431,1.0,0.0,0.001,3809.8134220900024,360000
