train/explained_variance,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/time_elapsed,train/value_loss,train/policy_loss,train/n_updates,train/learning_rate,train/std
0.0,660000,1824,-153839.67273313002,237.26,-10.188186645507812,361,32864.08984375,-820.4107666015625,32999,0.0007,1.3238033056259155
0.0,670000,1824,-147530.83511165998,276.02,-10.195860862731934,367,9556575.0,13010.6298828125,33499,0.0007,1.3255279064178467
0.0,680000,1824,-126320.72771226002,273.76,-10.163117408752441,372,193941.890625,657.9955444335938,33999,0.0007,1.318088412284851
0.0,690000,1825,-1123977.6697882102,334.05,-10.153765678405762,378,1056659648.0,-233141.875,34499,0.0007,1.316942811012268
1.7881393432617188e-07,700000,1824,-1515398.2995155803,81.02,-10.316702842712402,383,4126708224.0,-614229.6875,34999,0.0007,1.3537472486495972
1.1920928955078125e-07,710000,1824,-1890695.10774122,156.32,-10.316536903381348,389,8585.48046875,-672.6708374023438,35499,0.0007,1.3540534973144531
0.0,720000,1823,-1868324.928667,261.87,-10.31685733795166,394,4803.9453125,-536.319580078125,35999,0.0007,1.3541580438613892
1.1920928955078125e-07,730000,1823,-1681984.20061936,341.47,-10.369828224182129,400,13258880.0,-18033.216796875,36499,0.0007,1.36566960811615
0.0,740000,1823,-507192.45487763005,384.82,-10.37976360321045,405,4970343.5,15685.7109375,36999,0.0007,1.3683891296386719
0.0,750000,1823,-700007.8601337099,463.82,-10.48239803314209,411,11014.41015625,-991.8240966796875,37499,0.0007,1.3927139043807983
0.0,760000,1824,-634252.69128783,509.97,-10.493492126464844,416,4843.35986328125,-464.6036682128906,37999,0.0007,1.3959050178527832
5.960464477539063e-08,770000,1825,-658248.97304839,455.28,-10.59574031829834,421,3526.33154296875,-438.9418029785156,38499,0.0007,1.419772982597351
0.0,780000,1826,-447486.63867601,389.92,-10.604157447814941,427,98747.0078125,871.18212890625,38999,0.0007,1.4213417768478394
-2.384185791015625e-07,790000,1827,-202042.18468711994,388.69,-10.621590614318848,432,5020.39453125,-570.4661254882812,39499,0.0007,1.425243854522705
0.0,800000,1827,-156201.14699250003,258.62,-10.649468421936035,437,10933.775390625,-11.090505599975586,39999,0.0007,1.4338927268981934
0.0,810000,1828,-179072.14602704003,352.48,-10.703438758850098,442,253916.53125,2558.55908203125,40499,0.0007,1.4468973875045776
0.0,820000,1828,-166821.23059633,341.88,-10.75566291809082,448,65047840.0,-48870.08984375,40999,0.0007,1.4579566717147827
-1.1920928955078125e-07,830000,1828,-152976.47393793,167.64,-10.817215919494629,453,8417398.0,21972.333984375,41499,0.0007,1.4746662378311157
1.7881393432617188e-07,840000,1828,-120550.42365892998,108.99,-10.8331880569458,459,1899143168.0,-196394.15625,41999,0.0007,1.4779211282730103
5.960464477539063e-08,850000,1827,-123523.01538706,160.27,-10.943472862243652,465,14787814.0,-22008.005859375,42499,0.0007,1.5050073862075806
0.0,860000,1827,-123565.85615375999,207.92,-10.951608657836914,470,7375772.0,1732.951171875,42999,0.0007,1.5081133842468262
5.960464477539063e-08,870000,1827,-131953.11888186997,192.16,-10.966750144958496,476,93546728.0,-73001.625,43499,0.0007,1.5106372833251953
5.960464477539063e-08,880000,1828,-147153.96341539,231.95,-10.990296363830566,481,2212618752.0,-299974.90625,43999,0.0007,1.516739845275879
0.0,890000,1828,-136999.5046157,210.75,-11.041045188903809,486,1556535.75,6172.2939453125,44499,0.0007,1.5288892984390259
-2.384185791015625e-07,900000,1829,-115454.55941822,166.78,-10.987183570861816,492,31441088.0,-14788.5029296875,44999,0.0007,1.515760898590088
0.0,910000,1829,-131373.86268111,199.29,-11.070874214172363,497,3818610.75,8565.326171875,45499,0.0007,1.5381755828857422
0.0,920000,1830,-138658.42922706,261.89,-11.095471382141113,502,13467.703125,-837.9373779296875,45999,0.0007,1.5438103675842285
5.960464477539063e-08,930000,1832,-113219.40738964001,243.48,-11.076797485351562,507,17842.55859375,-534.8917846679688,46499,0.0007,1.5391286611557007
1.7881393432617188e-07,940000,1833,-185234.00129602998,210.31,-11.107840538024902,512,1906843392.0,-185474.375,46999,0.0007,1.546868920326233
0.0,950000,1833,-163951.09919126998,131.74,-11.106344223022461,518,220017.453125,2356.669677734375,47499,0.0007,1.5474268198013306
-1.1920928955078125e-07,960000,1834,-104767.36363002998,190.83,-11.152426719665527,523,472.75439453125,-224.9011993408203,47999,0.0007,1.5604034662246704
0.0,970000,1835,-121425.37900534998,260.93,-11.146249771118164,528,454.1504821777344,-216.476806640625,48499,0.0007,1.558289647102356
5.960464477539063e-08,980000,1836,-142166.05976186003,296.48,-11.231741905212402,533,25393.39453125,-1270.0439453125,48999,0.0007,1.5828684568405151
1.7881393432617188e-07,990000,1837,-148135.53996626,318.65,-11.277697563171387,538,417.11456298828125,-206.49887084960938,49499,0.0007,1.596115231513977
0.0,1000000,1838,-148714.28499074,316.09,-11.312912940979004,543,405.1342468261719,-216.2907257080078,49999,0.0007,1.6038779020309448
