rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/fps
-4494838.277488999,45,-1544.31005859375,67,147.52238805970148,105404640.0,2474,0.001,10000,-52.40705871582031,2.456047534942627,218
-480647.02664545,88,5830.263671875,307,30.86,32930392.0,4974,0.001,20000,-116.32347869873047,6.068405628204346,225
-440222.03310612007,139,16780.9140625,585,27.24,60699104.0,7474,0.001,30000,-145.27450561523438,13.980101585388184,215
-1539930.7858936298,188,33925.33984375,762,80.03,49382508.0,9974,0.001,40000,-139.8059539794922,29.790855407714844,211
-1387486.5291005604,237,40007.1875,876,86.06,54252516.0,12474,0.001,50000,-100.6494140625,52.45808029174805,210
-1441717.4450709103,285,5560.58203125,970,111.81,129786368.0,14974,0.001,60000,-181.9884796142578,87.27743530273438,209
-2743931.6081051202,332,70498.2578125,1049,134.28,40816436.0,17474,0.001,70000,-38.47734069824219,134.8140411376953,210
-2020893.6518089098,383,82571.859375,1138,112.88,55443984.0,19974,0.001,80000,1.6785180568695068,192.2252655029297,208
-1193555.88518827,431,68041.359375,1258,83.17,59703308.0,22474,0.001,90000,-42.26960754394531,231.04647827148438,208
-886922.0255121399,480,114083.140625,1380,68.58,48644752.0,24974,0.001,100000,19.052797317504883,247.69483947753906,208
-475651.51935585,530,132707.625,1587,30.46,187758048.0,27474,0.001,110000,1.3704830408096313,248.51113891601562,207
-2360768.29032683,581,151665.09375,1663,120.09,69243408.0,29974,0.001,120000,35.006473541259766,272.31964111328125,206
-148298.76631722,632,159763.5,2206,6.26,41081652.0,32474,0.001,130000,-0.10469555854797363,171.0388946533203,205
-131889.76435338,683,164041.703125,3445,4.61,249221504.0,34974,0.001,140000,2.4623489379882812,174.8417510986328,204
-127315.511327,730,185772.875,5318,4.13,76301088.0,37474,0.001,150000,7.602787971496582,128.42678833007812,205
-125848.52491063,778,173061.515625,7792,4.0,72144432.0,39974,0.001,160000,3.1482431888580322,97.07383728027344,205
-126476.38954943,830,174939.75,10284,4.0,92332384.0,42474,0.001,170000,2.1088647842407227,81.66220092773438,204
-126084.66113193,879,165119.8125,12782,4.0,51521276.0,44974,0.001,180000,-0.6608104109764099,73.95679473876953,204
-126142.66047884998,931,159468.125,15282,4.0,61354256.0,47474,0.001,190000,-0.7589048147201538,67.34934997558594,204
-126014.83803084,982,162642.59375,17782,4.0,56914004.0,49974,0.001,200000,-0.760820746421814,62.761199951171875,203
-125845.20834932997,1034,162618.625,20282,4.0,44864520.0,52474,0.001,210000,0.9426512122154236,62.529754638671875,202
-125883.76788108,1088,147803.65625,22779,4.0,28174706.0,54974,0.001,220000,-2.1603946685791016,58.0540885925293,202
-125935.46614841999,1139,144306.25,25269,4.0,28408294.0,57474,0.001,230000,1.0121097564697266,53.63370895385742,201
-125721.39501983998,1185,140868.09375,27766,4.0,30969248.0,59974,0.001,240000,0.27997416257858276,54.767452239990234,202
-125692.27511373999,1234,137425.234375,30266,4.0,19070352.0,62474,0.001,250000,-1.888005256652832,51.221195220947266,202
-125657.35202484,1283,140196.125,32766,4.0,27734084.0,64974,0.001,260000,-2.8757214546203613,48.97641372680664,202
-125863.90724961,1337,138910.609375,35266,4.0,29864112.0,67474,0.001,270000,0.5935430526733398,47.478904724121094,201
-125659.04947335998,1388,136140.0625,37761,4.02,24881038.0,69974,0.001,280000,-3.3766367435455322,45.967681884765625,201
-125492.17169795999,1436,134807.140625,40261,4.0,26656276.0,72474,0.001,290000,0.840345561504364,43.165706634521484,201
-125598.61808336999,1486,135373.171875,42761,4.01,10854094.0,74974,0.001,300000,0.03928875923156738,40.9316291809082,201
-125561.3006017,1535,131634.484375,45261,4.0,23205988.0,77474,0.001,310000,1.6574406623840332,41.12760543823242,201
-125462.62489903,1581,131771.359375,47761,4.01,20848796.0,79974,0.001,320000,0.0038966387510299683,39.29248809814453,202
-125433.41002591999,1629,132766.765625,50258,4.0,11036644.0,82474,0.001,330000,2.179497241973877,38.040828704833984,202
-125432.65432265999,1680,126637.625,52758,4.0,17563760.0,84974,0.001,340000,2.6842403411865234,39.325096130371094,202
-125425.24901591001,1730,127526.328125,55258,4.0,36780784.0,87474,0.001,350000,0.7846107482910156,35.057186126708984,202
-125416.63102847,1780,131396.46875,57758,4.0,10867364.0,89974,0.001,360000,-0.6269445419311523,37.34364318847656,202
-134143.04259651,1833,127178.390625,60232,4.8,27888422.0,92474,0.001,370000,3.4419798851013184,33.40293884277344,201
