time/fps,train/value_loss,train/explained_variance,train/policy_objective,train/kl_divergence_loss,time/time_elapsed,rollout/ep_rew_mean,train/is_line_search_success,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,train/n_updates,train/std
4757,2548773491.2,7.152557373046875e-07,0.05446900427341461,0.006312090437859297,2,-393157.2325441045,1.0,140.7462686567164,0.0013,10000,1,1.0127609968185425
4755,1791350116.4,0.0,0.032883934676647186,0.005745857488363981,4,-348051.24880782,1.0,146.85,0.0013,20000,2,1.0097377300262451
4732,1380099665.6,-1.1920928955078125e-07,0.03167480230331421,0.005318638402968645,6,-299319.03503171,1.0,155.15,0.0013,30000,3,0.9956181645393372
4722,1313697667.6,0.0,0.02911198139190674,0.0045676082372665405,8,-223931.18078429002,1.0,131.74,0.0013,40000,4,0.9821999669075012
4412,1112874730.7,0.0,0.02907932922244072,0.005657264497131109,11,-214423.39973242005,1.0,134.96,0.0013,50000,6,0.9779447913169861
4435,1102693693.4,0.0,0.03118152730166912,0.006005719304084778,13,-183624.12992766994,1.0,125.14,0.0013,60000,7,0.9779589772224426
4451,1088542815.3,0.0,0.028360961005091667,0.00484490254893899,15,-167580.45680581,1.0,128.17,0.0013,70000,8,0.9740128517150879
4458,1070445492.4,0.0,0.03548736497759819,0.005853256676346064,17,-146804.30995874,1.0,125.01,0.0013,80000,9,0.9602935314178467
4464,992031559.9,0.0,0.034468840807676315,0.005465637892484665,20,-134332.30164502,1.0,127.71,0.0013,90000,10,0.9441643357276917
4337,928624406.75,0.0,0.030012235045433044,0.006308248732239008,23,-132243.33948210004,1.0,130.37,0.0013,100000,12,0.9531227946281433
4351,936347450.2,5.960464477539063e-08,0.0330297127366066,0.005348974373191595,25,-127347.18899953,1.0,129.94,0.0013,110000,13,0.9471209645271301
4369,988161569.95,5.960464477539063e-08,0.03165287896990776,0.005308333318680525,27,-121335.31572813002,1.0,129.0,0.0013,120000,14,0.9387214779853821
4381,870647877.0,0.0,0.03739176690578461,0.006754533853381872,29,-122934.16751503,1.0,134.24,0.0013,130000,15,0.9430177211761475
4300,881656784.4,0.0,0.034732215106487274,0.005722973495721817,32,-102774.94217655002,1.0,121.79,0.0013,140000,17,0.9316050410270691
4312,689522194.2,0.0,0.03881930932402611,0.0064936247654259205,34,-85010.44977906,1.0,150.1,0.0013,150000,18,0.9164419770240784
4325,639431235.225,-1.1920928955078125e-07,0.03846224769949913,0.006306923925876617,36,-66999.47270177999,1.0,173.5,0.0013,160000,19,0.9188599586486816
4337,542093678.85,0.0,0.04162082448601723,0.0076840720139443874,39,-52269.95106773,1.0,195.93,0.0013,170000,20,0.906775951385498
4347,491040784.425,0.0,0.0377810001373291,0.007145702838897705,41,-8588.44785158,1.0,203.64,0.0013,180000,21,0.8940535187721252
4289,500019455.35,0.01518923044204712,0.03493882715702057,0.007667740806937218,44,35243.95009377,1.0,185.01,0.0013,190000,23,0.8707292675971985
4300,432443897.7125,0.023998141288757324,0.031192205846309662,0.008940007537603378,46,50661.00292822,1.0,192.24,0.0013,200000,24,0.8591747283935547
4312,435992202.625,0.014714717864990234,0.03954776003956795,0.008465155027806759,48,46563.14934386,1.0,201.78,0.0013,210000,25,0.851166307926178
4321,394138963.5875,0.024971306324005127,0.0383051298558712,0.007310604210942984,50,46014.438826809994,1.0,216.5,0.0013,220000,26,0.835003674030304
4276,435971192.125,0.021295011043548584,0.03004974126815796,0.006999066099524498,53,64350.14807616999,1.0,218.82,0.0013,230000,28,0.8260112404823303
4284,447727865.925,0.011426091194152832,0.03727702051401138,0.008358660154044628,56,76760.50169838,1.0,201.45,0.0013,240000,29,0.8248606324195862
4291,502863769.3375,0.014906823635101318,0.03965910151600838,0.007626527454704046,58,80918.6688231,1.0,172.38,0.0013,250000,30,0.8101391196250916
4296,659946826.975,0.009767234325408936,0.030578501522541046,0.008562430739402771,60,95050.79724245,1.0,139.32,0.0013,260000,31,0.7933408617973328
4303,549464720.125,0.019330203533172607,0.0358901284635067,0.007717962842434645,62,103233.23218784001,1.0,142.71,0.0013,270000,32,0.7896155714988708
4267,596020572.45,0.007536649703979492,0.03694715350866318,0.009277939796447754,65,100595.84109491002,1.0,134.16,0.0013,280000,34,0.7713387608528137
4273,680442027.2,0.027888774871826172,0.036691293120384216,0.007640503346920013,67,95727.74446474001,1.0,125.78,0.0013,290000,35,0.7788836359977722
4277,855579865.15,0.007332563400268555,0.035409264266490936,0.007858958095312119,70,104658.82091685999,1.0,103.75,0.0013,300000,36,0.7722638249397278
4282,781376430.8,0.0020238161087036133,0.032189227640628815,0.007157181855291128,72,100197.17762417998,1.0,122.65,0.0013,310000,37,0.767417848110199
4249,685316332.025,0.0011374354362487793,0.03737005591392517,0.00797241274267435,75,104479.40706109001,1.0,123.72,0.0013,320000,39,0.7691799998283386
4254,814414826.55,0.008478164672851562,0.030109740793704987,0.008341611362993717,77,112662.42973468,1.0,106.12,0.0013,330000,40,0.7648673057556152
4261,755126796.8,0.00032150745391845703,0.038366202265024185,0.008766782470047474,79,105385.89315588001,1.0,114.49,0.0013,340000,41,0.7636528015136719
4265,810718863.7,0.0014590620994567871,0.03308885917067528,0.007656323257833719,82,115351.84956078998,1.0,103.02,0.0013,350000,42,0.7617117762565613
4268,868550919.85,0.0004876852035522461,0.035740744322538376,0.009326956234872341,84,113144.62863970001,1.0,84.69,0.0013,360000,43,0.7568712830543518
4239,888963725.5,9.357929229736328e-06,0.03519842401146889,0.008759432472288609,87,113172.96496143,1.0,94.93,0.0013,370000,45,0.7542501091957092
4245,1063716267.0,1.4066696166992188e-05,0.03623737022280693,0.008370076306164265,89,116468.92342781,1.0,85.21,0.0013,380000,46,0.7465229630470276
4249,1017034608.3,0.0028222203254699707,0.03381099924445152,0.007839384488761425,91,115620.05532396998,1.0,82.23,0.0013,390000,47,0.7406995892524719
4253,1058001802.5,0.0020340681076049805,0.03631293401122093,0.008228814229369164,94,106682.49263038,1.0,92.18,0.0013,400000,48,0.7354796528816223
4229,1300905449.6,0.009200632572174072,0.03871186822652817,0.00903838500380516,96,111388.21122634,1.0,64.06,0.0013,410000,50,0.715667724609375
4237,1230923023.8,0.0,0.0391262024641037,0.008616424165666103,99,113023.95094004,1.0,75.64,0.0013,420000,51,0.7061724066734314
4243,1283488130.4,4.112720489501953e-06,0.037529587745666504,0.008244022727012634,101,115691.64721525,1.0,56.14,0.0013,430000,52,0.7005693912506104
4246,1430459723.7,2.384185791015625e-07,0.03600321710109711,0.009261401370167732,103,104003.41445678,1.0,64.0,0.0013,440000,53,0.7009768486022949
4248,1405348207.2,2.980232238769531e-07,0.03764570504426956,0.008468463085591793,105,105701.50678843,1.0,62.84,0.0013,450000,54,0.7023573517799377
