time/fps,train/value_loss,train/explained_variance,train/policy_objective,train/kl_divergence_loss,time/time_elapsed,rollout/ep_rew_mean,train/is_line_search_success,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,train/n_updates,train/std
4225,1730500399.6,0.011722981929779053,0.03569194674491882,0.008622654713690281,108,112976.19402649,1.0,45.83,0.0013,460000,56,0.6972829699516296
4227,1813487498.4,-0.0005838871002197266,0.03553494065999985,0.009187391959130764,111,115360.59835766001,1.0,47.85,0.0013,470000,57,0.6919590830802917
4228,1849121783.4,5.960464477539063e-08,0.03640539199113846,0.009262503124773502,113,120965.96633581999,1.0,44.59,0.0013,480000,58,0.6907529234886169
4229,1877492276.0,-2.384185791015625e-07,0.03280862420797348,0.008002977818250656,115,112008.26995930001,1.0,48.46,0.0013,490000,59,0.6925022006034851
4208,1845643079.4,0.0011821389198303223,0.03864922374486923,0.009954518638551235,118,117778.60619298999,1.0,42.79,0.0013,500000,61,0.6862718462944031
4209,2078552876.2,0.0019471049308776855,0.02599259465932846,0.006520366761833429,121,116605.96368421,1.0,41.48,0.0013,510000,62,0.6845705509185791
4211,2092870679.0,0.0,0.031164977699518204,0.008113132789731026,123,120143.4,1.0,36.35,0.0013,520000,63,0.682354211807251
4213,2295442132.6,0.0,0.03713041543960571,0.009625219739973545,125,122017.3,1.0,38.15,0.0013,530000,64,0.6818354725837708
4214,2356764999.6,0.0,0.025449268519878387,0.008322533220052719,128,121910.15325493,1.0,38.13,0.0013,540000,65,0.6806151270866394
4195,2404230308.6,0.0,0.033503174781799316,0.008136074058711529,131,123655.37547479,1.0,37.0,0.0013,550000,67,0.6712849140167236
4198,2542497315.4,1.1920928955078125e-07,0.03557814657688141,0.009893900714814663,133,124824.22007819999,1.0,34.28,0.0013,560000,68,0.6689074039459229
4201,2466797875.2,1.1920928955078125e-07,0.03481306880712509,0.008847950957715511,135,125087.71225918,1.0,36.11,0.0013,570000,69,0.6660844683647156
4202,2438898925.4,0.0,0.03908758610486984,0.00919665303081274,138,124820.71619295001,1.0,34.1,0.0013,580000,70,0.6640923023223877
4183,2678527202.2,1.1920928955078125e-07,0.029850546270608902,0.006836894899606705,141,125721.0,1.0,34.45,0.0013,590000,72,0.6575305461883545
4185,2787716279.6,-1.1920928955078125e-07,0.03337714076042175,0.007997955195605755,143,125813.40313748,1.0,34.96,0.0013,600000,73,0.6545570492744446
4186,2415305189.8,0.0,0.033836718648672104,0.00936585757881403,145,126999.99910014,1.0,31.22,0.0013,610000,74,0.6481045484542847
4187,2848841183.0,5.960464477539063e-08,0.03190929442644119,0.009234398603439331,148,126475.06038857,1.0,32.62,0.0013,620000,75,0.6461126208305359
4188,2848974226.8,-1.1920928955078125e-07,0.03343972563743591,0.008307834155857563,150,126268.18584302,1.0,32.56,0.0013,630000,76,0.6454916596412659
4171,3144520577.2,1.1920928955078125e-07,0.028982464224100113,0.006390062626451254,153,126218.37228782,1.0,30.15,0.0013,640000,78,0.6414633989334106
4172,2864379354.4,0.0,0.029560508206486702,0.006628040224313736,155,125889.1,1.0,31.36,0.0013,650000,79,0.6390867829322815
4172,2859205139.2,5.960464477539063e-08,0.026120774447917938,0.006262792274355888,158,126690.2171772,1.0,31.97,0.0013,660000,80,0.6332151293754578
4173,2915658307.6,0.0,0.02994292788207531,0.009168040938675404,160,128530.86364221999,1.0,30.65,0.0013,670000,81,0.6257665753364563
4157,3044637820.0,0.0,0.028633179143071175,0.006458563264459372,163,128136.66668517001,1.0,30.33,0.0013,680000,83,0.6189173460006714
4159,3052277024.8,1.1920928955078125e-07,0.045197099447250366,0.00980099756270647,165,128935.0363603,1.0,30.41,0.0013,690000,84,0.6150280833244324
4160,3165959054.4,-1.1920928955078125e-07,0.030613770708441734,0.009360247291624546,168,128141.43370135002,1.0,30.3,0.0013,700000,85,0.6116228699684143
4161,3111924339.6,-1.1920928955078125e-07,0.029805567115545273,0.009970991872251034,170,130463.41880038999,1.0,30.02,0.0013,710000,86,0.6103553771972656
4162,3096706362.0,0.0,0.031643886119127274,0.008618890307843685,172,131000.3,1.0,33.05,0.0013,720000,87,0.6076140403747559
4147,3070028602.4,0.0,0.03442372754216194,0.008958240039646626,176,130431.38995091,1.0,31.45,0.0013,730000,89,0.5992729067802429
4148,3011908100.8,0.0,0.0352962501347065,0.009842139668762684,178,131544.02070117,1.0,31.13,0.0013,740000,90,0.5947834849357605
4149,3137871559.2,0.0,0.030126504600048065,0.007426155265420675,180,131588.76632555,1.0,29.3,0.0013,750000,91,0.5922598838806152
4152,3298601492.0,5.960464477539063e-08,0.03158792853355408,0.008271896280348301,183,131210.14111096002,1.0,27.77,0.0013,760000,92,0.5880454182624817
4153,3371667356.4,-1.1920928955078125e-07,0.019903626292943954,0.007299782242625952,185,131205.20613022998,1.0,28.34,0.0013,770000,93,0.5868626832962036
4139,3481033441.2,1.1920928955078125e-07,0.024893812835216522,0.007388050202280283,188,131538.02926419998,1.0,26.88,0.0013,780000,95,0.5848926901817322
4140,3242031698.4,5.960464477539063e-08,0.03191816434264183,0.00883161835372448,190,130812.1,1.0,27.46,0.0013,790000,96,0.5835111737251282
4141,3515752164.4,-1.1920928955078125e-07,0.025461232289671898,0.008124693296849728,193,130316.61222359,1.0,27.05,0.0013,800000,97,0.5778855681419373
4142,3442207332.0,1.7881393432617188e-07,0.020304609090089798,0.006314907222986221,195,131650.1,1.0,26.37,0.0013,810000,98,0.5760995745658875
4129,3505222211.2,5.960464477539063e-08,0.03603505343198776,0.009654498659074306,198,130524.23671947,1.0,26.75,0.0013,820000,100,0.5694265961647034
4128,3591242686.4,0.0,0.024933716282248497,0.006280506495386362,201,131105.30320057,1.0,28.06,0.0013,830000,101,0.5689145922660828
4129,3445277605.6,-1.1920928955078125e-07,0.024188349023461342,0.007099675480276346,203,131242.1,1.0,26.5,0.0013,840000,102,0.5683479905128479
4131,3613075314.0,0.0,0.029562370851635933,0.009745556861162186,205,130316.4,1.0,27.29,0.0013,850000,103,0.5673505067825317
4132,3504503476.8,5.960464477539063e-08,0.026119299232959747,0.008560307323932648,208,131437.26884663,1.0,26.68,0.0013,860000,104,0.5647806525230408
4120,3698003255.2,1.1920928955078125e-07,0.039733611047267914,0.009119916707277298,211,131563.34670766,1.0,25.69,0.0013,870000,106,0.5606828331947327
4122,3703774627.2,0.0,0.02929823286831379,0.009704559110105038,213,130752.74447363001,1.0,25.87,0.0013,880000,107,0.558401882648468
4123,3591289422.4,0.0,0.025381911545991898,0.006299202796071768,215,131758.79831887,1.0,25.79,0.0013,890000,108,0.5589786767959595
4124,3664537036.4,1.7881393432617188e-07,0.03786702826619148,0.009281731210649014,218,131867.18808298,1.0,25.59,0.0013,900000,109,0.5565665364265442
4115,3634245003.2,1.7881393432617188e-07,0.02772003971040249,0.009980003349483013,221,131671.25881518,1.0,25.49,0.0013,910000,111,0.5503866672515869
4116,3603970292.0,0.0,0.02606211043894291,0.009792430326342583,223,130262.53945694,1.0,25.01,0.0013,920000,112,0.5479720830917358
4117,3614859646.4,0.0,0.037311311811208725,0.009206298738718033,225,131680.48882643,1.0,24.93,0.0013,930000,113,0.546913743019104
4118,3727229632.0,0.0,0.02624470181763172,0.009020987898111343,228,132380.64493285,1.0,25.11,0.0013,940000,114,0.5455097556114197
4119,3745233146.0,0.0,0.02726377546787262,0.008368901908397675,230,132177.73324861002,1.0,25.38,0.0013,950000,115,0.5441287159919739
4108,3518171210.0,0.0,0.018457073718309402,0.008045148104429245,233,132371.0,1.0,25.64,0.0013,960000,117,0.5411468148231506
4109,3714901788.4,-2.384185791015625e-07,0.023368604481220245,0.006590007338672876,236,132652.2,1.0,26.58,0.0013,970000,118,0.5396193861961365
4110,3667128399.6,0.0,0.02067367173731327,0.007188963238149881,238,132470.62902954,1.0,25.34,0.0013,980000,119,0.537107527256012
4112,3578096211.6,0.0,0.03600805625319481,0.00931914895772934,240,132482.0,1.0,25.18,0.0013,990000,120,0.5351312756538391
4101,3697292206.4,0.0,0.026438165456056595,0.008722192607820034,243,132279.84844518,1.0,25.15,0.0013,1000000,122,0.5341883897781372
