train/policy_loss,train/entropy_loss,train/n_updates,train/value_loss,time/fps,time/time_elapsed,train/std,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/explained_variance
-922901.1875,-21.446149826049805,499,2779729920.0,1085,9,1.0111392736434937,-375808.51947865,10000,0.0007,18.75,0.0
-954960.375,-21.62590217590332,999,3298102272.0,1080,18,1.0238920450210571,-395247.3037175301,20000,0.0007,17.36,-1.1920928955078125e-07
-1370875.625,-21.606000900268555,1499,5660996608.0,1074,27,1.0221562385559082,-457318.77118769014,30000,0.0007,19.51,-1.1920928955078125e-07
-1711463.375,-21.698408126831055,1999,8884666368.0,1068,37,1.028373122215271,-462570.39047293994,40000,0.0007,21.35,0.0
-2199877.0,-21.771879196166992,2499,13050612736.0,1061,47,1.0336883068084717,-346105.13620258006,50000,0.0007,17.57,0.0
-940327.3125,-21.796249389648438,2999,2637006592.0,1056,56,1.0354727506637573,-429477.67819171987,60000,0.0007,21.11,0.0
-1223764.0,-21.816190719604492,3499,3934913280.0,1056,66,1.036448359489441,-364653.65266964,70000,0.0007,17.55,0.0
-1752449.625,-21.910263061523438,3999,8249729024.0,1054,75,1.043108582496643,-273528.55355107994,80000,0.0007,14.42,0.0
-1126937.5,-22.005977630615234,4499,3766353152.0,1055,85,1.04989755153656,-324513.80350192,90000,0.0007,17.57,0.0
-1436228.25,-22.096233367919922,4999,5640731136.0,1056,94,1.0563298463821411,-303583.79631361,100000,0.0007,15.9,0.0
-1039041.125,-22.101594924926758,5499,3003032320.0,1057,103,1.056402564048767,-322993.96423483995,110000,0.0007,14.72,0.0
-820278.125,-22.082700729370117,5999,1846070528.0,1057,113,1.0557907819747925,-216659.77886399996,120000,0.0007,10.78,0.0
-917993.0,-22.109739303588867,6499,2520209408.0,1059,122,1.0585365295410156,-471487.45812671,130000,0.0007,22.01,0.0
-1773642.25,-22.113019943237305,6999,9018319872.0,1061,131,1.0588445663452148,-389020.1459791099,140000,0.0007,17.05,0.0
-555890.8125,-22.182523727416992,7499,764591360.0,1062,141,1.0637271404266357,-409900.90967623994,150000,0.0007,17.61,1.1920928955078125e-07
-1426699.625,-22.166683197021484,7999,5660396032.0,1062,150,1.0629870891571045,-313993.32670993,160000,0.0007,16.06,0.0
-1163455.5,-22.254728317260742,8499,3808848640.0,1063,159,1.068722128868103,-622611.95402462,170000,0.0007,26.07,-1.1920928955078125e-07
-1387572.25,-22.21306037902832,8999,5354339840.0,1063,169,1.0658061504364014,-253211.43595317003,180000,0.0007,13.34,0.0
-1436525.25,-22.400493621826172,9499,5839536128.0,1064,178,1.078903317451477,-281938.67170147004,190000,0.0007,14.33,0.0
-1025483.3125,-22.489334106445312,9999,3504034304.0,1063,188,1.0856164693832397,-222253.65403683,200000,0.0007,11.48,0.0
-1377235.25,-22.619970321655273,10499,5225845760.0,1061,197,1.0952461957931519,-356400.89298893994,210000,0.0007,16.42,0.0
-1935251.625,-22.684045791625977,10999,8378960896.0,1061,207,1.1001414060592651,-412726.24346110993,220000,0.0007,19.07,0.0
-1398361.0,-22.769346237182617,11499,6159864832.0,1060,216,1.106884241104126,-249769.20066524003,230000,0.0007,12.27,0.0
-918555.8125,-22.902729034423828,11999,2200037888.0,1059,226,1.1165885925292969,-226548.79779309,240000,0.0007,11.14,0.0
-1784945.375,-22.88955307006836,12499,8460125696.0,1058,236,1.1161800622940063,-580093.8962925301,250000,0.0007,21.06,0.0
-1407212.375,-22.989015579223633,12999,5351153152.0,1057,245,1.1237257719039917,-404545.31525397,260000,0.0007,20.02,0.0
-1078061.0,-23.090044021606445,13499,3218699264.0,1056,255,1.1318033933639526,-384521.22623712005,270000,0.0007,18.09,0.0
-1588656.75,-23.169111251831055,13999,6375173120.0,1056,265,1.1375795602798462,-434382.61732087,280000,0.0007,17.89,1.1920928955078125e-07
-1132691.875,-23.129024505615234,14499,3672903680.0,1055,274,1.1354165077209473,-259458.21345408997,290000,0.0007,13.5,0.0
-1004244.5,-23.271337509155273,14999,3347214592.0,1054,284,1.1465092897415161,-376421.94694376,300000,0.0007,15.38,-2.384185791015625e-07
-1966364.625,-23.267057418823242,15499,8702138368.0,1053,294,1.1458767652511597,-327048.12645175,310000,0.0007,14.4,-1.1920928955078125e-07
-1469811.75,-23.3365535736084,15999,4600950784.0,1053,303,1.1509017944335938,-324225.49162473006,320000,0.0007,15.99,0.0
-1385815.625,-23.40365219116211,16499,6366950400.0,1053,313,1.1574338674545288,-292028.90304719,330000,0.0007,14.92,0.0
-1775596.75,-23.442060470581055,16999,8172742144.0,1052,323,1.1601961851119995,-431480.36633756995,340000,0.0007,20.13,0.0
-1482046.25,-23.528947830200195,17499,5957715456.0,1050,333,1.1674392223358154,-238565.04135023005,350000,0.0007,11.09,5.960464477539063e-08
-1171003.5,-23.572261810302734,17999,4223961088.0,1049,343,1.1716880798339844,-316613.52489341004,360000,0.0007,16.71,0.0
-1666939.25,-23.622602462768555,18499,8146807808.0,1048,353,1.1749993562698364,-315255.14746895,370000,0.0007,14.81,0.0
-1141905.125,-23.619707107543945,18999,3614478848.0,1047,362,1.1752448081970215,-267746.73802242,380000,0.0007,12.02,0.0
-1314625.25,-23.626604080200195,19499,4015977216.0,1046,372,1.1752839088439941,-327202.85425405996,390000,0.0007,15.07,0.0
-1425297.0,-23.692859649658203,19999,4923617792.0,1045,382,1.1804306507110596,-727189.51734265,400000,0.0007,30.55,0.0
-1592766.75,-23.805973052978516,20499,6566645248.0,1045,392,1.1898702383041382,-331816.59054477,410000,0.0007,16.5,0.0
-1614159.75,-23.950712203979492,20999,6085250048.0,1044,402,1.2008934020996094,-523480.20691480994,420000,0.0007,23.44,-2.384185791015625e-07
