rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/delta_std,train/step_size,rollout/return_std,train/iterations
672.3333333333334,-13427101.530427331,3,10000,3264,,,,,
803.4,-16052831.9792788,6,20000,3171,,,,,
877.125,-17515281.792212248,9,30000,3130,,,,,
901.7,-17997781.437112696,12,40000,3137,,,,,
924.3846153846154,-18448224.78423569,15,50000,3135,,,,,
934.4666666666667,-18648252.615735933,19,60000,3141,,,,,
1000.0,-19998309.1425745,22,70000,3145,0.02,0.05,5.043283013428379e-10,4957088.5,0
1000.0,-19987292.255131,25,80000,3136,,,,,
1000.0,-19982570.22205629,28,90000,3135,,,,,
1000.0,-19998125.433698777,31,100000,3145,,,,,
858.8571428571429,-17160845.155726288,35,110000,3139,,,,,
,,38,120000,3134,0.02,0.05,3.682030513818546e-10,6789731.5,1
1000.0,-19974873.83092233,41,130000,3130,,,,,
836.0,-16685801.661585666,44,140000,3128,,,,,
890.6666666666666,-17783509.318560112,47,150000,3131,,,,,
910.5454545454545,-18189194.92241855,50,160000,3137,,,,,
929.7142857142857,-18590822.33328179,54,170000,3140,,,,,
,,57,180000,3142,0.02,0.05,5.033400918286191e-10,4966820.5,2
1000.0,-20007537.232933,60,190000,3146,,,,,
1000.0,-20042339.3857198,63,200000,3152,,,,,
890.2222222222222,-17769054.901825774,66,210000,3150,,,,,
910.1818181818181,-18160403.017066088,69,220000,3152,,,,,
929.4285714285714,-18565513.799275998,72,230000,3152,,,,,
,,76,240000,3154,0.02,0.05,5.026789540174548e-10,4973353.0,3
507.0,-10098101.482202834,79,250000,3159,,,,,
630.25,-12575589.0054445,82,260000,3157,,,,,
731.0909090909091,-14576995.76967573,85,270000,3159,,,,,
772.4615384615385,-15414551.148033617,88,280000,3158,,,,,
1000.0,-20030999.728706002,91,290000,3158,0.02,0.05,2.6420254872761006e-10,9462437.0,4
1000.0,-20009329.35328275,94,300000,3159,,,,,
876.5,-17532938.306619123,98,310000,3157,,,,,
901.2,-18030151.6321719,101,320000,3158,,,,,
802.4666666666667,-16041046.633816468,104,330000,3157,,,,,
529.0,-10246370.0703235,107,340000,3157,0.02,0.05,3.11589809509627e-10,8023368.5,5
679.5,-13475347.196959833,110,350000,3160,,,,,
759.625,-15093168.856821,113,360000,3165,,,,,
825.1818181818181,-16431544.08019809,116,370000,3167,,,,,
805.3571428571429,-15917442.847091716,120,380000,3165,,,,,
12.0,-141888.770565,123,390000,3166,0.02,0.05,3.247381530346871e-10,7698509.5,6
381.375,-7576070.206917249,126,400000,3165,,,,,
460.09090909090907,-9155340.773267545,129,410000,3168,,,,,
575.7857142857143,-11477227.131797,132,420000,3167,,,,,
1000.0,-20067190.0,135,430000,3165,0.02,0.05,2.45297449019688e-10,10191708.0,7
1000.0,-19989809.0284175,138,440000,3165,,,,,
1000.0,-19991770.999519337,142,450000,3166,,,,,
1000.0,-19959809.617919557,145,460000,3165,,,,,
1000.0,-19552579.63421682,148,470000,3167,,,,,
934.1333333333333,-18346252.889960065,151,480000,3166,,,,,
1000.0,-19984319.702772,154,490000,3167,0.02,0.05,4.977134260286675e-10,5022970.5,8
1000.0,-20046043.81795825,157,500000,3166,,,,,
1000.0,-20051427.3168945,161,510000,3166,,,,,
1000.0,-20022397.021757558,164,520000,3165,,,,,
917.3333333333334,-18322872.900708918,167,530000,3166,,,,,
933.8666666666667,-18664672.073115066,170,540000,3165,,,,,
1000.0,-20097280.0,173,550000,3167,0.02,0.05,5.021189575238338e-10,4978899.5,9
