train/n_updates,time/fps,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,time/time_elapsed,train/approx_kl,train/std,train/loss,train/clip_range,train/entropy_loss,train/explained_variance
10,957,-0.00339171856885514,31219482678.4,96.93,0.0017,10000,-1411373.58059003,0.00638427734375,10,0.0038331074,1.003096342086792,14521032704.0,0.2,-21.307516714930536,-2.9802322387695312e-06
20,959,-0.0041098064937614255,31085598561.6,105.26,0.0017,20000,-1526216.8533737098,0.0083740234375,20,0.0042835427,1.006162166595459,15270920192.0,0.2,-21.353932163119318,0.0
30,959,-0.004369162755938305,31833379321.6,102.66,0.0017,30000,-1486114.7263362801,0.008642578125,31,0.0039383634,1.0096064805984497,15562695680.0,0.2,-21.402515470981598,-1.1920928955078125e-07
40,960,-0.002725431160615699,30984713918.4,113.95,0.0017,40000,-1625315.43960888,0.0015380859375,41,0.0024204305,1.012913465499878,16288824320.0,0.2,-21.452194948494434,1.1920928955078125e-07
60,884,-0.003858908699839958,29323828811.2,99.08,0.0017,50000,-1402251.9303544802,0.007421875,56,0.0040834835,1.018934965133667,15294902272.0,0.2,-21.543512953817846,-1.1920928955078125e-07
70,896,-0.0029759398810710993,29088191667.2,101.09,0.0017,60000,-1443505.9093062598,0.003759765625,66,0.0029558274,1.0221933126449585,14842980352.0,0.2,-21.589812971651554,5.960464477539063e-08
80,904,-0.002119868567569938,30838781240.0,102.58,0.0017,70000,-1459493.3193654404,0.0003173828125,77,0.0014664233,1.0261391401290894,16018842624.0,0.2,-21.64217454493046,1.1920928955078125e-07
90,913,-0.003398840303270845,30443127952.0,109.81,0.0017,80000,-1549250.3524744103,0.00526123046875,87,0.0037296652,1.0290902853012085,14021040128.0,0.2,-21.692969496548177,0.0
100,921,-0.002485829228135117,29632111052.8,112.95,0.0017,90000,-1571961.5665518197,0.002197265625,97,0.0026475517,1.0320988893508911,15192185856.0,0.2,-21.73615979105234,0.0
120,889,-0.0026152582233407882,28731898859.2,96.03,0.0017,100000,-1353471.3051977502,0.00120849609375,112,0.0024824697,1.0386759042739868,13817503744.0,0.2,-21.82982669323683,1.1920928955078125e-07
130,896,-0.00216858802959905,29190919881.6,102.59,0.0017,110000,-1438463.93434407,0.00069580078125,122,0.001812299,1.0419868230819702,15178291200.0,0.2,-21.87720680385828,0.0
140,901,-0.0024751518558332464,28315038276.8,96.85,0.0017,120000,-1356275.05455244,0.0014892578125,133,0.0025327904,1.045129418373108,15034637312.0,0.2,-21.92390230149031,-1.1920928955078125e-07
150,906,-0.0032543336315939086,27880033070.4,105.39,0.0017,130000,-1471781.91906791,0.0033935546875,143,0.0031528575,1.049161672592163,14980610048.0,0.2,-21.975025075674058,-1.1920928955078125e-07
170,884,-0.0022600795876314807,29250362283.2,105.18,0.0017,140000,-1478226.29226592,0.00059814453125,158,0.0017595657,1.0567057132720947,15704733696.0,0.2,-22.08349790275097,-1.1920928955078125e-07
180,889,-0.0020031473615745197,27460261430.4,95.03,0.0017,150000,-1322334.27886059,0.00050048828125,168,0.0019378995,1.0604017972946167,12937788416.0,0.2,-22.137652330100536,1.7881393432617188e-07
190,893,-0.0021530980802708655,27726811668.8,84.67,0.0017,160000,-1186372.6638147098,0.00078125,179,0.001750652,1.0644346475601196,14591649792.0,0.2,-22.192276985943316,0.0
200,897,-0.003027031006968173,27067389505.6,72.99,0.0017,170000,-1025823.3494330699,0.00299072265625,189,0.0030516381,1.0681706666946411,13726616576.0,0.2,-22.24725945740938,-1.1920928955078125e-07
210,901,-0.0013789152422759797,27230980964.8,84.16,0.0017,180000,-1172172.6604542101,0.0001708984375,199,0.0012705489,1.0710419416427612,12824196096.0,0.2,-22.2932335883379,1.7881393432617188e-07
230,885,-0.002471744040303747,26401132814.4,94.75,0.0017,190000,-1290656.67354545,0.00137939453125,214,0.002489921,1.0782970190048218,13938062336.0,0.2,-22.38869395852089,1.7881393432617188e-07
240,888,-0.002485701785917627,26851335467.2,88.73,0.0017,200000,-1219779.10085681,0.00111083984375,224,0.0022257427,1.0818068981170654,13681513472.0,0.2,-22.43932237327099,-1.1920928955078125e-07
250,892,-0.0025046620468856416,26457060448.0,78.65,0.0017,210000,-1097545.81809474,0.0016357421875,235,0.0023614685,1.0858359336853027,12894726144.0,0.2,-22.491459015011788,-1.1920928955078125e-07
260,896,-0.004071626283985097,27315819720.0,88.37,0.0017,220000,-1213230.1179235901,0.00615234375,245,0.00398669,1.0893356800079346,13911354368.0,0.2,-22.543645037710668,5.960464477539063e-08
280,883,-0.003409482949064113,25846875176.0,84.89,0.0017,230000,-1163599.48262487,0.004150390625,260,0.0034480826,1.0968776941299438,12284420096.0,0.2,-22.646737283468248,-1.1920928955078125e-07
290,886,-0.0020829601040531997,26965742278.4,93.96,0.0017,240000,-1278945.95699033,0.0010009765625,270,0.0019675465,1.1000202894210815,13056366592.0,0.2,-22.692495994269848,0.0
300,889,-0.0018417133411276153,25373153686.4,88.37,0.0017,250000,-1212758.47053836,0.00029296875,281,0.0016861826,1.1033077239990234,13012698112.0,0.2,-22.736320161819457,0.0
310,892,-0.0018752629519440233,26238120587.2,79.72,0.0017,260000,-1086016.06243761,0.0006591796875,291,0.0018064852,1.1068109273910522,12954130432.0,0.2,-22.78223638534546,-2.384185791015625e-07
320,894,-0.001967544561557588,25126785995.2,72.14,0.0017,270000,-1005572.85511362,0.00042724609375,301,0.0017286891,1.1103756427764893,12493236224.0,0.2,-22.830329333245754,0.0
340,884,-0.003381282696773269,25486472475.2,86.59,0.0017,280000,-1180338.88993479,0.00306396484375,316,0.0031844191,1.1184521913528442,13617286144.0,0.2,-22.938070507347582,1.7881393432617188e-07
350,886,-0.0031589664809871464,25873332286.4,92.04,0.0017,290000,-1263738.88809086,0.0029296875,327,0.0029655767,1.1225242614746094,12615882752.0,0.2,-22.99059403091669,0.0
360,888,-0.003743247297279595,25928542040.0,83.43,0.0017,300000,-1151364.8286172498,0.00455322265625,337,0.0035022807,1.1264382600784302,12637654016.0,0.2,-23.0437638387084,-1.1920928955078125e-07
370,890,-0.0017602648460524506,25532257049.6,76.17,0.0017,310000,-1046784.81733304,9.765625e-05,348,0.0012620378,1.130264401435852,14545974272.0,0.2,-23.09481150060892,0.0
390,882,-0.003135234200181003,24595232667.2,69.7,0.0017,320000,-960888.42239209,0.0030517578125,362,0.003008981,1.138169527053833,12455470080.0,0.2,-23.1983254134655,1.7881393432617188e-07
400,884,-0.0025229101459444793,25386103092.8,94.9,0.0017,330000,-1286277.68313688,0.00086669921875,373,0.0020778337,1.142638921737671,12361895936.0,0.2,-23.25451355576515,0.0
410,885,-0.0023748068868371776,25704198049.6,85.01,0.0017,340000,-1162960.50650123,0.0007568359375,383,0.0018484925,1.1467974185943604,13207296000.0,0.2,-23.311060449481012,-2.384185791015625e-07
420,887,-0.0015584391829179367,24698915712.0,95.64,0.0017,350000,-1289469.06082124,3.662109375e-05,394,0.0010192506,1.1509875059127808,13463068672.0,0.2,-23.36569983959198,0.0
430,888,-0.002816684241042822,25361548868.8,81.97,0.0017,360000,-1119235.3896540098,0.00145263671875,405,0.0024090717,1.1547223329544067,12637600768.0,0.2,-23.417513597011567,0.0
450,881,-0.003110795247812348,24177142040.0,76.23,0.0017,370000,-1034706.4048586899,0.002392578125,419,0.0026159713,1.1631145477294922,11918813184.0,0.2,-23.520713011920453,0.0
460,882,-0.0027854465353811973,25094891742.4,91.94,0.0017,380000,-1243999.67532012,0.0019775390625,430,0.0026419917,1.1668028831481934,12190280704.0,0.2,-23.574000458419324,0.0
470,884,-0.0024664632682288357,24467921163.2,81.83,0.0017,390000,-1111998.9912730502,0.00106201171875,441,0.0021006344,1.1708070039749146,11291228160.0,0.2,-23.623349270224573,1.7881393432617188e-07
480,885,-0.0022703533234562203,24617256601.6,78.11,0.0017,400000,-1069589.7398195402,0.0004638671875,451,0.0016448104,1.1743006706237793,12395526144.0,0.2,-23.67117372006178,0.0
500,878,-0.002297502626606729,23871071908.8,67.88,0.0017,410000,-930906.5846199498,0.0014404296875,466,0.0022028426,1.1832393407821655,11724220416.0,0.2,-23.77955579608679,1.7881393432617188e-07
510,880,-0.0021050336816188066,23919150307.2,85.7,0.0017,420000,-1146070.65257208,0.00040283203125,476,0.0015710623,1.1876379251480103,12773777408.0,0.2,-23.83469890207052,0.0
520,882,-0.0035203838195229766,23701611163.2,77.59,0.0017,430000,-1048153.0554795101,0.002978515625,487,0.0030894363,1.191447138786316,11851454464.0,0.2,-23.88711401373148,-1.1920928955078125e-07
530,884,-0.00220370824499696,24306638184.0,82.13,0.0017,440000,-1114531.8166504,0.000927734375,497,0.0019634769,1.195766806602478,11604980736.0,0.2,-23.937991696596146,0.0
540,885,-0.0027323706630340895,24015972464.0,86.29,0.0017,450000,-1162094.8070194703,0.00076904296875,508,0.0018395355,1.200508713722229,12349863936.0,0.2,-23.994689817726613,0.0
560,879,-0.002599267830373719,24259156934.4,92.48,0.0017,460000,-1233038.6118958602,0.00093994140625,523,0.0021334589,1.2090988159179688,12607052800.0,0.2,-24.104799012839795,5.960464477539063e-08
570,880,-0.0017013196873449487,23068996414.4,68.5,0.0017,470000,-934129.6018219299,4.8828125e-05,533,0.0009536738,1.2134678363800049,12166086656.0,0.2,-24.158001124858856,-2.384185791015625e-07
580,881,-0.0023977158201887506,23662349817.6,90.7,0.0017,480000,-1209658.13694237,0.0005126953125,544,0.001718855,1.2178994417190552,11921892352.0,0.2,-24.212588503956795,1.7881393432617188e-07
590,882,-0.00261759540244384,23523489304.0,67.73,0.0017,490000,-918304.04947898,0.00120849609375,554,0.0021998286,1.222227692604065,11460537344.0,0.2,-24.26641342192888,0.0
610,876,-0.0022100449279605526,23387989366.4,80.73,0.0017,500000,-1085307.99772438,0.00045166015625,570,0.0014157612,1.2319488525390625,11496424448.0,0.2,-24.381888368725775,1.1920928955078125e-07
620,878,-0.0027896149449588847,23726458038.4,85.49,0.0017,510000,-1150073.93193478,0.001318359375,580,0.0018767742,1.2371175289154053,11653711872.0,0.2,-24.44320405125618,1.7881393432617188e-07
630,879,-0.002413721313405404,23173430692.8,69.31,0.0017,520000,-927640.3303974702,0.000830078125,591,0.00198125,1.2419477701187134,12094627840.0,0.2,-24.503780907392503,0.0
640,880,-0.0014949199783586664,23188290697.6,81.62,0.0017,530000,-1098250.0530936401,1.220703125e-05,601,0.0008580467,1.2459583282470703,11711082496.0,0.2,-24.55694063305855,0.0
650,880,-0.0016181100107132806,22270927662.4,70.69,0.0017,540000,-954851.11964594,0.00018310546875,613,0.0010871186,1.2500842809677124,11389314048.0,0.2,-24.605822670459748,0.0
670,874,-0.0022942748899367872,22171294961.6,73.15,0.0017,550000,-973317.1507965601,0.000634765625,628,0.0016676703,1.25916588306427,10978279424.0,0.2,-24.71312003582716,0.0
680,875,-0.002555688064421702,22425705108.8,74.42,0.0017,560000,-991347.39388641,0.00047607421875,639,0.0017033572,1.2639260292053223,10962403328.0,0.2,-24.767516516149044,0.0
690,876,-0.002465395001854631,22317195646.4,83.92,0.0017,570000,-1119288.02061711,0.000439453125,649,0.001650297,1.268534541130066,10518000640.0,0.2,-24.8230168312788,0.0
700,877,-0.002079040870194149,22717960225.6,72.31,0.0017,580000,-973666.61637767,0.00125732421875,660,0.0013763022,1.2725530862808228,11155676160.0,0.2,-24.873680557310582,1.7881393432617188e-07
720,872,-0.002867631110166258,22741044960.0,85.07,0.0017,590000,-1133483.93585451,0.0021240234375,676,0.0021489076,1.2826216220855713,11502543872.0,0.2,-24.9848807528615,0.0
730,873,-0.0023668148005526746,22259376374.4,76.44,0.0017,600000,-1018494.1903895,0.00062255859375,687,0.0017830627,1.2874915599822998,10676977664.0,0.2,-25.043904101848604,0.0
740,874,-0.0026236917556161643,22411845409.6,73.65,0.0017,610000,-988595.53222077,0.00111083984375,697,0.0020902506,1.2912163734436035,10907789312.0,0.2,-25.09409794062376,-2.384185791015625e-07
750,875,-0.002219645851437235,22241583809.6,75.4,0.0017,620000,-1006805.8477809499,0.00084228515625,708,0.0019912003,1.2957860231399536,11148520448.0,0.2,-25.142020511627198,0.0
760,876,-0.00285490071401,22068990179.2,65.08,0.0017,630000,-871454.5762015501,0.00159912109375,719,0.0022250286,1.3000937700271606,10948859904.0,0.2,-25.19345381259918,0.0
780,871,-0.0022660314871245646,22403569019.2,77.12,0.0017,640000,-1032468.4999622202,0.00064697265625,734,0.0017255704,1.3106575012207031,11318595584.0,0.2,-25.312527087330817,1.7881393432617188e-07
790,872,-0.0022378352226951393,21425285080.0,71.89,0.0017,650000,-954562.9680471697,0.0014404296875,745,0.0016234077,1.3162460327148438,10921736192.0,0.2,-25.37140846401453,0.0
800,873,-0.0026824118111107966,21872270550.4,62.37,0.0017,660000,-838749.6355674198,0.0011962890625,755,0.0020924835,1.3213574886322021,11400387584.0,0.2,-25.4323103800416,0.0
810,874,-0.0015525385012551852,22188117318.4,69.22,0.0017,670000,-918766.13111786,0.000390625,766,0.0011476523,1.3260964155197144,10648312832.0,0.2,-25.487925931811333,0.0
830,869,-0.0025838186740656964,21173091644.8,64.28,0.0017,680000,-862226.45783725,0.0021728515625,781,0.0018773746,1.3364672660827637,11037740032.0,0.2,-25.60496350377798,0.0
840,870,-0.003271963447514281,21664910595.2,81.62,0.0017,690000,-1071778.96434858,0.00299072265625,792,0.0027313079,1.342049241065979,10176346112.0,0.2,-25.663072411715984,0.0
850,871,-0.0031992054462534726,20847776696.0,66.34,0.0017,700000,-891731.0302499501,0.00263671875,803,0.00265524,1.3468832969665527,10494536704.0,0.2,-25.721260826289654,1.1920928955078125e-07
860,872,-0.002498999802173785,21770175403.2,77.62,0.0017,710000,-1031446.61789684,0.0014404296875,813,0.0017853989,1.351941704750061,10590950400.0,0.2,-25.775743168592452,2.384185791015625e-07
870,873,-0.002538601566266152,21890820254.4,69.05,0.0017,720000,-920544.58938034,0.00084228515625,824,0.001417424,1.357176423072815,10759673856.0,0.2,-25.832851523160933,0.0
890,869,-0.0023081395538611105,21389346529.6,74.81,0.0017,730000,-993773.20947293,0.00042724609375,839,0.0014604604,1.3666635751724243,10658125824.0,0.2,-25.93881036788225,0.0
900,869,-0.0019424318503297399,21594761411.2,82.48,0.0017,740000,-1088992.55560839,0.001025390625,850,0.0015107637,1.3717402219772339,10730867712.0,0.2,-25.993754702806473,-2.384185791015625e-07
910,870,-0.002215668494500278,21737837193.6,66.83,0.0017,750000,-889668.7919049602,0.00133056640625,861,0.0015905384,1.3761698007583618,11388806144.0,0.2,-26.045765917003155,0.0
920,871,-0.0022524624957441118,20688664939.2,58.66,0.0017,760000,-788521.15740132,0.00093994140625,872,0.0016361926,1.3813281059265137,10203219968.0,0.2,-26.097722205519677,0.0
930,872,-0.00206656941163601,20586094550.4,57.77,0.0017,770000,-771936.6953755601,0.00068359375,882,0.0014167292,1.3867307901382446,10424432640.0,0.2,-26.15501838773489,0.0
950,867,-0.0020749989711475792,21088144091.2,75.1,0.0017,780000,-994159.2162727001,0.0005615234375,898,0.0016118332,1.3971813917160034,10841236480.0,0.2,-26.26782892793417,0.0
960,868,-0.0025971901468437864,20997743147.2,72.65,0.0017,790000,-976891.72196279,0.00125732421875,909,0.0019304706,1.4020864963531494,10497539072.0,0.2,-26.32269171029329,0.0
