rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/delta_std,rollout/return_std,train/step_size,train/iterations,train/learning_rate
463.09090909090907,-22866069.241775274,195,340000,1742,,,,,
508.35714285714283,-25120747.152777284,200,350000,1742,,,,,
505.5,-25075560.545732,206,360000,1742,0.05,25382470.0,8.864384920537205e-12,8,0.0018
607.0,-30044984.2044056,212,370000,1742,,,,,
719.2857142857143,-35602919.16930585,218,380000,1742,,,,,
803.5,-39873956.0439453,223,390000,1742,,,,,
510.5,-25141497.206204,229,400000,1742,0.05,25218568.0,8.921997689259609e-12,9,0.0018
454.0,-21648364.74427163,235,410000,1742,,,,,
,,241,420000,1742,0.05,24283518.0,9.265543193803794e-12,10,0.0018
1000.0,-49771623.801586,246,430000,1742,,,,,
835.0,-41409203.764185004,252,440000,1742,,,,,
876.25,-43477965.540680125,258,450000,1742,,,,,
910.0,-45228523.76981727,263,460000,1742,,,,,
923.8461538461538,-45936191.51808216,269,470000,1742,,,,,
16.0,-288394.453085,275,480000,1742,0.05,12408395.0,1.813288581786754e-11,11,0.0018
506.5,-25121341.28841075,281,490000,1742,,,,,
560.7777777777778,-27776770.92708467,287,500000,1742,,,,,
640.6363636363636,-31694688.553862546,292,510000,1742,,,,,
,,298,520000,1742,0.05,24770480.0,9.083392024655801e-12,12,0.0018
505.25,-25032380.135884,304,530000,1742,,,,,
717.2857142857143,-35672140.867377,309,540000,1742,,,,,
780.1111111111111,-38815278.29559911,315,550000,1742,,,,,
835.0833333333334,-41596874.62919183,321,560000,1742,,,,,
858.6428571428571,-42752954.419936135,327,570000,1742,,,,,
1000.0,-49748745.451203,332,580000,1742,0.05,20041054.0,1.1226954262089084e-11,13,0.0018
452.1111111111111,-22243208.326464888,338,590000,1741,,,,,
468.7692307692308,-23079314.408011384,344,600000,1741,,,,,
113.2,-5119449.6345937,350,610000,1741,0.05,25627432.0,8.779654087076594e-12,14,0.0018
261.0,-12581514.708203584,356,620000,1741,,,,,
1000.0,-49883610.623326,361,630000,1741,0.05,23586980.0,9.539160260307877e-12,15,0.0018
753.0,-37426740.1604495,367,640000,1741,,,,,
672.6666666666666,-33275232.012531,373,650000,1741,,,,,
,,379,660000,1740,0.05,25551796.0,8.80564284683194e-12,16,0.0018
752.5,-37442488.844284,384,670000,1740,,,,,
835.0,-41558278.7689815,390,680000,1740,,,,,
539.3333333333334,-26630847.38555146,396,690000,1741,,,,,
505.0,-24942501.7155965,401,700000,1741,0.05,25348622.0,8.876221806175533e-12,17,0.0018
802.0,-39904436.8317608,407,710000,1741,,,,,
676.4444444444445,-33411171.386445224,413,720000,1741,,,,,
675.75,-33389605.435367253,419,730000,1741,,,,,
740.6,-36685810.10925166,425,740000,1741,,,,,
260.0,-12611588.185814999,430,750000,1741,0.05,21960720.0,1.0245565680577773e-11,18,0.0018
506.625,-24996445.484045748,436,760000,1740,,,,,
605.3,-29933304.487187397,442,770000,1740,,,,,
605.5333333333333,-29946985.176555797,447,780000,1741,,,,,
506.0,-25039147.613153998,453,790000,1741,0.05,24768606.0,9.084079842514026e-12,19,0.0018
408.3,-20053065.569384098,459,800000,1741,,,,,
470.0,-23181343.40218615,465,810000,1741,,,,,
343.6666666666667,-16778416.694682334,470,820000,1741,0.05,25643752.0,8.774066542760472e-12,20,0.0018
606.2,-29969173.5407586,476,830000,1741,,,,,
671.4444444444445,-33258639.647551775,482,840000,1741,,,,,
,,488,850000,1741,0.05,25564668.0,8.801208893627344e-12,21,0.0018
1000.0,-49863059.04743934,493,860000,1741,,,,,
631.625,-31302658.496177,499,870000,1741,,,,,
539.3333333333334,-26686962.734668467,505,880000,1741,,,,,
1000.0,-49432551.347154,511,890000,1741,0.05,25597036.0,8.790079775167214e-12,22,0.0018
802.8,-39754156.3877394,516,900000,1741,,,,,
781.0,-38710743.949179895,522,910000,1741,,,,,
820.8181818181819,-40727792.79942646,528,920000,1741,,,,,
340.3333333333333,-16778306.163937,533,930000,1741,0.05,23693162.0,9.496410602327643e-12,23,0.0018
506.3333333333333,-24954967.923768,539,940000,1741,,,,,
409.4,-20086451.792541865,545,950000,1741,,,,,
506.5,-25067972.712261,551,960000,1741,0.05,25366908.0,8.869823278634392e-12,24,0.0018
449.1111111111111,-22252198.110866774,556,970000,1741,,,,,
504.25,-24988274.186396662,562,980000,1741,,,,,
,,568,990000,1742,0.05,25446900.0,8.841941068205017e-12,25,0.0018
669.6666666666666,-33288408.827175666,574,1000000,1742,,,,,
834.8333333333334,-41478565.38338267,579,1010000,1742,,,,,
705.2,-34956385.771306604,585,1020000,1742,,,,,
773.2307692307693,-38397663.19501216,591,1030000,1742,,,,,
