time/episodes,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss
3067,4464,0.0055,790000,327.53,176,31476.951171875,1393588.25,-59.101806640625,197474,-2219650.19999216,51143458816.0
3081,4523,0.0055,800000,412.66,176,14867.2265625,1400069.125,46.838069915771484,199974,-3120092.68163134,6558449664.0
3104,4580,0.0055,810000,497.19,176,1187.7401123046875,749484.1875,27.384031295776367,202474,-3466037.151073931,2793895936.0
3122,4637,0.0055,820000,503.41,176,880.768798828125,436578.3125,-400.94305419921875,204974,-3479777.1512576,767427328.0
3138,4692,0.0055,830000,538.38,176,82326.0859375,2519974.0,-33.57472229003906,207474,-4582914.9687887905,314255605760.0
3155,4750,0.0055,840000,604.15,176,36499.140625,2012130.625,105.49234771728516,209974,-4970211.599517041,66717605888.0
3175,4804,0.0055,850000,550.62,176,1392.1644287109375,1464968.75,57.72833251953125,212474,-3529692.515045941,5325206528.0
3189,4868,0.0055,860000,551.14,176,66.5050277709961,803942.375,24.322589874267578,214974,-3841489.050838989,1344072448.0
3216,4932,0.0055,870000,567.38,176,2.040343761444092,337756.5625,-15.529804229736328,217474,-4194593.07467803,90153216.0
3232,4990,0.0055,880000,544.15,176,105.94701385498047,178752.734375,-9.952686309814453,219974,-4187585.6626693094,115850128.0
3241,5050,0.0055,890000,577.51,176,509.8035888671875,208677.75,-15.077754020690918,222474,-4114111.7217320907,62722424.0
3255,5112,0.0055,900000,580.68,176,161287.359375,3034304.25,-7.416234493255615,224974,-4398838.671075139,1425307467776.0
3277,5169,0.0055,910000,578.29,176,38205.85546875,2487281.0,102.76880645751953,227474,-4345336.65614855,53987606528.0
3287,5228,0.0055,920000,617.27,175,892.096923828125,2004564.5,50.82844161987305,229974,-4282715.23832786,23226916864.0
3306,5284,0.0055,930000,630.33,175,21.881454467773438,1305120.75,19.590133666992188,232474,-3898331.9256334794,9701337088.0
3337,5342,0.0055,940000,537.87,175,0.7769590616226196,626660.9375,-1.2910711765289307,234974,-2657332.6610694,880707136.0
3360,5403,0.0055,950000,473.17,175,0.025014255195856094,214594.796875,-15.973408699035645,237474,-2390755.81509508,235997728.0
3374,5462,0.0055,960000,522.09,175,0.20654907822608948,334778.46875,39.33592224121094,239974,-2649538.15427327,73153904.0
3393,5521,0.0055,970000,467.69,175,361.47747802734375,528630.9375,-207.76800537109375,242474,-3500488.16904743,1326720256.0
3413,5576,0.0055,980000,457.18,175,11777.6123046875,1520810.625,-189.04869079589844,244974,-4275015.29598483,18685710336.0
3427,5635,0.0055,990000,520.09,175,387153.0,10718944.0,-141.96530151367188,247474,-5109011.09662391,42837274001408.0
3453,5693,0.0055,1000000,528.88,175,5309454.5,16086214.0,69.48251342773438,249974,-4589211.14506872,557065143582720.0
