time/episodes,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss
12,52,0.0055,10000,696.75,191,35.40354919433594,31896.474609375,-27.47426986694336,2474,-5245408.932396083,5702734.0
21,107,0.0055,20000,813.1428571428571,186,46.943260192871094,18246.08203125,8.327198028564453,4974,-3213745.360091572,7900780.0
32,159,0.0055,30000,877.375,188,28.519052505493164,4776.8486328125,11.986124992370605,7474,-2133352.189256906,1906390.875
41,217,0.0055,40000,902.9268292682926,183,12.854020118713379,712.095703125,5.590123653411865,9974,-1736804.068462878,873904.75
54,274,0.0055,50000,893.6296296296297,181,4.989317417144775,-120.7666244506836,2.453561782836914,12474,-1348923.6934078706,750258.125
63,325,0.0055,60000,907.047619047619,184,4.100207328796387,1298.2088623046875,-2.731370210647583,14974,-1189716.2209866983,732429.5
75,385,0.0055,70000,909.3066666666666,181,9.317519187927246,1810.351806640625,2.4851479530334473,17474,-1027837.4157052932,725953.875
87,444,0.0055,80000,902.2988505747127,179,5.455092430114746,-14.358474731445312,-0.8228477835655212,19974,-952972.3494223447,530891.625
97,503,0.0055,90000,892.360824742268,178,196.6140899658203,20029.916015625,40.99599838256836,22474,-953029.1823796184,5198760.0
109,561,0.0055,100000,931.98,178,15.378303527832031,1563.529541015625,10.47181510925293,24974,-383922.83332434,1076075.875
117,619,0.0055,110000,934.83,177,3.8880321979522705,1667.194091796875,1.1300437450408936,27474,-328452.10532582,1046135.25
129,674,0.0055,120000,934.83,177,4.319077968597412,1323.7469482421875,-0.22952497005462646,29974,-349910.92143065995,909358.5
139,729,0.0055,130000,916.04,178,18.581674575805664,-6108.919921875,-23.244770050048828,32474,-361328.3837626199,1565343.5
151,785,0.0055,140000,933.68,178,6.881206512451172,1302.82470703125,1.4025801420211792,34974,-372756.2422184099,398177.96875
164,840,0.0055,150000,902.98,178,104.03216552734375,18334.30078125,29.366409301757812,37474,-680134.11104808,3027623.0
173,891,0.0055,160000,912.44,179,10.414588928222656,4399.3642578125,8.01848030090332,39974,-692510.64148215,1473565.0
189,942,0.0055,170000,879.26,180,5.456334114074707,8252.90234375,-3.526177406311035,42474,-628977.5580173101,2677114.75
199,997,0.0055,180000,890.47,180,5.186786651611328,3182.40380859375,-0.4287663400173187,44974,-500811.79526916996,467181.96875
211,1056,0.0055,190000,879.25,179,119.04725646972656,47470.4140625,32.673194885253906,47474,-779079.9506298399,10845306.0
220,1113,0.0055,200000,879.25,179,4.297471523284912,5685.83349609375,3.844651699066162,49974,-796343.4279116201,1482298.75
231,1167,0.0055,210000,879.3,179,3.158651828765869,3226.4287109375,-1.6640198230743408,52474,-751204.59846006,2421497.75
240,1226,0.0055,220000,898.6,179,9.139705657958984,2269.20703125,5.141730308532715,54974,-753372.9268843101,450055.84375
255,1284,0.0055,230000,858.0,179,339.98297119140625,175430.625,-2.9275810718536377,57474,-845129.3021734299,33729008.0
265,1342,0.0055,240000,889.82,178,21.488256454467773,8546.8427734375,9.550159454345703,59974,-835435.6273097299,3278210.75
275,1392,0.0055,250000,889.82,179,6.775012493133545,24029.85546875,-0.19799292087554932,62474,-837288.11798886,3561546.0
289,1446,0.0055,260000,908.4,179,38.084686279296875,4847.412109375,4.251985549926758,64974,-906136.78285983,5263856.0
297,1497,0.0055,270000,908.4,180,12.678594589233398,2624.06103515625,1.363405466079712,67474,-906070.6514394601,865929.75
309,1550,0.0055,280000,925.43,180,184.3756561279297,88387.6171875,-66.16041564941406,69974,-698153.1240062,11132700.0
330,1600,0.0055,290000,812.57,181,25621.2734375,1187036.5,98.99405670166016,72474,-1654437.5150930497,10798893056.0
355,1649,0.0055,300000,707.09,181,2136.57470703125,716185.4375,59.488922119140625,74974,-1826627.84159939,962421888.0
374,1698,0.0055,310000,618.53,182,156.31373596191406,400845.25,29.724130630493164,77474,-1872393.46179422,527052608.0
386,1748,0.0055,320000,607.41,183,19.03514289855957,201795.265625,3.8343100547790527,79974,-2018710.67691892,176852768.0
408,1800,0.0055,330000,508.74,183,87.02182006835938,67719.296875,3.670851707458496,82474,-2139370.83475874,22777450.0
418,1851,0.0055,340000,529.76,183,46.18513870239258,17480.69921875,7.27224063873291,84974,-1706366.4079382103,6975364.0
434,1903,0.0055,350000,574.63,183,2603.5078125,276140.40625,69.05116271972656,87474,-1821031.2590891698,354998080.0
464,1957,0.0055,360000,553.16,183,92.6612777709961,87627.59375,26.496591567993164,89974,-1620646.6305379802,25058364.0
479,2006,0.0055,370000,551.32,184,16.61842918395996,35791.671875,3.6001534461975098,92474,-1395848.4008947199,14333278.0
490,2063,0.0055,380000,565.0,184,15.467748641967773,3929.125,0.24738913774490356,94974,-1255183.71326525,6857955.0
506,2112,0.0055,390000,601.49,184,176.52708435058594,143776.875,-111.84104919433594,97474,-1255964.8609956298,28474418.0
525,2163,0.0055,400000,550.87,184,606.46826171875,98423.265625,16.02228546142578,99974,-1368265.2945561502,39865560.0
552,2227,0.0055,410000,524.33,184,94.17768096923828,136345.21875,-9.799234390258789,102474,-780400.6426305999,279109792.0
569,2283,0.0055,420000,579.41,183,318.57769775390625,294016.75,14.927997589111328,104974,-1149474.5396917001,317904192.0
585,2338,0.0055,430000,548.58,183,617.2025146484375,228244.921875,24.168821334838867,107474,-1884010.68772542,78426744.0
603,2397,0.0055,440000,494.73,183,18997.4375,1140729.0,-114.1327133178711,109974,-2641443.0263561197,75533926400.0
628,2453,0.0055,450000,482.26,183,5292.703125,762022.875,81.69403076171875,112474,-3123652.2963443096,2002110080.0
659,2516,0.0055,460000,451.68,182,120.58910369873047,555093.375,34.683204650878906,114974,-3557890.37252261,1964366592.0
678,2574,0.0055,470000,424.78,182,4.83486270904541,353975.40625,9.584266662597656,117474,-3759484.2881947593,121522880.0
692,2629,0.0055,480000,461.28,182,475.088134765625,351447.375,-78.59014892578125,119974,-4804993.74988754,66581792.0
705,2684,0.0055,490000,491.95,182,3689.008056640625,771803.5625,-19.917850494384766,122474,-5718341.096226871,1961112832.0
718,2741,0.0055,500000,540.29,182,89179.546875,2626219.0,-59.854042053222656,124974,-6782128.499782392,418274574336.0
735,2796,0.0055,510000,579.53,182,48971.0,2449340.5,52.82106018066406,127474,-7376960.71884621,53608341504.0
758,2857,0.0055,520000,613.75,181,7129.9658203125,2136215.0,35.69940948486328,129974,-7350856.27000306,17703796736.0
775,2918,0.0055,530000,612.46,181,55630.7734375,3057104.5,-69.22282409667969,132474,-7195829.83434481,252511256576.0
789,2977,0.0055,540000,627.9,181,418514.40625,7642416.5,-1.5588445663452148,134974,-6934514.733589101,8568881283072.0
807,3040,0.0055,550000,599.0,180,701635.4375,12674162.0,-18.293975830078125,137474,-4902247.05480764,30171998453760.0
827,3104,0.0055,560000,537.45,180,138553.9375,9555528.0,51.18133544921875,139974,-2981906.12758364,467427688448.0
850,3170,0.0055,570000,548.34,179,2244.313720703125,8170438.0,20.71583366394043,142474,-2773543.07344078,428265996288.0
872,3234,0.0055,580000,510.92,179,51.89118576049805,6782571.0,12.296954154968262,144974,-2015112.46730852,132016046080.0
895,3294,0.0055,590000,450.7,179,0.7093275785446167,5285648.5,-0.8333765864372253,147474,-1265421.59741072,138938843136.0
1048,3359,0.0055,600000,50.96,178,5442.9140625,5119203.0,-72.57527160644531,149974,-519155.08900912,177189617664.0
1243,3423,0.0055,610000,54.26,178,16372.021484375,4776108.5,-72.35516357421875,152474,-484547.59269895003,135379550208.0
1313,3484,0.0055,620000,99.34,177,53532.66015625,5626157.5,44.97091293334961,154974,-925726.4344150401,590026833920.0
1384,3543,0.0055,630000,176.8,177,13234.2744140625,5081970.5,29.364486694335938,157474,-1446713.3304634101,109268549632.0
1531,3601,0.0055,640000,69.43,177,2342.998291015625,4064013.0,23.606468200683594,159974,-580935.10899955,150522068992.0
1706,3659,0.0055,650000,59.01,177,478.5066223144531,3009078.0,0.15439724922180176,162474,-513107.1660967,64234590208.0
1846,3714,0.0055,660000,76.73,177,2387.869384765625,2801441.0,15.957213401794434,164974,-744115.03477103,123045576704.0
1950,3773,0.0055,670000,92.2,177,118.76818084716797,2044295.0,9.950874328613281,167474,-1045794.8415946099,45213712384.0
2075,3832,0.0055,680000,66.69,177,184.47756958007812,2332231.25,9.262731552124023,169974,-772850.79492439,118284910592.0
2248,3887,0.0055,690000,59.21,177,657.2203979492188,1941940.25,7.340509414672852,172474,-725435.52026741,13509396480.0
2362,3941,0.0055,700000,87.93,177,115.837646484375,1431957.625,19.739627838134766,174974,-907772.4022357699,14904440832.0
2520,3998,0.0055,710000,42.3,177,14.15428638458252,1489927.75,-99.5531005859375,177474,-511363.62239369,89294585856.0
2637,4058,0.0055,720000,72.6,177,2753.337158203125,871105.75,-11.174718856811523,179974,-711248.11318929,1456361984.0
2758,4118,0.0055,730000,81.4,177,4966.72607421875,863576.375,-9.48678207397461,182474,-365436.16511601,4766869504.0
2826,4178,0.0055,740000,121.0,177,11003.6005859375,1169944.0,35.47825622558594,184974,-424708.52882650995,28142651392.0
2937,4237,0.0055,750000,83.22,176,54.93947982788086,645292.375,28.77253532409668,187474,-518551.47291177,2337231360.0
3002,4297,0.0055,760000,111.26,176,325.2569580078125,335075.9375,20.885940551757812,189974,-870863.4333942501,518847456.0
3023,4353,0.0055,770000,182.5,176,85.89068603515625,185226.09375,10.718713760375977,192474,-1228104.8216321003,126323200.0
3052,4408,0.0055,780000,248.79,176,73.78377532958984,130596.7421875,-1.9748539924621582,194974,-1186262.97153698,44972600.0
