train/entropy_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/value_loss,train/explained_variance,train/std,time/time_elapsed,train/policy_loss,train/learning_rate,time/total_timesteps
-8.634237289428711,2003,-242793.54553551172,112.65116279069767,499,2377023.0,-5.960464477539062e-07,1.0207439661026,4,8219.3759765625,0.0007,10000
-8.717330932617188,1998,-183674.87673346006,95.35,999,18673472.0,-3.5762786865234375e-07,1.0352685451507568,10,-18464.724609375,0.0007,20000
-8.784109115600586,2003,-161771.66236331,95.05,1499,1536980.75,0.0,1.0471444129943848,14,6250.037109375,0.0007,30000
-8.846733093261719,1985,-132953.51554951002,70.85,1999,83978688.0,0.0,1.0580005645751953,20,-54080.48828125,0.0007,40000
-8.837308883666992,1986,-127134.18707911004,78.5,2499,13807931.0,0.0,1.056922197341919,25,-5097.08056640625,0.0007,50000
-8.838700294494629,1988,-130555.09154013998,87.42,2999,10252554.0,-2.384185791015625e-07,1.0567413568496704,30,-10677.193359375,0.0007,60000
-8.806328773498535,1988,-122847.22867845,93.92,3499,110051.2734375,5.960464477539063e-08,1.0517826080322266,35,857.8494873046875,0.0007,70000
-8.829562187194824,1988,-163365.59913474997,168.79,3999,23748.263671875,2.980232238769531e-07,1.0566705465316772,40,-239.78793334960938,0.0007,80000
-8.830883979797363,1984,-171669.10716482,197.01,4499,2503160.75,0.0,1.0566364526748657,45,7152.37744140625,0.0007,90000
-8.913908958435059,1983,-119310.48321422999,90.9,4999,13906.40625,0.0,1.0715519189834595,50,-944.5963745117188,0.0007,100000
-8.845065116882324,1984,-125870.17194086999,146.78,5499,3652.921875,0.0,1.0599490404129028,55,-475.14752197265625,0.0007,110000
-8.854482650756836,1984,-127678.50008234,154.31,5999,3388710.75,0.0,1.0612976551055908,60,6381.298828125,0.0007,120000
-8.783368110656738,1987,-123925.68028832,191.07,6499,7359.0126953125,1.1920928955078125e-07,1.0496877431869507,65,-642.9234619140625,0.0007,130000
-8.80419921875,1988,-121573.73552823998,255.7,6999,13274739.0,-1.1920928955078125e-07,1.0527697801589966,70,-3710.33447265625,0.0007,140000
-8.88002872467041,1990,-136432.1123299,331.42,7499,8730.8623046875,0.0,1.066951870918274,75,-676.0935668945312,0.0007,150000
-8.90811824798584,1994,-141275.24023788,321.98,7999,18761.140625,0.0,1.071818232536316,80,-990.1331176757812,0.0007,160000
-8.938888549804688,1997,-138302.47826836002,250.4,8499,3339.119873046875,1.1920928955078125e-07,1.0783885717391968,85,-453.95513916015625,0.0007,170000
-8.887456893920898,1996,-145517.59568559003,212.96,8999,5481.77099609375,5.960464477539063e-08,1.0683152675628662,90,-533.3113403320312,0.0007,180000
-8.834485054016113,1995,-117992.83231049003,117.55,9499,100503.4140625,1.7881393432617188e-07,1.058219313621521,95,181.51168823242188,0.0007,190000
-8.874711036682129,1997,-128397.72029591001,158.35,9999,24283.2578125,0.0,1.0645768642425537,100,-1143.1275634765625,0.0007,200000
-8.94344425201416,1996,-207612.96660395004,231.1,10499,1860974.75,-2.384185791015625e-07,1.077895164489746,105,7201.58984375,0.0007,210000
-8.945562362670898,1998,-217459.26631677002,302.51,10999,18739.009765625,0.0,1.0778449773788452,110,-966.470703125,0.0007,220000
-8.935004234313965,1998,-273033.31688988995,381.53,11499,4196.06689453125,-1.1920928955078125e-07,1.0761374235153198,115,-522.6621704101562,0.0007,230000
-8.97391414642334,1996,-270984.80381883995,329.92,11999,35086160.0,-1.1920928955078125e-07,1.0830016136169434,120,-27524.69921875,0.0007,240000
-9.03605842590332,1992,-278347.61343283,389.48,12499,6191.18408203125,-1.1920928955078125e-07,1.0946500301361084,125,-604.5105590820312,0.0007,250000
-9.099209785461426,1986,-272011.70363922004,351.65,12999,12147014.0,0.0,1.1062153577804565,130,14290.0732421875,0.0007,260000
-9.09304141998291,1981,-156115.61912433003,290.19,13499,10108.1328125,0.0,1.1050540208816528,136,-760.118408203125,0.0007,270000
-9.244009017944336,1983,-193190.49749116003,387.89,13999,15161971.0,0.0,1.1323357820510864,141,-14664.3251953125,0.0007,280000
-9.2814359664917,1984,-223424.35845257997,464.59,14499,3262693376.0,0.0,1.1396030187606812,146,-401645.34375,0.0007,290000
-9.35139274597168,1984,-592077.12429404,480.47,14999,12164575.0,0.0,1.1530109643936157,151,-5955.30419921875,0.0007,300000
-9.41264533996582,1984,-682504.3097768399,514.3,15499,20695.462890625,0.0,1.1655381917953491,156,-896.66015625,0.0007,310000
-9.359635353088379,1985,-688665.27784676,586.75,15999,8529.87109375,0.0,1.1547209024429321,161,-664.9144287109375,0.0007,320000
-9.443687438964844,1985,-692117.5380558899,603.87,16499,3577.01806640625,0.0,1.1717878580093384,166,-451.13153076171875,0.0007,330000
-9.512177467346191,1985,-174863.47730814,353.6,16999,36654.7734375,0.0,1.1859064102172852,171,466.994873046875,0.0007,340000
-9.557229042053223,1985,-128050.56909741001,251.36,17499,2152.83935546875,-2.384185791015625e-07,1.1944317817687988,176,-412.31304931640625,0.0007,350000
-9.528319358825684,1984,-109674.17600833,185.38,17999,6291.98681640625,0.0,1.1897395849227905,181,-622.7083740234375,0.0007,360000
-9.557730674743652,1984,-116294.9198818,228.04,18499,5166255.0,0.0,1.1957844495773315,186,-5088.740234375,0.0007,370000
-9.594359397888184,1983,-119743.95183677,248.79,18999,3889969.5,0.0,1.2010178565979004,191,7688.16796875,0.0007,380000
-9.546507835388184,1983,-118151.66414807,270.93,19499,37844.82421875,0.0,1.1920995712280273,196,369.53582763671875,0.0007,390000
-9.514810562133789,1983,-118881.93599467001,210.99,19999,4194.23583984375,0.0,1.1863077878952026,201,-497.5496520996094,0.0007,400000
-9.533873558044434,1983,-118233.10476272002,199.36,20499,10596.384765625,1.1920928955078125e-07,1.1900635957717896,206,-679.0589599609375,0.0007,410000
-9.532119750976562,1984,-141124.34625511,247.3,20999,2162.15185546875,-1.1920928955078125e-07,1.188615083694458,211,-404.8671569824219,0.0007,420000
-9.451964378356934,1984,-141904.03322046,304.34,21499,34995368.0,0.0,1.171993374824524,216,-25258.103515625,0.0007,430000
-9.417230606079102,1985,-161169.5476923,370.59,21999,18612.412109375,-1.1920928955078125e-07,1.166049599647522,221,-1104.2578125,0.0007,440000
-9.499083518981934,1985,-158457.51583339,441.64,22499,26374.45703125,0.0,1.1824289560317993,226,-296.732421875,0.0007,450000
-9.472176551818848,1986,-188769.25429809,485.43,22999,4597.984375,1.1920928955078125e-07,1.1767513751983643,231,-504.1880798339844,0.0007,460000
-9.519331932067871,1986,-195534.50425937,525.71,23499,279218.71875,0.0,1.1869300603866577,236,1609.412109375,0.0007,470000
-9.537884712219238,1987,-183969.59674724002,594.65,23999,10199084.0,1.1920928955078125e-07,1.1909843683242798,241,-9784.3154296875,0.0007,480000
-9.600900650024414,1988,-216546.50914689005,623.88,24499,2819.607177734375,4.172325134277344e-07,1.2054941654205322,246,-394.554931640625,0.0007,490000
-9.578530311584473,1988,-205001.39099185,465.82,24999,5417.03369140625,-1.1920928955078125e-07,1.2013814449310303,251,-587.6162719726562,0.0007,500000
-9.619057655334473,1988,-180546.03234895997,332.83,25499,8269.2216796875,2.384185791015625e-07,1.2095123529434204,256,-673.9005126953125,0.0007,510000
-9.676946640014648,1989,-142168.28404414002,300.58,25999,3504.95458984375,1.7881393432617188e-07,1.221669316291809,261,-473.32952880859375,0.0007,520000
-9.677132606506348,1988,-143449.73635407002,319.3,26499,5224.31103515625,0.0,1.2215098142623901,266,-583.7158813476562,0.0007,530000
-9.713807106018066,1988,-150107.5035402,361.68,26999,2597111.5,1.1920928955078125e-07,1.2297760248184204,271,6363.0517578125,0.0007,540000
-9.668488502502441,1990,-165059.43592614,414.16,27499,1580.509521484375,0.0,1.2220796346664429,276,-351.07403564453125,0.0007,550000
-9.668240547180176,1990,-148025.94561595,254.25,27999,1561.640869140625,1.1920928955078125e-07,1.2223215103149414,281,-352.0202331542969,0.0007,560000
-9.683844566345215,1991,-122581.82886568998,182.24,28499,1535.5367431640625,1.1920928955078125e-07,1.2276383638381958,286,-333.36614990234375,0.0007,570000
-9.674285888671875,1992,-119788.60151498,192.06,28999,402487.0625,0.0,1.2261723279953003,291,2856.87451171875,0.0007,580000
-9.690855979919434,1992,-132442.67710088,223.45,29499,2946435.25,0.0,1.2267292737960815,296,607.7191162109375,0.0007,590000
-9.641858100891113,1993,-125401.50746395999,239.15,29999,11018.404296875,0.0,1.2174969911575317,300,-717.3626098632812,0.0007,600000
-9.702176094055176,1993,-138369.38811287002,304.98,30499,96104.8359375,-1.1920928955078125e-07,1.2291336059570312,305,131.78138732910156,0.0007,610000
-9.739615440368652,1994,-123340.91918562,284.52,30999,19918902.0,-1.1920928955078125e-07,1.2373663187026978,310,-22523.16796875,0.0007,620000
