train/explained_variance,time/fps,rollout/ep_rew_mean,train/policy_objective,train/value_loss,time/time_elapsed,time/total_timesteps,train/learning_rate,train/is_line_search_success,train/std,train/kl_divergence_loss,train/n_updates,rollout/ep_len_mean
-3.5762786865234375e-07,3837,-125594.48439814003,0.04770030453801155,8705341436.8,2,10000,0.0013,1.0,0.9947059154510498,0.006907160859555006,1,12.82
0.0,3769,-119116.7306308,0.029280513525009155,7640751792.0,5,20000,0.0013,1.0,0.9953380227088928,0.0037988072726875544,2,12.51
0.0,3729,-112345.50922788,0.02996554598212242,7248156967.2,8,30000,0.0013,1.0,0.9823942184448242,0.004330310504883528,3,9.02
0.0,3703,-117934.07023907,0.031484417617321014,7487663664.8,10,40000,0.0013,1.0,0.9923455119132996,0.005354970693588257,4,12.85
0.0,3495,-121208.44172526998,0.025307590141892433,7040802835.2,14,50000,0.0013,1.0,0.9774572849273682,0.0056787654757499695,6,13.4
0.0,3514,-92632.78784124,0.04280573129653931,6861986336.0,17,60000,0.0013,1.0,0.9740802049636841,0.006798011716455221,7,12.49
0.0,3522,-85136.29497729,0.0302607212215662,6600655056.0,19,70000,0.0013,1.0,0.9675449728965759,0.006617011968046427,8,13.91
0.0,3530,-108089.14571174,0.0223391056060791,6080742935.2,22,80000,0.0013,1.0,0.9647518992424011,0.006381208077073097,9,13.51
0.0,3533,-83275.76414044,0.041579607874155045,6418419181.6,25,90000,0.0013,1.0,0.9498862028121948,0.006886722519993782,10,13.78
0.0,3449,-58233.95873959,0.03291245549917221,5558605210.4,28,100000,0.0013,1.0,0.9229867458343506,0.005179168190807104,12,14.4
0.0,3459,-35872.12649985,0.03954538330435753,5307041532.0,31,110000,0.0013,1.0,0.9152295589447021,0.006613158620893955,13,13.98
0.0,3466,-22620.972974689997,0.034331731498241425,4877517531.6,34,120000,0.0013,1.0,0.9019938707351685,0.005249384790658951,14,14.62
0.0,3471,8910.72722193,0.0514945350587368,4542679795.6,37,130000,0.0013,1.0,0.8838449120521545,0.006550441030412912,15,15.27
0.006581366062164307,3412,30939.33953495,0.04540981352329254,3733679719.6,41,140000,0.0013,1.0,0.8436657786369324,0.00625265296548605,17,15.17
6.258487701416016e-06,3417,44945.33285697,0.03878525644540787,3802576952.0,43,150000,0.0013,1.0,0.8223876357078552,0.006817458663135767,18,14.02
5.781650543212891e-06,3423,65005.914667259996,0.04614557325839996,3756471878.4,46,160000,0.0013,1.0,0.8150936365127563,0.007155429106205702,19,12.03
6.258487701416016e-06,3424,64364.3290452,0.04687934368848801,3867252282.8,49,170000,0.0013,1.0,0.7909876108169556,0.007291821762919426,20,11.62
2.980232238769531e-07,3426,80296.79532093999,0.04738073796033859,4149930786.0,52,180000,0.0013,1.0,0.7823398113250732,0.007698180619627237,21,11.0
-2.384185791015625e-07,3383,90198.98922107999,0.041679173707962036,4509492768.0,56,190000,0.0013,1.0,0.7597295641899109,0.006105267442762852,23,10.24
0.0,3386,90127.18394298,0.04019704833626747,4655982153.6,59,200000,0.0013,1.0,0.7457169890403748,0.005344924982637167,24,9.46
0.0,3387,84625.00426534,0.027743646875023842,4976493552.0,61,210000,0.0013,1.0,0.7358203530311584,0.005099811591207981,25,9.71
0.0,3389,95050.14792285001,0.04441137984395027,5035555569.6,64,220000,0.0013,1.0,0.7197763323783875,0.006525332573801279,26,9.48
0.0,3355,99617.69539020002,0.048748888075351715,5312530710.4,68,230000,0.0013,1.0,0.7004324197769165,0.00774309691041708,28,8.88
0.0,3357,99173.20863301,0.04412452131509781,5664172327.2,71,240000,0.0013,1.0,0.6875721216201782,0.0066407471895217896,29,8.54
-1.1920928955078125e-07,3357,104608.73543719001,0.037411466240882874,5866299908.8,74,250000,0.0013,1.0,0.6748162508010864,0.008165412582457066,30,8.69
5.960464477539063e-08,3359,110964.62186905001,0.044789016246795654,6136845332.0,77,260000,0.0013,1.0,0.6689856052398682,0.007260249927639961,31,8.12
0.0,3359,113773.65278616999,0.03656655550003052,6255053659.2,80,270000,0.0013,1.0,0.6607787609100342,0.005807621404528618,32,8.08
0.0,3330,116821.92522136,0.033327892422676086,6746630796.8,84,280000,0.0013,1.0,0.6447475552558899,0.009935525245964527,34,7.79
0.0,3331,119041.18765287001,0.042829371988773346,6808172811.2,87,290000,0.0013,1.0,0.6375714540481567,0.00805769395083189,35,8.02
0.0,3334,122254.07862531,0.04243610426783562,7054648743.2,89,300000,0.0013,1.0,0.6295038461685181,0.006920045241713524,36,7.9
0.0,3330,116608.09361150999,0.02953948639333248,7284509640.0,93,310000,0.0013,1.0,0.6240097880363464,0.008939062245190144,37,8.26
0.0,3300,124078.01771785,0.04000502824783325,7322631931.2,96,320000,0.0013,1.0,0.6007004380226135,0.00854313001036644,39,7.73
0.0,3299,125992.94456085,0.036997273564338684,7585315727.2,100,330000,0.0013,1.0,0.5936027765274048,0.008984759449958801,40,7.8
0.0,3283,125705.19864884,0.04914860054850578,7665136192.0,103,340000,0.0013,1.0,0.5884841084480286,0.00874069519340992,41,7.65
0.0,3277,129124.0,0.029962725937366486,8016024166.4,106,350000,0.0013,1.0,0.5833733081817627,0.007415349129587412,42,7.64
0.0,3265,125087.90640523,0.014187276363372803,8006574996.8,110,360000,0.0013,1.0,0.5772690773010254,0.00988916028290987,43,8.02
5.960464477539063e-08,3237,126924.96688733,0.025127368047833443,8134052556.0,114,370000,0.0013,1.0,0.5671043395996094,0.006829432211816311,45,7.57
0.0,3232,127113.15049347,0.0337931327521801,8171336396.0,117,380000,0.0013,1.0,0.5635334849357605,0.008234015665948391,46,7.33
0.0,3222,131253.7,0.03965362533926964,8303048344.0,121,390000,0.0013,1.0,0.5583659410476685,0.009153163991868496,47,7.37
0.0,3217,131148.9,0.03902190178632736,8526014824.0,124,400000,0.0013,1.0,0.5504209995269775,0.007306021172553301,48,7.35
0.0,3200,131553.7,0.03272514417767525,8687334839.2,128,410000,0.0013,1.0,0.5367180705070496,0.00674452492967248,50,7.28
1.1920928955078125e-07,3201,132771.94272816,0.03200879693031311,8797345577.6,131,420000,0.0013,1.0,0.5313422083854675,0.00720484321936965,51,7.15
5.960464477539063e-08,3202,133067.29376497,0.017872676253318787,8818256180.8,134,430000,0.0013,1.0,0.5255093574523926,0.009798834100365639,52,7.27
