rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/iterations,train/step_size,train/delta_std,rollout/return_std,train/learning_rate
671.3333333333334,10000,-26796291.606218,4,2082,,,,,
802.8,20000,-32082730.312252603,9,2096,,,,,
876.75,30000,-35052957.590762,14,2104,,,,,
752.9166666666666,40000,-30071674.81096008,18,2108,,,,,
12.0,50000,-261019.961127,23,2109,0,1.2626170074747645e-11,0.05,17820130.0,0.0018
505.25,60000,-20146877.68147975,28,2108,,,,,
717.2857142857143,70000,-28665219.75015286,33,2109,,,,,
780.1111111111111,80000,-31186459.354404442,37,2111,,,,,
771.9230769230769,90000,-30829185.405369844,42,2112,,,,,
,100000,,47,2112,1,1.2626229055345828e-11,0.05,17820046.0,0.0018
1000.0,110000,-39966743.210814,52,2113,,,,,
835.5,120000,-33397020.7226615,56,2113,,,,,
890.3333333333334,130000,-35607559.889400996,61,2115,,,,,
835.0833333333334,140000,-33387196.570897836,66,2115,,,,,
,150000,,70,2116,2,1.3996079469003053e-11,0.05,16075930.0,0.0018
1000.0,160000,-40103110.223271,75,2116,,,,,
1000.0,170000,-40049760.35194321,80,2116,,,,,
1000.0,180000,-40020659.62841372,85,2116,,,,,
910.2727272727273,190000,-36426982.01216382,89,2116,,,,,
858.8571428571429,200000,-34351207.3922725,94,2116,,,,,
409.0,210000,-16181892.840877395,99,2117,3,1.3989212566123399e-11,0.05,16083821.0,0.0018
507.25,220000,-20135773.504204623,103,2118,,,,,
641.6363636363636,230000,-25520376.626995727,108,2118,,,,,
696.7692307692307,240000,-27751203.607790463,113,2118,,,,,
,250000,,118,2117,4,1.2669129634268472e-11,0.05,17759704.0,0.0018
669.3333333333334,260000,-26702462.081372004,122,2117,,,,,
628.25,270000,-25039828.377650253,127,2117,,,,,
639.7272727272727,280000,-25530291.56551064,132,2118,,,,,
,290000,,136,2118,5,1.1299852546720057e-11,0.05,19911764.0,0.0018
676.3333333333334,300000,-26814772.906393673,141,2119,,,,,
838.1666666666666,310000,-33384309.302947,146,2119,,,,,
781.7777777777778,320000,-31170727.299862444,151,2119,,,,,
673.8,330000,-26812208.33200247,155,2118,,,,,
503.5,340000,-20106195.483877502,160,2118,6,1.1903818208924832e-11,0.05,18901498.0,0.0018
670.0,350000,-26784096.1893605,165,2118,,,,,
551.3636363636364,360000,-21947564.781396363,169,2118,,,,,
,370000,,174,2118,7,1.1022653276238081e-11,0.05,20412508.0,0.0018
1000.0,380000,-40073909.1191525,179,2118,,,,,
1000.0,390000,-39988266.793744005,184,2117,,,,,
1000.0,400000,-40020358.03549086,188,2117,,,,,
1000.0,410000,-40044404.5476734,193,2117,,,,,
