rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/iterations,train/step_size,train/delta_std,rollout/return_std,train/learning_rate
923.4615384615385,420000,-36981039.82110469,198,2117,,,,,
,430000,,203,2117,8,2.252658302948074e-11,0.05,9988199.0,0.0018
409.8,440000,-16229349.7657428,207,2117,,,,,
510.0,450000,-20172455.422075126,212,2117,,,,,
508.57142857142856,460000,-20151040.817860357,217,2117,,,,,
10.333333333333334,470000,-139942.22638333333,221,2117,9,1.1073371386505215e-11,0.05,20319014.0,0.0018
436.42857142857144,480000,-17257769.786739,226,2118,,,,,
506.6,490000,-20114928.8503088,231,2117,,,,,
576.7857142857143,500000,-22957965.898115214,236,2117,,,,,
,510000,,240,2117,10,1.1302223913711718e-11,0.05,19907586.0,0.0018
605.4,520000,-24115981.3920146,245,2117,,,,,
561.0,530000,-22295126.767822888,250,2117,,,,,
620.0,540000,-24667899.832152154,255,2117,,,,,
8.5,550000,-96965.28303600001,259,2117,11,1.129917860664964e-11,0.05,19912952.0,0.0018
505.1666666666667,560000,-20085523.686278,264,2117,,,,,
560.2222222222222,570000,-22309637.479046002,269,2117,,,,,
538.1333333333333,580000,-21432954.917900667,273,2117,,,,,
503.5,590000,-20015702.3434465,278,2117,12,1.1011048843545534e-11,0.05,20434020.0,0.0018
669.1666666666666,600000,-26656325.428590667,283,2117,,,,,
603.3,610000,-24043127.372471098,288,2117,,,,,
694.8461538461538,620000,-27732028.260492463,292,2117,,,,,
,630000,,297,2117,13,1.1827554560750464e-11,0.05,19023374.0,0.0018
1000.0,640000,-40064323.75866967,302,2117,,,,,
717.8571428571429,650000,-28677348.43312543,306,2117,,,,,
802.5,660000,-32046179.8557918,311,2118,,,,,
717.7857142857143,670000,-28644456.934943564,316,2118,,,,,
503.0,680000,-20104768.704148,321,2118,14,1.2641937843782536e-11,0.05,17797904.0,0.0018
504.0,690000,-20046162.092842996,325,2118,,,,,
669.3333333333334,700000,-26691587.835656106,330,2118,,,,,
729.4545454545455,710000,-29114641.17751563,335,2118,,,,,
787.4285714285714,720000,-31461650.26463493,339,2118,,,,,
264.25,730000,-10250422.1593845,344,2118,15,1.2627790306474207e-11,0.05,17817844.0,0.0018
509.5,740000,-20156217.907684,349,2118,,,,,
508.0,750000,-20142225.298258666,353,2118,,,,,
540.7333333333333,760000,-21475034.945006397,358,2118,,,,,
507.0,770000,-20162289.1298915,363,2119,16,1.107528391913748e-11,0.05,20315506.0,0.0018
671.3333333333334,780000,-26773133.774026167,368,2119,,,,,
780.8888888888889,790000,-31181361.592716217,372,2119,,,,,
820.7272727272727,800000,-32777599.79090645,377,2119,,,,,
802.6666666666666,810000,-32064017.262419466,382,2119,,,,,
1000.0,820000,-39869927.979926,386,2120,17,1.4041257739849655e-11,0.05,16024206.0,0.0018
670.0,830000,-26706771.412894163,391,2120,,,,,
752.5,840000,-30005042.058109626,396,2120,,,,,
752.3333333333334,850000,-30042306.285162836,400,2120,,,,,
787.7142857142857,860000,-31469175.246785935,405,2120,,,,,
1000.0,870000,-40072252.028915,410,2120,18,1.4020760247257513e-11,0.05,16047631.0,0.0018
1000.0,880000,-40065496.921813,415,2120,,,,,
753.375,890000,-30093642.281564623,419,2120,,,,,
802.7,900000,-32103652.259969003,424,2120,,,,,
788.0,910000,-31502479.90594065,429,2120,,,,,
,920000,,433,2120,19,1.3991036627858389e-11,0.05,16081724.0,0.0018
435.85714285714283,930000,-17312294.251808573,438,2120,,,,,
561.2222222222222,940000,-22379367.305289447,443,2120,,,,,
576.7142857142857,950000,-22990632.247636,447,2120,,,,,
340.3333333333333,960000,-13433147.981896,452,2120,20,1.1026367319200148e-11,0.05,20405632.0,0.0018
575.4285714285714,970000,-22949334.114455856,457,2120,,,,,
669.7777777777778,980000,-26763023.143836997,462,2120,,,,,
603.5333333333333,990000,-24083191.747256197,466,2120,,,,,
505.0,1000000,-20122758.4160285,471,2121,21,1.1286276600797063e-11,0.05,19935716.0,0.0018
802.0,1010000,-32034387.805721402,476,2120,,,,,
858.5714285714286,1020000,-34255953.02807986,481,2120,,,,,
