train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate
39974,889,160000,2153,179,-1142859.68328799,31.43,3185637.75,47753.8125,-1.9847558736801147,139.24160766601562,0.0003
42474,945,170000,2220,179,-5159829.156239421,120.4,3286872.25,41863.34765625,-0.7515811324119568,76.89318084716797,0.0003
44974,1000,180000,2238,179,-8670634.18579442,204.74,3365680.75,23134.931640625,-0.5655678510665894,70.83468627929688,0.0003
47474,1056,190000,2422,179,-1582304.4177608099,43.01,3379795.0,21711.673828125,0.6945135593414307,70.05615234375,0.0003
49974,1112,200000,3072,179,-124477.98823713999,8.11,3223962.5,51922.78125,-28.353517532348633,216.65452575683594,0.0003
52474,1167,210000,3313,179,-1615232.1702562398,37.78,2968405.75,54452.33203125,-7.663870811462402,333.365478515625,0.0003
54974,1223,220000,3439,179,-3107576.71193952,67.33,2702194.5,29759.171875,-0.37001878023147583,413.01513671875,0.0003
57474,1280,230000,3598,179,-2703899.71526674,59.64,2511424.25,35639.59375,0.9245877265930176,371.3153991699219,0.0003
59974,1336,240000,3950,179,-916515.7812876799,24.37,2512811.25,31264.013671875,-0.07355764508247375,232.33364868164062,0.0003
62474,1393,250000,4123,179,-2968365.63796519,70.0,2619731.25,33309.1484375,1.7704262733459473,157.16876220703125,0.0003
64974,1449,260000,4166,179,-4174976.01081539,92.24,2697094.75,26264.9921875,-1.4215164184570312,163.38717651367188,0.0003
67474,1506,270000,4198,179,-9374645.71960575,198.51,2722597.0,35778.47265625,2.345463752746582,117.05889892578125,0.0003
69974,1562,280000,4237,179,-13019055.684714641,277.69,2852670.0,48427.8984375,-0.805392861366272,105.35144805908203,0.0003
72474,1619,290000,4726,179,-987665.2492413799,26.74,2872997.25,27720.83203125,-1.1633964776992798,150.6024627685547,0.0003
74974,1677,300000,5420,178,-991774.3298481501,27.02,2889242.0,39941.8125,-2.0488016605377197,246.1439666748047,0.0003
77474,1733,310000,5699,178,-1243490.1895008,33.36,2894405.25,31105.90234375,-0.7049737572669983,184.9969482421875,0.0003
79974,1791,320000,5974,178,-1305595.0733827201,37.25,3033100.25,55612.2421875,3.984874725341797,122.93585205078125,0.0003
82474,1848,330000,6135,178,-1306228.5455648599,44.51,3102768.25,49083.0703125,-1.7537270784378052,105.34597778320312,0.0003
84974,1905,340000,6265,178,-3253858.396856719,78.69,3191509.25,64708.3984375,-2.893160343170166,107.99495697021484,0.0003
87474,1962,350000,6343,178,-3524661.1264455398,105.5,3224133.0,37749.984375,4.113539695739746,114.4759292602539,0.0003
89974,2020,360000,6426,178,-4985982.0819528,131.56,3347864.0,48750.6953125,2.9884262084960938,107.76378631591797,0.0003
92474,2077,370000,6697,178,-818262.0901422199,28.3,3417656.0,57797.7578125,0.3734571635723114,106.59446716308594,0.0003
94974,2135,380000,6935,177,-1100841.3037949302,36.01,3476339.75,44954.4375,1.1636972427368164,105.84102630615234,0.0003
97474,2194,390000,7241,177,-846350.5108389601,32.65,3587131.75,50387.19921875,1.5804672241210938,102.2773666381836,0.0003
99974,2253,400000,7710,177,-309907.64988085,13.86,3552328.5,32619.603515625,0.8103406429290771,125.722412109375,0.0003
102474,2312,410000,8333,177,-354602.9176024401,14.6,3584396.0,30214.498046875,-1.5998657941818237,148.1959228515625,0.0003
104974,2371,420000,8573,177,-526330.13835158,20.37,3634629.0,58979.109375,-1.4924383163452148,133.4074249267578,0.0003
107474,2430,430000,8855,176,-1005741.59451544,37.96,3562124.25,36071.734375,0.3344065546989441,118.77741241455078,0.0003
109974,2489,440000,9080,176,-1285291.91168188,52.58,3596904.0,69524.4921875,0.9562507271766663,122.46012878417969,0.0003
112474,2547,450000,9214,176,-1896088.7108380399,66.19,3602901.0,39705.12109375,-0.583898663520813,121.16461944580078,0.0003
114974,2606,460000,9418,176,-847216.4076260501,34.34,3586251.25,34138.96875,-3.0323052406311035,124.5804443359375,0.0003
117474,2665,470000,9637,176,-1108809.8283279801,41.78,3503553.25,48273.8515625,1.2011041641235352,127.81202697753906,0.0003
119974,2725,480000,9857,176,-921396.6764597701,39.67,3551640.25,53574.35546875,1.7488189935684204,130.7984619140625,0.0003
122474,2783,490000,10066,176,-1148084.6076626503,45.62,3552804.0,46944.828125,-1.6406896114349365,134.30471801757812,0.0003
124974,2842,500000,10415,175,-701892.9001635,31.59,3500530.25,34547.25,5.406333923339844,137.86123657226562,0.0003
127474,2901,510000,10569,175,-2512882.86513378,81.0,3407870.25,46465.31640625,3.0277230739593506,128.92926025390625,0.0003
129974,2960,520000,10816,175,-835789.8977935703,40.23,3383510.0,51260.08984375,2.2261545658111572,125.19303894042969,0.0003
132474,3019,530000,11185,175,-579249.3352975099,29.72,3396427.25,65708.9375,-2.023245334625244,133.01437377929688,0.0003
134974,3078,540000,11552,175,-554171.4524656299,26.32,3377239.0,55193.4765625,-0.9249047636985779,136.06875610351562,0.0003
137474,3137,550000,11806,175,-1540472.1101698203,52.73,3331876.5,43080.14453125,-0.2280154824256897,138.2462615966797,0.0003
139974,3196,560000,11933,175,-2303503.04762043,74.22,3268441.25,48363.81640625,-0.5484737753868103,134.61361694335938,0.0003
142474,3254,570000,12225,175,-584747.08309615,37.99,3264185.0,48816.60546875,4.323451995849609,140.74093627929688,0.0003
144974,3313,580000,12462,175,-687479.1827416399,45.73,3199460.25,42625.8046875,-3.08499813079834,150.40045166015625,0.0003
147474,3371,590000,12725,174,-552080.5954171101,36.36,3179322.5,47350.8046875,0.04939836263656616,153.12466430664062,0.0003
149974,3430,600000,13045,174,-477723.7535587901,28.43,3141053.0,42346.33984375,0.03289252519607544,155.44053649902344,0.0003
152474,3488,610000,13336,174,-629990.03748498,34.4,3076665.75,24562.107421875,-0.6163153648376465,158.00140380859375,0.0003
154974,3548,620000,13600,174,-695136.97986957,36.69,3031109.75,44218.421875,-1.6731127500534058,157.28819274902344,0.0003
157474,3607,630000,13852,174,-729530.76988115,40.05,3026641.75,51321.0625,-1.9116201400756836,157.8519287109375,0.0003
159974,3666,640000,14064,174,-862285.5309261902,49.49,2911754.5,16033.5947265625,1.9262316226959229,156.34869384765625,0.0003
162474,3725,650000,14291,174,-682334.72277622,44.6,2868260.0,41318.96484375,-3.753563165664673,155.31236267089844,0.0003
164974,3785,660000,14648,174,-351784.09791535005,22.15,2812475.5,56654.671875,2.687784433364868,159.16873168945312,0.0003
167474,3845,670000,15102,174,-431337.70795091003,27.82,2768152.5,56126.46484375,-0.7754808664321899,160.3019561767578,0.0003
169974,3904,680000,15332,174,-988917.5617200001,53.35,2689361.5,30545.9375,-0.14464545249938965,162.95582580566406,0.0003
172474,3963,690000,15506,174,-943958.56399437,55.53,2635106.0,64516.640625,-1.2251218557357788,161.02438354492188,0.0003
174974,4023,700000,15780,173,-350894.2146621902,26.89,2574985.0,41660.203125,-0.0405460000038147,161.1299285888672,0.0003
177474,4083,710000,16125,173,-283920.03850264,20.84,2523320.25,47557.5625,0.025556325912475586,168.49594116210938,0.0003
179974,4141,720000,16372,173,-508767.45567899005,38.9,2462836.0,54498.61328125,2.703627109527588,168.4372100830078,0.0003
182474,4200,730000,16532,173,-990636.6397398598,75.76,2409525.75,39490.26171875,0.9436217546463013,171.7416534423828,0.0003
184974,4259,740000,16653,173,-1446243.3949530595,86.15,2371284.5,42518.57421875,-0.32189682126045227,167.8413543701172,0.0003
187474,4319,750000,16971,173,-295629.65242465,24.61,2274385.0,48709.84375,0.22763177752494812,169.51101684570312,0.0003
189974,4378,760000,17555,173,-194323.14114126,16.72,2216103.25,26378.435546875,-1.5812525749206543,173.58016967773438,0.0003
192474,4437,770000,18095,173,-200836.18790153004,17.69,2172372.0,30045.20703125,-0.7725777626037598,179.26568603515625,0.0003
194974,4495,780000,18406,173,-324950.38435176,35.6,2179057.5,18533.2734375,-0.07760310173034668,184.17503356933594,0.0003
197474,4554,790000,18720,173,-321295.3499431599,36.73,2037762.375,27770.916015625,1.1260651350021362,186.9023895263672,0.0003
199974,4613,800000,18979,173,-371562.35363053,40.09,1998284.75,31951.33203125,0.5673126578330994,188.78453063964844,0.0003
202474,4672,810000,19226,173,-496510.30431008,45.28,1968701.25,41451.3203125,-0.32320839166641235,187.8018341064453,0.0003
204974,4731,820000,19467,173,-529923.881373,42.83,1923796.5,44558.78515625,0.5111358761787415,189.55206298828125,0.0003
207474,4790,830000,19581,173,-1150105.9256407102,81.52,1874836.75,33584.7734375,2.440459966659546,185.1079559326172,0.0003
209974,4849,840000,19721,173,-513018.8366081501,65.62,1889676.75,39426.37890625,0.29920411109924316,185.3199920654297,0.0003
212474,4908,850000,20177,173,-180172.6452363,20.04,1828033.5,24402.087890625,3.8880109786987305,183.33737182617188,0.0003
214974,4967,860000,20799,173,-169865.31733780997,14.56,1798651.375,29032.19921875,3.475114345550537,186.85008239746094,0.0003
217474,5028,870000,21321,173,-180775.61743086003,16.09,1771535.75,30803.923828125,-3.3823037147521973,187.41250610351562,0.0003
219974,5088,880000,21839,172,-208899.72489943,20.39,1791929.75,34505.296875,-4.369217395782471,189.9215545654297,0.0003
222474,5147,890000,22391,172,-192713.54807249003,18.43,1709691.5,32396.712890625,2.084143877029419,191.88441467285156,0.0003
224974,5207,900000,23060,172,-200425.63327482,18.6,1658062.75,36988.83984375,0.16495460271835327,191.48826599121094,0.0003
227474,5266,910000,23573,172,-174784.68069451998,18.48,1650204.0,31999.166015625,4.737313270568848,196.32582092285156,0.0003
229974,5326,920000,24118,172,-205501.10184446,22.86,1593546.125,35233.2890625,-0.32545211911201477,198.27920532226562,0.0003
232474,5385,930000,24434,172,-288931.48782827,50.22,1563313.5,27121.1640625,0.39837706089019775,199.99420166015625,0.0003
234974,5444,940000,24504,172,-607830.47495698,116.53,1504055.125,26638.9453125,-1.7306642532348633,198.97601318359375,0.0003
237474,5504,950000,24568,172,-781462.3679929398,147.89,1479832.75,33542.4765625,-1.5272982120513916,199.17649841308594,0.0003
239974,5564,960000,24604,172,-1263893.7772504098,202.91,1510464.0,43830.65625,-1.1130785942077637,198.66741943359375,0.0003
242474,5623,970000,24643,172,-1564473.65388033,227.87,1480901.625,36481.41015625,0.4944552779197693,197.04225158691406,0.0003
244974,5682,980000,24782,172,-345469.78082311,66.55,1412879.875,32018.486328125,-1.2641887664794922,192.99160766601562,0.0003
247474,5742,990000,25338,172,-164339.52920452997,20.19,1401828.25,38488.015625,-2.252617835998535,194.66261291503906,0.0003
249974,5802,1000000,26101,172,-131784.05197299,11.29,1400762.875,34352.27734375,3.0396134853363037,193.86985778808594,0.0003
