train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate
2474,56,10000,138,178,-3498564.7612328203,80.34,348074.8125,9079.4658203125,-33.09291458129883,1.8471025228500366,0.0003
4974,112,20000,206,178,-7007448.630338579,148.14,847670.0,11615.587890625,-22.423583984375,3.5271294116973877,0.0003
7474,168,30000,263,178,-6057310.4225389315,131.32,1160673.875,14169.5517578125,-33.270790100097656,6.543237209320068,0.0003
9974,223,40000,321,178,-8170218.268910089,175.71,1496485.5,13878.39453125,-31.448284149169922,11.968952178955078,0.0003
12474,279,50000,416,179,-4848368.922562179,110.76,1751521.5,21030.751953125,-19.88857078552246,20.712406158447266,0.0003
14974,334,60000,505,179,-4169906.81805943,98.79,2042950.75,17482.08203125,-14.488800048828125,32.44601058959961,0.0003
17474,389,70000,620,179,-3834493.90107882,86.36,2196745.0,27344.09375,-2.51108455657959,46.694793701171875,0.0003
19974,445,80000,830,179,-1083734.45353077,29.43,2434875.75,32367.884765625,-4.846683979034424,95.77376556396484,0.0003
22474,501,90000,937,179,-4351464.76730512,96.53,2517125.25,23967.29296875,4.907059669494629,96.54417419433594,0.0003
24974,556,100000,977,179,-7827054.00477398,168.04,2690140.5,26532.017578125,1.0506904125213623,68.80743408203125,0.0003
27474,611,110000,996,179,-11260485.0816973,245.58,2872657.5,36846.92578125,0.9886870384216309,57.26165771484375,0.0003
29974,666,120000,1107,179,-2652259.26296307,66.96,3002236.75,37286.74609375,-2.2669551372528076,64.22417449951172,0.0003
32474,722,130000,1230,179,-783750.1236670801,23.09,3082559.25,37752.71484375,3.1090047359466553,79.29969787597656,0.0003
34974,778,140000,1380,179,-2319742.3628885304,53.89,3145484.0,26644.3203125,-1.7634477615356445,83.76364135742188,0.0003
37474,833,150000,1812,179,-504864.15189987,17.93,3190441.0,28415.103515625,-4.979004383087158,148.91433715820312,0.0003
