rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,train/step_size
506.5,4,10000,-25079932.6722445,2368,,,,,
671.0,8,20000,-33376161.670897335,2367,,,,,
703.9,12,30000,-35089931.9748056,2366,,,,,
696.0,16,40000,-34681979.875366464,2367,,,,,
11.666666666666666,21,50000,-318519.9930383333,2366,0,0.05,22236490.0,0.02,1.1242781705611549e-10
295.14285714285717,25,60000,-14472830.098957999,2367,,,,,
461.3636363636364,29,70000,-22849232.086585004,2368,,,,,
506.0,33,80000,-25080843.37771779,2369,,,,,
505.75,37,90000,-25145655.59335225,2369,1,0.05,25599768.0,0.02,9.765713238074625e-11
670.5,42,100000,-33333809.879772667,2370,,,,,
704.6,46,110000,-35054226.10362,2370,,,,,
647.5714285714286,50,120000,-32168821.18395779,2370,,,,,
258.25,54,130000,-12636654.2763475,2370,2,0.05,23717008.0,0.02,1.0540958383931098e-10
436.42857142857144,59,140000,-21576699.75781071,2370,,,,,
471.0,63,150000,-23315226.43795169,2370,,,,,
259.5,67,160000,-12751806.291971501,2370,3,0.05,25374376.0,0.02,9.85245912632493e-11
371.72727272727275,71,170000,-18366970.750496272,2371,,,,,
436.0,75,180000,-21590905.9770875,2371,,,,,
1000.0,80,190000,-49913110.969124,2371,4,0.05,25644358.0,0.02,9.748733070802373e-11
754.0,84,200000,-37556436.85365075,2372,,,,,
670.2222222222222,88,210000,-33471745.153886896,2372,,,,,
619.9230769230769,92,220000,-30911658.20458185,2372,,,,,
670.6,96,230000,-33437122.22634367,2372,,,,,
671.0,101,240000,-33395328.20143633,2373,5,0.05,23793014.0,0.02,1.0507285319594217e-10
505.875,105,250000,-25098257.229866873,2373,,,,,
504.7857142857143,109,260000,-25097639.095426492,2373,,,,,
,113,270000,,2373,6,0.05,25504028.0,0.02,9.802372802347747e-11
602.2,118,280000,-30105567.187324993,2372,,,,,
629.125,122,290000,-31416887.924092997,2373,,,,,
669.8333333333334,126,300000,-33432580.67755325,2373,,,,,
717.0,130,310000,-35813163.5301925,2369,,,,,
1000.0,135,320000,-50101662.974159,2369,7,0.05,23836008.0,0.02,1.0488333812563866e-10
448.55555555555554,139,330000,-22316509.059354335,2369,,,,,
503.7142857142857,143,340000,-25066961.465964146,2370,,,,,
,147,350000,,2369,8,0.05,25514248.0,0.02,9.798446082287526e-11
434.85714285714283,151,360000,-21596757.413018852,2369,,,,,
505.0,156,370000,-25147005.3014622,2369,,,,,
6.0,160,380000,-146265.752519,2369,9,0.05,25720616.0,0.02,9.719829108245648e-11
230.44444444444446,164,390000,-11280951.178370778,2369,,,,,
340.1333333333333,168,400000,-16809177.696469933,2369,,,,,
261.25,173,410000,-12786812.368119251,2369,10,0.05,24845110.0,0.02,1.0062341931904584e-10
450.8888888888889,177,420000,-22398754.879006997,2368,,,,,
550.7272727272727,181,430000,-27428517.999075357,2368,,,,,
647.0,185,440000,-32252497.695441138,2369,,,,,
,189,450000,,2369,11,0.05,23806112.0,0.02,1.0501504527082872e-10
1000.0,194,460000,-50078516.387183,2369,,,,,
753.0,198,470000,-37300228.12894814,2369,,,,,
664.8181818181819,202,480000,-32973465.23920627,2369,,,,,
,206,490000,,2369,12,0.05,24101642.0,0.02,1.0372737391239895e-10
407.2,210,500000,-20259859.111367602,2369,,,,,
460.09090909090907,215,510000,-22957807.10306327,2370,,,,,
472.4,219,520000,-23554243.696122866,2370,,,,,
505.0,223,530000,-25193150.330181003,2370,13,0.05,25733542.0,0.02,9.714946902494859e-11
372.90909090909093,227,540000,-18518971.702003818,2369,,,,,
,232,550000,,2369,14,0.05,25486768.0,0.02,9.809011242145615e-11
503.25,236,560000,-25078011.1165395,2369,,,,,
627.875,240,570000,-31347988.986004125,2369,,,,,
541.5384615384615,244,580000,-27036453.81562577,2369,,,,,
1000.0,248,590000,-49595806.135167,2369,15,0.05,25742904.0,0.02,9.711413617718989e-11
669.5,253,600000,-33316575.17775267,2369,,,,,
752.125,257,610000,-37526902.587945126,2369,,,,,
,261,620000,,2369,16,0.05,25480020.0,0.02,9.811609164023238e-11
1000.0,265,630000,-50060094.199898,2370,,,,,
461.1818181818182,270,640000,-22916360.765549906,2370,,,,,
472.2,274,650000,-23503586.164553996,2370,,,,,
503.0,278,660000,-25107053.4376105,2369,17,0.05,25732452.0,0.02,9.71535837890336e-11
573.8571428571429,283,670000,-28663680.823464997,2366,,,,,
542.6153846153846,287,680000,-27025871.227391925,2366,,,,,
255.75,291,690000,-12619155.9722255,2366,18,0.05,25717030.0,0.02,9.721184274225081e-11
368.90909090909093,295,700000,-18334573.799611364,2366,,,,,
11.0,299,710000,-346193.162939,2366,19,0.05,24919034.0,0.02,1.0032490810329975e-10
503.5,304,720000,-25121216.875577,2365,,,,,
503.9,308,730000,-25152193.1863252,2364,,,,,
,312,740000,,2364,20,0.05,25749018.0,0.02,9.709107823274721e-11
1000.0,317,750000,-49977824.4355115,2365,,,,,
420.6666666666667,321,760000,-20954823.082290664,2365,,,,,
