train/policy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/std,time/fps
-131256.90625,437938848.0,-391895.43168343056,3,124,-8.522597312927246,132.94444444444446,10000,0.0001,-1.0609626770019531e-05,1.001459002494812,3253
-50100.9296875,70311648.0,-425702.8230348,6,249,-8.520279884338379,162.27,20000,0.0001,-1.2516975402832031e-05,1.0011646747589111,3324
-154799.59375,801527808.0,-444812.3983857,8,374,-8.520293235778809,185.3,30000,0.0001,-3.4570693969726562e-06,1.001177430152893,3344
-91025.640625,257306336.0,-406485.55034578004,11,499,-8.51321029663086,170.38,40000,0.0001,4.76837158203125e-07,0.9999675154685974,3354
-104856.5234375,614346944.0,-353004.42266847007,14,624,-8.511474609375,144.36,50000,0.0001,3.039836883544922e-06,0.9996225833892822,3355
-64700.01171875,96884104.0,-328320.1482186199,17,749,-8.508139610290527,145.71,60000,0.0001,-3.6954879760742188e-06,0.9990975260734558,3355
-74867.328125,169075232.0,-326074.02429965005,20,874,-8.505697250366211,152.97,70000,0.0001,-2.1457672119140625e-06,0.9986271858215332,3353
-91108.765625,546029760.0,-284655.20656211005,23,999,-8.50833797454834,136.04,80000,0.0001,0.0,0.9991356730461121,3351
-12958.2744140625,476234176.0,-262965.57607736,26,1124,-8.503265380859375,129.55,90000,0.0001,-1.1920928955078125e-07,0.9983010292053223,3349
-173243.859375,1032349568.0,-223405.73854347,29,1249,-8.502664566040039,107.52,100000,0.0001,1.7881393432617188e-07,0.9981860518455505,3347
-53072.6328125,81191952.0,-242816.36960905002,32,1374,-8.499446868896484,116.17,110000,0.0001,3.5762786865234375e-07,0.9976646900177002,3346
-139642.421875,679027136.0,-247156.50920325,35,1499,-8.497784614562988,139.04,120000,0.0001,5.960464477539063e-08,0.9973977208137512,3344
-111258.5,657824896.0,-244352.67747417008,38,1624,-8.4971923828125,130.04,130000,0.0001,-2.384185791015625e-07,0.9971704483032227,3343
-142750.21875,739478976.0,-209460.59293461003,41,1749,-8.492812156677246,108.92,140000,0.0001,-1.1920928955078125e-07,0.9965298771858215,3342
-121825.328125,740989056.0,-216251.34576350998,44,1874,-8.487951278686523,111.89,150000,0.0001,0.0,0.9958056807518005,3339
-27608.421875,43151784.0,-200009.89676769997,47,1999,-8.484411239624023,109.81,160000,0.0001,0.0,0.9951503872871399,3338
-18647.044921875,18339182.0,-199766.30013375,50,2124,-8.483657836914062,116.56,170000,0.0001,0.0,0.995002031326294,3336
-58558.61328125,92758664.0,-169281.0600353,53,2249,-8.477703094482422,89.31,180000,0.0001,0.0,0.9940509796142578,3334
-109633.375,1602322816.0,-171761.13013803,57,2374,-8.4789457321167,103.59,190000,0.0001,0.0,0.994314968585968,3331
-1629.4820556640625,796025984.0,-172552.57847335,60,2499,-8.472779273986816,102.94,200000,0.0001,0.0,0.9933140277862549,3328
-87042.4140625,511470592.0,-175686.87489787006,63,2624,-8.47332763671875,113.76,210000,0.0001,0.0,0.9932901263237,3326
-111641.015625,735700800.0,-167449.16999286,66,2749,-8.474602699279785,99.61,220000,0.0001,0.0,0.9935181140899658,3323
-69050.890625,97495496.0,-171584.07659882,69,2874,-8.47390079498291,92.65,230000,0.0001,0.0,0.9934537410736084,3321
-32163.599609375,53087404.0,-154349.94219511002,72,2999,-8.47042465209961,89.7,240000,0.0001,1.1920928955078125e-07,0.9928732514381409,3319
-126098.0859375,733440384.0,-167047.41016757998,75,3124,-8.464786529541016,93.45,250000,0.0001,-1.1920928955078125e-07,0.9919350147247314,3314
-25891.33984375,32769034.0,-142165.27766645,78,3249,-8.464276313781738,84.09,260000,0.0001,5.960464477539063e-08,0.9918903708457947,3311
-110711.8125,642721664.0,-157716.73963703998,81,3374,-8.46120834350586,111.06,270000,0.0001,0.0,0.991334855556488,3309
-177689.171875,1340863872.0,-152928.71569354003,84,3499,-8.45885944366455,91.36,280000,0.0001,0.0,0.9909972548484802,3306
-152226.125,829645440.0,-158558.85882615,87,3624,-8.456025123596191,103.99,290000,0.0001,1.1920928955078125e-07,0.9904899001121521,3304
-117321.546875,553306112.0,-127726.43321989002,90,3749,-8.452874183654785,94.52,300000,0.0001,0.0,0.9900267124176025,3302
-23855.0,64040364.0,-128069.8974973,93,3874,-8.452129364013672,95.51,310000,0.0001,5.960464477539063e-08,0.9898584485054016,3300
-18693.15234375,235899360.0,-134749.41088214002,97,3999,-8.449490547180176,99.66,320000,0.0001,1.1920928955078125e-07,0.9894457459449768,3297
-105449.9765625,557274496.0,-138517.47288053,100,4124,-8.444512367248535,100.32,330000,0.0001,-1.1920928955078125e-07,0.9886214733123779,3295
-73625.3125,511991904.0,-132602.21510388,103,4249,-8.442137718200684,89.02,340000,0.0001,2.384185791015625e-07,0.9882544875144958,3293
-74648.28125,469876576.0,-140254.48091525002,106,4374,-8.437053680419922,87.65,350000,0.0001,0.0,0.9873964190483093,3292
-93282.3828125,554319040.0,-123086.95193681998,109,4499,-8.433836936950684,79.89,360000,0.0001,1.7881393432617188e-07,0.9868795871734619,3290
5860.12841796875,350099392.0,-125267.83080370999,112,4624,-8.431633949279785,92.12,370000,0.0001,0.0,0.9866144061088562,3288
-106845.1015625,534923328.0,-133127.06521687002,115,4749,-8.43125057220459,92.9,380000,0.0001,5.960464477539063e-08,0.9864171147346497,3286
3035.05908203125,1011015168.0,-123904.49527462,118,4874,-8.431761741638184,93.52,390000,0.0001,0.0,0.9865803718566895,3284
-62330.6875,193389376.0,-114985.15852768999,121,4999,-8.42956829071045,79.37,400000,0.0001,0.0,0.9861204624176025,3283
79366.046875,541189568.0,-124769.34098704997,124,5124,-8.425889015197754,86.81,410000,0.0001,0.0,0.9856595396995544,3281
-66377.8984375,794350144.0,-108376.70083155,128,5249,-8.422097206115723,86.88,420000,0.0001,-1.1920928955078125e-07,0.9850201606750488,3279
-29182.34375,989945024.0,-105490.54561201,131,5374,-8.41958999633789,87.53,430000,0.0001,0.0,0.9846116900444031,3277
-74580.4609375,514941600.0,-107400.01458982,134,5499,-8.420243263244629,79.65,440000,0.0001,0.0,0.9846847653388977,3275
-36562.36328125,37996720.0,-128178.23126911,137,5624,-8.41695499420166,84.77,450000,0.0001,0.0,0.9840952754020691,3274
-45114.98828125,63183160.0,-125930.9846416,140,5749,-8.414292335510254,92.75,460000,0.0001,-2.384185791015625e-07,0.9837126731872559,3272
-51819.6015625,173643264.0,-119699.23907083999,143,5874,-8.411178588867188,94.86,470000,0.0001,0.0,0.9832220673561096,3271
42786.13671875,628767232.0,-94800.08487387002,146,5999,-8.407952308654785,89.73,480000,0.0001,-1.1920928955078125e-07,0.9826913475990295,3270
-19016.275390625,140976336.0,-103881.63197665999,149,6124,-8.40602970123291,92.8,490000,0.0001,0.0,0.9823336601257324,3269
-92735.890625,554016512.0,-100636.30324022999,152,6249,-8.40273666381836,90.96,500000,0.0001,0.0,0.9818532466888428,3267
-35425.98046875,39394924.0,-94203.78397426,156,6374,-8.396788597106934,96.27,510000,0.0001,5.960464477539063e-08,0.980860710144043,3266
-38718.43359375,42275544.0,-93475.3964585,159,6499,-8.391264915466309,90.4,520000,0.0001,-1.1920928955078125e-07,0.9799757599830627,3265
-19145.79296875,36006712.0,-87252.74809204,162,6624,-8.386648178100586,99.07,530000,0.0001,-1.1920928955078125e-07,0.9791484475135803,3264
-65689.9375,504625984.0,-106734.49544176,165,6749,-8.385437965393066,96.47,540000,0.0001,-2.384185791015625e-07,0.9790225028991699,3263
10932.4248046875,375999808.0,-98885.94708515,168,6874,-8.382061004638672,88.66,550000,0.0001,0.0,0.9783936142921448,3261
-25262.52734375,30155508.0,-108888.66177941,171,6999,-8.375969886779785,89.85,560000,0.0001,-1.1920928955078125e-07,0.9775064587593079,3260
4879.5673828125,19502096.0,-101304.61360958999,174,7124,-8.370025634765625,77.69,570000,0.0001,0.0,0.9764301180839539,3259
-38544.453125,1046069632.0,-83866.48627508999,178,7249,-8.369806289672852,73.59,580000,0.0001,1.1920928955078125e-07,0.9764845967292786,3257
-11372.4892578125,15800126.0,-73347.94713781001,181,7374,-8.367583274841309,88.44,590000,0.0001,-1.1920928955078125e-07,0.9760961532592773,3256
-7356.671875,361901504.0,-93031.40263367,184,7499,-8.365044593811035,72.99,600000,0.0001,0.0,0.975834310054779,3255
-102433.5625,646284992.0,-93023.27210458,187,7624,-8.365764617919922,76.26,610000,0.0001,0.0,0.9758288264274597,3253
-73923.21875,511288256.0,-77810.44930932,190,7749,-8.36330795288086,72.78,620000,0.0001,0.0,0.9755268096923828,3252
-132035.078125,607730048.0,-82241.34514963,193,7874,-8.35976505279541,78.34,630000,0.0001,5.960464477539063e-08,0.9748483300209045,3251
-9955.060546875,18625288.0,-92599.3016714,196,7999,-8.360699653625488,84.21,640000,0.0001,5.960464477539063e-08,0.9750900864601135,3250
-124653.609375,1024592064.0,-73051.70138042,200,8124,-8.359082221984863,78.91,650000,0.0001,0.0,0.9747567176818848,3248
5520.5859375,15605222.0,-67943.89663328,203,8249,-8.35405158996582,80.73,660000,0.0001,0.0,0.9738990664482117,3248
-24698.70703125,30169994.0,-62770.454091,206,8374,-8.354050636291504,88.17,670000,0.0001,-1.1920928955078125e-07,0.9739659428596497,3246
-50043.19921875,434848960.0,-65787.67582858,209,8499,-8.350702285766602,87.45,680000,0.0001,5.960464477539063e-08,0.9734399914741516,3245
59744.3671875,694795584.0,-54501.094691599996,212,8624,-8.347643852233887,85.91,690000,0.0001,-2.384185791015625e-07,0.9729249477386475,3244
-114809.8125,569297472.0,-49670.44529599001,215,8749,-8.349974632263184,85.92,700000,0.0001,0.0,0.9732484221458435,3243
-49187.45703125,450078208.0,-39781.596175,218,8874,-8.342583656311035,75.92,710000,0.0001,0.0,0.9720463156700134,3242
-39903.12890625,192638016.0,-57056.3221651,222,8999,-8.336739540100098,81.68,720000,0.0001,0.0,0.9711146354675293,3241
70246.6484375,485232192.0,-63064.78393087,225,9124,-8.331114768981934,82.07,730000,0.0001,-1.1920928955078125e-07,0.9702315926551819,3240
103927.234375,1274326912.0,-69819.71426435,228,9249,-8.32688045501709,85.02,740000,0.0001,0.0,0.9695296883583069,3239
-10754.8232421875,14231720.0,-53115.39499743,231,9374,-8.320602416992188,90.71,750000,0.0001,0.0,0.9685793519020081,3238
85002.140625,571135808.0,-48535.97439486001,234,9499,-8.320319175720215,96.69,760000,0.0001,0.0,0.968606173992157,3238
-93143.234375,776403072.0,-56936.47523434,237,9624,-8.317862510681152,93.55,770000,0.0001,-2.384185791015625e-07,0.9681529402732849,3237
47031.0234375,538542912.0,-32118.608861709996,241,9749,-8.313727378845215,85.81,780000,0.0001,0.0,0.9674449563026428,3236
