train/actor_loss,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_len_mean
39152.83984375,5517,0.001,59974,-160771.82934259,254,0.3340015113353729,240000,15565752.0,28.08576774597168,944,466.86
37481.78125,5540,0.001,62474,-155303.0181638,254,1.4840233325958252,250000,29237938.0,27.574125289916992,983,432.01
35642.71875,5565,0.001,64974,-158036.02048012,254,-1.8632521629333496,260000,10921781.0,25.500534057617188,1022,387.36
34709.859375,5576,0.001,67474,-173512.82560151,254,-0.3683710992336273,270000,13700142.0,26.216184616088867,1061,468.87
34342.7421875,5594,0.001,69974,-170641.14219921,254,-0.5955729484558105,280000,12845814.0,25.70795440673828,1100,510.5
33010.7890625,5610,0.001,72474,-163337.75215547,254,0.6264071464538574,290000,18626512.0,26.778186798095703,1139,505.18
31081.517578125,5626,0.001,74974,-167018.60872365,254,-0.6822264790534973,300000,19586572.0,25.287023544311523,1178,574.34
30216.06640625,5651,0.001,77474,-163154.72234237,254,1.2952358722686768,310000,14371846.0,26.64473533630371,1216,536.74
28241.3828125,5663,0.001,79974,-168885.2591934,254,2.9615907669067383,320000,32276768.0,24.952285766601562,1255,602.23
27158.01953125,5677,0.001,82474,-166761.63140001,254,-0.579780101776123,330000,11707268.0,27.124094009399414,1294,588.29
25619.955078125,5690,0.001,84974,-185258.21673469,254,2.250318765640259,340000,17615448.0,25.739233016967773,1333,638.46
23702.98828125,5714,0.001,87474,-210174.91526091003,254,-0.73294997215271,350000,16581404.0,25.28628921508789,1372,590.58
23621.888671875,5723,0.001,89974,-211533.58398961,255,-0.45849624276161194,360000,12824208.0,25.543678283691406,1411,619.41
22067.2421875,5735,0.001,92474,-210441.80546380996,255,0.9415394067764282,370000,36240036.0,23.946380615234375,1450,662.86
23696.576171875,5745,0.001,94974,-209186.28725557003,255,-0.8070083856582642,380000,31016736.0,24.248348236083984,1489,735.27
19825.57421875,5759,0.001,97474,-207013.11886252006,255,1.406145691871643,390000,21862468.0,26.07733154296875,1529,732.27
20067.27734375,5771,0.001,99974,-199307.55445874002,255,-0.9306095838546753,400000,28549056.0,24.45592498779297,1568,769.75
16810.62109375,5783,0.001,102474,-186277.43804151996,254,0.6650364995002747,410000,12490870.0,19.6278076171875,1611,746.78
15511.2265625,5795,0.001,104974,-174707.91364204005,253,-2.596097469329834,420000,28246776.0,23.52265739440918,1654,762.05
