train/policy_objective,train/kl_divergence_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/fps,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/is_line_search_success,time/time_elapsed,train/std
0.06352568417787552,0.005184850189834833,0.001,0.0,-242758.48178761,1,1542,50.75,10000,5519074681.6,1.0,6,0.995803713798523
0.044649332761764526,0.004536764696240425,0.001,-1.1920928955078125e-07,-178611.80081906996,2,1549,42.63,20000,4035754258.4,1.0,12,1.0005717277526855
0.0390605553984642,0.005179407075047493,0.001,0.0,-150784.7764446,3,1552,37.25,30000,3747448142.4,1.0,19,0.9925673007965088
0.04471427574753761,0.004881951957941055,0.001,-1.1920928955078125e-07,-168237.66279454005,4,1551,43.79,40000,3430268591.2,1.0,25,0.9834352135658264
0.039804112166166306,0.005571138579398394,0.001,1.1920928955078125e-07,-141653.05511119,6,1472,36.94,50000,3136642692.8,1.0,33,0.9683087468147278
0.05086909979581833,0.005915941204875708,0.001,5.960464477539063e-08,-134229.30385007,7,1482,37.6,60000,3035219452.4,1.0,40,0.9740652441978455
0.04274972900748253,0.005033089779317379,0.001,0.0,-155640.44377230998,8,1491,46.16,70000,2899863035.2,1.0,46,0.9667835235595703
0.04280206188559532,0.004799411166459322,0.001,1.1920928955078125e-07,-133266.09803077002,9,1497,42.21,80000,2898813963.0,1.0,53,0.9570429921150208
0.0493437834084034,0.005009560380131006,0.001,0.0,-133675.81117157004,10,1501,38.64,90000,2706515121.4,1.0,59,0.9446990489959717
0.053020671010017395,0.005549556575715542,0.001,0.0,-147877.7157067,12,1471,50.0,100000,2596601003.4,1.0,67,0.9399552941322327
0.051079995930194855,0.004590197000652552,0.001,-1.1920928955078125e-07,-152206.33295951,13,1476,56.2,110000,2350268040.2,1.0,74,0.9459680914878845
0.05130656063556671,0.005434331949800253,0.001,-1.1920928955078125e-07,-153378.82031962,14,1481,60.8,120000,2385744058.2,1.0,80,0.9485522508621216
0.052009038627147675,0.005683760158717632,0.001,5.960464477539063e-08,-155136.44606015,15,1486,62.68,130000,2206934477.6,1.0,87,0.9486978054046631
0.05515558645129204,0.005534376483410597,0.001,-1.1920928955078125e-07,-131805.89961989,17,1467,53.48,140000,2092647114.8,1.0,95,0.9512765407562256
0.05168420821428299,0.005945652723312378,0.001,5.960464477539063e-08,-142195.38848978997,18,1472,66.72,150000,1970485032.8,1.0,101,0.9346141815185547
0.05570163577795029,0.007318188901990652,0.001,0.0,-121819.07826534999,19,1476,58.82,160000,1985705305.8,1.0,108,0.9431788921356201
0.055424682796001434,0.006083816289901733,0.001,-1.1920928955078125e-07,-104344.93323519,20,1479,62.06,170000,1737682208.4,1.0,114,0.9420248866081238
0.06295502185821533,0.006275107618421316,0.001,0.0,-109591.81935453,21,1483,70.2,180000,1707562911.8,1.0,121,0.9465652108192444
0.05842798575758934,0.006415794603526592,0.001,-1.1920928955078125e-07,-117289.81595920998,23,1469,77.97,190000,1406956774.0,1.0,129,0.9456348419189453
0.0596301443874836,0.006268566474318504,0.001,0.0,-126161.30414174,24,1473,97.07,200000,1343209036.3,1.0,135,0.9370152950286865
0.055571891367435455,0.006662694737315178,0.001,-1.1920928955078125e-07,-118222.23332641002,25,1477,113.52,210000,1109379156.7,1.0,142,0.9321085810661316
0.05897209793329239,0.00738351047039032,0.001,-1.1920928955078125e-07,-90300.83753136,26,1481,132.29,220000,899298016.25,1.0,148,0.9195950627326965
