train/std,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/policy_loss,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance
1.0228179693222046,-264377.4812793049,5,119.15853658536585,499,10000,-31728.015625,1687,58939316.0,-8.649185180664062,0.0007,-7.152557373046875e-07
1.0263854265213013,-156677.58804155,11,76.26,999,20000,-89899.21875,1685,197835728.0,-8.667335510253906,0.0007,0.0
1.0302070379257202,-143916.82939169,17,69.72,1499,30000,-32964.46484375,1671,49119232.0,-8.689580917358398,0.0007,0.0
1.0432188510894775,-130292.48132644,23,71.81,1999,40000,-187722.90625,1678,2371794432.0,-8.75985050201416,0.0007,-1.1920928955078125e-07
1.067690134048462,-124826.44327375002,29,46.9,2499,50000,-4646.2529296875,1676,7236680.0,-8.900971412658691,0.0007,1.1920928955078125e-07
1.066095232963562,-119084.78594820999,35,55.57,2999,60000,1530.089599609375,1673,186779.09375,-8.891816139221191,0.0007,0.0
1.0783990621566772,-93090.45382488,41,66.16,3499,70000,7098.34619140625,1669,1536623.875,-8.963349342346191,0.0007,1.7881393432617188e-07
1.0851110219955444,-134787.19497494,48,71.01,3999,80000,-12025.970703125,1665,23930944.0,-8.99751091003418,0.0007,0.0
1.0900601148605347,-87399.23659383999,54,61.11,4499,90000,-24373.751953125,1660,24745284.0,-9.025947570800781,0.0007,0.0
1.1045598983764648,-108903.40653851001,60,57.12,4999,100000,-840.7244262695312,1661,13973322.0,-9.099148750305176,0.0007,0.0
1.1122918128967285,-122281.52481309003,66,59.96,5499,110000,-31976.609375,1659,113536912.0,-9.138582229614258,0.0007,0.0
1.116918921470642,-78916.75972611,72,72.32,5999,120000,-150313.609375,1657,1521119872.0,-9.161832809448242,0.0007,0.0
1.1300116777420044,-83875.54285113,78,97.3,6499,130000,-715.9915161132812,1657,9215.197265625,-9.230181694030762,0.0007,0.0
1.1233490705490112,-44790.8272423,84,79.14,6999,140000,289989.4375,1657,2530299904.0,-9.190886497497559,0.0007,0.0
1.1177619695663452,-46743.66435559999,90,84.62,7499,150000,18935.85546875,1656,9521809.0,-9.163101196289062,0.0007,1.7881393432617188e-07
1.113918423652649,-95454.68837461002,96,81.01,7999,160000,-14377.1220703125,1655,10240024.0,-9.143936157226562,0.0007,0.0
1.1246756315231323,-111576.19061547998,102,119.98,8499,170000,-279585.375,1655,2463535616.0,-9.200812339782715,0.0007,-1.1920928955078125e-07
1.1188424825668335,-61325.11418703,108,99.77,8999,180000,-498.463134765625,1654,3592.664794921875,-9.165809631347656,0.0007,1.1920928955078125e-07
1.1284754276275635,-109438.48213482,114,76.29,9499,190000,-248797.171875,1652,2413047296.0,-9.216948509216309,0.0007,0.0
1.1250981092453003,-97883.57921771001,121,61.38,9999,200000,-509.59527587890625,1652,4762.3330078125,-9.186370849609375,0.0007,0.0
1.1188902854919434,-93022.58190805,127,121.44,10499,210000,-35586.09765625,1652,501189952.0,-9.151612281799316,0.0007,1.1920928955078125e-07
1.1416778564453125,-84605.56819634,133,77.75,10999,220000,5954.009765625,1652,1342228.25,-9.270180702209473,0.0007,0.0
1.132615327835083,-70323.00076475,139,139.55,11499,230000,-26218.23046875,1653,25224656.0,-9.221890449523926,0.0007,0.0
1.1343320608139038,-51511.81831644,145,201.68,11999,240000,6094.0537109375,1653,1820257.0,-9.226828575134277,0.0007,0.0
1.1313954591751099,-92337.8774733,151,92.35,12499,250000,3499.55712890625,1654,1183001.75,-9.213271141052246,0.0007,0.0
1.1411631107330322,-95101.40399516001,157,88.97,12999,260000,-650.9247436523438,1654,7689.9755859375,-9.256575584411621,0.0007,-1.1920928955078125e-07
1.141320824623108,-105453.60962474001,163,163.14,13499,270000,-882.5389404296875,1655,14233.1591796875,-9.251996040344238,0.0007,5.960464477539063e-08
1.1360329389572144,-96522.62017396001,169,164.28,13999,280000,14972.796875,1655,4808611.5,-9.214520454406738,0.0007,-1.1920928955078125e-07
1.1411938667297363,-86952.31491218001,175,110.37,14499,290000,-38727.7265625,1656,40163124.0,-9.238081932067871,0.0007,0.0
1.1449332237243652,-93654.36517863,181,204.39,14999,300000,830.5260009765625,1654,123895.4375,-9.2483491897583,0.0007,0.0
1.1607788801193237,-66904.35133717999,187,253.53,15499,310000,93231.828125,1652,1008939904.0,-9.325698852539062,0.0007,0.0
1.166428565979004,-55233.06099859,193,204.82,15999,320000,-647.1879272460938,1652,10670.498046875,-9.360695838928223,0.0007,-1.1920928955078125e-07
