train/std,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/policy_loss,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance
1.176697850227356,-113458.20562072001,200,231.41,16499,330000,-578.24072265625,1649,6504.966796875,-9.414833068847656,0.0007,0.0
1.1789486408233643,-192067.30034603,206,237.67,16999,340000,-7024.44677734375,1650,5178327.0,-9.432578086853027,0.0007,0.0
1.1865087747573853,-96910.87576517001,212,128.35,17499,350000,1123.7384033203125,1649,228293.5,-9.464373588562012,0.0007,0.0
1.1788619756698608,-49388.17759880001,218,156.06,17999,360000,-19706.779296875,1648,45370768.0,-9.419907569885254,0.0007,-1.1920928955078125e-07
1.1733897924423218,-107062.34538933,224,141.04,18499,370000,-7056.9677734375,1648,5000802.5,-9.401865005493164,0.0007,0.0
1.1909092664718628,-213240.61232677996,230,175.84,18999,380000,-30370.80078125,1647,29259296.0,-9.490647315979004,0.0007,0.0
1.185928463935852,-191757.01923400993,236,166.13,19499,390000,-861.2447509765625,1646,12813.0546875,-9.477530479431152,0.0007,0.0
1.1815093755722046,-95310.25170317,242,210.82,19999,400000,8436.0537109375,1646,6171591.0,-9.456694602966309,0.0007,0.0
1.1811637878417969,-76167.82995092,248,248.87,20499,410000,-44690.05859375,1646,153979296.0,-9.446259498596191,0.0007,1.1920928955078125e-07
1.1798173189163208,-49482.60695386,255,200.46,20999,420000,1174.4859619140625,1646,121519.015625,-9.440896034240723,0.0007,0.0
1.1694525480270386,-63656.23217846999,261,150.31,21499,430000,-37150.13671875,1647,503465824.0,-9.381209373474121,0.0007,0.0
1.1774834394454956,-64804.59499182,267,133.67,21999,440000,-456.82928466796875,1647,2902.84423828125,-9.426605224609375,0.0007,-2.384185791015625e-07
1.165935754776001,-26636.38174295,273,172.15,22499,450000,207353.09375,1647,2050879232.0,-9.36765193939209,0.0007,2.384185791015625e-07
1.166429877281189,6653.387754639998,279,186.95,22999,460000,-735.5000610351562,1646,8871.4091796875,-9.375414848327637,0.0007,5.960464477539063e-08
1.1727384328842163,-5621.146063350004,285,249.73,23499,470000,-56669.54296875,1646,110132944.0,-9.404051780700684,0.0007,0.0
1.1746569871902466,-47118.40604738,291,317.06,23999,480000,-198528.34375,1647,1929265920.0,-9.423408508300781,0.0007,-1.1920928955078125e-07
1.1696327924728394,-93033.93467906,297,349.82,24499,490000,-539.2747802734375,1647,5953.1982421875,-9.392923355102539,0.0007,0.0
1.1706393957138062,-128270.45633796001,303,340.6,24999,500000,-496.2952575683594,1647,3832.372314453125,-9.396339416503906,0.0007,0.0
1.1685317754745483,-104164.88170672998,309,216.74,25499,510000,-5871.51806640625,1647,4637270.5,-9.382925987243652,0.0007,0.0
1.177320122718811,-109068.9805458,315,243.51,25999,520000,-18373.12890625,1647,20715290.0,-9.426360130310059,0.0007,1.1920928955078125e-07
1.1806811094284058,-111447.04558338,321,320.69,26499,530000,-8848.177734375,1646,6944329.5,-9.439765930175781,0.0007,5.960464477539063e-08
1.1867581605911255,-54260.84949338,327,352.62,26999,540000,8172.72265625,1646,3818215.5,-9.476888656616211,0.0007,0.0
1.1985706090927124,1418.5120836900012,334,211.64,27499,550000,-16413.46875,1646,25468898.0,-9.52895450592041,0.0007,0.0
1.1916121244430542,-48516.60130613999,340,136.67,27999,560000,8807.173828125,1646,2748147.0,-9.494812965393066,0.0007,0.0
1.1945797204971313,-65510.99669547,346,125.6,28499,570000,-548.9666748046875,1646,5327.70068359375,-9.501086235046387,0.0007,0.0
1.2072519063949585,-66017.77077649001,352,204.06,28999,580000,-27140.703125,1646,24694244.0,-9.567160606384277,0.0007,0.0
1.2106571197509766,-37804.283630950005,358,274.19,29499,590000,-30931.119140625,1646,45705988.0,-9.57645320892334,0.0007,0.0
1.213818073272705,-14786.763177350003,364,293.54,29999,600000,-737.6279907226562,1646,10981.48828125,-9.606954574584961,0.0007,-1.1920928955078125e-07
1.225887417793274,-38168.071275559996,370,316.71,30499,610000,5109.7060546875,1646,1187914.125,-9.674895286560059,0.0007,0.0
1.223083257675171,-53325.91716206001,376,360.39,30999,620000,107.54510498046875,1647,24304.046875,-9.655200004577637,0.0007,0.0
1.2104518413543701,-124630.80398991998,382,342.53,31499,630000,-12863.5029296875,1646,9039806.0,-9.596528053283691,0.0007,0.0
1.2170873880386353,-103020.36464356001,388,281.21,31999,640000,-396.4130859375,1647,2294.26220703125,-9.6250581741333,0.0007,0.0
1.2131577730178833,-45393.531781809994,394,203.69,32499,650000,3509.714111328125,1647,2285453.25,-9.608856201171875,0.0007,0.0
1.213152289390564,-627.1065610799991,400,165.08,32999,660000,9837.611328125,1647,6642415.0,-9.601288795471191,0.0007,0.0
1.2002135515213013,36341.134186049996,406,169.95,33499,670000,8898.986328125,1647,6646185.5,-9.541496276855469,0.0007,0.0
1.2004646062850952,-25605.232769280006,412,128.16,33999,680000,91913.28125,1647,1008034496.0,-9.543959617614746,0.0007,0.0
1.1968432664871216,-28331.543462670004,418,138.95,34499,690000,123746.703125,1646,1017095296.0,-9.52258014678955,0.0007,0.0
1.1837778091430664,-109357.41034014002,425,93.0,34999,700000,-9014.138671875,1646,10768880.0,-9.457022666931152,0.0007,0.0
1.1827363967895508,-52533.32435035999,431,167.82,35499,710000,1826.3140869140625,1646,293505.1875,-9.453485488891602,0.0007,0.0
1.1594959497451782,13241.00143109,437,190.87,35999,720000,633.3050537109375,1645,49371.59765625,-9.33577823638916,0.0007,0.0
1.157678246498108,7713.893721279997,443,134.59,36499,730000,-527.1448974609375,1645,5605.93359375,-9.319573402404785,0.0007,2.384185791015625e-07
1.1728637218475342,11422.7700373,449,199.34,36999,740000,-592.3726806640625,1645,5577.26953125,-9.393699645996094,0.0007,0.0
1.1787911653518677,260.0222567499992,455,247.46,37499,750000,-9124.408203125,1645,10209798.0,-9.426756858825684,0.0007,0.0
1.1803642511367798,10748.782981719998,462,155.84,37999,760000,-45956.04296875,1645,87102080.0,-9.434667587280273,0.0007,-1.1920928955078125e-07
1.193351149559021,-6671.446245020001,468,120.6,38499,770000,6106.78857421875,1644,2778250.5,-9.49263858795166,0.0007,-0.0004826784133911133
1.1938143968582153,-75944.08245597,474,57.97,38999,780000,4645.9189453125,1644,683513.3125,-9.502106666564941,0.0007,0.005225956439971924
1.1878148317337036,-11790.833626680002,480,89.91,39499,790000,1810.224609375,1644,326883.75,-9.472799301147461,0.0007,0.022427499294281006
1.1769424676895142,-65842.44189145,486,97.78,39999,800000,-23062.67578125,1644,19970560.0,-9.41947078704834,0.0007,-7.867813110351562e-06
1.187240481376648,-97014.14679452,492,131.43,40499,810000,-11574.0859375,1644,10227680.0,-9.473594665527344,0.0007,-0.00035583972930908203
1.192452073097229,-94118.17155895001,498,165.59,40999,820000,2569.122314453125,1644,420574.6875,-9.501372337341309,0.0007,0.007270991802215576
1.2008769512176514,-100967.71244383,504,48.4,41499,830000,-4961.06396484375,1643,5162375.0,-9.528740882873535,0.0007,1.7881393432617188e-07
1.2176541090011597,-81715.06192733,510,158.11,41999,840000,-680.1957397460938,1643,7754.83984375,-9.607754707336426,0.0007,4.9173831939697266e-05
1.2307281494140625,-62899.22719590999,517,253.98,42499,850000,-11978.826171875,1644,10207920.0,-9.681353569030762,0.0007,0.002068161964416504
1.237214207649231,622.9895356399991,523,346.27,42999,860000,583.2698974609375,1644,52437.90625,-9.713918685913086,0.0007,0.22779130935668945
1.239193320274353,-70730.49536152,529,48.62,43499,870000,-512.3274536132812,1644,4631.8466796875,-9.718914985656738,0.0007,0.00025326013565063477
1.2517935037612915,-81227.27531876999,535,32.7,43999,880000,-7100.3564453125,1644,11945030.0,-9.783454895019531,0.0007,0.04663664102554321
1.2469836473464966,-106473.99575218,541,26.45,44499,890000,-734.3623046875,1643,7535.1630859375,-9.759902000427246,0.0007,-2.574920654296875e-05
1.2550292015075684,-103372.96770452999,547,106.0,44999,900000,2839.915283203125,1644,442799.75,-9.795393943786621,0.0007,4.410743713378906e-06
1.2637277841567993,-87921.68666448003,553,208.79,45499,910000,382.62933349609375,1644,46446.11328125,-9.83229923248291,0.0007,0.09673118591308594
1.2792049646377563,-70707.53383192,559,171.84,45999,920000,-745.0914306640625,1644,8822.677734375,-9.909347534179688,0.0007,-0.00011849403381347656
1.2885079383850098,-81177.80943303001,565,201.93,46499,930000,258467.21875,1644,2201859072.0,-9.937315940856934,0.0007,0.0
1.2848080396652222,-84013.51421441,571,33.9,46999,940000,-4721.3154296875,1644,29413872.0,-9.928680419921875,0.0007,0.10257428884506226
1.2705456018447876,-94835.09509090001,577,117.68,47499,950000,-803.6807861328125,1643,8503.4677734375,-9.857937812805176,0.0007,0.0001506805419921875
1.2639847993850708,-70134.79428181,584,77.05,47999,960000,-29780.84765625,1643,43047308.0,-9.832091331481934,0.0007,0.06932729482650757
1.2504850625991821,-44899.05170507001,590,158.56,48499,970000,-1481.073486328125,1643,62750.0,-9.76669979095459,0.0007,-15.597972869873047
1.2520276308059692,-15743.353621150003,596,195.06,48999,980000,-659.7652587890625,1643,29228.447265625,-9.777246475219727,0.0007,0.8063623458147049
1.2422003746032715,-70346.72574493999,602,149.56,49499,990000,260259.625,1643,2578659840.0,-9.741493225097656,0.0007,-0.007427096366882324
1.2580877542495728,-148795.91390969,608,191.61,49999,1000000,-734.7850341796875,1642,8302.8662109375,-9.816611289978027,0.0007,-0.0002084970474243164
