train/std,time/fps,train/policy_loss,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
1.0200556516647339,1456,-93159.984375,-358848.4718223158,187132576.0,10000,122.57894736842105,6,0.0007,-1.1920928955078125e-07,-12.944665908813477,499
1.0210176706314087,1474,-7388.38037109375,-263950.97674053,5246638.5,20000,108.77,13,0.0007,-1.1920928955078125e-07,-12.954217910766602,999
1.0247328281402588,1482,-1123.7225341796875,-199032.08495587,9140.0126953125,30000,86.86,20,0.0007,-1.1920928955078125e-07,-12.986227035522461,1499
1.0331568717956543,1484,-28990.83203125,-182030.82500499004,22192060.0,40000,72.52,26,0.0007,-1.1920928955078125e-07,-13.056989669799805,1999
1.044020175933838,1484,-72587.609375,-206169.28259260004,80757664.0,50000,83.65,33,0.0007,0.0,-13.153593063354492,2499
1.0507900714874268,1484,-113306.7265625,-197156.47412442998,159065680.0,60000,85.04,40,0.0007,0.0,-13.202909469604492,2999
1.0618504285812378,1482,9674.8037109375,-189389.90759592998,2747342.5,70000,75.13,47,0.0007,0.0,-13.297904968261719,3499
1.0703407526016235,1480,-73128.03125,-197064.12078376996,518728544.0,80000,78.67,54,0.0007,0.0,-13.36937141418457,3999
1.0755774974822998,1476,-12802.109375,-194098.93548976,14755274.0,90000,91.3,60,0.0007,0.0,-13.408388137817383,4499
1.0902549028396606,1471,-400049.5625,-165482.90428948,2562532608.0,100000,74.58,67,0.0007,0.0,-13.531694412231445,4999
1.0991437435150146,1465,-391672.34375,-175505.66040224995,2812002560.0,110000,77.53,75,0.0007,-1.1920928955078125e-07,-13.606023788452148,5499
1.1143383979797363,1459,-33323.46484375,-166716.36252970004,45709012.0,120000,62.85,82,0.0007,1.1920928955078125e-07,-13.730936050415039,5999
1.119321346282959,1455,-50255.265625,-138316.08206896,32156826.0,130000,54.77,89,0.0007,0.0,-13.768083572387695,6499
1.1306579113006592,1451,-131792.71875,-177510.52293176,190996960.0,140000,70.9,96,0.0007,0.0,-13.862203598022461,6999
1.141701102256775,1448,-305177.8125,-143135.97591299,2395344128.0,150000,56.12,103,0.0007,0.0,-13.943803787231445,7499
1.1579372882843018,1446,-345673.40625,-166382.42981997,2033667456.0,160000,59.92,110,0.0007,2.384185791015625e-07,-14.071657180786133,7999
1.165845274925232,1444,-73408.4296875,-141326.56162574998,74832952.0,170000,60.14,117,0.0007,0.0,-14.132055282592773,8499
1.179257869720459,1442,-30489.11328125,-181793.41238059002,20512662.0,180000,78.61,124,0.0007,-1.1920928955078125e-07,-14.233377456665039,8999
