train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,train/entropy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/explained_variance,train/policy_loss,train/learning_rate
5597977600.0,-734764.1910118002,50.57,1.0015686750411987,1874,-17.046363830566406,1555,150000,96,1.7881393432617188e-07,-1202262.875,0.0001
5671798272.0,-791963.1883404899,55.13,1.0012881755828857,1999,-17.04334259033203,1554,160000,102,5.960464477539063e-08,-1270812.25,0.0001
5850545152.0,-746515.03096931,51.85,1.0013096332550049,2124,-17.043237686157227,1553,170000,109,0.0,-1215312.125,0.0001
8623369216.0,-779816.2125038399,54.47,1.0012303590774536,2249,-17.041231155395508,1553,180000,115,0.0,-1426082.0,0.0001
6658089472.0,-753583.2878709601,53.89,1.0006967782974243,2374,-17.03592300415039,1553,190000,122,0.0,-1318302.25,0.0001
5628392448.0,-740347.6639965099,52.51,1.0005189180374146,2499,-17.03367805480957,1553,200000,128,1.1920928955078125e-07,-1216113.25,0.0001
6224844800.0,-750385.3532370301,53.27,1.000390887260437,2624,-17.031639099121094,1553,210000,135,1.1920928955078125e-07,-1220496.75,0.0001
5806115840.0,-846059.2489240698,60.8,1.0003117322921753,2749,-17.030384063720703,1554,220000,141,1.1920928955078125e-07,-1155436.25,0.0001
5658782720.0,-766351.1345925899,54.76,1.0002622604370117,2874,-17.030590057373047,1555,230000,147,0.0,-1217470.0,0.0001
4445836288.0,-795328.5813686699,56.44,1.0005842447280884,2999,-17.033594131469727,1556,240000,154,2.384185791015625e-07,-1029552.3125,0.0001
4976699392.0,-858263.5314476299,61.74,1.0005379915237427,3124,-17.033876419067383,1556,250000,160,-2.384185791015625e-07,-1129399.375,0.0001
5969411072.0,-753128.76323508,53.45,1.0005298852920532,3249,-17.033048629760742,1553,260000,167,1.7881393432617188e-07,-1193340.25,0.0001
6152391168.0,-746273.0626184499,53.76,1.0001482963562012,3374,-17.028766632080078,1553,270000,173,-1.1920928955078125e-07,-1245215.75,0.0001
5820227584.0,-751910.25100775,53.72,1.0001477003097534,3499,-17.028779983520508,1552,280000,180,0.0,-1195093.25,0.0001
6703275520.0,-718676.48981977,50.74,1.0002665519714355,3624,-17.029844284057617,1552,290000,186,-1.1920928955078125e-07,-1256020.75,0.0001
6453940224.0,-738935.52061808,53.62,1.0000642538070679,3749,-17.028440475463867,1551,300000,193,-1.1920928955078125e-07,-1299464.75,0.0001
5493016064.0,-749382.3030171097,53.82,1.0000057220458984,3874,-17.027320861816406,1550,310000,199,-1.1920928955078125e-07,-1198798.25,0.0001
