train/clip_fraction,train/n_updates,time/total_timesteps,train/clip_range,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed
0.00029296875,10,10000,0.2,0.0017394448,0.999939501285553,-304570.15790467,52.82,-17.026944498717786,1322,-0.0027963951601122972,6566597915.6,0.0003,3.993511199951172e-06,3195309056.0,7
3.662109375e-05,20,20000,0.2,0.001064419,0.9997515678405762,-286493.62229278,50.02,-17.02547200769186,1353,-0.0020185822576422653,6280696077.6,0.0003,-1.1920928955078125e-07,3151768832.0,14
0.0,30,30000,0.2,0.0006875523,0.9993529915809631,-275959.60486630996,48.73,-17.021912898123265,1352,-0.0013958261368316016,6117540929.6,0.0003,-1.1920928955078125e-07,3014629888.0,22
0.0,40,40000,0.2,0.00040034263,0.9992711544036865,-245576.70798707005,43.54,-17.01902285516262,1355,-0.0009788298067178402,6296171506.0,0.0003,-2.384185791015625e-07,3512551424.0,29
1.220703125e-05,60,50000,0.2,0.0010347093,0.9994080662727356,-251058.41591885005,43.48,-17.01990726441145,1250,-0.0017946044306881958,6169963334.0,0.0003,0.0,3042457856.0,39
0.0,70,60000,0.2,0.0005529853,0.9990944266319275,-233931.34714509003,40.88,-17.01829227954149,1271,-0.0012762994992044697,6388536700.0,0.0003,-1.1920928955078125e-07,3341959424.0,47
0.0,80,70000,0.2,0.00019233904,0.998925507068634,-258598.91267815005,45.77,-17.01537534147501,1286,-0.0008494923980833846,6461253861.2,0.0003,-1.1920928955078125e-07,2766569728.0,54
0.0,90,80000,0.2,0.0007803695,0.9988716244697571,-223468.30353501998,37.22,-17.014003098011017,1297,-0.001563486038139672,6249311162.8,0.0003,0.0,3106827520.0,61
0.0,100,90000,0.2,0.0004725075,0.99896639585495,-228920.84792194,38.45,-17.014236350357532,1305,-0.001121060666628182,6118024193.6,0.0003,-1.1920928955078125e-07,3043590656.0,68
0.0,120,100000,0.2,0.00017865065,0.9988627433776855,-232508.99175480005,40.48,-17.01497411429882,1257,-0.0007276590233232128,6085097783.2,0.0003,1.1920928955078125e-07,3125789184.0,79
0.0,130,110000,0.2,0.00027772185,0.9987068176269531,-263269.64245284,47.17,-17.012668465077876,1267,-0.0008019488032005029,6343896087.2,0.0003,2.384185791015625e-07,2963790080.0,86
0.0,140,120000,0.2,0.00048675627,0.9987261295318604,-237449.23220422998,41.71,-17.01182363629341,1276,-0.0011012195505827548,6010968805.6,0.0003,0.0,3196866560.0,94
0.0,150,130000,0.2,0.00037491758,0.9985659122467041,-250297.89309549003,44.23,-17.0110375598073,1283,-0.0010407805653812829,6118664580.8,0.0003,0.0,2975671296.0,101
0.0,170,140000,0.2,0.00027106574,0.9984096884727478,-239755.13515607998,42.27,-17.00920539498329,1253,-0.0008771259233981254,6144892490.8,0.0003,0.0,3280228608.0,111
0.0,180,150000,0.2,0.0006073497,0.9984317421913147,-206837.61409870992,35.08,-17.00825141221285,1261,-0.0013251397154817822,6193084659.6,0.0003,-1.1920928955078125e-07,2922247936.0,118
0.0,190,160000,0.2,0.00083461683,0.9981164932250977,-214726.13963183,37.01,-17.00651208162308,1270,-0.00159572984011902,5768279687.2,0.0003,1.1920928955078125e-07,2783631360.0,125
0.0,200,170000,0.2,0.00053018855,0.9979665279388428,-231259.17503537002,40.8,-17.003737661242486,1277,-0.0011228031651626224,5942571083.6,0.0003,1.7881393432617188e-07,2902639872.0,133
0.0,210,180000,0.2,0.00043366023,0.9978386759757996,-218729.18958054998,38.45,-17.00198602825403,1281,-0.0011199520274203679,6174285428.0,0.0003,-1.1920928955078125e-07,3093071360.0,140
0.0,230,190000,0.2,0.0006042997,0.9971871376037598,-211485.65803221994,35.54,-16.99588967859745,1260,-0.0014518000736643444,5938744919.6,0.0003,0.0,2714130432.0,150
0.0,240,200000,0.2,0.00033547767,0.9967934489250183,-219775.31382182,40.5,-16.99107351899147,1266,-0.0008248797423220822,5558076650.8,0.0003,0.0,2777690624.0,157
0.0,250,210000,0.2,0.0003663929,0.9967071413993835,-234916.53983693,40.37,-16.988139605522157,1272,-0.0010330341048756964,5637750479.4,0.0003,0.0,2737120000.0,164
