rollout/ep_len_mean,train/approx_kl,time/fps,train/std,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance
69.92,0.0005522765,1580,0.9928917288780212,1296698112.0,-12.706733801960945,540,-0.0009433458735657041,0.0,0.2,2888727981.1,-227043.14482924,0.0003,450000,284,-1.1920928955078125e-07
72.7,0.00060545275,1568,0.992631196975708,1386622464.0,-12.703996948152781,560,-0.0009453366004890995,0.0,0.2,2735302728.4,-219670.06564565992,0.0003,460000,293,0.0
70.57,0.0009244488,1571,0.9923071265220642,1145797504.0,-12.701896407455205,570,-0.0014073381702473854,0.0,0.2,2655404512.7,-227535.34866528,0.0003,470000,299,-1.1920928955078125e-07
67.13,0.0008127586,1574,0.9924633502960205,1240773760.0,-12.701009722054005,580,-0.0013271237277876935,0.0,0.2,2948564787.4,-216387.95981762,0.0003,480000,304,-1.1920928955078125e-07
60.68,0.00038300097,1577,0.9921401143074036,1469656960.0,-12.700301993638277,590,-0.0008162800049831276,0.0,0.2,2981102681.4,-200411.84464585,0.0003,490000,310,-1.1920928955078125e-07
65.05,0.001186758,1566,0.9912541508674622,1160283136.0,-12.694199392944574,610,-0.0018269581461936469,0.0,0.2,2815497686.3,-215701.35044215003,0.0003,500000,319,1.1920928955078125e-07
58.35,0.00091695826,1568,0.991760790348053,1330840832.0,-12.693022653460503,620,-0.001328793287211738,0.0,0.2,2843287250.5,-197590.79228806,0.0003,510000,325,1.1920928955078125e-07
58.52,0.000339995,1571,0.9916718602180481,1805809920.0,-12.694935861229897,630,-0.0008345763128090767,0.0,0.2,3042688636.6,-197284.46641002997,0.0003,520000,330,1.1920928955078125e-07
57.24,0.000754879,1574,0.991301953792572,1227349888.0,-12.69275838881731,640,-0.001264696999987791,0.0,0.2,2574939991.9,-194723.68413456,0.0003,530000,336,0.0
63.91,0.00039789703,1576,0.9910156726837158,1148618368.0,-12.68979176133871,650,-0.0007715111221841652,0.0,0.2,2867399756.0,-196118.44125902,0.0003,540000,342,1.1920928955078125e-07
60.79,0.001056029,1566,0.9909178614616394,1586221824.0,-12.687775592505933,670,-0.0014893155783283873,0.0,0.2,2816056291.2,-206165.69648066,0.0003,550000,351,0.0
59.56,0.000657042,1569,0.9901694059371948,1360894976.0,-12.684146124124528,680,-0.0011627440571828629,0.0,0.2,2716941245.3,-192951.90466183994,0.0003,560000,356,0.0
66.51,0.00088787824,1571,0.9895589351654053,1265495040.0,-12.677990493923426,690,-0.0013301092350047838,1.220703125e-05,0.2,2598887391.7,-204468.2042063,0.0003,570000,362,0.0
57.99,0.001338056,1573,0.989173173904419,1240630528.0,-12.673396696895361,700,-0.0018757198089588202,0.00010986328125,0.2,2567089880.5,-186616.30332218,0.0003,580000,368,0.0
61.25,0.00055839226,1564,0.98830646276474,1264811520.0,-12.665452148020268,720,-0.0011329987189128588,0.0,0.2,2607922421.4,-193601.11792715,0.0003,590000,377,-1.1920928955078125e-07
63.07,0.00065248,1567,0.9882999062538147,1266107008.0,-12.663631903380155,730,-0.0010753461941931165,0.0,0.2,2767108929.2,-203707.13955419004,0.0003,600000,382,0.0
64.41,0.000781484,1569,0.9884446263313293,1233221632.0,-12.664217868447304,740,-0.0013428017718069897,0.0,0.2,2467919482.3,-182824.11946663004,0.0003,610000,388,0.0
63.69,0.00073851564,1571,0.988342821598053,1190064128.0,-12.664490152150393,750,-0.0012301503071284968,0.0,0.2,2484324093.8,-199122.31917725998,0.0003,620000,394,-1.1920928955078125e-07
