time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/iterations,train/step_size,train/learning_rate,train/delta_std,rollout/return_std
2019,10000,4,-15099618.441621501,509.75,,,,,
2110,20000,9,-20068816.064693335,673.1666666666666,,,,,
2114,30000,14,,,0,1.4746816615063274e-11,0.0018,0.05,15257531.0
2149,40000,18,-29980855.425773002,1000.0,,,,,
2172,50000,23,-21461052.597708143,716.4285714285714,,,,,
2177,60000,27,-17539386.955251504,586.9166666666666,,,,,
2178,70000,32,-10306503.418111,356.3333333333333,1,1.4701042466702674e-11,0.0018,0.05,15305038.0
2182,80000,36,-15193128.444528667,513.5,,,,,
2184,90000,41,-16489622.541535545,553.8181818181819,,,,,
2191,100000,45,-16145229.548682533,542.1333333333333,,,,,
2157,110000,50,-15025977.293468248,502.5,2,1.4788661614750787e-11,0.0018,0.05,15214358.0
2119,120000,56,-15017058.661235124,502.75,,,,,
2088,130000,62,-15090998.807402357,505.0,,,,,
2061,140000,67,-80840.2934925,7.0,3,1.471902461025465e-11,0.0018,0.05,15286340.0
2041,150000,73,-15089917.168902501,504.5,,,,,
2028,160000,78,-13716445.8083,458.8181818181818,,,,,
2018,170000,84,-142230.574262,12.0,4,1.4542961453145598e-11,0.0018,0.05,15471402.0
2024,180000,88,-20049609.250843666,670.6666666666666,,,,,
2029,190000,93,-17255803.290476426,581.0,,,,,
2033,200000,98,-17593781.505339917,590.0833333333334,,,,,
2038,210000,103,-18091655.198787533,606.1333333333333,,,,,
2041,220000,107,-12182274.6708142,408.4,5,1.510562508411084e-11,0.0018,0.05,14895113.0
2048,230000,112,-15135604.252668876,506.5,,,,,
2051,240000,117,-17593405.59886975,588.0,,,,,
2053,250000,121,-119848.863476,8.0,6,1.472139597724631e-11,0.0018,0.05,15283876.0
2056,260000,126,-22557885.17040725,752.0,,,,,
2059,270000,131,-25047724.876112,834.6666666666666,,,,,
2061,280000,135,-26706102.366167113,889.7777777777778,,,,,
2060,290000,140,-27294719.47697482,909.8181818181819,,,,,
2047,300000,146,-7681986.2752815,261.25,7,1.6827570586963603e-11,0.0018,0.05,13370914.0
2043,310000,151,-11374847.82174375,382.125,,,,,
2041,320000,156,-13958420.599255618,468.84615384615387,,,,,
2041,330000,161,,,8,1.4591624783455437e-11,0.0018,0.05,15419804.0
2023,340000,168,-12889101.045430142,433.57142857142856,,,,,
2008,350000,174,-15027515.039923102,504.4,,,,,
1992,360000,180,-17171729.598772,574.8571428571429,,,,,
1983,370000,186,-10104414.729108667,337.0,9,1.4725916666624705e-11,0.0018,0.05,15279185.0
1972,380000,192,-20040180.517418332,668.5,,,,,
1957,390000,199,-20051457.864928443,668.5555555555555,,,,,
1952,400000,204,,,10,1.4685934759950392e-11,0.0018,0.05,15320780.0
1942,410000,211,-15129446.323865999,504.5,,,,,
1931,420000,217,-13803503.12992518,463.54545454545456,,,,,
