train/ent_coef,time/time_elapsed,train/learning_rate,train/n_updates,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.9710162281990051,2,0.001,91,4,69.0,832,315,3554.16650390625,-0.226179838180542,-88.51609802246094,-4239.97541275,,
0.9671154618263245,3,0.001,106,8,80.25,952,315,12225.1142578125,-0.18489371240139008,-137.5120391845703,-5542.3629905,,
0.9624215960502625,3,0.001,130,12,59.583333333333336,1144,318,4734.3916015625,-0.06751585751771927,-110.8496322631836,-4165.015255166666,,
0.9595839977264404,4,0.001,165,16,61.875,1424,317,4163.59716796875,0.06473524123430252,-156.73153686523438,-4349.0071655625,,
0.9592573642730713,5,0.001,189,20,60.1,1616,318,8747.732421875,0.14329297840595245,-81.70955657958984,-4258.38550685,,
0.959921658039093,5,0.001,202,24,61.625,1720,321,9966.6376953125,0.1445760279893875,-76.11897277832031,-4560.720558541667,,
0.9610771536827087,5,0.001,215,28,53.62068965517241,1824,323,6029.0625,0.24517342448234558,71.99617004394531,-4042.5560766896556,,
0.9816350936889648,7,0.001,291,32,55.84375,2432,325,9028.978515625,0.21358436346054077,10.793731689453125,-4185.18356578125,,
1.0267647504806519,10,0.001,415,36,60.861111111111114,3424,331,4681.63671875,-0.12965166568756104,-107.52043151855469,-4765.474911861111,,
1.0367742776870728,11,0.001,465,40,68.45,3824,330,3844.85205078125,-0.11454746127128601,13.182046890258789,-5074.95884285,,
1.0441405773162842,14,0.001,584,44,71.52272727272727,4776,334,8603.41015625,-0.02323576807975769,173.7088165283203,-4925.379451204546,,
1.0450743436813354,15,0.001,632,48,82.02083333333333,5160,334,2740.694580078125,-0.03200133517384529,200.0001678466797,-5329.568216895833,,
1.0521293878555298,19,0.001,797,52,80.36538461538461,6480,336,6367.521484375,-0.02548655867576599,288.013916015625,-5147.820451846153,,
1.0536668300628662,20,0.001,839,56,101.17857142857143,6816,336,3018.283935546875,0.049885064363479614,233.9553680419922,-6018.947431607143,,
1.048571228981018,22,0.001,932,60,102.53333333333333,7560,337,4384.59765625,0.07729490101337433,234.55392456054688,-6036.641849033333,,
1.0423059463500977,23,0.001,986,64,100.203125,7992,338,5128.0947265625,0.06053363159298897,308.5223388671875,-5853.965162500001,,
1.0361863374710083,25,0.001,1059,68,97.52941176470588,8576,339,2848.531982421875,0.06203783303499222,303.0683288574219,-5619.702330470588,,
1.0277588367462158,27,0.001,1144,72,105.34722222222223,9256,341,1892.28564453125,0.04902377724647522,374.437744140625,-5673.920990333333,,
1.016187071800232,29,0.001,1237,75,114.90666666666667,10000,342,3928.21630859375,0.045701686292886734,335.798828125,-5893.382906866666,,
,,,,,,10000,,,,,,-120252.805456,1000.0
1.0135208368301392,37,0.001,1255,76,115.97368421052632,10144,273,1534.3968505859375,0.025465359911322594,310.36614990234375,-5867.96147056579,,
0.9964142441749573,40,0.001,1386,80,114.1375,11192,276,1722.5029296875,-0.009150529280304909,325.408447265625,-5673.0723284625,,
0.9937224388122559,40,0.001,1403,84,108.9047619047619,11328,277,6957.3759765625,-0.012679444625973701,389.9544372558594,-5447.592569738095,,
0.987798810005188,41,0.001,1444,88,114.70454545454545,11656,279,6352.3466796875,-0.024745915085077286,335.468017578125,-5548.182316795455,,
0.972597599029541,44,0.001,1569,92,121.09782608695652,12656,283,2787.68115234375,-0.06665970385074615,391.2730407714844,-5650.10875601087,,
0.9667862057685852,45,0.001,1608,96,120.88659793814433,12968,284,3306.663330078125,-0.08846155554056168,369.4169006347656,-5512.943017072164,,
0.9461122155189514,48,0.001,1760,100,127.32,14184,289,2300.380859375,-0.1157531589269638,402.848388671875,-5728.84612442,,
0.9308159351348877,51,0.001,1870,104,139.39,15064,292,1735.458251953125,-0.2108500897884369,381.80340576171875,-6014.92866745,,
0.9116466045379639,53,0.001,1974,108,139.67,15896,294,2291.0693359375,-0.21390923857688904,383.31451416015625,-5849.17689481,,
0.9003959894180298,55,0.001,2035,112,145.7,16384,295,1683.7381591796875,-0.22127217054367065,436.42779541015625,-6029.46651046,,
0.889212965965271,56,0.001,2099,116,150.67,16896,297,1903.576416015625,-0.3515440821647644,484.888671875,-6123.67662876,,
0.8391174674034119,62,0.001,2342,120,155.96,18840,300,3306.60498046875,-0.4693811237812042,420.4456787109375,-6134.70102518,,
0.8108247518539429,65,0.001,2457,124,163.58,19760,301,1146.46337890625,-0.7379595041275024,411.7850646972656,-6237.013946140001,,
0.8028604388237,66,0.001,2487,126,170.18,20000,301,1573.366943359375,-0.7555204629898071,441.2261657714844,-6406.229816560001,,
,,,,,,20000,,,,,,-6371.7089128,350.6
0.7862474322319031,71,0.001,2558,128,179.42,20568,287,5709.908203125,-0.6483775973320007,513.7982177734375,-6610.33138864,,
0.7583218216896057,75,0.001,2704,132,183.55,21736,289,1217.3388671875,-0.7389800548553467,512.8634033203125,-6590.498346020001,,
0.7313508987426758,78,0.001,2851,136,193.43,22912,291,1818.021484375,-0.8480806350708008,531.1394653320312,-6499.45585625,,
0.6726537942886353,85,0.001,3146,140,196.73,25272,295,735.986572265625,-1.2858083248138428,522.993896484375,-6310.656072969999,,
0.630081832408905,90,0.001,3360,144,212.97,26984,298,899.1085205078125,-1.4311808347702026,536.2459716796875,-6407.4828866200005,,
0.5906758308410645,95,0.001,3588,148,215.56,28808,300,660.0933837890625,-1.490964651107788,547.2517700195312,-6149.8017559300015,,
0.5706711411476135,98,0.001,3705,152,229.58,29744,301,788.0166015625,-2.1939010620117188,553.869140625,-6202.70486217,,
0.565006673336029,99,0.001,3737,153,230.05,30000,302,1312.2047119140625,-1.8015031814575195,556.2362060546875,-5899.948656160001,,
,,,,,,30000,,,,,,-4974.5125241999995,500.8
0.5552260279655457,104,0.001,3795,156,234.55,30464,290,823.4209594726562,-1.8981494903564453,525.0888671875,-5702.141999100001,,
0.4883561134338379,115,0.001,4206,160,248.34,33752,292,500.1150207519531,-2.4447836875915527,563.5416259765625,-5633.31660889,,
0.4580095410346985,120,0.001,4411,164,264.64,35392,294,383.47021484375,-2.0166869163513184,565.2723388671875,-5689.57274258,,
0.43600183725357056,124,0.001,4582,168,276.91,36760,295,395.48974609375,-2.8530032634735107,571.7415771484375,-5765.992164310001,,
0.41960838437080383,127,0.001,4702,172,277.45,37720,296,846.7022094726562,-2.216280460357666,567.5399780273438,-5660.590831760001,,
0.4026814103126526,130,0.001,4837,176,286.55,38800,297,556.9713745117188,-2.6907215118408203,576.7036743164062,-5586.6346537,,
0.38552963733673096,134,0.001,4987,177,285.82,40000,297,847.5950927734375,-2.513230800628662,577.1666870117188,-5575.61637003,,
,,,,,,40000,,,,,,-4491.317596999999,398.6
0.3785220682621002,138,0.001,5050,180,288.53,40504,291,796.61328125,-2.9268341064453125,575.0132446289062,-5580.94535648,,
0.3478845953941345,146,0.001,5353,184,302.4,42928,293,463.54302978515625,-3.1826720237731934,565.9595336914062,-5724.736524140002,,
0.32923761010169983,150,0.001,5539,188,314.68,44416,294,768.389892578125,-2.5916218757629395,559.9989013671875,-5630.415848160001,,
0.3188655376434326,153,0.001,5664,192,322.09,45416,295,480.5104675292969,-2.7025251388549805,562.3766479492188,-5476.8668556699995,,
0.28463447093963623,164,0.001,6138,196,346.26,49208,299,1104.0107421875,-2.7767691612243652,563.5482177734375,-5588.171387360002,,
0.27889102697372437,166,0.001,6237,199,354.49,50000,300,740.3019409179688,-1.7864446640014648,568.920166015625,-5416.082689120001,,
,,,,,,50000,,,,,,-5486.0995328,484.2
0.2787453830242157,170,0.001,6239,200,353.72,50016,293,452.75640869140625,,,-5363.665418570001,,
0.27157893776893616,173,0.001,6373,204,351.19,51088,294,780.98193359375,-2.1840009689331055,555.9619140625,-5012.0941684300005,,
0.26561233401298523,176,0.001,6497,208,355.37,52080,294,917.9251098632812,-2.499065399169922,568.5800170898438,-5028.323150970001,,
0.25209304690361023,184,0.001,6824,212,369.68,54696,296,557.2937622070312,-1.121100902557373,601.2408447265625,-4962.90837157,,
