train/approx_kl,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,time/time_elapsed
0.004782853,1138,574987008.0,-8.570642172545195,2.384185791015625e-07,0.02337646484375,201.45652173913044,-0.006009751856618095,1295480337.8,10000,0.0017,-474289.9905661521,1.0173145532608032,10,0.2,8
0.00489469,1148,633526016.0,-8.65323298498988,0.0,0.02783203125,218.36666666666667,-0.00564649430107238,1309734241.45,20000,0.0017,-481052.88189340004,1.028354287147522,20,0.2,17
0.0037437761,1150,517414048.0,-8.723554388433694,0.0,0.01610107421875,206.59,-0.0025656411755335283,1054322619.175,30000,0.0017,-430972.7213947199,1.0409929752349854,30,0.2,26
0.006151491,1151,490873440.0,-8.801494555175305,0.0,0.04373779296875,177.86,-0.0048564744753093695,1134353017.95,40000,0.0017,-372780.6848043,1.0556700229644775,40,0.2,34
0.005110659,1035,395323968.0,-9.00158012881875,0.0,0.02674560546875,167.85,-0.00403184937658807,1040157345.125,50000,0.0017,-349241.52362123,1.0931036472320557,60,0.2,48
0.0062241033,1042,529922016.0,-9.103297930955886,-1.1920928955078125e-07,0.03966064453125,174.08,-0.005530027937311388,980671992.825,60000,0.0017,-337618.39175196,1.110994577407837,70,0.2,57
0.004667446,1011,435766304.0,-9.193726736307145,-1.1920928955078125e-07,0.0304931640625,176.98,-0.0031256143907739896,849179427.6,70000,0.0017,-319095.86588088,1.1274174451828003,80,0.2,69
0.00601968,985,663345408.0,-9.291181471943855,0.0,0.0369384765625,167.72,-0.003594358899681538,936085422.075,80000,0.0017,-302303.99497992004,1.1470954418182373,90,0.2,81
0.0039404947,965,408009216.0,-9.381210590898991,-1.1920928955078125e-07,0.0223388671875,150.96,-0.0028432571170924348,965539021.525,90000,0.0017,-282237.02033251,1.162058711051941,100,0.2,93
0.0041146865,895,379996800.0,-9.572674315422773,0.0,0.02308349609375,154.55,-0.0019866314603859793,875325930.675,100000,0.0017,-276100.52165056,1.2011972665786743,120,0.2,111
