train/learning_rate,time/total_timesteps,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/std,train/value_loss,time/fps,train/explained_variance,train/policy_loss
0.0007,10000,4,-12.972501754760742,-362259.13911909476,100.85263157894737,499,1.0237030982971191,500275008.0,2004,0.0,-44848.125
0.0007,20000,12,-13.068826675415039,-268322.8258995,114.32,999,1.0340851545333862,110947712.0,1638,0.0,-91385.015625
0.0007,30000,17,-13.085702896118164,-171576.78976464,59.16,1499,1.0361472368240356,86023808.0,1754,0.0,-98371.765625
0.0007,40000,22,-13.142499923706055,-195277.18427520004,70.43,1999,1.042698621749878,579511808.0,1815,0.0,-182837.640625
0.0007,50000,26,-13.205865859985352,-150566.03775418,47.34,2499,1.0504664182662964,170369200.0,1859,-2.384185791015625e-07,-121692.625
0.0007,60000,31,-13.220354080200195,-159913.72457734,63.95,2999,1.0522505044937134,25713304.0,1891,0.0,-32844.9296875
0.0007,70000,36,-13.208036422729492,-206976.20969437,82.56,3499,1.0511963367462158,79865368.0,1911,5.960464477539063e-08,-63995.40625
0.0007,80000,41,-13.24260139465332,-149205.99386637998,52.29,3999,1.0553096532821655,2014703616.0,1923,2.384185791015625e-07,-314559.0
0.0007,90000,46,-13.292020797729492,-143742.23908777,48.93,4499,1.0609509944915771,91033136.0,1921,0.0,-72956.921875
0.0007,100000,51,-13.361902236938477,-121626.09437794001,44.32,4999,1.0695711374282837,77427888.0,1928,0.0,-57316.98046875
0.0007,110000,56,-13.483987808227539,-149398.36148675001,57.0,5499,1.084213137626648,2555838.25,1932,1.1920928955078125e-07,5010.380859375
0.0007,120000,62,-13.552003860473633,-150906.76693749,62.61,5999,1.0931038856506348,1465797248.0,1933,0.0,-175978.578125
0.0007,130000,67,-13.662260055541992,-179354.07728698,55.93,6499,1.1065640449523926,1080731520.0,1934,-2.384185791015625e-07,-204315.90625
0.0007,140000,72,-13.851194381713867,-161355.71711015998,62.22,6999,1.13005793094635,1951898240.0,1935,0.0,-338839.625
0.0007,150000,77,-13.817708969116211,-167565.18505610002,66.5,7499,1.1250874996185303,30589828.0,1938,1.1920928955078125e-07,-43487.37890625
0.0007,160000,82,-13.898981094360352,-118695.34259175001,53.1,7999,1.1357252597808838,1441935616.0,1943,-1.1920928955078125e-07,-222235.84375
0.0007,170000,87,-13.943033218383789,-169755.72614101,85.11,8499,1.140474796295166,801242112.0,1946,0.0,-250119.875
0.0007,180000,92,-14.038858413696289,-140867.63985136,52.96,8999,1.1539647579193115,20136694.0,1944,0.0,-30347.1875
0.0007,190000,97,-14.196149826049805,-137889.20299730002,57.71,9499,1.175048828125,1039478.875,1946,0.0,6716.57666015625
0.0007,200000,103,-14.31059455871582,-159260.194424,75.89,9999,1.1901423931121826,84209512.0,1937,-1.1920928955078125e-07,-68281.671875
