rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
-192063.26074034,173,57,264,114465216.0,-20.954389572143555,27.0,10000,2474,2.372650623321533,3743.869140625,0.001
-138093.84317852,177,112,584,141555200.0,-30.640581130981445,29.01,20000,4974,5.430813312530518,9385.3701171875,0.001
-115424.11968646999,177,168,903,102405160.0,-32.67444610595703,32.01,30000,7474,10.831612586975098,13432.2900390625,0.001
-113786.60162637997,177,224,1237,118820440.0,-25.47208595275879,29.9,40000,9974,19.29053497314453,17422.6484375,0.001
-99153.66893814,178,280,1571,73841280.0,-18.81827735900879,21.6,50000,12474,31.49593162536621,16253.1259765625,0.001
-106871.91790434002,178,335,1866,95427392.0,-12.05892562866211,31.45,60000,14974,46.0125617980957,18386.8828125,0.001
-94288.18228044,179,390,2215,98858504.0,-3.436980962753296,21.16,70000,17474,58.22125244140625,18976.005859375,0.001
-102071.14403261,179,444,2535,130782288.0,-1.5049443244934082,25.8,80000,19974,64.70076751708984,22905.1640625,0.001
-105435.24726966997,180,498,2931,147243984.0,1.032118558883667,14.09,90000,22474,67.84884643554688,29202.7890625,0.001
-112433.14712349999,180,552,3188,61950824.0,-0.8259737491607666,35.85,100000,24974,65.21478271484375,30302.62109375,0.001
-98813.97962329,180,608,3393,62704992.0,0.6956657767295837,48.12,110000,27474,60.96805953979492,30380.95703125,0.001
-122144.98392696999,180,663,3653,57108984.0,0.33647170662879944,41.67,120000,29974,56.71013259887695,34364.640625,0.001
-97914.71898062,180,718,3852,70044456.0,-0.26465490460395813,52.2,130000,32474,47.847293853759766,33888.1015625,0.001
-110725.45942646,180,774,4077,97351296.0,-0.5429679155349731,37.72,140000,34974,46.66387939453125,37006.83203125,0.001
-92390.87885321,180,829,4271,58121244.0,0.6594683527946472,55.85,150000,37474,41.68695068359375,35150.71875,0.001
-110925.22429645997,180,884,4501,66070752.0,-0.37166470289230347,45.54,160000,39974,45.056636810302734,33544.66796875,0.001
-103762.72352191,180,940,4738,87929064.0,-1.5884020328521729,30.8,170000,42474,39.057125091552734,36863.39453125,0.001
-106496.38234120002,180,995,4945,51901488.0,0.8296849727630615,61.69,180000,44974,41.2298469543457,36449.19921875,0.001
-81283.97147105001,180,1050,5077,123874760.0,0.5017656087875366,76.27,190000,47474,40.24188232421875,37536.12890625,0.001
-131450.16517661,180,1105,5182,47870216.0,-0.9006751775741577,96.2,200000,49974,36.67706298828125,36714.20703125,0.001
-144840.11862562998,181,1159,5348,31763356.0,-1.034613013267517,54.42,210000,52474,40.954345703125,35202.8515625,0.001
-82234.74548231998,181,1213,5498,54136012.0,-0.6883127689361572,66.69,220000,54974,39.500606536865234,38219.5,0.001
-83700.51158713,181,1267,5672,30900108.0,-1.1651768684387207,53.63,230000,57474,37.638248443603516,34593.4375,0.001
-86636.82899090003,181,1321,5821,49726916.0,2.381127119064331,52.76,240000,59974,38.19490051269531,32822.16015625,0.001
-70651.48328222,181,1376,5949,45178400.0,-2.605133533477783,73.58,250000,62474,36.722076416015625,34521.1171875,0.001
-89001.86517141003,181,1431,6070,38814352.0,-0.11032617092132568,82.62,260000,64974,37.90564727783203,34705.36328125,0.001
-110546.44074072003,181,1487,6184,101436960.0,0.0458151251077652,96.34,270000,67474,34.30241012573242,32237.373046875,0.001
-61200.17528724001,181,1542,6332,27779212.0,-0.7590757012367249,68.94,280000,69974,39.134620666503906,27982.125,0.001
-70033.38030779999,181,1597,6437,114656336.0,0.010147199034690857,91.77,290000,72474,38.51820373535156,27440.765625,0.001
-80333.23787095,181,1651,6516,52265672.0,-0.5521180629730225,119.69,300000,74974,38.07950973510742,26918.3671875,0.001
-96044.44247303,181,1706,6618,61554672.0,-0.18144363164901733,102.73,310000,77474,37.77595520019531,26829.4765625,0.001
-16529.23954974,181,1761,6725,75464824.0,0.5918784141540527,97.42,320000,79974,37.97615432739258,27558.345703125,0.001
-24600.049970390006,181,1814,6792,31214030.0,1.2906992435455322,130.7,330000,82474,42.937889099121094,25625.53515625,0.001
-71935.14746256001,181,1869,6883,82321840.0,0.5619792938232422,118.61,340000,84974,41.30775833129883,23739.970703125,0.001
-6681.212893540002,181,1923,6993,83241504.0,-2.76774001121521,93.86,350000,87474,38.58381652832031,18376.642578125,0.001
159.71323846000175,181,1978,7095,59448204.0,-0.2833353281021118,96.88,360000,89974,40.257076263427734,18387.40625,0.001
13976.72958534,181,2033,7169,98437656.0,1.4480648040771484,113.18,370000,92474,41.63579559326172,16256.3427734375,0.001
-9309.39240454,182,2086,7225,87099616.0,-0.6841777563095093,178.32,380000,94974,43.14352798461914,12288.1962890625,0.001
26779.089558310003,182,2140,7314,114827224.0,0.7870949506759644,109.42,390000,97474,41.38574981689453,11283.921875,0.001
40040.45026403,182,2194,7445,45454048.0,-0.6043893098831177,80.27,400000,99974,43.07886505126953,11549.0849609375,0.001
45147.163690400004,181,2254,7552,115769776.0,-0.5641542673110962,91.73,410000,102474,41.54182815551758,11270.716796875,0.001
73199.92334822,181,2314,7687,85231040.0,0.25670239329338074,73.07,420000,104974,42.2174186706543,2324.72802734375,0.001
79682.61031237,181,2374,7823,102637344.0,0.8491771221160889,69.67,430000,107474,42.374481201171875,343.6901550292969,0.001
6358.947904880005,180,2434,7937,59601712.0,2.0909814834594727,87.77,440000,109974,46.43277359008789,-6138.7353515625,0.001
105848.19417948999,180,2494,8113,32639776.0,-0.4007629156112671,58.84,450000,112474,47.70932388305664,-1538.2100830078125,0.001
104698.38606411999,180,2554,8268,117369528.0,-0.05343526601791382,69.32,460000,114974,44.575618743896484,-7814.671875,0.001
116228.62488146,179,2614,8458,48100604.0,-0.9279476404190063,50.61,470000,117474,51.442317962646484,-12911.9365234375,0.001
103634.94171116,179,2674,8655,126838400.0,0.7820169925689697,53.95,480000,119974,50.694610595703125,-17173.08984375,0.001
120315.13496730998,179,2734,8835,23714796.0,0.5464325547218323,55.38,490000,122474,48.82957458496094,-22020.34375,0.001
