time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
168,0,8,-4.137742042541504,0.9980008602142334,-0.012258324772119522,-1338.33318025,4,9159.30859375,0.001,246,16.25,,
1024,3,115,-37.98627853393555,0.9634591937065125,-0.2672936022281647,-3412.77340525,8,10363.392578125,0.001,304,46.125,,
2368,7,283,0.7733974456787109,0.9704596400260925,0.2787765860557556,-6402.080788833333,12,7761.91796875,0.001,317,71.58333333333333,,
3304,10,400,92.1111068725586,1.008008360862732,-0.06758025288581848,-8272.1944458125,16,8782.333984375,0.001,319,82.4375,,
4488,14,548,121.86676025390625,1.052872896194458,-0.3959575295448303,-16312.121223749997,20,4598.55859375,0.001,318,141.7,,
4744,14,580,213.80767822265625,1.06293523311615,-0.3955024778842926,-18939.636422583335,24,2873.817626953125,0.001,318,173.79166666666666,,
5888,18,723,471.24151611328125,1.0992977619171143,-0.3874252438545227,-17274.126152321427,28,13451.8916015625,0.001,318,163.5,,
6832,21,841,405.51727294921875,1.120618462562561,-0.40754812955856323,-17133.7350408125,32,2824.8310546875,0.001,317,168.40625,,
7064,22,870,303.0596923828125,1.124942660331726,-0.4226367175579071,-16062.087637567569,36,3415.716796875,0.001,317,164.8918918918919,,
7992,25,986,422.9000549316406,1.1434346437454224,-0.39921045303344727,-15060.759065899998,40,2417.6025390625,0.001,317,156.675,,
8872,28,1096,498.4714660644531,1.1578398942947388,-0.2276724874973297,-15537.258132181816,44,2762.1845703125,0.001,316,168.0681818181818,,
10000,31,1237,363.41766357421875,1.1700128316879272,-0.19408167898654938,-14877.400517957443,47,1896.62939453125,0.001,314,165.63829787234042,,
10000,,,,,,,,,,,,854.4,-72570.6900464
10096,40,1249,291.28302001953125,1.171040654182434,-0.2591494619846344,-14642.132123041667,48,3009.40185546875,0.001,249,165.58333333333334,,
12424,47,1540,521.3836059570312,1.1829768419265747,0.04045483097434044,-14533.433119576923,52,3502.353271484375,0.001,259,174.96153846153845,,
13208,50,1638,457.0809326171875,1.1824406385421753,0.039784714579582214,-14563.089476089286,56,4461.9150390625,0.001,262,190.26785714285714,,
13856,52,1719,589.5194091796875,1.1808381080627441,0.04021789878606796,-14922.734296433335,60,3656.277099609375,0.001,263,205.91666666666666,,
16912,62,2101,707.3475341796875,1.172214388847351,0.235915407538414,-15208.54105675,64,2637.576904296875,0.001,272,224.296875,,
17792,64,2211,614.5240478515625,1.1600199937820435,0.17887672781944275,-14946.433682294117,68,2420.03564453125,0.001,273,231.0735294117647,,
18576,67,2309,645.1472778320312,1.1496331691741943,0.1675512194633484,-14770.564496944446,72,1569.625732421875,0.001,274,232.90277777777777,,
19176,69,2384,701.9345703125,1.1414777040481567,0.08127180486917496,-14498.530348907896,76,5972.0576171875,0.001,275,231.23684210526315,,
20000,72,2487,603.6024169921875,1.1331977844238281,0.19400669634342194,-14739.805581410257,78,2145.323974609375,0.001,276,236.67948717948718,,
20000,,,,,,,,,,,,412.2,-37819.2147718
