time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/return_std,train/learning_rate,train/step_size,train/delta_std,train/iterations
3380,10000,2,-15099618.441748,509.75,,,,,
3398,20000,5,-20068816.06477767,673.1666666666666,,,,,
3393,30000,8,,,15257531.0,0.02,1.6385351409020643e-10,0.05,0
3425,40000,11,-29955663.963618,1000.0,,,,,
3425,50000,14,-16753985.982108444,561.6666666666666,,,,,
3423,60000,17,-17577442.381884832,588.3333333333334,,,,,
3424,70000,20,,,14926157.0,0.02,1.6749120146375418e-10,0.05,1
3425,80000,23,-29949193.514102,1000.0,,,,,
3425,90000,26,-18950942.738866,634.5,,,,,
3425,100000,29,-19248988.05859482,643.9090909090909,,,,,
3425,110000,32,-20121990.725427397,672.5333333333333,,,,,
3425,120000,35,-3880372.8103392497,132.25,14191200.0,0.02,1.761655127330286e-10,0.05,2
3424,130000,37,-11023942.578340365,368.90909090909093,,,,,
3424,140000,40,-13956501.453970999,466.0,,,,,
3423,150000,43,-310597.941186625,19.25,15318855.0,0.02,1.6319758044947008e-10,0.05,3
3424,160000,46,-5692582.682555908,196.27272727272728,,,,,
3425,170000,49,-10194293.956064666,344.26666666666665,,,,,
3422,180000,52,-12087285.380315201,406.6,14264924.0,0.02,1.7525504658610913e-10,0.05,4
3418,190000,55,-12089246.0911223,406.5,,,,,
3417,200000,58,-16249972.911809154,543.4615384615385,,,,,
3414,210000,61,,,15331882.0,0.02,1.630589135936944e-10,0.05,5
3413,220000,64,-15056163.420433998,502.8333333333333,,,,,
3411,230000,67,-13783359.538416363,461.6363636363636,,,,,
3410,240000,70,-97170.42634071426,6.0,15392019.0,0.02,1.6242183986658887e-10,0.05,6
3411,250000,73,-6743290.316780333,226.88888888888889,,,,,
3411,260000,76,-4369683.463829714,149.28571428571428,13364335.0,0.02,1.8706504401055923e-10,0.05,7
3412,270000,79,-9079516.8533362,304.9,,,,,
3404,280000,82,-13902342.186716,465.3076923076923,,,,,
3404,290000,85,-86315.45623222222,6.0,15456630.0,0.02,1.6174288297587935e-10,0.05,8
3405,300000,88,-6073757.417480801,204.0,10243882.0,0.02,2.4404808729450167e-10,0.05,9
3405,310000,91,-109227.3867605,5.0,12085651.0,0.02,2.0685687884824944e-10,0.05,10
3406,320000,93,-88610.0,21.0,10235493.0,0.02,2.442481217279635e-10,0.05,11
3406,330000,96,-79514.4162625,7.5,12080649.0,0.02,2.0694251867681146e-10,0.05,12
3408,340000,99,-5082941.964730999,170.75,,,,,
3398,350000,102,-15043810.1070315,501.5,13390011.0,0.02,1.8670634482909065e-10,0.05,13
3400,360000,105,-11323888.1244705,377.25,,,,,
3402,370000,108,-5079020.733596499,171.16666666666666,14343841.0,0.02,1.7429083176701e-10,0.05,14
3404,380000,111,,,12037220.0,0.02,2.0768914366087188e-10,0.05,15
3404,390000,114,-6500420.002462,217.28571428571428,,,,,
3407,400000,117,-92387.78675142858,3.0,14316207.0,0.02,1.7462725709904703e-10,0.05,16
3408,410000,120,,,330677.21875,0.02,7.560242210047363e-09,0.05,18
3409,420000,123,-11337003.329242375,378.875,,,,,
3410,430000,126,-15083441.407674,503.1,,,,,
3412,440000,128,-2136714.9704044666,73.06666666666666,15346276.0,0.02,1.6290596649426448e-10,0.05,19
3412,450000,131,-5078359.784912833,170.0,10236353.0,0.02,2.4422761035758356e-10,0.05,20
3405,460000,135,,,166467.453125,0.02,1.5017949550610865e-08,0.05,22
3405,470000,138,-6110369.880327601,204.53333333333333,,,,,
3405,480000,140,-3425297.7805028884,114.33333333333333,13410445.0,0.02,1.8642183630124265e-10,0.05,23
3406,490000,143,-181660.2613448572,8.571428571428571,13401143.0,0.02,1.8655124667255052e-10,0.05,24
3406,500000,146,-5609212.265176182,187.9090909090909,,,,,
3406,510000,149,-4379098.450559143,146.85714285714286,13389457.0,0.02,1.867140747568996e-10,0.05,25
3407,520000,152,-7586723.895936334,253.25,,,,,
3408,530000,155,-10094554.627311334,335.3333333333333,14344489.0,0.02,1.7428294918353515e-10,0.05,26
3411,540000,158,-6517329.981467858,217.07142857142858,,,,,
3413,550000,161,-4699314.942199616,157.3846153846154,13411645.0,0.02,1.8640516907808546e-10,0.05,27
3414,560000,164,-3839426.52416125,129.0,12082460.0,0.02,2.06911501821061e-10,0.05,28
3417,570000,166,-159953.4308872,7.3,12091081.0,0.02,2.0676396705887612e-10,0.05,29
3412,580000,169,-91522.276391,3.0,12071463.0,0.02,2.0710000381285454e-10,0.05,30
3413,590000,172,-6093975.3384608,203.3,,,,,
3413,600000,175,-3102690.0016367,104.0,13419515.0,0.02,1.862958398657355e-10,0.05,31
3415,610000,178,-7822058.33476,263.0,10255168.0,0.02,2.4377952434484484e-10,0.05,32
3417,620000,181,-122476.42468620001,4.8,13380728.0,0.02,1.868358801004888e-10,0.05,33
3421,630000,184,-5559774.195271819,185.45454545454547,,,,,
3424,640000,186,-98854.5084636,4.0,14344285.0,0.02,1.7428543330755275e-10,0.05,34
3424,650000,189,-2095786.1086232667,70.26666666666667,7487199.5,0.02,3.339032106364215e-10,0.05,35
3427,660000,192,-4708249.440464461,156.69230769230768,10252132.0,0.02,2.438517165970211e-10,0.05,36
3428,670000,195,-3426621.0888112225,114.33333333333333,12083314.0,0.02,2.0689687463271156e-10,0.05,37
3428,680000,198,-2909618.5667898185,98.27272727272727,22809.705078125,0.02,1.0960246754621039e-07,0.05,39
3427,690000,201,-83159.992948,4.0,7500000.5,0.02,3.3333330540230577e-10,0.05,42
3427,700000,204,-89378.94641916668,3.8333333333333335,10257153.0,0.02,2.437323398662983e-10,0.05,43
3427,710000,207,-91778.840841875,3.25,10245592.0,0.02,2.4400736986507354e-10,0.05,45
3428,720000,209,-10095183.860055333,336.0,7504420.5,0.02,3.331369624604008e-10,0.05,47
3428,730000,212,-95587.917313,5.0,14633.951171875,0.02,1.708356052176896e-07,0.05,50
3427,740000,215,-7594139.0944805,253.5,7497735.0,0.02,3.334340303862149e-10,0.05,52
3428,750000,218,-7015347.488139076,233.53846153846155,,,,,
3426,760000,221,-7592377.570677749,252.75,10677.1611328125,0.02,2.3414462191340135e-07,0.05,54
3424,770000,224,-90495.18960092307,3.5384615384615383,5222.890625,0.02,4.786621161656512e-07,0.05,58
3425,780000,227,-7587011.854829751,252.5,7484172.0,0.02,3.3403826926736713e-10,0.05,59
3425,790000,230,-6099776.8655898,203.0,7497780.0,0.02,3.3343200422919494e-10,0.05,61
3425,800000,233,-115293.10411724998,5.5,7491476.5,0.02,3.337125575875177e-10,0.05,63
3421,810000,236,-87159.17383566668,3.1666666666666665,432.7732238769531,0.02,5.776697435067035e-06,0.05,74
3417,820000,239,-86047.87905827274,3.1818181818181817,2104.715576171875,0.02,1.1878089480887866e-06,0.05,89
3410,830000,243,-85699.90804511112,3.0,76.01494598388672,0.02,3.2888267014641315e-05,0.05,121
