train/value_loss,train/explained_variance,time/fps,time/total_timesteps,train/is_line_search_success,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/kl_divergence_loss,train/policy_objective,time/time_elapsed,train/learning_rate
1516963056.3,0.0054950714111328125,1633,560000,1.0,0.724842369556427,68.27,83480.49842574999,68,0.008167700842022896,0.03218582272529602,342,0.0013
1089371745.3,0.02231276035308838,1634,570000,1.0,0.7205562591552734,88.89,63447.69744168,69,0.006512144114822149,0.024134095758199692,348,0.0013
1001278001.05,0.04872697591781616,1636,580000,1.0,0.7196704745292664,95.33,62661.39834027001,70,0.006784162018448114,0.02761577069759369,354,0.0013
927489852.4,0.0627698302268982,1631,590000,1.0,0.7180755734443665,116.06,46706.86816043,72,0.009832981042563915,0.02794470265507698,361,0.0013
860173249.6,0.06886279582977295,1632,600000,1.0,0.7162463665008545,104.73,67242.23184927,73,0.009212472476065159,0.031512804329395294,367,0.0013
515402252.4,0.0704072117805481,1633,610000,1.0,0.715745747089386,135.45,44915.21627484,74,0.007260905113071203,0.022603178396821022,373,0.0013
710504052.05,0.07887321710586548,1635,620000,1.0,0.70989590883255,140.1,51554.38406386,75,0.009808731265366077,0.03163862228393555,379,0.0013
426579691.8,0.09766453504562378,1637,630000,1.0,0.7076212763786316,176.94,29892.87382783,76,0.007284411694854498,0.025270622223615646,384,0.0013
774759196.7,0.07365995645523071,1632,640000,1.0,0.7130629420280457,128.76,69428.02349242,78,0.008177188225090504,0.03199785202741623,392,0.0013
977839710.2,0.09087139368057251,1633,650000,1.0,0.7090584635734558,73.83,103212.26478289999,79,0.0077069043181836605,0.026386843994259834,397,0.0013
953549953.65,0.07979923486709595,1634,660000,1.0,0.7094101905822754,111.76,76811.36192653999,80,0.008249235339462757,0.028447505086660385,403,0.0013
612431934.25,0.12321048974990845,1635,670000,1.0,0.7093050479888916,141.61,63370.42558114,81,0.006794871296733618,0.025857064872980118,409,0.0013
761503303.9,0.12520509958267212,1631,680000,1.0,0.7074361443519592,122.95,55558.52785813,83,0.00981029774993658,0.033991411328315735,416,0.0013
956615861.4,0.09524869918823242,1632,690000,1.0,0.7082464098930359,103.46,67750.53347059,84,0.006674154195934534,0.021835025399923325,422,0.0013
1080959376.2,0.11427301168441772,1633,700000,1.0,0.7054557800292969,72.29,85381.04703129001,85,0.00675351545214653,0.02977193519473076,428,0.0013
1299217704.8,0.036195456981658936,1634,710000,1.0,0.7050015330314636,102.23,52872.8288685,86,0.009934180416166782,0.03548039495944977,434,0.0013
1121876066.3,0.12486010789871216,1635,720000,1.0,0.6964781880378723,89.8,72677.31215006001,87,0.009646233171224594,0.024278633296489716,440,0.0013
1321122477.8,0.10114073753356934,1631,730000,1.0,0.6926066875457764,62.14,105710.99985052,89,0.008977922610938549,0.03122217208147049,447,0.0013
1452712523.7,0.08329939842224121,1631,740000,1.0,0.6832534670829773,57.1,107455.3663635,90,0.009350758045911789,0.027559831738471985,453,0.0013
1332358047.2,0.11085343360900879,1632,750000,1.0,0.6766349673271179,59.34,107271.50317598999,91,0.009080592542886734,0.03167479857802391,459,0.0013
1470060062.9,0.11943358182907104,1632,760000,1.0,0.6742028594017029,85.53,82284.03545134001,92,0.008452575653791428,0.025851376354694366,465,0.0013
802915115.7,0.1446143388748169,1633,770000,1.0,0.6729643940925598,109.98,69097.36214476,93,0.007977887988090515,0.0272537674754858,471,0.0013
1191040156.6,0.14761167764663696,1629,780000,1.0,0.6688659191131592,45.51,114188.58620818998,95,0.006496781948953867,0.0229698047041893,478,0.0013
1712932874.3,0.09688436985015869,1630,790000,1.0,0.668919563293457,59.51,114122.43643393001,96,0.009915098547935486,0.03303016722202301,484,0.0013
624434178.9,0.1665744185447693,1631,800000,1.0,0.668421745300293,87.27,104262.23252287,97,0.009962632320821285,0.028757546097040176,490,0.0013
1302531450.0,0.1422419548034668,1631,810000,1.0,0.6690161228179932,53.55,110117.48204755,98,0.009455163963139057,0.02767404355108738,496,0.0013
1678573841.2,0.13213956356048584,1627,820000,1.0,0.672451913356781,44.42,113519.47450107001,100,0.009030423127114773,0.033247608691453934,503,0.0013
1493144757.6,0.11804205179214478,1627,830000,1.0,0.6809482574462891,58.42,107773.79000579,101,0.009650837630033493,0.02891070954501629,509,0.0013
1892049277.4,0.0642164945602417,1628,840000,1.0,0.678749144077301,34.23,117648.66178617,102,0.006458925548940897,0.027235716581344604,515,0.0013
1972974228.6,0.024329543113708496,1628,850000,1.0,0.6794912219047546,43.77,114747.27919906,103,0.009957447648048401,0.03765854984521866,521,0.0013
1647540911.4,0.1061791181564331,1629,860000,1.0,0.6783896088600159,53.67,115523.48510145002,104,0.009056000970304012,0.029289610683918,527,0.0013
1794938712.4,0.14823925495147705,1625,870000,1.0,0.6740269064903259,43.08,114340.10573625,106,0.00804947130382061,0.027938559651374817,535,0.0013
1978680914.0,0.1497674584388733,1625,880000,1.0,0.6720190644264221,45.48,113517.99549506001,107,0.005574466194957495,0.016106344759464264,541,0.0013
810959922.6,0.168829083442688,1626,890000,1.0,0.6715213656425476,71.11,97260.26094275,108,0.008713330142199993,0.036777425557374954,547,0.0013
1657701165.4,0.10377055406570435,1626,900000,1.0,0.669783353805542,37.51,115460.43357679,109,0.008656294085085392,0.024970604106783867,553,0.0013
2579857169.2,0.06126666069030762,1622,910000,1.0,0.6606751084327698,34.6,114577.98984185999,111,0.009527583606541157,0.029895301908254623,560,0.0013
2343283201.4,0.0887829065322876,1622,920000,1.0,0.6573488712310791,30.46,121156.57905428,112,0.008901353925466537,0.02691175416111946,566,0.0013
2040573136.0,0.14168357849121094,1622,930000,1.0,0.655943751335144,46.67,113097.53468376,113,0.006953561212867498,0.02439584583044052,573,0.0013
2154803032.8,0.1642945408821106,1623,940000,1.0,0.6524747014045715,38.02,116643.28776448,114,0.008552690036594868,0.02358894981443882,579,0.0013
1956143829.0,0.1342892050743103,1623,950000,1.0,0.6513911485671997,34.96,119167.29356453002,115,0.007092559244483709,0.020977191627025604,585,0.0013
2764760676.8,0.01472538709640503,1619,960000,1.0,0.6506070494651794,28.2,125650.48494129001,117,0.0069972374476492405,0.019142046570777893,592,0.0013
1605079423.2,2.384185791015625e-07,1620,970000,1.0,0.6474400162696838,39.71,120851.01092011001,118,0.00890802126377821,0.028206530958414078,598,0.0013
1626339670.5,1.1920928955078125e-07,1620,980000,1.0,0.6464350819587708,48.25,120398.78166711,119,0.006693258881568909,0.020998546853661537,604,0.0013
2127282727.0,0.008549332618713379,1621,990000,1.0,0.6445462107658386,59.31,118943.51938828999,120,0.008996683172881603,0.025369910523295403,610,0.0013
1465849761.1,0.17782944440841675,1618,1000000,1.0,0.6408085227012634,56.92,118665.22604042999,122,0.009051092900335789,0.027025824412703514,617,0.0013
