train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef,time/total_timesteps
2474,63,31,0.0003,-4.960880756378174,3507.013427734375,152684.96875,-4616413.754065547,278.80645161290323,156,1.612093448638916,10000
4974,129,45,0.0003,-7.911988735198975,4269.97607421875,335154.03125,-7584503.177403554,432.8,154,3.5583701133728027,20000
7474,193,59,0.0003,-16.63703155517578,4952.40478515625,467532.9375,-8143440.843929967,475.3898305084746,154,6.737612724304199,30000
9974,258,69,0.0003,-10.008319854736328,5786.927734375,594602.0625,-9537574.104797898,551.4202898550725,154,12.687747955322266,40000
12474,321,81,0.0003,-17.26323699951172,5093.59326171875,712124.3125,-10692288.488481307,604.3703703703703,155,23.63597869873047,50000
14974,386,89,0.0003,-13.916619300842285,5926.57666015625,814281.125,-11345525.244867347,639.9325842696629,155,48.62501525878906,60000
17474,452,176,0.0003,-10.960351943969727,8232.4970703125,860418.8125,-3248040.3259390597,224.3,154,97.9966049194336,70000
19974,516,188,0.0003,4.3267083168029785,7141.6845703125,885257.0,-2326288.64524245,215.4,154,121.73574829101562,80000
22474,579,201,0.0003,0.726518452167511,6857.3935546875,925896.5,-2725308.87131354,251.28,155,85.32511138916016,90000
24974,642,248,0.0003,0.2797417640686035,6506.876953125,924579.5625,-3628395.26640618,338.85,155,83.8991928100586,100000
27474,706,269,0.0003,2.57961368560791,5797.09326171875,932880.75,-4327971.213535991,410.55,155,98.45932006835938,110000
29974,769,282,0.0003,-1.3451545238494873,7396.85107421875,948589.25,-5741574.686316661,463.69,155,83.3005599975586,120000
32474,833,336,0.0003,1.9263086318969727,6772.18505859375,910865.0625,-4610391.318003111,321.66,155,85.80014038085938,130000
34974,898,378,0.0003,-0.6654044985771179,7809.67578125,979187.5,-3741856.5886616297,230.48,155,81.90925598144531,140000
37474,964,397,0.0003,-0.6246178150177002,5559.89111328125,993630.1875,-3313328.21605312,232.73,155,88.73419189453125,150000
39974,1029,410,0.0003,-0.885435163974762,5682.27001953125,1000580.125,-4226377.26252646,332.88,155,97.77951049804688,160000
42474,1093,419,0.0003,2.0858631134033203,8318.4541015625,987554.4375,-4895776.48620933,416.21,155,100.68536376953125,170000
44974,1159,430,0.0003,-0.9237195253372192,6816.96923828125,1005231.4375,-5324139.54662873,500.37,155,101.5306625366211,180000
47474,1226,439,0.0003,-0.09710067510604858,4448.5810546875,951880.6875,-5911837.29179101,587.72,154,107.85539245605469,190000
49974,1290,454,0.0003,1.4592286348342896,3994.449951171875,912832.5625,-5687529.604169629,652.74,154,130.02296447753906,200000
52474,1355,476,0.0003,-0.5402072072029114,3914.77001953125,871636.875,-5559789.23255499,695.11,154,125.80552673339844,210000
54974,1420,487,0.0003,0.7218396067619324,5746.10400390625,818052.25,-6114393.747815582,754.63,154,131.8309326171875,220000
57474,1488,498,0.0003,0.4637717008590698,4190.32958984375,790254.875,-6500957.326687989,794.31,154,117.59895324707031,230000
59974,1553,519,0.0003,-1.853990077972412,7110.79443359375,780020.0625,-5653338.2413861705,703.27,154,103.4622573852539,240000
62474,1618,529,0.0003,-1.0421853065490723,4098.548828125,750975.25,-5099455.62172164,703.27,154,121.18623352050781,250000
64974,1683,540,0.0003,0.22116731107234955,4049.823974609375,716866.75,-4408120.28414806,698.38,154,124.3366470336914,260000
67474,1750,551,0.0003,-0.742016613483429,5203.275390625,664973.1875,-5042445.35580072,709.27,154,107.95413208007812,270000
69974,1817,582,0.0003,0.39915502071380615,3993.422119140625,615778.875,-3801172.61050887,648.29,154,121.35873413085938,280000
72474,1882,599,0.0003,1.4066367149353027,5006.5732421875,571822.1875,-2429534.9691914003,593.41,154,125.86408996582031,290000
74974,1949,609,0.0003,2.716195583343506,3736.908203125,551881.0625,-2205025.9612128898,662.52,153,133.7393341064453,300000
77474,2017,619,0.0003,-0.16285857558250427,3686.835693359375,507673.90625,-1759855.1732573598,702.2,153,138.5331268310547,310000
79974,2084,629,0.0003,-0.31203997135162354,3472.849853515625,461924.84375,-1504725.5118005702,702.2,153,131.666015625,320000
82474,2151,639,0.0003,-2.2465298175811768,3493.22705078125,418494.25,-1421949.21762214,707.09,153,119.5138168334961,330000
84974,2218,649,0.0003,0.5664723515510559,3321.978271484375,396218.6875,-409918.94956683984,713.1,153,106.34813690185547,340000
87474,2285,659,0.0003,2.498471736907959,3160.60009765625,350793.375,-338318.57846172,759.48,153,94.13407897949219,350000
89974,2353,669,0.0003,1.8844597339630127,3914.51513671875,334493.75,-340343.640666,836.94,152,81.48976135253906,360000
92474,2423,679,0.0003,0.4229012131690979,2933.993408203125,312366.84375,-645873.24323091,906.05,152,78.03341674804688,370000
94974,2492,689,0.0003,-1.9029481410980225,2886.208984375,291822.65625,-605473.21221423,972.45,152,78.29279327392578,380000
97474,2561,700,0.0003,-0.28120797872543335,2833.143310546875,275617.75,-779050.9617562601,990.49,152,69.77554321289062,390000
99974,2629,710,0.0003,-0.1639900654554367,2802.378173828125,249871.0625,-754975.74929715,990.49,152,68.97023010253906,400000
102474,2697,720,0.0003,-0.7466092109680176,3521.06640625,245963.640625,-719900.04163952,990.49,152,64.73786163330078,410000
104974,2766,730,0.0003,0.05754968523979187,2734.699951171875,230861.671875,-701269.6842449999,990.49,151,62.51884460449219,420000
107474,2835,740,0.0003,1.9920825958251953,2731.27685546875,216348.703125,-831269.8872249902,990.49,151,61.01572799682617,430000
109974,2904,750,0.0003,0.7567993402481079,2616.943359375,201792.265625,-827251.8128148899,990.49,151,60.68709182739258,440000
112474,2973,760,0.0003,0.5180354118347168,2913.596435546875,187403.59375,-789942.04949135,990.49,151,61.75766372680664,450000
114974,3041,770,0.0003,-0.24424639344215393,2593.320068359375,181307.34375,-783022.56954322,990.49,151,60.79796600341797,460000
117474,3111,780,0.0003,1.5875122547149658,2338.2451171875,170596.515625,-476627.29151134996,990.49,151,56.82696533203125,470000
119974,3179,790,0.0003,0.5598644018173218,2278.332275390625,157248.59375,-452329.20418837,990.49,150,56.89404296875,480000
122474,3248,800,0.0003,-2.628051996231079,2378.0830078125,158368.578125,-250378.50548205,1000.0,150,57.44028854370117,490000
124974,3317,810,0.0003,-1.5224943161010742,2173.581787109375,134223.828125,-238687.16748408,1000.0,150,53.61438751220703,500000
127474,3385,820,0.0003,1.3437132835388184,1958.0589599609375,128949.9921875,-239937.43132978,1000.0,150,49.25279998779297,510000
129974,3454,831,0.0003,1.445003867149353,2254.58837890625,118682.0625,-229203.59298075998,991.48,150,44.23206329345703,520000
132474,3523,842,0.0003,-3.082660436630249,1783.2296142578125,111136.546875,-115520.64060895998,971.22,150,49.84132385253906,530000
134974,3591,853,0.0003,-1.9706087112426758,1651.6864013671875,112278.2890625,-99848.75904851002,964.78,150,49.56535720825195,540000
137474,3659,863,0.0003,-0.6777489185333252,1622.13720703125,100252.6796875,-93841.18119539,962.7,150,39.744171142578125,550000
139974,3727,876,0.0003,2.689681053161621,1419.400390625,83425.890625,-86490.22303237999,948.95,150,37.69070053100586,560000
142474,3794,884,0.0003,1.9775630235671997,1405.4222412109375,83190.4609375,-86371.02343311999,948.95,150,38.21458053588867,570000
144974,3861,898,0.0003,-0.8872362375259399,1477.2313232421875,80798.8984375,-82138.94589177,922.5,150,39.25428771972656,580000
147474,3929,907,0.0003,-1.3451123237609863,1646.283203125,85873.078125,-83185.31442324,922.5,150,38.63383865356445,590000
149974,3997,918,0.0003,0.5683605074882507,1524.1685791015625,73404.3359375,-85614.28689130001,922.5,150,37.703372955322266,600000
152474,4064,927,0.0003,-1.1700408458709717,1491.4239501953125,71211.703125,-90077.35256603001,922.5,150,37.685935974121094,610000
154974,4132,938,0.0003,2.1984457969665527,1609.4791259765625,60436.93359375,-93338.28829077,943.57,150,36.813777923583984,620000
157474,4200,947,0.0003,0.6013246178627014,1892.70068359375,62747.70703125,-91970.27865421,957.72,149,35.7263298034668,630000
159974,4268,958,0.0003,-0.7640660405158997,1629.62158203125,58409.8828125,-96989.26846898999,957.72,149,33.98849868774414,640000
162474,4335,967,0.0003,-1.8109726905822754,1579.1771240234375,51525.421875,-104096.95670246998,968.76,149,32.86689758300781,650000
164974,4403,978,0.0003,0.47996291518211365,1600.0203857421875,46990.4921875,-104717.26761925002,973.55,149,31.135644912719727,660000
167474,4472,987,0.0003,-0.5844647884368896,1509.2076416015625,53537.0390625,-104427.50261295002,982.52,149,29.378190994262695,670000
169974,4540,998,0.0003,-0.7558059692382812,1549.73095703125,47408.5,-103567.19834434999,1000.0,149,30.512039184570312,680000
172474,4609,1007,0.0003,0.24773311614990234,1405.5189208984375,58927.88671875,-97998.51593109,1000.0,149,32.44369888305664,690000
174974,4677,1018,0.0003,0.2581498622894287,1226.9947509765625,47282.25,-91484.01012579,1000.0,149,31.535757064819336,700000
177474,4747,1027,0.0003,1.6963276863098145,1590.9141845703125,40306.15234375,-86275.87212172998,1000.0,149,29.140625,710000
179974,4817,1038,0.0003,1.4666879177093506,1452.4906005859375,44566.08984375,-80207.10911578,1000.0,149,27.490280151367188,720000
182474,4885,1047,0.0003,1.5163813829421997,1377.1697998046875,42944.32421875,-74328.8097929,1000.0,149,26.183853149414062,730000
184974,4954,1058,0.0003,-1.2571771144866943,1428.7080078125,40553.7109375,-66389.71058541001,1000.0,149,26.758798599243164,740000
187474,5022,1067,0.0003,0.6748260259628296,1479.0904541015625,35826.44140625,-61227.82889542,1000.0,149,25.57102394104004,750000
189974,5091,1078,0.0003,0.6190999746322632,1181.896728515625,31951.140625,-57105.001430480006,1000.0,149,23.091466903686523,760000
192474,5160,1087,0.0003,1.0463390350341797,1348.5980224609375,37676.546875,-52341.54007204001,1000.0,149,21.929645538330078,770000
194974,5230,1098,0.0003,-1.32619309425354,1270.698486328125,39386.01171875,-47928.538071270006,1000.0,149,20.68621063232422,780000
197474,5299,1107,0.0003,1.6082067489624023,1259.5225830078125,40803.203125,-45387.94732808,1000.0,149,19.840248107910156,790000
199974,5368,1118,0.0003,-1.0089104175567627,1692.9312744140625,35689.0859375,-44007.58831087,1000.0,149,19.601539611816406,800000
202474,5437,1127,0.0003,2.777881145477295,1063.4805908203125,34632.72265625,-42111.38491006,1000.0,148,18.43522071838379,810000
204974,5505,1138,0.0003,-0.6149553656578064,1238.0628662109375,33914.15234375,-38895.06992482,1000.0,148,17.81412696838379,820000
207474,5574,1147,0.0003,2.2152388095855713,1047.88525390625,26475.85546875,-38721.241637009996,1000.0,148,17.119935989379883,830000
209974,5643,1158,0.0003,-1.55556321144104,1329.7037353515625,34362.1171875,-39993.51327753999,1000.0,148,17.27911376953125,840000
