time/total_timesteps,train/is_line_search_success,time/fps,train/kl_divergence_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std
310000,1.0,911,0.007963607087731361,340,0.001,4.34,0.0,0.023132197558879852,-129626.43586862,37,10972955960.0,0.8239834308624268
320000,1.0,906,0.007671103812754154,352,0.001,4.62,0.0,0.053589608520269394,-132733.83198254998,39,10835218648.0,0.8179803490638733
330000,1.0,906,0.006345749832689762,363,0.001,4.14,-1.1920928955078125e-07,0.040245141834020615,-127719.91183150001,40,11007600062.4,0.8150582909584045
340000,1.0,907,0.008991590701043606,374,0.001,4.33,0.0,0.057200390845537186,-129593.56531446001,41,10821358820.8,0.8113728165626526
350000,1.0,906,0.007385651580989361,385,0.001,4.46,5.960464477539063e-08,0.053956903517246246,-133383.75393212,42,10712888339.2,0.8074586391448975
360000,1.0,906,0.0056778439320623875,396,0.001,3.96,-1.1920928955078125e-07,0.05861013010144234,-125918.57653466,43,10907786211.2,0.805123507976532
370000,1.0,902,0.008182221092283726,409,0.001,4.33,0.0,0.021064840257167816,-130022.85462614999,45,10566953195.2,0.8000703454017639
380000,1.0,902,0.009404408745467663,420,0.001,4.47,0.0,0.038539987057447433,-131562.39769286997,46,10769087936.0,0.8008062839508057
390000,1.0,903,0.006350804585963488,431,0.001,3.97,0.0,0.07001276314258575,-126185.86788358999,47,11638174896.0,0.7972883582115173
400000,1.0,903,0.007157905492931604,442,0.001,4.2,5.960464477539063e-08,0.010821416042745113,-128271.42285784999,48,10685935715.2,0.7969807982444763
410000,1.0,900,0.007654588203877211,455,0.001,4.05,0.0,0.06385737657546997,-126727.69254025,50,10857559384.0,0.7940114140510559
420000,1.0,900,0.00596403144299984,466,0.001,4.07,0.0,0.030267881229519844,-126943.62886392999,51,10569762196.8,0.7918102741241455
430000,1.0,900,0.009787170216441154,477,0.001,3.97,0.0,0.03144755959510803,-125881.29163060003,52,10503786561.6,0.7880938649177551
440000,1.0,900,0.006062997505068779,488,0.001,3.95,0.0,0.04387521743774414,-125725.42600940999,53,10519867096.0,0.7849486470222473
450000,1.0,900,0.009213087148964405,499,0.001,3.95,0.0,0.04448068141937256,-125587.85280365002,54,10431257548.8,0.7862453460693359
460000,1.0,897,0.006034721154719591,512,0.001,3.85,-1.1920928955078125e-07,0.03302043676376343,-124707.71646592,56,10422921964.8,0.7838268876075745
470000,1.0,897,0.006802014075219631,523,0.001,3.88,1.1920928955078125e-07,0.04379197582602501,-124955.15983971,57,10398741206.4,0.782720148563385
480000,1.0,897,0.004879960790276527,534,0.001,3.77,0.0,0.040353696793317795,-123943.44628418,58,10596780427.2,0.7818934321403503
490000,1.0,897,0.006222705822438002,545,0.001,3.92,-1.1920928955078125e-07,0.052049607038497925,-125591.57395747998,59,10359828516.8,0.780729353427887
500000,1.0,894,0.006696606054902077,558,0.001,3.69,0.0,0.026832981035113335,-123201.25525867999,61,10355501441.6,0.7754059433937073
510000,1.0,895,0.007831131108105183,569,0.001,4.03,0.0,0.043359413743019104,-126599.89649417998,62,10408813321.6,0.7720600962638855
520000,1.0,895,0.006577031686902046,580,0.001,3.44,1.7881393432617188e-07,0.05136515200138092,-120948.41647897,63,10371134731.2,0.7707666754722595
530000,1.0,895,0.006101374514400959,591,0.001,3.36,0.0,0.07230155169963837,-120140.91031145,64,10240894334.4,0.7672041058540344
540000,1.0,896,0.006174066103994846,602,0.001,3.25,-1.1920928955078125e-07,0.01848163828253746,-119137.13064983,65,10249937755.2,0.7652409076690674
550000,1.0,893,0.006413815543055534,615,0.001,3.11,0.0,0.021507715806365013,-117798.63978078999,67,10048908201.6,0.757551908493042
560000,1.0,893,0.007915928028523922,626,0.001,3.11,1.7881393432617188e-07,0.05460270121693611,-117815.23404864002,68,10114764139.2,0.7551623582839966
570000,1.0,894,0.006571114994585514,637,0.001,3.1,-1.1920928955078125e-07,0.061616916209459305,-117682.8706615,69,10323124166.4,0.7551152110099792
580000,1.0,894,0.007539364974945784,648,0.001,3.27,1.1920928955078125e-07,0.03449134901165962,-119580.84544236997,70,10044912328.0,0.753330647945404
590000,1.0,891,0.005371701437979937,661,0.001,3.09,2.384185791015625e-07,0.043090321123600006,-117570.27437085,72,10054033633.6,0.7504338026046753
600000,1.0,892,0.006270193960517645,672,0.001,3.07,0.0,0.04791995882987976,-117369.28272614999,73,10150782542.4,0.7493941783905029
610000,1.0,892,0.007378302048891783,683,0.001,3.02,0.0,0.03866267576813698,-116950.0642774,74,9931313619.2,0.7474378347396851
620000,1.0,892,0.0068965936079621315,694,0.001,3.03,0.0,0.03101040981709957,-116977.67037619003,75,9903706513.6,0.7475435733795166
630000,1.0,892,0.008031499572098255,705,0.001,3.02,0.0,0.026390042155981064,-116890.27760812998,76,9898694425.6,0.7437761425971985
640000,1.0,890,0.008952027186751366,718,0.001,3.02,0.0,0.04950764775276184,-116909.53572166999,78,9896017859.2,0.7416902780532837
650000,1.0,890,0.009334241971373558,729,0.001,3.05,0.0,0.008956396952271461,-117143.64816487001,79,9874220054.4,0.7407780885696411
660000,1.0,890,0.005754357669502497,741,0.001,3.06,0.0,0.022981761023402214,-117258.84521603004,80,9881062596.8,0.7363873720169067
670000,1.0,890,0.008925977163016796,752,0.001,3.1,0.0,0.027504252269864082,-117664.98439938998,81,9873282804.8,0.7316989898681641
