train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_objective,train/n_updates,train/explained_variance,train/is_line_search_success
0.0013,0.007399433758109808,0.8952919840812683,-52944.450391000006,3788089933.2,220000,27.71,1456,151,0.05152139440178871,26,0.0,1.0
0.0013,0.008501224219799042,0.8852843642234802,-58064.81570887,3245584548.0,230000,30.79,1444,159,0.051464684307575226,28,5.960464477539063e-08,1.0
0.0013,0.0075816623866558075,0.8763541579246521,-19348.025866419997,3397245301.2,240000,25.94,1445,166,0.0540689155459404,29,5.960464477539063e-08,1.0
0.0013,0.007489696145057678,0.8641571402549744,-4612.08180354,3191065260.0,250000,28.88,1446,172,0.05053643137216568,30,0.0,1.0
0.0013,0.008951622992753983,0.8603002429008484,10565.41869192,3198352908.8,260000,25.0,1447,179,0.046394411474466324,31,0.0,1.0
0.0013,0.008419969119131565,0.8536474108695984,24778.14576495,3073372582.0,270000,26.02,1448,186,0.06010695919394493,32,5.960464477539063e-08,1.0
0.0013,0.008214770816266537,0.8420931696891785,34866.17310066,3195428901.2,280000,24.86,1440,194,0.049085963517427444,34,-1.1920928955078125e-07,1.0
0.0013,0.008829222992062569,0.8398158550262451,38227.01282273,3332518477.6,290000,27.34,1440,201,0.05536035820841789,35,-1.1920928955078125e-07,1.0
0.0013,0.009230207651853561,0.8372552990913391,51286.93048506999,2942393305.4,300000,23.88,1441,208,0.05588163062930107,36,0.0,1.0
0.0013,0.009104491211473942,0.8345487713813782,56698.45407311,3279247481.6,310000,22.1,1442,214,0.05306236445903778,37,0.0,1.0
0.0013,0.009465309791266918,0.8331882357597351,39201.867811309996,3320179273.6,320000,26.19,1434,223,0.06480224430561066,39,0.0,1.0
0.0013,0.009471860714256763,0.8305702209472656,44371.67415709,3138552990.8,330000,24.96,1435,229,0.058698296546936035,40,0.0,1.0
0.0013,0.009432900696992874,0.829178512096405,67125.21416255,3493960286.4,340000,21.46,1436,236,0.06961417198181152,41,0.0,1.0
0.0013,0.009345848113298416,0.8267741799354553,64803.78851102,3076013327.6,350000,21.31,1437,243,0.059630487114191055,42,1.1920928955078125e-07,1.0
0.0013,0.00952920038253069,0.8227317929267883,54559.612502899996,3546633578.0,360000,22.52,1437,250,0.05277274176478386,43,0.0,1.0
0.0013,0.00839658360928297,0.8179631233215332,88327.57452074,3648037204.8,370000,20.26,1431,258,0.04741290584206581,45,5.960464477539063e-08,1.0
0.0013,0.00921905692666769,0.8142324090003967,83167.81956639,3465154167.6,380000,18.49,1431,265,0.04832286760210991,46,1.1920928955078125e-07,1.0
0.0013,0.008863833732903004,0.8080229163169861,89370.20595944999,3797307208.8,390000,17.74,1431,272,0.049826472997665405,47,0.0,1.0
0.0013,0.008261649869382381,0.8057337403297424,94729.39205413,3987426454.8,400000,17.25,1431,279,0.044672198593616486,48,0.0,1.0
0.0013,0.009483345784246922,0.8010289072990417,87284.96503583001,4244516921.6,410000,18.97,1425,287,0.05840206891298294,50,0.0,1.0
0.0013,0.00945943035185337,0.7981820702552795,103219.32490519,4073062507.2,420000,16.92,1425,294,0.0619039312005043,51,1.1920928955078125e-07,1.0
0.0013,0.009336917661130428,0.7949251532554626,97240.52619492,4253930307.6,430000,16.06,1425,301,0.05683385580778122,52,0.0,1.0
0.0013,0.009249863214790821,0.7905461192131042,98887.38940522999,4290839612.4,440000,16.31,1425,308,0.05408719182014465,53,0.0,1.0
0.0013,0.009580238722264767,0.789831817150116,107717.21649260001,4654724675.2,450000,15.54,1425,315,0.046578556299209595,54,0.0,1.0
0.0013,0.009347286075353622,0.7843788266181946,105200.08203166,4530655473.6,460000,15.16,1421,323,0.05141529440879822,56,-1.1920928955078125e-07,1.0
0.0013,0.009325437247753143,0.7821962833404541,111189.75778996,4792732934.4,470000,15.24,1420,330,0.04693020135164261,57,-1.1920928955078125e-07,1.0
0.0013,0.009217067621648312,0.777656614780426,109286.72687195,4945268058.4,480000,14.26,1420,337,0.05464623495936394,58,-1.1920928955078125e-07,1.0
0.0013,0.00922408327460289,0.7726028561592102,110959.15241027,5003413851.2,490000,15.3,1421,344,0.048728097230196,59,0.0,1.0
0.0013,0.009609051048755646,0.768927276134491,103306.15625577001,4931422626.8,500000,15.32,1416,353,0.05339449644088745,61,0.0,1.0
0.0013,0.009485877119004726,0.7658069729804993,114115.30699808002,5162802983.2,510000,14.55,1415,360,0.04731735959649086,62,1.1920928955078125e-07,1.0
0.0013,0.009472756646573544,0.7628633379936218,115159.88532719002,5166759814.4,520000,13.67,1416,367,0.05223148688673973,63,0.0,1.0
0.0013,0.009254276752471924,0.7610800266265869,110741.43656140001,5430906172.0,530000,13.99,1416,374,0.047235190868377686,64,0.0,1.0
0.0013,0.009440549649298191,0.7602157592773438,115381.48724856,5342575707.2,540000,13.74,1416,381,0.049039341509342194,65,1.1920928955078125e-07,1.0
0.0013,0.009512628428637981,0.757318913936615,112408.29804885,5369918328.8,550000,14.21,1412,389,0.06316713243722916,67,0.0,1.0
