time/total_timesteps,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,time/fps,train/kl_divergence_loss,rollout/ep_len_mean,train/std,time/time_elapsed,train/learning_rate,train/is_line_search_success,train/value_loss
190000,0.0,0.04588625952601433,-148847.66897240002,23,1468,0.008641733787953854,6.11,0.8712908625602722,129,0.001,1.0,12386713958.4
200000,1.1920928955078125e-07,0.0398215688765049,-147369.15161702,24,1469,0.007777379360049963,5.87,0.8712270259857178,136,0.001,1.0,11856246982.4
210000,-2.384185791015625e-07,0.043692924082279205,-142124.36088517998,25,1470,0.007201995700597763,5.41,0.8714280724525452,142,0.001,1.0,11939699196.8
220000,0.0,0.029164213687181473,-145497.48636596,26,1470,0.00805012509226799,5.78,0.86331707239151,149,0.001,1.0,11862204153.6
230000,-2.384185791015625e-07,0.03885307163000107,-142184.66309945998,28,1459,0.008335145190358162,5.4,0.8459327220916748,157,0.001,1.0,11541079940.8
240000,1.1920928955078125e-07,0.01898345910012722,-143497.31189549,29,1459,0.008387635461986065,5.57,0.8433955311775208,164,0.001,1.0,11480143595.2
250000,-2.384185791015625e-07,0.044218938797712326,-144495.11783787998,30,1459,0.008933093398809433,5.72,0.8404051661491394,171,0.001,1.0,11855770892.8
260000,-1.1920928955078125e-07,0.05147824436426163,-139779.60184451,31,1460,0.008901674300432205,5.21,0.8373071551322937,178,0.001,1.0,11617755827.2
270000,5.960464477539063e-08,0.03177434578537941,-139864.10624313998,32,1460,0.009294492192566395,5.24,0.8327239155769348,184,0.001,1.0,11437063452.8
280000,1.1920928955078125e-07,0.04214368388056755,-141799.34592443003,34,1450,0.007610991131514311,5.46,0.8274331092834473,193,0.001,1.0,11420020068.8
290000,0.0,0.04399090260267258,-139695.01466773,35,1450,0.007864252664148808,5.24,0.8244583606719971,199,0.001,1.0,11450076619.2
300000,0.0,0.03774060681462288,-139892.08818716,36,1450,0.008099325001239777,5.3,0.8202524185180664,206,0.001,1.0,11204885657.6
310000,0.0,0.03697890788316727,-139925.20216437997,37,1451,0.007740937173366547,5.31,0.8172926902770996,213,0.001,1.0,11233115489.6
320000,-2.384185791015625e-07,0.045977603644132614,-141002.36540904,39,1442,0.007880128920078278,5.41,0.8137871623039246,221,0.001,1.0,11249759820.8
330000,0.0,0.03771636635065079,-141589.20193858002,40,1443,0.008640030398964882,5.46,0.8131749629974365,228,0.001,1.0,11364720964.8
340000,-1.1920928955078125e-07,0.057583026587963104,-140091.86329284,41,1443,0.006874965038150549,5.37,0.8074683547019958,235,0.001,1.0,11537767104.0
350000,1.1920928955078125e-07,0.03795258700847626,-139088.97279753,42,1443,0.00856043491512537,5.21,0.8008506298065186,242,0.001,1.0,11101346248.0
360000,5.960464477539063e-08,0.0209166519343853,-139396.25682222,43,1443,0.0070747751742601395,5.25,0.8006947040557861,249,0.001,1.0,11163519678.4
370000,-1.1920928955078125e-07,0.03550790250301361,-138668.96625872998,45,1436,0.00709892064332962,5.19,0.794802188873291,257,0.001,1.0,11112816348.8
380000,-1.1920928955078125e-07,0.036591630429029465,-138808.82780267,46,1436,0.005530839320272207,5.19,0.7924683690071106,264,0.001,1.0,11149358934.4
