train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/n_updates,train/policy_objective,train/kl_divergence_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,train/value_loss,train/std,train/is_line_search_success
0.0013,-233370.49824549005,120000,-1.1920928955078125e-07,14,0.025873295962810516,0.006309448275715113,181.74,71,1680,712272011.05,0.9593134522438049,1.0
0.0013,-262216.78338181,130000,5.960464477539063e-08,15,0.041843533515930176,0.0063615962862968445,203.24,77,1683,1011931803.5,0.9469510912895203,1.0
0.0013,-262898.1744492,140000,1.1920928955078125e-07,17,0.03579498082399368,0.007451038807630539,222.38,84,1657,633156821.65,0.9234238266944885,1.0
0.0013,-244639.18619261004,150000,0.0,18,0.03193633630871773,0.005834596697241068,223.44,90,1661,757699368.2,0.9219159483909607,1.0
0.0013,-251988.48444838997,160000,0.0,19,0.037919964641332626,0.006763236131519079,261.14,96,1665,415335781.15,0.9296391606330872,1.0
0.0013,-236413.22094059,170000,0.0,20,0.04060611128807068,0.0067204139195382595,272.65,101,1668,443014975.9,0.9216236472129822,1.0
0.0013,-269461.67652312,180000,0.0,21,0.04077257215976715,0.009509553201496601,332.6,107,1672,395424580.525,0.9059693217277527,1.0
0.0013,-257414.78895123996,190000,0.0,23,0.032839372754096985,0.006925483699887991,359.52,114,1654,282865947.35,0.8830850124359131,1.0
0.0013,-237923.78284999,200000,0.0,24,0.03107438050210476,0.0061328900046646595,388.8,120,1657,277920514.0625,0.8898885250091553,1.0
0.0013,-225429.36975792996,210000,5.960464477539063e-08,25,0.03371066600084305,0.006556365638971329,422.81,126,1661,255888731.2125,0.8844356536865234,1.0
0.0013,-204077.150504,220000,0.0,26,0.038395002484321594,0.007815636694431305,444.19,132,1662,207393940.30625,0.8806045651435852,1.0
0.0013,-155144.83584741998,230000,5.960464477539063e-08,28,0.03707218915224075,0.007073067128658295,448.53,139,1646,241020593.025,0.8609060645103455,1.0
0.0013,-128776.37387793999,240000,0.0,29,0.032680317759513855,0.008323803544044495,469.98,145,1649,223644884.525,0.8545856475830078,1.0
0.0013,-103841.04041232,250000,0.0,30,0.03529750183224678,0.007188085932284594,491.56,151,1650,138217815.83125,0.8372626900672913,1.0
0.0013,-88444.3653334,260000,0.0,31,0.030677102506160736,0.006986531894654036,527.38,157,1652,159722855.91875,0.8330785632133484,1.0
0.0013,-71630.02726458,270000,0.0,32,0.04206898808479309,0.008345725014805794,541.97,163,1654,122648590.85,0.8345025181770325,1.0
0.0013,-58732.78304360001,280000,0.0,34,0.028444327414035797,0.009741741232573986,586.13,170,1642,112893353.44375,0.8340294361114502,1.0
