time/time_elapsed,train/n_updates,train/explained_variance,train/std,train/policy_objective,train/kl_divergence_loss,train/is_line_search_success,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,time/fps,train/value_loss,time/total_timesteps
9,1,1.1920928955078125e-07,0.9977788925170898,0.0637923926115036,0.007389439269900322,1.0,11.53,-323052.19766793,0.0013,1102,53973593484.8,10000
16,2,0.0,0.9996837377548218,0.05966683849692345,0.005220612045377493,1.0,9.69,-280913.59688870003,0.0013,1200,46655779891.2,20000
24,3,-1.1920928955078125e-07,0.9991604089736938,0.049665793776512146,0.004057153593748808,1.0,8.17,-242930.95160103,0.0013,1224,40072210230.4,30000
32,4,0.0,0.9984384775161743,0.0472044013440609,0.004439045209437609,1.0,7.56,-225167.64576383002,0.0013,1243,39945176771.2,40000
41,6,5.960464477539063e-08,0.9846457242965698,0.056768789887428284,0.00505105359479785,1.0,5.5,-182551.17332652,0.0013,1216,33006402326.4,50000
49,7,1.7881393432617188e-07,0.9893540143966675,0.030610518530011177,0.005998572800308466,1.0,6.23,-195921.11076775996,0.0013,1224,28157188646.4,60000
56,8,-2.384185791015625e-07,0.9780909419059753,0.05262036621570587,0.00594449182972312,1.0,5.88,-190738.58927348,0.0013,1228,27228943907.2,70000
64,9,0.0,0.9752247929573059,0.03720765933394432,0.004946838598698378,1.0,6.03,-190568.55197834,0.0013,1234,23561965820.8,80000
72,10,1.1920928955078125e-07,0.9689254760742188,0.061257097870111465,0.005495450925081968,1.0,5.16,-166880.18011711002,0.0013,1237,22584359644.8,90000
82,12,0.0,0.9627084136009216,0.036028217524290085,0.008165319450199604,1.0,5.52,-174190.93479426,0.0013,1217,19700354438.4,100000
90,13,0.0,0.954936146736145,0.07531249523162842,0.006538293790072203,1.0,4.06,-148498.55010850998,0.0013,1220,18990994688.0,110000
98,14,5.960464477539063e-08,0.9510881900787354,0.03558352589607239,0.004429799970239401,1.0,4.06,-145954.77181197001,0.0013,1222,15755249886.4,120000
106,15,0.0,0.9432398080825806,0.057690929621458054,0.004439820535480976,1.0,3.89,-144520.21590138,0.0013,1222,16833190724.8,130000
115,17,-1.1920928955078125e-07,0.9230833053588867,0.05755508691072464,0.006610868964344263,1.0,3.54,-137795.17014401,0.0013,1209,13651097384.0,140000
123,18,0.0,0.921737015247345,0.07018186151981354,0.007210673298686743,1.0,3.15,-132380.47840388,0.0013,1209,13525391968.0,150000
132,19,-1.1920928955078125e-07,0.9193820953369141,0.028394388034939766,0.0057267844676971436,1.0,3.14,-132650.34248477,0.0013,1208,22585773425.6,160000
140,20,0.0,0.9125534296035767,0.008636927232146263,0.008754470385611057,1.0,3.89,-145135.05511356,0.0013,1207,13731078756.8,170000
149,21,0.0,0.9040638208389282,0.06065363436937332,0.006683851592242718,1.0,3.29,-131285.01514680003,0.0013,1208,12832601468.8,180000
158,23,0.0,0.8844677209854126,0.028058383613824844,0.006700687110424042,1.0,3.17,-128179.85472983001,0.0013,1198,12440170188.8,190000
167,24,0.0,0.881491482257843,0.06060362979769707,0.006957281846553087,1.0,3.26,-131274.54604947998,0.0013,1197,12594997550.4,200000
175,25,0.0,0.8803789615631104,0.009543457999825478,0.005713725462555885,1.0,3.38,-130889.35023796,0.0013,1197,11705800088.0,210000
183,26,-1.1920928955078125e-07,0.8769123554229736,0.06368754804134369,0.0065373522229492664,1.0,3.22,-128890.62906567998,0.0013,1196,12199618585.6,220000
193,28,0.0,0.8672151565551758,0.03459376469254494,0.009029513224959373,1.0,2.88,-125220.92747378997,0.0013,1187,11410127337.6,230000
202,29,0.0,0.8616578578948975,0.022145716473460197,0.005234753247350454,1.0,2.95,-122563.57362438999,0.0013,1187,11090962800.0,240000
210,30,-1.1920928955078125e-07,0.8603333830833435,0.05554521456360817,0.007442427799105644,1.0,3.16,-124690.74133541998,0.0013,1186,10848716491.2,250000
219,31,0.0,0.8584813475608826,0.02582799270749092,0.008438543416559696,1.0,2.62,-120045.55820618,0.0013,1185,10837867385.6,260000
227,32,1.1920928955078125e-07,0.854901909828186,0.034134428948163986,0.008940431289374828,1.0,2.74,-119766.94482939,0.0013,1184,15422845110.4,270000
237,34,0.0,0.8299744725227356,0.043768830597400665,0.009305238723754883,1.0,3.05,-116761.77189859001,0.0013,1177,84779022153.6,280000
246,35,0.0,0.8315798044204712,0.05139949545264244,0.00843943189829588,1.0,2.91,-119167.71962601999,0.0013,1177,21048165641.6,290000
254,36,0.0,0.8371065258979797,0.04525918513536453,0.005650518462061882,1.0,3.02,-115194.14472863,0.0013,1177,19760753044.8,300000
263,37,0.0,0.8309105634689331,0.053221769630908966,0.0074463956989347935,1.0,3.5,-113855.55328005999,0.0013,1177,9046461897.6,310000
273,39,0.0,0.8189805150032043,0.06273423880338669,0.00852128490805626,1.0,5.18,-95105.99735731,0.0013,1171,7865538006.4,320000
281,40,5.960464477539063e-08,0.8077081441879272,0.06159193068742752,0.007119097746908665,1.0,6.78,-92650.32344273999,0.0013,1172,5713823443.2,330000
289,41,0.0,0.8005553483963013,0.05210837349295616,0.006144423969089985,1.0,6.67,-80994.37672593999,0.0013,1172,8533775032.0,340000
298,42,0.0,0.7921693325042725,0.05345762521028519,0.008102825842797756,1.0,7.48,-74602.18416640999,0.0013,1173,4060926171.6,350000
306,43,0.0,0.7773027420043945,0.05803152546286583,0.007254691794514656,1.0,6.38,-74490.84954051001,0.0013,1173,3838223132.0,360000
316,45,0.0,0.7557753324508667,0.04851417616009712,0.00676694605499506,1.0,7.0,-44380.08768488,0.0013,1169,2490128523.6,370000
324,46,0.0,0.7501156330108643,0.06054436042904854,0.007969695143401623,1.0,6.8,-41725.18953717,0.0013,1170,2249201372.0,380000
333,47,0.0,0.7437406182289124,0.04490775987505913,0.008957491256296635,1.0,6.88,-39311.51871309,0.0013,1170,2233700543.4,390000
341,48,0.0,0.7399258017539978,0.047950416803359985,0.009301338344812393,1.0,6.75,-35635.91070894,0.0013,1170,2125644206.4,400000
351,50,0.0,0.7296257019042969,0.0600377656519413,0.00829522218555212,1.0,6.55,-26047.0850857,0.0013,1166,2250871909.0,410000
359,51,-1.1920928955078125e-07,0.7273667454719543,0.05109936743974686,0.008120753802359104,1.0,6.32,-22232.672802240002,0.0013,1167,1657358154.9,420000
368,52,0.0,0.722762405872345,0.055376071482896805,0.009191062301397324,1.0,6.4,-18133.91604124,0.0013,1167,1951240410.4,430000
376,53,0.0,0.7208386659622192,0.05102232098579407,0.009199858643114567,1.0,6.2,-15290.469394920001,0.0013,1168,1571783872.6,440000
385,54,0.0,0.717997670173645,0.05159912258386612,0.008400888182222843,1.0,6.32,-13821.424283710001,0.0013,1168,1860863891.8,450000
394,56,0.0,0.7124175429344177,0.03784826770424843,0.007586782798171043,1.0,6.17,-7697.681548709999,0.0013,1165,1943321692.4,460000
403,57,0.0,0.7116168141365051,0.031876757740974426,0.008604546077549458,1.0,6.21,-5777.1395380799995,0.0013,1165,1710509831.6,470000
411,58,0.0,0.7093831300735474,0.052929773926734924,0.008360663428902626,1.0,6.32,-7597.8343712000005,0.0013,1165,1678226679.4,480000
420,59,0.0,0.7087051272392273,0.03857569396495819,0.008755522780120373,1.0,6.17,-5637.727875389999,0.0013,1166,1660542316.4,490000
430,61,0.0,0.7065563201904297,0.029940402135252953,0.007613723631948233,1.0,6.18,-3858.6564768400003,0.0013,1162,1728265203.0,500000
438,62,0.0,0.7037872076034546,0.040935635566711426,0.009803949855268002,1.0,6.21,-4264.448006850001,0.0013,1162,1693420788.6,510000
447,63,-1.1920928955078125e-07,0.7034394145011902,0.048284996300935745,0.009342040866613388,1.0,6.23,-4769.0,0.0013,1163,1690286759.8,520000
455,64,5.960464477539063e-08,0.7019723653793335,0.032162144780159,0.00940457172691822,1.0,6.06,77.15066722000009,0.0013,1163,1765047304.8,530000
464,65,0.0,0.6999338865280151,0.03278472274541855,0.009547004476189613,1.0,6.15,-325.4271595099999,0.0013,1163,1751610309.0,540000
473,67,1.1920928955078125e-07,0.6961901187896729,0.03534373641014099,0.00951235368847847,1.0,6.04,423.70284239,0.0013,1160,1784541412.4,550000
482,68,5.960464477539063e-08,0.6945049166679382,0.042066775262355804,0.009134273044764996,1.0,6.14,785.9,0.0013,1160,1807695572.0,560000
491,69,0.0,0.6912678480148315,0.03598126396536827,0.0076712192967534065,1.0,6.06,3210.47621839,0.0013,1160,1842897869.4,570000
499,70,0.0,0.6898596286773682,0.031863726675510406,0.007134805899113417,1.0,6.05,2606.6,0.0013,1160,1826635259.4,580000
509,72,0.0,0.6885195374488831,0.048561085015535355,0.009417321532964706,1.0,6.06,3514.2,0.0013,1158,1805346679.0,590000
518,73,5.960464477539063e-08,0.6856712102890015,0.036591798067092896,0.009842419996857643,1.0,6.05,4120.1,0.0013,1158,1858674694.4,600000
526,74,0.0,0.6845411658287048,0.04747551679611206,0.009256274439394474,1.0,6.08,3513.2,0.0013,1158,1895156033.6,610000
535,75,0.0,0.6841374039649963,0.0331234410405159,0.008338896557688713,1.0,6.06,2807.8743182,0.0013,1158,1815054872.4,620000
543,76,0.0,0.6818889379501343,0.03916270285844803,0.009156176820397377,1.0,6.07,3412.66126336,0.0013,1159,1790524140.8,630000
553,78,-1.1920928955078125e-07,0.6809722781181335,0.04170634225010872,0.007746020331978798,1.0,6.05,4421.9,0.0013,1156,1851552576.4,640000
561,79,0.0,0.6802079677581787,0.031455814838409424,0.007371626328676939,1.0,6.01,3010.20435636,0.0013,1156,2035921841.4,650000
570,80,0.0,0.6786817908287048,0.047096431255340576,0.00951839704066515,1.0,6.05,2703.2520648699997,0.0013,1157,1905050675.8,660000
578,81,0.0,0.6773871183395386,0.042495246976614,0.009489476680755615,1.0,5.99,4393.25546174,0.0013,1157,1838392800.2,670000
588,83,0.0,0.677708089351654,0.05338247865438461,0.009352345950901508,1.0,6.09,1685.8119295600002,0.0013,1155,2038694783.2,680000
597,84,5.960464477539063e-08,0.6767804622650146,0.046454720199108124,0.009183552116155624,1.0,6.04,6844.9,0.0013,1155,1988866720.4,690000
605,85,0.0,0.6773882508277893,0.03898121416568756,0.008681735955178738,1.0,6.03,7046.143134129999,0.0013,1155,1990018223.2,700000
614,86,0.0,0.6783925890922546,0.03213714063167572,0.009647161699831486,1.0,6.03,8963.241296709999,0.0013,1155,1967298185.2,710000
622,87,-1.1920928955078125e-07,0.6776146292686462,0.04851118475198746,0.00949606578797102,1.0,6.02,8358.32165512,0.0013,1156,2036585282.4,720000
632,89,-1.1920928955078125e-07,0.6755417585372925,0.0445195734500885,0.00849376991391182,1.0,5.99,8357.45121735,0.0013,1154,2018765771.6,730000
641,90,0.0,0.6750919222831726,0.03923962265253067,0.008737128227949142,1.0,6.01,10779.7,0.0013,1154,2105102222.2,740000
649,91,0.0,0.674573540687561,0.036294009536504745,0.009928329847753048,1.0,6.0,11387.4,0.0013,1154,2117206381.2,750000
657,92,1.7881393432617188e-07,0.6753681898117065,0.02899455651640892,0.009197966195642948,1.0,6.02,11284.6,0.0013,1155,2140868128.6,760000
666,93,0.0,0.6750926971435547,0.03163301199674606,0.006960882805287838,1.0,6.03,10980.48550022,0.0013,1155,2148038523.0,770000
676,95,1.7881393432617188e-07,0.6748815178871155,0.03499697893857956,0.009861266240477562,1.0,6.01,11588.7,0.0013,1153,2133903463.4,780000
684,96,0.0,0.6754462718963623,0.047594692558050156,0.008947527036070824,1.0,6.02,10881.0,0.0013,1153,2122915723.8,790000
693,97,0.0,0.6740898489952087,0.04350201040506363,0.008760801516473293,1.0,6.0,11486.5,0.0013,1153,2136741744.0,800000
701,98,0.0,0.6741219758987427,0.04663243889808655,0.00965104065835476,1.0,5.97,9541.05546174,0.0013,1153,2129519435.8,810000
711,100,1.1920928955078125e-07,0.6718813180923462,0.028500182554125786,0.00998635496944189,1.0,5.98,9360.16382784,0.0013,1152,2120004726.2,820000
720,101,5.960464477539063e-08,0.6719346642494202,0.033252280205488205,0.00932792853564024,1.0,6.02,9973.6445833,0.0013,1152,2073046059.0,830000
728,102,0.0,0.671052098274231,0.03271269053220749,0.00918899942189455,1.0,6.02,8894.98776389,0.0013,1152,2077958166.2,840000
737,103,0.0,0.6708568930625916,0.03176911920309067,0.006462791934609413,1.0,6.0,11588.20190159,0.0013,1152,2100827144.8,850000
745,104,0.0,0.6696404814720154,0.03896411508321762,0.007024858612567186,1.0,6.02,10679.2,0.0013,1153,2099395203.2,860000
755,106,0.0,0.6682410836219788,0.03325919061899185,0.006518507841974497,1.0,6.02,11386.4,0.0013,1151,2074772118.0,870000
764,107,0.0,0.6684326529502869,0.025098608806729317,0.006520865019410849,1.0,6.02,10680.1,0.0013,1151,2105924895.6,880000
772,108,0.0,0.6674568057060242,0.03572460636496544,0.007934574969112873,1.0,6.05,9871.35416102,0.0013,1151,2063448549.8,890000
781,109,0.0,0.6681199669837952,0.03675863891839981,0.006406532134860754,1.0,6.01,10983.3,0.0013,1152,2055668834.6,900000
790,111,0.0,0.667593240737915,0.033495619893074036,0.009535538032650948,1.0,6.01,9164.72090874,0.0013,1150,2071016627.2,910000
799,112,0.0,0.6672297120094299,0.03513072803616524,0.00933130457997322,1.0,6.0,12093.7,0.0013,1150,2086270527.2,920000
808,113,-1.1920928955078125e-07,0.6677019596099854,0.029859337955713272,0.009925594553351402,1.0,6.0,9770.29234557,0.0013,1150,2060789338.6,930000
816,114,0.0,0.6675539612770081,0.04204458370804787,0.007772909943014383,1.0,6.0,12294.6,0.0013,1151,2094474251.0,940000
824,115,0.0,0.6670968532562256,0.028660891577601433,0.0063042896799743176,1.0,6.0,10276.22060807,0.0013,1152,2090528318.0,950000
833,117,0.0,0.6676029562950134,0.02773515321314335,0.0069371494464576244,1.0,6.01,11790.5,0.0013,1151,2040561868.2,960000
841,118,-1.1920928955078125e-07,0.6673880219459534,0.045442111790180206,0.00979368481785059,1.0,5.97,10116.26971886,0.0013,1152,2071536811.0,970000
849,119,0.0,0.6675975322723389,0.03571254014968872,0.009397294372320175,1.0,6.0,12194.6,0.0013,1154,2059632146.4,980000
856,120,0.0,0.6671085953712463,0.04628240689635277,0.008678311482071877,1.0,6.01,11487.8,0.0013,1155,2057800818.6,990000
865,122,0.0,0.6667299270629883,0.02502184547483921,0.007232737727463245,1.0,6.0,12396.4,0.0013,1155,2056186227.6,1000000
