train/ent_coef_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,train/critic_loss,time/episodes,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps
-45.19943618774414,3.0,217,45,347598.625,2474,21740.4453125,1256,0.0003,1.98758864402771,-131085.60676961998,10000
-110.79238891601562,3.0,217,92,189666.6875,4974,21544.173828125,4589,0.0003,4.671675205230713,-131084.88924959,20000
-115.71005249023438,3.0,216,138,137705.390625,7474,2540.7060546875,7921,0.0003,9.418827056884766,-131060.63050740001,30000
-101.43394470214844,3.0,217,183,139724.078125,9974,1855.9412841796875,11256,0.0003,17.816280364990234,-132827.78332760002,40000
-98.27581787109375,3.0,221,225,137461.4375,12474,1811.4879150390625,14589,0.0003,34.7340087890625,-126889.44004622001,50000
-76.72273254394531,3.0,224,267,140093.140625,14974,1747.88037109375,17921,0.0003,65.89591979980469,-127065.82869771004,60000
-48.82167053222656,3.0,226,309,129577.4375,17474,1713.79443359375,21251,0.0003,119.3772964477539,-128690.03727524998,70000
-22.05950164794922,4.08,227,351,140619.734375,19974,1305.781494140625,24500,0.0003,201.73690795898438,-182305.75838157002,80000
-2.938427686691284,3.26,228,393,143838.0625,22474,1932.1243896484375,27578,0.0003,290.188232421875,-140122.34521277,90000
-0.006774187088012695,3.26,229,435,142167.640625,24974,2600.64306640625,30535,0.0003,317.3470458984375,-140043.54577617,100000
1.50533926486969,3.15,230,477,141040.03125,27474,2717.71142578125,33585,0.0003,299.4898986816406,-135923.20540767,110000
1.8400888442993164,3.07,230,520,149032.578125,29974,4577.240234375,36772,0.0003,279.67596435546875,-133002.20344867,120000
1.9578773975372314,3.03,231,561,154020.3125,32474,4294.72802734375,40052,0.0003,255.3905029296875,-131382.81154258,130000
-0.7977191209793091,3.0,232,603,148757.390625,34974,4163.82861328125,43375,0.0003,213.38145446777344,-130823.77391716001,140000
-1.4975261688232422,3.01,232,645,138061.984375,37474,2956.086181640625,46682,0.0003,206.7119903564453,-133929.36057206997,150000
3.710048198699951,3.04,232,687,142114.90625,39974,4281.193359375,50002,0.0003,171.44717407226562,-134830.93505654,160000
2.4340991973876953,3.02,233,729,149441.25,42474,3517.349609375,53328,0.0003,167.8106231689453,-131058.57426178001,170000
-1.8959884643554688,3.01,233,771,152447.34375,44974,2188.6484375,56653,0.0003,151.57550048828125,-130319.956328,180000
2.0081398487091064,3.01,233,812,137228.4375,47474,1072.3193359375,59980,0.0003,118.6769790649414,-129675.18782308999,190000
-1.9529329538345337,3.0,234,854,142274.265625,49974,2825.869873046875,63312,0.0003,100.38493347167969,-128696.55984410003,200000
2.653540849685669,3.0,234,895,136346.0,52474,1762.5445556640625,66644,0.0003,88.02098846435547,-128331.87864956002,210000
-1.602682113647461,3.0,235,935,127416.4140625,54974,586.3172607421875,69978,0.0003,75.58041381835938,-128030.09306267001,220000
-2.9616708755493164,3.0,236,972,139972.625,57474,1100.9371337890625,73311,0.0003,65.39573669433594,-127869.84872481,230000
-3.6643404960632324,3.0,237,1010,152362.90625,59974,1767.4432373046875,76643,0.0003,60.855133056640625,-127509.87644282002,240000
1.7698993682861328,3.0,238,1046,135254.34375,62474,1547.5518798828125,79978,0.0003,56.057403564453125,-127362.70696410998,250000
0.02587372064590454,3.0,239,1084,138800.71875,64974,1322.5887451171875,83311,0.0003,51.042076110839844,-127067.14747098001,260000
3.665008783340454,3.0,240,1122,125904.6640625,67474,595.602294921875,86643,0.0003,47.6168327331543,-126835.02802492,270000
-2.0461602210998535,3.07,240,1163,128522.3828125,69974,787.2413330078125,89630,0.0003,45.20771026611328,-127649.41212379001,280000
-2.1087331771850586,12.97,240,1204,172495.09375,72474,2594.501708984375,91402,0.0003,47.1265983581543,-628458.85490736,290000
0.6447920203208923,23.97,240,1246,226097.671875,74974,7571.32421875,91965,0.0003,48.01848602294922,-1177326.9079610698,300000
0.9834791421890259,29.38,240,1288,323361.375,77474,4504.623046875,92307,0.0003,53.418025970458984,-1449222.2987646097,310000
1.2830241918563843,8.87,240,1329,422652.4375,79974,5802.83154296875,93135,0.0003,53.3276252746582,-420154.67658895,320000
