train/critic_loss,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/ent_coef,time/total_timesteps
88480696.0,2018.11376953125,-20.568283081054688,-843738.0219452401,74.18,140,225,44,2474,0.001,2.3258707523345947,10000
52583588.0,9744.1552734375,-24.199779510498047,-171436.77679314,59.47,316,225,88,4974,0.001,4.866746425628662,20000
49184608.0,11153.0751953125,-26.391775131225586,-123759.77326680999,45.93,508,224,133,7474,0.001,9.177520751953125,30000
72373360.0,11421.9462890625,-23.513626098632812,-116735.39643952,65.58,655,224,177,9974,0.001,16.100250244140625,40000
39365680.0,15955.30859375,-18.161579132080078,-106392.18963826,85.01,755,224,222,12474,0.001,26.68044090270996,50000
29782200.0,13385.6416015625,-12.528692245483398,-92443.42049042002,112.18,859,224,267,14974,0.001,41.121280670166016,60000
35091472.0,18201.26171875,-7.406024932861328,-143928.84798018,125.39,936,224,311,17474,0.001,55.98306655883789,70000
37234196.0,20139.771484375,0.02334439754486084,-105496.61143888,127.63,1012,225,355,19974,0.001,63.6980094909668,80000
22843300.0,23972.4609375,2.7981345653533936,-102795.76109654,141.2,1079,225,398,22474,0.001,62.10725784301758,90000
11422574.0,24454.9765625,-2.0693347454071045,-106092.92024369999,187.06,1105,225,442,24974,0.001,57.159793853759766,100000
50635112.0,23876.126953125,-0.35707512497901917,-124453.08804840999,279.22,1132,226,486,27474,0.001,54.37318420410156,110000
16763926.0,22821.61328125,0.3625929653644562,-120532.97026713,350.76,1147,226,528,29974,0.001,48.426055908203125,120000
14206990.0,23917.8203125,-0.8771382570266724,-116691.7744846,412.49,1162,227,571,32474,0.001,43.69545364379883,130000
32641430.0,21982.486328125,0.8070598840713501,-114740.92999494002,461.97,1187,228,613,34974,0.001,40.48896026611328,140000
43519160.0,18292.54296875,-0.5075826048851013,-99079.09990213,508.64,1203,228,656,37474,0.001,37.15849685668945,150000
11880792.0,17628.990234375,0.2934466004371643,-101035.19486351998,531.84,1225,228,700,39974,0.001,36.095821380615234,160000
31002180.0,15587.2451171875,0.7135377526283264,-96767.80557253,558.38,1239,228,743,42474,0.001,37.28709030151367,170000
27733520.0,15412.255859375,1.1429829597473145,-98061.92868263001,567.68,1253,228,786,44974,0.001,35.24221420288086,180000
29776098.0,14294.40234375,-0.4539530873298645,-97612.46327802999,567.85,1269,228,830,47474,0.001,34.55351638793945,190000
19188880.0,12248.544921875,0.18215885758399963,-96475.91380445,633.26,1281,229,873,49974,0.001,30.82687759399414,200000
20791212.0,13952.8935546875,0.06985148787498474,-96095.83596662,633.75,1295,229,916,52474,0.001,31.93817138671875,210000
33354044.0,9390.15234375,-0.643598198890686,-98202.81643886998,687.28,1306,229,959,54974,0.001,33.20785903930664,220000
27759084.0,8921.8984375,0.9509731531143188,-77924.62279201,707.59,1324,229,1002,57474,0.001,30.062171936035156,230000
38467324.0,6639.66845703125,0.2018612027168274,-79057.11266690999,710.7,1337,229,1045,59974,0.001,27.944822311401367,240000
8218089.0,4422.1767578125,-0.000846564769744873,-74660.88142821,724.46,1349,229,1087,62474,0.001,28.709012985229492,250000
38960728.0,5889.2822265625,-0.7582802176475525,-90687.01005455002,712.14,1364,230,1129,64974,0.001,30.396215438842773,260000
11638908.0,6462.75,0.3579869568347931,-89971.80737913,741.17,1377,230,1171,67474,0.001,25.991613388061523,270000
5867142.0,4545.150390625,-1.4041943550109863,-92129.80204818999,706.12,1395,230,1214,69974,0.001,25.08937644958496,280000
18826094.0,959.0196533203125,-2.9004955291748047,-89255.13749444998,713.01,1403,230,1256,72474,0.001,27.083526611328125,290000
11865676.0,-1076.69775390625,1.1763360500335693,-91964.28842683001,723.21,1417,231,1297,74974,0.001,25.401567459106445,300000
33694604.0,1560.1964111328125,3.4611473083496094,-89706.23225706,758.7,1429,231,1340,77474,0.001,27.11461067199707,310000
38139360.0,-790.9786376953125,1.0452405214309692,-94444.54631016002,747.31,1443,231,1383,79974,0.001,24.346128463745117,320000
34372000.0,-1757.5968017578125,2.109055995941162,-88628.60652232001,754.61,1454,231,1426,82474,0.001,22.501176834106445,330000
3614907.0,-54.591400146484375,-0.0015482604503631592,-86491.75598984999,788.0,1465,231,1468,84974,0.001,22.88994598388672,340000
34339516.0,-5605.16845703125,-1.7533109188079834,-96424.10091673002,756.68,1482,231,1511,87474,0.001,23.551387786865234,350000
9071968.0,-4802.6982421875,-0.056063562631607056,-94074.12546993,797.5,1494,231,1554,89974,0.001,22.885705947875977,360000
13340544.0,-3905.71240234375,1.0375128984451294,-96703.1476851,785.96,1508,231,1597,92474,0.001,21.790281295776367,370000
7723054.0,-7822.484375,0.15303876996040344,-98665.43290561,783.3,1521,231,1640,94974,0.001,21.015899658203125,380000
23179966.0,-5053.4150390625,0.7870259881019592,-111256.63650673999,785.78,1531,231,1683,97474,0.001,23.095090866088867,390000
4519784.0,-7254.115234375,0.3107597827911377,-106350.82926587001,812.56,1543,231,1726,99974,0.001,23.19698715209961,400000
2948509.5,-7565.5751953125,0.34192872047424316,-135058.09745042003,788.54,1556,230,1775,102474,0.001,18.956050872802734,410000
3445784.5,-8184.0986328125,-0.6993070244789124,-144134.66620612002,726.88,1572,230,1822,104974,0.001,19.429603576660156,420000
2961282.0,-8217.5712890625,0.1606212854385376,-165291.91697895003,770.43,1585,230,1869,107474,0.001,17.0281925201416,430000
27951950.0,-7686.142578125,0.14840085804462433,-165270.84932944,766.61,1599,229,1917,109974,0.001,16.885143280029297,440000
24228342.0,-7588.2607421875,-2.4256772994995117,-165046.00430265,768.21,1610,228,1965,112474,0.001,18.3998966217041,450000
24806836.0,-9460.234375,0.02165776491165161,-174619.79693801998,785.29,1623,228,2013,114974,0.001,16.733383178710938,460000
9671445.0,-6505.95849609375,-0.5950720310211182,-172327.62537856,752.8,1635,227,2062,117474,0.001,17.473373413085938,470000
3118618.5,-9618.6630859375,2.4354310035705566,-140673.62124412003,703.49,1654,227,2109,119974,0.001,18.103904724121094,480000
2080984.0,-9621.04296875,0.7103651762008667,-145310.56827619,728.0,1666,227,2157,122474,0.001,15.999436378479004,490000
2499249.5,-9363.43359375,-1.132035493850708,-143291.21547541,758.23,1677,226,2205,124974,0.001,15.218960762023926,500000
4939900.0,-10525.4775390625,1.6770973205566406,-140022.43445669,690.13,1700,226,2253,127474,0.001,16.450927734375,510000
4145290.0,-9440.13671875,-1.2262117862701416,-168602.52104867005,664.99,1715,226,2300,129974,0.001,14.842175483703613,520000
36234524.0,-10076.775390625,-0.5360525846481323,-161035.70600796,590.31,1738,225,2348,132474,0.001,15.753793716430664,530000
2620164.0,-11509.423828125,-0.14577490091323853,-168056.09961192,617.07,1746,225,2397,134974,0.001,14.819831848144531,540000
4550802.0,-12345.51171875,-1.2670962810516357,-157443.41883035,656.65,1760,224,2448,137474,0.001,17.301816940307617,550000
13017738.0,-14589.947265625,-0.5163260102272034,-154174.65662863,665.05,1769,224,2499,139974,0.001,16.339365005493164,560000
3330606.5,-12384.431640625,0.3992905616760254,-175332.66412128002,653.07,1785,223,2550,142474,0.001,15.113787651062012,570000
11542268.0,-13034.33203125,0.35998159646987915,-167543.76059421,702.93,1800,223,2600,144974,0.001,16.828210830688477,580000
