time/fps,train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/critic_loss
194,52.15454864501953,26458.3125,180000,0.0055,144.56,-556747.42042177,1621,44974,-100.67398071289062,923,13434598.0
195,17.70914077758789,5507.34375,190000,0.0055,216.54,-476366.39553479,1653,47474,-4.801076889038086,974,21254784.0
195,58.14079666137695,11284.8095703125,200000,0.0055,222.28,-663849.6005439699,1708,49974,24.84351921081543,1025,10682772.0
195,16.69402503967285,-3735.17041015625,210000,0.0055,275.38,-600111.22014465,1716,52474,-9.106132507324219,1075,9217013.0
195,118.98556518554688,25073.470703125,220000,0.0055,389.14,-859247.1215326999,1739,54974,-96.83090209960938,1126,29850940.0
195,18.0522403717041,11744.939453125,230000,0.0055,359.88,-1240166.37139125,1769,57474,6.155932903289795,1177,9205372.0
195,16.67584800720215,4343.78076171875,240000,0.0055,440.18,-1004331.07080033,1790,59974,1.5186874866485596,1228,6335939.5
195,331.5291442871094,123816.4921875,250000,0.0055,297.94,-1330120.89172288,1844,62474,49.6641960144043,1278,73416912.0
195,50.68576431274414,34493.33203125,260000,0.0055,122.06,-1051932.3515374297,1922,64974,6.420390605926514,1329,45230200.0
195,11.260009765625,15286.5400390625,270000,0.0055,190.82,-489907.6254302,1936,67474,-0.1275578737258911,1380,10500454.0
195,25.356704711914062,8174.47900390625,280000,0.0055,259.27,-465653.60027054994,1969,69974,-0.14864349365234375,1431,17562684.0
195,258.56207275390625,73359.859375,290000,0.0055,48.86,-786021.2123658999,2119,72474,35.20109558105469,1482,44437548.0
195,35.88360595703125,24160.634765625,300000,0.0055,73.13,-390287.51370496006,2245,74974,10.226871490478516,1532,22733152.0
195,21.627544403076172,9518.689453125,310000,0.0055,146.28,-198634.16729306002,2266,77474,-2.1010384559631348,1583,16792762.0
195,80.96826171875,41715.171875,320000,0.0055,253.0,-376883.83029317,2286,79974,10.543867111206055,1634,21799624.0
195,80.20890045166016,30344.6875,330000,0.0055,81.28,-296173.60078932,2398,82474,-41.05591583251953,1685,23448316.0
195,9.223779678344727,8156.2724609375,340000,0.0055,145.68,-270661.73597178,2428,84974,-2.8782477378845215,1735,64144784.0
195,28.11704444885254,17828.7421875,350000,0.0055,221.12,-202460.42677917998,2482,87474,-1.9596607685089111,1786,30905870.0
195,20.103349685668945,-1389.9415283203125,360000,0.0055,154.51,-34081.405835829995,2542,89974,0.978737473487854,1837,16571909.0
195,437.67169189453125,301059.90625,370000,0.0055,174.65,-1037683.5995321498,2617,92474,72.78921508789062,1888,237645856.0
195,73.92752838134766,44932.50390625,380000,0.0055,74.47,-382527.00957558,2749,94974,34.304710388183594,1939,43573816.0
195,121.21981048583984,58727.296875,390000,0.0055,52.99,-261784.09136339006,2901,97474,17.691234588623047,1989,63189920.0
196,44.6452751159668,16093.837890625,400000,0.0055,82.64,-111718.88834461,2964,99974,3.2667720317840576,2040,67697072.0
195,46.772789001464844,16145.107421875,410000,0.0055,193.37,-115212.91634718001,2979,102474,4.282110214233398,2097,40645772.0
194,94.59083557128906,26964.953125,420000,0.0055,288.82,-171529.03487721,2992,104974,-9.902475357055664,2154,26022740.0
194,86.51411437988281,30795.18359375,430000,0.0055,126.1,-557370.42372993,3089,107474,39.79132843017578,2211,45616368.0
193,2405.0751953125,487126.4375,440000,0.0055,124.85,-1638506.47656427,3135,109974,-286.38031005859375,2268,2824997888.0
193,215.22901916503906,167799.8125,450000,0.0055,27.7,-218235.10290794005,3388,112474,61.514610290527344,2325,160340672.0
193,2827.1630859375,253685.0,460000,0.0055,102.98,-2106098.9996273597,3467,114974,-20.729036331176758,2381,1491083648.0
192,1353.578857421875,484762.6875,470000,0.0055,69.1,-1266950.14001841,3613,117474,-17.09473991394043,2438,9373495296.0
192,52.0229377746582,381655.28125,480000,0.0055,66.34,-963525.9322982499,3755,119974,24.708576202392578,2495,543819584.0
191,910.53955078125,308365.8125,490000,0.0055,61.15,-904854.6359397998,3906,122474,114.67652130126953,2552,692884352.0
191,128.36741638183594,237541.796875,500000,0.0055,35.86,-479145.94127831,4242,124974,17.72527313232422,2609,318285504.0
191,421.364013671875,259238.1875,510000,0.0055,33.59,-546022.0711589899,4784,127474,-127.70150756835938,2666,310089408.0
190,11431.0380859375,790612.1875,520000,0.0055,31.03,-300399.62539944996,5153,129974,176.07247924804688,2723,86017236992.0
190,255.02639770507812,572815.8125,530000,0.0055,14.07,-132593.25924033002,5669,132474,64.70626068115234,2780,10407775232.0
190,35.61717224121094,329986.0,540000,0.0055,8.24,-99420.33231825,6739,134974,7.028941631317139,2837,1767085312.0
190,252.44436645507812,181401.34375,550000,0.0055,21.57,-534865.26452496,7764,137474,-203.63937377929688,2894,534526976.0
189,902.0958862304688,263033.8125,560000,0.0055,10.17,-105636.48161512,8152,139974,76.64152526855469,2951,467032128.0
189,53.772335052490234,159740.6875,570000,0.0055,16.77,-122202.54136874,8896,142474,28.83026885986328,3008,131156432.0
189,300.9743347167969,304268.71875,580000,0.0055,25.71,-470203.81850414997,9260,144974,-285.6851806640625,3065,1764676480.0
188,1124.43798828125,282194.375,590000,0.0055,43.25,-914793.86533521,9548,147474,32.801605224609375,3122,1110627072.0
188,374.3791809082031,305064.875,600000,0.0055,33.4,-570339.9483900601,9923,149974,0.11108934879302979,3179,2260442112.0
188,558.6837158203125,235262.296875,610000,0.0055,23.92,-305949.72428281006,10492,152474,-40.62889862060547,3236,354035456.0
188,46.5295295715332,160047.3125,620000,0.0055,19.47,-100084.07974465,11063,154974,-0.6462295055389404,3293,94057904.0
188,40.31819534301758,108629.8046875,630000,0.0055,22.9,-97727.66316749001,11459,157474,-1.3464300632476807,3349,88817040.0
187,593.6798095703125,177653.421875,640000,0.0055,92.59,-1856780.14004411,11564,159974,78.9328842163086,3406,155664608.0
187,53.53675079345703,86977.8984375,650000,0.0055,119.85,-1076595.9386439999,11648,162474,16.549732208251953,3463,71580160.0
187,34.36577606201172,89436.25,660000,0.0055,192.06,-723408.90604683,11668,164974,2.965665578842163,3520,157357232.0
187,21215.1953125,907983.25,670000,0.0055,109.73,-2471678.95882947,11768,167474,74.51750183105469,3577,72678981632.0
187,4324.2666015625,518299.96875,680000,0.0055,58.9,-561695.23011584,11937,169974,110.37657165527344,3634,4935163392.0
186,756.0081787109375,404521.71875,690000,0.0055,26.62,-310224.63665468,12175,172474,82.23744201660156,3691,1541292032.0
186,127.16526794433594,228977.984375,700000,0.0055,39.33,-450867.77948757005,12482,174974,-118.12577819824219,3747,2207142400.0
186,454.368408203125,218625.71875,710000,0.0055,24.6,-233663.60971862997,12782,177474,65.15480041503906,3804,367405376.0
186,15.555248260498047,124371.7421875,720000,0.0055,36.34,-164061.25427652997,13305,179974,13.974048614501953,3861,94151240.0
186,297.7920227050781,147122.40625,730000,0.0055,15.57,-199222.03315083002,13706,182474,-211.81983947753906,3918,171645072.0
186,30912.37890625,699749.1875,740000,0.0055,61.91,-1406571.64441607,13892,184974,110.18583679199219,3975,92909518848.0
186,3597.51904296875,571966.125,750000,0.0055,28.15,-176608.15509114,14180,187474,99.44805908203125,4032,4920964096.0
185,363.51641845703125,368680.3125,760000,0.0055,30.7,-292520.54782421,14545,189974,45.44340515136719,4089,1470556288.0
185,351.7434997558594,240249.0625,770000,0.0055,39.42,-462980.4060156701,14848,192474,14.601815223693848,4146,615103360.0
185,735.2528686523438,249078.09375,780000,0.0055,32.39,-353954.64530722005,15194,194974,18.928556442260742,4203,598596928.0
185,258.14208984375,160309.46875,790000,0.0055,17.15,-108358.11065558998,15624,197474,54.396934509277344,4260,159899392.0
185,8899.828125,443702.5,800000,0.0055,83.96,-2055819.03910402,15797,199974,169.76658630371094,4316,5952808448.0
185,385.3083190917969,412010.375,810000,0.0055,25.14,-199620.76695696995,16103,202474,86.32691955566406,4373,1340529280.0
185,104.36112213134766,280515.53125,820000,0.0055,21.44,-272000.0115441,16724,204974,-113.76287078857422,4430,688725504.0
184,2971.04736328125,514717.46875,830000,0.0055,36.25,-770952.71269039,17097,207474,-27.999099731445312,4487,4307882496.0
184,38314.55078125,1309640.5,840000,0.0055,29.1,-217102.74994517,17317,209974,149.78143310546875,4544,146460721152.0
184,2511.717529296875,1092330.5,850000,0.0055,45.81,-951238.53557064,17574,212474,82.53671264648438,4601,14913400832.0
184,76.78158569335938,679142.5,860000,0.0055,14.77,-262390.67532438005,18196,214974,36.61460876464844,4658,5037073920.0
184,511.513427734375,553026.75,870000,0.0055,41.54,-1147521.4375219,18696,217474,-153.10772705078125,4715,5870402048.0
184,4089.44677734375,645630.75,880000,0.0055,13.76,-129098.43052774001,18964,219974,97.58602905273438,4772,5424270336.0
184,581.32373046875,387453.8125,890000,0.0055,12.85,-141725.35207463,19767,222474,67.95413970947266,4829,1774138880.0
184,36934.83984375,1257705.375,900000,0.0055,74.5,-1848754.3376584705,19952,224974,61.74867248535156,4886,145979899904.0
184,11935.3115234375,1016965.4375,910000,0.0055,22.08,-154848.43036312002,20336,227474,76.25598907470703,4942,19683405824.0
184,5801.548828125,833633.1875,920000,0.0055,35.58,-641107.66994311,20847,229974,51.8399772644043,4999,16819331072.0
183,178.0121612548828,503570.8125,930000,0.0055,8.42,-103557.83222817998,21596,232474,72.12930297851562,5056,5289695232.0
183,46.20501708984375,282861.15625,940000,0.0055,36.55,-1113104.94409334,22353,234974,-40.824867248535156,5113,2592700672.0
183,38.362648010253906,253350.890625,950000,0.0055,7.54,-101344.12392954002,23235,237474,12.795427322387695,5170,195863808.0
183,1436.3455810546875,492887.8125,960000,0.0055,38.05,-1028763.32485955,24076,239974,-218.48345947265625,5227,12224812032.0
183,5154.53515625,520371.09375,970000,0.0055,12.66,-126372.09083696001,24592,242474,31.88139533996582,5284,5645902848.0
183,528.230224609375,290454.25,980000,0.0055,8.03,-100151.49218109003,25643,244974,39.809295654296875,5341,936241536.0
183,259.11993408203125,411204.96875,990000,0.0055,10.67,-117946.47271376001,26390,247474,34.62592697143555,5398,508630080.0
183,1502.3502197265625,289277.3125,1000000,0.0055,38.35,-875381.82216637,27121,249974,-76.39399719238281,5455,2037044736.0
