time/fps,train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/critic_loss
191,42.792667388916016,32003.640625,10000,0.0055,39.42,-476777.61999648006,220,2474,-50.57977294921875,52,47218248.0
191,62.24274444580078,26864.953125,20000,0.0055,51.24,-118441.76109835,459,4974,0.5469691753387451,104,50776864.0
191,57.22098922729492,22099.759765625,30000,0.0055,46.37,-111913.05579216998,639,7474,-0.09884226322174072,156,35341976.0
191,46.88946533203125,18221.0703125,40000,0.0055,74.15,-127265.48348002999,779,9974,3.95274019241333,208,78140472.0
192,51.3173713684082,14768.0703125,50000,0.0055,95.27,-255896.49218921002,890,12474,-62.135379791259766,260,116324080.0
192,33.903106689453125,16347.4521484375,60000,0.0055,85.81,-239559.02112708995,1001,14974,4.071420669555664,311,101633224.0
192,40.18684005737305,15896.12890625,70000,0.0055,148.67,-211692.26070294005,1043,17474,-4.467677593231201,363,66450832.0
193,46.267677307128906,5760.6552734375,80000,0.0055,189.4,-217727.55857246005,1105,19974,0.33596354722976685,414,15033816.0
193,543.4874267578125,12916.953125,90000,0.0055,70.2,-619570.41313092,1214,22474,1.857903242111206,465,131346064.0
193,26.439048767089844,17035.2578125,100000,0.0055,109.89,-595414.7488337801,1295,24974,-1.1754798889160156,516,45456240.0
193,75.40747833251953,21098.76171875,110000,0.0055,154.76,-282278.78334429004,1344,27474,14.720510482788086,568,18627036.0
193,36.376644134521484,11984.392578125,120000,0.0055,231.79,-492167.59231141006,1386,29974,11.338411331176758,618,18541944.0
194,59.79347610473633,10574.3125,130000,0.0055,291.06,-508239.05553995003,1399,32474,-22.36910629272461,669,13606044.0
194,77.90882873535156,14441.7421875,140000,0.0055,299.58,-564966.6926972101,1445,34974,20.450231552124023,720,11432113.0
194,29.44609260559082,5783.02294921875,150000,0.0055,326.31,-659563.42068475,1471,37474,7.666611194610596,771,7164370.0
194,19.48021697998047,1350.8988037109375,160000,0.0055,417.33,-665314.51338475,1484,39974,-2.7444119453430176,821,9065147.0
194,19.077119827270508,12609.7109375,170000,0.0055,213.66,-534724.09473477,1555,42474,6.10638427734375,872,32559900.0
