rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/return_std,train/delta_std,train/step_size,train/iterations,train/learning_rate
751.0,284,870000,3060,-14960173.42652325,,,,,
668.3333333333334,287,880000,3060,-13313670.595204443,,,,,
728.6363636363636,290,890000,3060,-14501413.48324936,,,,,
734.6,294,900000,3060,-14617340.271934198,,,,,
502.0,297,910000,3060,-10037479.9803625,8856752.0,0.05,2.8227051251938917e-10,17,0.02
573.5714285714286,300,920000,3060,-11426300.307411714,,,,,
668.3333333333334,303,930000,3060,-13253468.77769611,,,,,
602.0,307,940000,3060,-11942578.982842864,,,,,
336.3333333333333,310,950000,3060,-6696510.0,9863356.0,0.05,2.5346341692156216e-10,18,0.02
502.125,313,960000,3061,-9991769.87600625,,,,,
601.7,316,970000,3063,-11958977.3669586,,,,,
693.6153846153846,319,980000,3065,-13791675.282679383,,,,,
,322,990000,3066,,9459611.0,0.05,2.642814855846609e-10,19,0.02
601.6,325,1000000,3068,-11982023.1086348,,,,,
715.4285714285714,328,1010000,3070,-14241737.897505859,,,,,
728.3636363636364,332,1020000,3071,-14499171.879461635,,,,,
770.1538461538462,335,1030000,3073,-15338107.453041153,,,,,
