train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-25.770153045654297,-2481.7164519999997,344,-0.1290113925933838,287,4,9026.2294921875,30,32.75,0.001,1,0.9909815788269043,,
-129.11160278320312,-3114.290212,664,-0.2941138744354248,308,8,11395.6689453125,70,44.25,0.001,2,0.977059006690979,,
-124.56788635253906,-4595.42664875,1848,0.16517861187458038,324,12,4084.298583984375,218,63.166666666666664,0.001,5,0.9573760032653809,,
-111.32185363769531,-7250.6681773125,2624,0.08478868752717972,329,16,5242.3544921875,315,101.5625,0.001,7,0.9727233648300171,,
-127.73284149169922,-6942.9045988,3504,-0.03737752512097359,334,20,6132.4404296875,425,99.4,0.001,10,1.0062178373336792,,
86.228759765625,-7159.047649833333,4680,-0.02290256693959236,335,24,4002.77978515625,572,111.33333333333333,0.001,13,1.0316318273544312,,
88.5610580444336,-7863.440321107143,5240,-0.02983430027961731,336,28,3224.5791015625,642,120.53571428571429,0.001,15,1.0335465669631958,,
168.62884521484375,-8059.34512434375,5496,-0.03279440104961395,335,32,6108.4306640625,674,127.15625,0.001,16,1.034363031387329,,
143.7906494140625,-8635.871688055555,6264,-0.028281738981604576,335,36,4017.8671875,770,142.47222222222223,0.001,18,1.0393707752227783,,
179.42237854003906,-8552.013329825,6864,0.07610447704792023,334,40,2175.178466796875,845,153.075,0.001,20,1.0390666723251343,,
159.3985137939453,-8598.457264772727,7328,0.026115654036402702,334,44,6947.9453125,903,152.13636363636363,0.001,21,1.0348843336105347,,
79.73338317871094,-7991.757293326531,7504,0.05502796918153763,334,48,5817.43603515625,925,142.87755102040816,0.001,22,1.0333218574523926,,
156.9103240966797,-7996.8323966538455,8920,0.0017482733819633722,335,52,2426.033203125,1102,144.5,0.001,26,1.0159295797348022,,
117.20401763916016,-7522.190106142858,9376,0.023402400314807892,336,56,5303.5986328125,1159,135.80357142857142,0.001,27,1.0143150091171265,,
121.92323303222656,-7807.061724033334,9912,-0.0033806769642978907,336,60,1377.709716796875,1226,142.1,0.001,29,1.010274052619934,,
158.84718322753906,-7699.280848065574,10000,0.0018418158870190382,336,61,1597.6351318359375,1237,140.04918032786884,0.001,29,1.0098257064819336,,
,,10000,,,,,,,,,,268.6,-8992.8888018
195.75718688964844,-7635.859368265626,10792,0.008187893778085709,311,64,5494.0078125,1336,147.21875,0.001,34,1.00600266456604,,
270.650634765625,-7566.578879176472,11648,-0.0007224358851090074,310,68,3077.8271484375,1443,153.5441176470588,0.001,37,0.9992789626121521,,
264.18414306640625,-7214.091678152778,11936,-0.0067289755679667,310,72,1358.4556884765625,1479,145.81944444444446,0.001,38,0.9965052008628845,,
284.3643798828125,-6955.650272631578,12216,-0.009577092714607716,307,76,2815.89453125,1514,142.5921052631579,0.001,39,0.9924567341804504,,
204.39437866210938,-7121.090817812501,13104,-0.04518550634384155,308,80,2037.458740234375,1625,147.5625,0.001,42,0.977664053440094,,
264.9095153808594,-6962.706354416669,14960,-0.09609129279851913,311,84,1434.5504150390625,1857,149.83333333333334,0.001,47,0.9463578462600708,,
364.394287109375,-6915.09789628409,15384,-0.16832244396209717,312,88,2003.34521484375,1910,156.23863636363637,0.001,49,0.9380325675010681,,
373.4460754394531,-6815.466715695653,16024,-0.1380295753479004,313,92,2115.54638671875,1990,155.59782608695653,0.001,51,0.924651563167572,,
462.836669921875,-7280.047595635417,19368,-0.4107576012611389,316,96,2125.547119140625,2408,171.36458333333334,0.001,61,0.8511612415313721,,
437.0153503417969,-7135.897791090908,20000,-0.3804118037223816,317,99,6288.44140625,2487,169.7979797979798,0.001,63,0.8363226056098938,,
,,20000,,,,,,,,,,659.2,-9212.6324922
420.88067626953125,-7185.797011279999,20072,-0.4560834467411041,293,100,3011.59326171875,2496,174.46,0.001,68,0.8347190618515015,,
528.7818603515625,-7619.78225135,21280,-0.4614024758338928,295,104,2326.799072265625,2647,196.04,0.001,72,0.8114816546440125,,
547.4264526367188,-7785.77758708,23648,-0.4649651050567627,298,108,1191.29052734375,2943,211.16,0.001,79,0.7655143141746521,,
533.80419921875,-7738.281349249999,24312,-0.6495180726051331,299,112,2222.38427734375,3026,214.33,0.001,81,0.7540450096130371,,
521.0821533203125,-7292.87480673,24960,-0.5721362233161926,300,116,1805.4354248046875,3107,212.86,0.001,82,0.7411746382713318,,
625.8513793945312,-7392.888849480001,25856,-0.5734935998916626,301,120,1204.3662109375,3219,223.91,0.001,85,0.7232536673545837,,
601.2747802734375,-7401.997388330002,27608,-0.8186638951301575,304,124,1328.037353515625,3438,232.3,0.001,90,0.6868557333946228,,
593.4214477539062,-7017.721842510001,27904,-0.6125758290290833,304,128,1462.89599609375,3475,229.09,0.001,91,0.6810771822929382,,
592.8560180664062,-6735.5726347,28744,-0.6585215330123901,305,132,1089.448486328125,3580,226.49,0.001,94,0.6677009463310242,,
601.8152465820312,-6286.655967029999,29952,-1.154402494430542,306,136,1668.760498046875,3731,219.46,0.001,97,0.6451647281646729,,
586.49609375,-6286.655967029999,30000,-1.2940266132354736,306,136,1945.51708984375,3737,219.46,0.001,97,0.6441280245780945,,
,,30000,,,,,,,,,,225.2,-11829.7480124
593.7447509765625,-6377.21698655,30528,-1.0721852779388428,300,140,893.6602172851562,3803,224.34,0.001,101,0.632411777973175,,
695.3471069335938,-6274.11262217,32288,-0.8538534641265869,301,144,776.3328857421875,4023,232.25,0.001,107,0.6014106273651123,,
777.7212524414062,-6505.554569229999,33960,-1.0515261888504028,301,148,622.969482421875,4232,250.49,0.001,112,0.5693383812904358,,
745.7272338867188,-6356.48595839,34768,-1.409090518951416,301,152,525.8714599609375,4333,250.74,0.001,115,0.55341637134552,,
742.3651123046875,-6394.912451560001,35552,-1.6448121070861816,302,156,741.4743041992188,4431,254.3,0.001,117,0.5364788770675659,,
771.7515869140625,-6339.627075929999,35968,-1.3672471046447754,302,160,619.9384155273438,4483,260.88,0.001,118,0.5281574130058289,,
794.8514404296875,-6281.37677377,36800,-1.6296350955963135,303,164,563.072998046875,4587,260.77,0.001,121,0.5122997164726257,,
775.7486572265625,-6068.1649382199985,37096,-2.076857805252075,303,168,537.4375,4624,250.95,0.001,122,0.506332278251648,,
807.6228637695312,-6063.541883989999,37344,-1.2981374263763428,303,172,649.214111328125,4655,250.68,0.001,122,0.5016703009605408,,
826.0498046875,-6033.783184960002,37528,-1.772245168685913,304,176,893.4115600585938,4678,249.29,0.001,123,0.4981866180896759,,
832.78955078125,-5840.71647012,39496,-2.3297624588012695,305,180,731.4163818359375,4924,257.15,0.001,129,0.4593832194805145,,
857.9953002929688,-5860.57545881,40000,-2.1391661167144775,306,183,412.39019775390625,4987,260.1,0.001,130,0.4492534399032593,,
,,40000,,,,,,,,,,812.8,-9135.045118600001
844.3023681640625,-5926.95435834,40288,-2.266101360321045,292,184,444.7406921386719,5023,265.15,0.001,137,0.4440281093120575,,
880.9378662109375,-5806.57424843,41512,-2.486781597137451,293,188,587.99462890625,5176,261.46,0.001,141,0.42146021127700806,,
870.2377319335938,-5743.71267578,41936,-3.0748414993286133,294,192,462.0425720214844,5229,263.78,0.001,142,0.4132857620716095,,
865.0806274414062,-5179.87613634,42608,-3.0222740173339844,294,196,551.4053955078125,5313,253.73,0.001,144,0.40044155716896057,,
873.1173095703125,-5062.86409577,43632,-3.227088451385498,295,200,411.30072021484375,5441,247.81,0.001,147,0.3809794485569,,
855.8599853515625,-4645.625207290001,44328,-2.8050904273986816,295,204,468.7182922363281,5528,230.36,0.001,149,0.3695394694805145,,
862.5387573242188,-4469.63669859,45384,-3.0623862743377686,296,208,661.4426879882812,5660,223.48,0.001,153,0.352987676858902,,
848.89453125,-4289.2448125500005,46032,-3.351288318634033,296,212,470.64642333984375,5741,218.04,0.001,155,0.3437362015247345,,
819.8563842773438,-4279.4228836600005,47480,-3.334749221801758,297,216,622.07421875,5922,217.12,0.001,159,0.32281848788261414,,
811.399658203125,-4156.391824169999,49224,-3.0019068717956543,299,220,446.424560546875,6140,220.09,0.001,164,0.301757276058197,,
833.0115966796875,-4134.42002885,50000,-2.7423691749572754,299,221,581.76708984375,6237,218.41,0.001,166,0.29341232776641846,,
,,50000,,,,,,,,,,677.0,-7762.361216199999
798.1048583984375,-3999.51752348,50840,-2.180091619491577,290,224,1251.301025390625,6342,218.32,0.001,174,0.28541100025177,,
834.767578125,-4180.216080939999,51656,-2.1621170043945312,291,228,393.72760009765625,6444,236.89,0.001,177,0.2794366478919983,,
814.8140258789062,-4276.23657588,52208,-2.976461172103882,292,232,328.3145446777344,6513,242.68,0.001,178,0.27531424164772034,,
793.1444702148438,-4288.99876105,53800,-2.8526227474212646,292,236,408.8172607421875,6712,245.98,0.001,183,0.2632269263267517,,
786.2781372070312,-4018.90225166,54536,-2.079188823699951,293,240,571.8074951171875,6804,242.13,0.001,186,0.25680381059646606,,
777.4698486328125,-3840.847684080001,54872,-2.783642292022705,293,244,301.48333740234375,6846,233.29,0.001,187,0.2542673349380493,,
774.2235107421875,-3543.35535174,55416,-1.937338948249817,293,248,528.1566162109375,6914,214.19,0.001,188,0.2501493990421295,,
772.322998046875,-3590.1108675200003,56352,-2.6897506713867188,294,252,890.850341796875,7031,222.55,0.001,191,0.24471361935138702,,
725.606201171875,-3818.0651115000005,59680,-1.7841483354568481,296,256,399.60687255859375,7447,240.62,0.001,201,0.2276613861322403,,
743.27587890625,-3818.0651115000005,60000,-1.9377405643463135,296,256,457.41851806640625,7487,240.62,0.001,202,0.2262251079082489,,
,,60000,,,,,,,,,,636.0,-7171.396987800001
694.1864013671875,-3622.60923753,61440,-2.7227671146392822,289,260,371.0201416015625,7667,245.05,0.001,211,0.2187233716249466,,
682.3167114257812,-3663.73790133,62184,-0.6548783779144287,290,264,698.3154296875,7760,249.2,0.001,214,0.21522577106952667,,
711.3775024414062,-3864.2539970199996,65472,-1.3990849256515503,291,268,325.27081298828125,8171,270.59,0.001,224,0.2079806625843048,,
706.168212890625,-3980.4636116099996,66664,-1.6117498874664307,292,272,773.3028564453125,8320,283.91,0.001,228,0.20350991189479828,,
673.69189453125,-4183.1981645,68944,-1.9392995834350586,293,276,327.5869445800781,8605,305.68,0.001,235,0.19657692313194275,,
716.4335327148438,-4170.914950119999,70000,-1.7588222026824951,293,277,311.84423828125,8737,304.98,0.001,238,0.1942288726568222,,
,,70000,,,,,,,,,,693.8,-9956.452655000001
719.1340942382812,-4203.75364124,71056,-2.0759942531585693,287,280,299.82318115234375,8869,313.36,0.001,247,0.1907714158296585,,
703.0037231445312,-4147.45337661,71576,-2.5303544998168945,287,284,624.855712890625,8934,310.5,0.001,248,0.18880006670951843,,
694.76220703125,-4166.31110302,74456,-1.6187444925308228,289,288,328.4548034667969,9294,311.56,0.001,257,0.17540623247623444,,
705.6007080078125,-4297.85517589,74776,-0.9543143510818481,289,292,393.54864501953125,9334,325.45,0.001,258,0.1742006242275238,,
718.1387939453125,-4302.69325253,76152,-0.3940230906009674,289,296,386.85888671875,9506,320.24,0.001,262,0.17028002440929413,,
684.740234375,-4518.24060194,77488,-0.571381688117981,290,300,738.9407958984375,9673,339.71,0.001,266,0.1674024760723114,,
674.2703247070312,-4518.24060194,80000,-0.22945532202720642,291,300,1013.907470703125,9987,339.71,0.001,274,0.16394585371017456,,
,,80000,,,,,,,,,,885.6,-11370.3241084
674.5239868164062,-4587.5061046499995,81152,-0.0320817232131958,285,304,344.81121826171875,10131,350.3,0.001,284,0.1636761724948883,,
660.994384765625,-4648.855098190001,82072,-0.46973705291748047,285,308,345.49090576171875,10246,358.99,0.001,287,0.16283024847507477,,
655.8926391601562,-4758.93553291,82496,-0.5063738822937012,285,312,296.7646484375,10299,373.2,0.001,288,0.16218942403793335,,
652.020751953125,-4665.26273957,82824,-0.3334115147590637,285,316,494.4715576171875,10340,369.34,0.001,289,0.16190940141677856,,
675.3814086914062,-4599.53238846,84048,0.03385663032531738,286,320,569.774658203125,10493,361.24,0.001,293,0.1598929911851883,,
676.3070068359375,-4556.288606190001,85504,0.20358866453170776,287,324,337.2842712402344,10675,363.04,0.001,297,0.15962554514408112,,
669.7925415039062,-4393.29368649,86944,-0.19818226993083954,287,328,1694.3955078125,10855,349.85,0.001,302,0.15889738500118256,,
655.337646484375,-4359.03550054,87496,-0.8227031826972961,287,332,318.0242919921875,10924,352.94,0.001,304,0.1588718444108963,,
670.4010620117188,-4354.72453724,87696,-0.5986803770065308,287,336,821.4825439453125,10949,352.12,0.001,304,0.15874946117401123,,
660.256591796875,-4300.5092602,89368,-1.0744892358779907,288,340,535.8444213867188,11158,343.76,0.001,309,0.157335102558136,,
673.9871826171875,-4275.7525375800005,90000,-0.3036743104457855,288,341,552.208984375,11237,341.37,0.001,311,0.1564018279314041,,
,,90000,,,,,,,,,,904.6,-10259.6312536
681.009033203125,-4448.219550780001,93480,-1.0016378164291382,283,344,472.79205322265625,11672,361.33,0.001,329,0.15017476677894592,,
672.4366455078125,-4738.34860639,94824,-0.3691747188568115,284,348,342.544677734375,11840,391.27,0.001,333,0.14661748707294464,,
672.1119384765625,-4767.097613020001,98168,-0.15766125917434692,286,352,765.5823974609375,12258,395.68,0.001,343,0.1447063833475113,,
684.9515380859375,-4715.5724060600005,99776,-0.5421593189239502,286,356,509.7350769042969,12459,402.4,0.001,348,0.14169903099536896,,
678.466796875,-4715.5724060600005,100000,-1.0406379699707031,286,356,553.0640258789062,12487,402.4,0.001,348,0.1416778415441513,,
,,100000,,,,,,,,,,623.0,-6213.041187600001
692.1942138671875,-4710.77954414,102192,-0.17448848485946655,283,360,511.75372314453125,12761,405.91,0.001,360,0.1403171271085739,,
675.378173828125,-4642.99507801,103328,0.42812666296958923,283,364,514.0653076171875,12903,401.69,0.001,363,0.1389467418193817,,
656.9277954101562,-4697.78315373,106712,-0.49986350536346436,285,368,359.35443115234375,13326,412.1,0.001,374,0.14147381484508514,,
682.7147216796875,-4778.57112679,110000,0.02019500732421875,286,370,254.91879272460938,13737,424.23,0.001,383,0.13636265695095062,,
,,110000,,,,,,,,,,836.4,-6754.3598506
675.6336669921875,-4879.236148250001,111328,-0.011776387691497803,269,372,859.3841552734375,13903,436.8,0.001,413,0.1341046839952469,,
674.4986572265625,-4909.246920590001,114712,0.5129390954971313,270,376,306.47576904296875,14326,453.04,0.001,423,0.13292372226715088,,
659.0321044921875,-4861.83620835,115504,1.249290943145752,271,380,282.94256591796875,14425,447.6,0.001,425,0.13437795639038086,,
658.7911376953125,-5038.1705838200005,119720,-0.5085108876228333,273,384,500.5711669921875,14952,466.68,0.001,437,0.13286209106445312,,
650.798095703125,-5038.1705838200005,120000,0.12078601121902466,273,384,958.8828125,14987,466.68,0.001,438,0.13218344748020172,,
,,120000,,,,,,,,,,829.0,-9592.1061266
685.306640625,-5049.674205300001,122784,-0.43409067392349243,270,388,244.09906005859375,15335,470.75,0.001,453,0.12625150382518768,,
664.4996337890625,-5035.682953499999,123504,0.2563469707965851,270,392,719.6952514648438,15425,479.54,0.001,455,0.1250845193862915,,
672.9193115234375,-5120.246696239999,126712,1.4274287223815918,272,396,215.03468322753906,15826,495.08,0.001,465,0.1302333027124405,,
685.3829956054688,-5174.00101515,130000,0.6233781576156616,273,399,264.66143798828125,16237,502.88,0.001,474,0.13514897227287292,,
,,130000,,,,,,,,,,870.8,-8241.075109599999
665.18896484375,-5109.607781920001,130784,-0.38339000940322876,270,400,216.5200958251953,16335,502.88,0.001,484,0.1360691785812378,,
660.1815795898438,-5239.46057106,132336,-0.05806291103363037,270,404,209.4017333984375,16529,517.36,0.001,488,0.1351444572210312,,
649.5428466796875,-5285.725480719999,135488,0.45219945907592773,271,408,349.2978515625,16923,530.32,0.001,498,0.1356068253517151,,
648.6572265625,-5276.96340291,136576,0.24120554327964783,272,412,190.84425354003906,17059,529.0,0.001,501,0.13607847690582275,,
662.0343017578125,-5289.56716684,138728,0.7344847321510315,273,416,672.1361083984375,17328,531.43,0.001,507,0.13457676768302917,,
656.5521240234375,-5376.09799866,139432,1.1230324506759644,273,420,532.839599609375,17416,548.32,0.001,509,0.135830819606781,,
655.89697265625,-5376.09799866,140000,1.1536206007003784,273,420,285.5391845703125,17487,548.32,0.001,511,0.1376255452632904,,
,,140000,,,,,,,,,,429.0,-6020.2705828
665.3505859375,-5357.14079397,140832,-0.3993511199951172,271,424,290.4790954589844,17591,546.57,0.001,518,0.1410263329744339,,
674.9830322265625,-5383.80663671,142896,-0.8478829264640808,272,428,282.63323974609375,17849,554.19,0.001,525,0.13548438251018524,,
657.372314453125,-5452.735221019999,146728,-1.0437344312667847,273,432,241.60281372070312,18328,566.38,0.001,536,0.12580648064613342,,
654.0264892578125,-5616.022930980002,148032,0.2978181838989258,273,436,253.57061767578125,18491,581.82,0.001,540,0.12087547034025192,,
641.183837890625,-5811.938966889999,148832,0.7072041034698486,274,440,203.26193237304688,18591,601.45,0.001,542,0.12290652096271515,,
666.2366943359375,-5725.38507738,150000,-0.6149829626083374,274,443,936.490478515625,18737,592.03,0.001,546,0.12619878351688385,,
,,150000,,,,,,,,,,815.0,-6227.8413027999995
650.037353515625,-5734.087476489998,150616,0.8010509610176086,271,444,602.7216796875,18814,595.17,0.001,554,0.12600278854370117,,
648.3221435546875,-5557.3265906,154272,-0.12034669518470764,272,448,265.3573303222656,19271,582.81,0.001,566,0.12940526008605957,,
624.2706298828125,-5649.68402076,157280,0.008786603808403015,273,452,232.9124755859375,19647,595.27,0.001,575,0.13043835759162903,,
656.69580078125,-5666.5698090000005,159736,-0.8557081818580627,274,456,1869.127685546875,19954,592.46,0.001,582,0.12800505757331848,,
646.1557006835938,-5666.5698090000005,160000,0.35174810886383057,274,456,286.1497802734375,19987,592.46,0.001,583,0.12768936157226562,,
,,160000,,,,,,,,,,834.6,-10713.4263336
645.7069091796875,-5744.71393503,162272,-0.11092063784599304,272,460,259.83197021484375,20271,602.25,0.001,596,0.1311284899711609,,
623.5269775390625,-5826.465048159999,166456,0.11144450306892395,273,464,587.5396118164062,20794,619.3,0.001,609,0.12167813628911972,,
614.3631591796875,-5818.74323133,167992,1.23842453956604,273,468,1128.905029296875,20986,610.05,0.001,613,0.12453359365463257,,
605.8272705078125,-5719.776339570001,169288,1.0254536867141724,274,472,814.4293212890625,21148,600.49,0.001,617,0.12922807037830353,,
