train/entropy_loss,train/learning_rate,train/approx_kl,time/fps,train/n_updates,train/explained_variance,time/total_timesteps,train/clip_fraction,rollout/ep_len_mean,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/std,rollout/ep_rew_mean,time/time_elapsed
-21.308137352764607,0.0017,0.005688094,743,10,-1.1920928955078125e-07,10000,0.02371826171875,37.57,29587170091.2,14299820032.0,-0.006747791646739642,0.2,1.0031169652938843,-623845.70976457,13
-21.35371850579977,0.0017,0.004743701,732,20,-2.384185791015625e-07,20000,0.012841796875,39.56,28811051004.8,13361239040.0,-0.005059832520601049,0.2,1.0061085224151611,-646580.70831676,27
-21.400881960988045,0.0017,0.0040795077,736,30,-1.1920928955078125e-07,30000,0.00885009765625,31.53,28443386027.2,14270176256.0,-0.00454405866421439,0.2,1.0094046592712402,-516772.5016584599,40
-21.450917845964433,0.0017,0.0021339818,752,40,1.1920928955078125e-07,40000,0.001220703125,37.57,27033364852.8,12925455360.0,-0.0027434532552433667,0.2,1.0129327774047852,-606688.0607312201,53
-21.55133010149002,0.0017,0.0032560332,732,60,1.7881393432617188e-07,50000,0.00472412109375,34.9,27275146158.4,13481493504.0,-0.004241827121131791,0.2,1.0194717645645142,-567872.6463888701,68
-21.59858906120062,0.0017,0.0033533718,760,70,0.0,60000,0.00445556640625,35.24,26677998200.0,14794873856.0,-0.0033788071259550634,0.2,1.0228443145751953,-559922.9861544,78
-21.647920607030393,0.0017,0.0023527048,781,80,0.0,70000,0.001318359375,38.04,26850202483.2,13908134912.0,-0.0027411260793087423,0.2,1.0262277126312256,-607764.3915606299,89
-21.699690097570418,0.0017,0.0025342552,797,90,-1.1920928955078125e-07,80000,0.0019775390625,29.58,27135105476.8,13708285952.0,-0.0029421112030831864,0.2,1.0298917293548584,-486302.29427697,100
-21.749204191565514,0.0017,0.0020497432,809,100,1.7881393432617188e-07,90000,0.0009521484375,34.48,26632445840.0,12776326144.0,-0.002606992571418232,0.2,1.0331100225448608,-569247.8630895499,111
-21.849677397310735,0.0017,0.002541467,791,120,0.0,100000,0.0021728515625,28.76,25935200428.8,12286965760.0,-0.0028660097132160445,0.2,1.040192723274231,-473007.53512496,126
-21.90220431536436,0.0017,0.0025371432,802,130,0.0,110000,0.001806640625,36.1,25792513268.8,12653124608.0,-0.002559418378268674,0.2,1.0439319610595703,-574134.33352877,137
-21.95218783915043,0.0017,0.0019335663,811,140,-2.384185791015625e-07,120000,0.00096435546875,32.46,26044747195.2,12948310016.0,-0.002430628784077271,0.2,1.0471640825271606,-525363.79906521,147
-21.998417195677757,0.0017,0.0035125948,817,150,5.960464477539063e-08,130000,0.00450439453125,32.91,25647472353.6,14024589312.0,-0.0034227397711219963,0.2,1.0503277778625488,-526958.12307955,158
-22.106911255419256,0.0017,0.0026243664,803,170,2.384185791015625e-07,140000,0.0018798828125,32.13,26158473091.2,14162623488.0,-0.003094051238258544,0.2,1.058311104774475,-516390.81915083,174
-22.162368680536748,0.0017,0.0018968502,810,180,0.0,150000,0.00057373046875,28.88,25696098558.4,13289265152.0,-0.0027928442910706507,0.2,1.0623083114624023,-460551.59221706993,185
-22.219604903459548,0.0017,0.003379002,816,190,-1.1920928955078125e-07,160000,0.004345703125,35.89,23829298363.2,12464872448.0,-0.0037711111779572095,0.2,1.0663288831710815,-572473.61884701,196
-22.27427746653557,0.0017,0.003368958,821,200,0.0,170000,0.003955078125,28.59,26096846328.0,12976241664.0,-0.00395495454513366,0.2,1.070115327835083,-459762.0015531701,207
-22.326734630763532,0.0017,0.004412918,825,210,0.0,180000,0.0098876953125,31.72,23217806620.8,11486470144.0,-0.004933616525977414,0.2,1.0737547874450684,-505492.21366848,218
-22.431926329433917,0.0017,0.0022676217,813,230,0.0,190000,0.0014404296875,28.23,24375403704.0,12345222144.0,-0.003110231140635733,0.2,1.081654667854309,-452344.31866399996,233
-22.489606057107448,0.0017,0.0022012927,817,240,-2.384185791015625e-07,200000,0.00111083984375,22.69,23576190003.2,11983318016.0,-0.0028032074178554467,0.2,1.0857113599777222,-373030.5015003199,244
-22.545924744009973,0.0017,0.002690859,821,250,1.7881393432617188e-07,210000,0.00244140625,24.98,21894892531.2,10649340928.0,-0.0027803230441350024,0.2,1.0897648334503174,-409721.3173064899,255
-22.59890709668398,0.0017,0.0019784172,825,260,0.0,220000,0.00115966796875,24.04,23410948995.2,10926573568.0,-0.0023294628617804847,0.2,1.0934244394302368,-395359.36047321,266
-22.707791171967983,0.0017,0.0026528821,815,280,0.0,230000,0.0019287109375,24.42,22447965464.0,11485981696.0,-0.0029545770868935504,0.2,1.1013177633285522,-401250.6590565999,282
