time/total_timesteps,train/std,time/time_elapsed,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,train/kl_divergence_loss,train/explained_variance,train/policy_objective,train/learning_rate,train/n_updates,train/value_loss,time/fps
10000,1.0014631748199463,6,1.0,-362249.2631970001,80.0,0.005745044443756342,1.7881393432617188e-07,0.06130893900990486,0.001,1,5090288949.6,1603
20000,0.9962253570556641,12,1.0,-240277.27876184,63.53,0.004830617923289537,0.0,0.05166333168745041,0.001,2,3804685496.0,1590
30000,0.9928357005119324,18,1.0,-184612.60767340995,52.54,0.00556926941499114,0.0,0.05402328819036484,0.001,3,3187607640.0,1582
40000,0.9876471757888794,25,1.0,-177574.73234323,56.61,0.005077680107206106,-1.1920928955078125e-07,0.04938273876905441,0.001,4,3019969902.0,1578
50000,0.9849953055381775,33,1.0,-146128.32132698997,48.64,0.0051248520612716675,-1.1920928955078125e-07,0.04400338977575302,0.001,6,2647384875.4,1508
60000,0.9820408225059509,39,1.0,-143702.71991766003,54.84,0.004918041173368692,0.0,0.049652691930532455,0.001,7,2415244791.0,1515
70000,0.97965008020401,46,1.0,-161879.59965287996,56.91,0.004418100230395794,-1.1920928955078125e-07,0.049708131700754166,0.001,8,2430242607.4,1519
80000,0.9745635986328125,52,1.0,-141356.1320264,52.33,0.0047547901049256325,0.0,0.0507633313536644,0.001,9,2496088260.0,1523
90000,0.9733574390411377,58,1.0,-161065.60797951,56.76,0.005495849531143904,5.960464477539063e-08,0.05008285492658615,0.001,10,2355142632.6,1525
100000,0.9703975319862366,66,1.0,-139314.72947133,63.08,0.004934443160891533,5.960464477539063e-08,0.05153033137321472,0.001,12,2011222060.0,1496
110000,0.9601892828941345,73,1.0,-143867.29803171998,61.66,0.005638549569994211,0.0,0.04961784929037094,0.001,13,2041000062.8,1499
120000,0.9541261196136475,79,1.0,-159524.76595861,68.68,0.005327087361365557,5.960464477539063e-08,0.051941972225904465,0.001,14,2046806578.8,1503
130000,0.9417505264282227,86,1.0,-135766.44867523,64.37,0.004989806097000837,0.0,0.05180938541889191,0.001,15,1820683010.6,1504
140000,0.9360531568527222,94,1.0,-135579.04258803002,61.92,0.005166155286133289,0.0,0.05985679477453232,0.001,17,1920475693.4,1484
150000,0.9327553510665894,100,1.0,-123112.20705750998,67.74,0.0054980795830488205,0.0,0.05816235765814781,0.001,18,1635356715.8,1487
160000,0.9338200092315674,107,1.0,-118068.38341497,69.99,0.005569406785070896,0.0,0.056634485721588135,0.001,19,1613540035.8,1491
170000,0.919236421585083,113,1.0,-111019.64322053999,60.24,0.005079412367194891,5.960464477539063e-08,0.053532738238573074,0.001,20,1518277104.2,1492
180000,0.9129828214645386,120,1.0,-112819.21687412,68.44,0.005333502311259508,-1.1920928955078125e-07,0.05727517604827881,0.001,21,1787623495.2,1494
190000,0.9090108871459961,128,1.0,-108809.88927486002,73.57,0.008560258895158768,0.0,0.06266535073518753,0.001,23,1427662796.2,1479
200000,0.9081713557243347,134,1.0,-75293.42608137001,82.48,0.0061071827076375484,0.0,0.05865459516644478,0.001,24,1318402284.2,1481
210000,0.9013800024986267,141,1.0,-65655.15531905,85.84,0.006470086053013802,0.0,0.06176966801285744,0.001,25,1256341958.5,1483
220000,0.9024645686149597,148,1.0,-79048.07328994,79.14,0.00616774195805192,0.0,0.06238572672009468,0.001,26,1077184283.4,1485
230000,0.910598874092102,156,1.0,-34430.696523130006,76.85,0.0065468596294522285,0.0017980337142944336,0.060369785875082016,0.001,28,1227608685.0,1473
240000,0.9035414457321167,162,1.0,-20727.2899803,85.32,0.007059208117425442,0.015809595584869385,0.06599515676498413,0.001,29,1229276123.3,1476
250000,0.8953877687454224,169,1.0,23763.374763429998,74.39,0.0065636360086500645,0.024217605590820312,0.06146099790930748,0.001,30,1101754709.3,1478
260000,0.8994891047477722,175,1.0,28271.34866112,75.43,0.007332217413932085,0.024477064609527588,0.06625552475452423,0.001,31,1095331793.7,1480
270000,0.8991703391075134,182,1.0,64980.73851748,71.31,0.007597722113132477,0.023516178131103516,0.06021863594651222,0.001,32,1173342434.0,1482
280000,0.8908567428588867,190,1.0,53135.22615984,79.91,0.007367447949945927,0.023629605770111084,0.05966297164559364,0.001,34,1091666692.7,1472
290000,0.8824842572212219,196,1.0,65262.22281607,69.02,0.007673316635191441,0.011185228824615479,0.05875658616423607,0.001,35,1101380700.6,1474
300000,0.8760059475898743,203,1.0,90552.6379121,57.72,0.00731399841606617,0.004571974277496338,0.05769484490156174,0.001,36,1550065161.2,1475
310000,0.8734657764434814,209,1.0,88089.83035103,57.42,0.007224285043776035,0.02227962017059326,0.05795883387327194,0.001,37,1501276916.4,1476
320000,0.8645027279853821,217,1.0,88336.93005687998,58.14,0.007913930341601372,0.00011265277862548828,0.061039190739393234,0.001,39,1464364974.4,1468
330000,0.8590520620346069,224,1.0,82521.31807285,73.62,0.007890590466558933,0.006176471710205078,0.05032045766711235,0.001,40,1353237070.8,1470
340000,0.8566189408302307,231,1.0,107285.62835774,40.33,0.007991474121809006,0.007026195526123047,0.05619857832789421,0.001,41,1561316172.3,1470
350000,0.8505384922027588,237,1.0,115619.06526636,42.82,0.007744339760392904,-0.0002943277359008789,0.05370507389307022,0.001,42,2161677572.8,1470
360000,0.8464174270629883,244,1.0,113153.91130217999,37.15,0.00886567309498787,0.0,0.060115665197372437,0.001,43,2255866691.0,1471
370000,0.8330509066581726,252,1.0,111365.29764967,32.3,0.008380257524549961,0.0,0.05789851397275925,0.001,45,2695951890.4,1462
380000,0.8272295594215393,259,1.0,117742.97484784,33.07,0.009598606266081333,-1.1920928955078125e-07,0.05745859071612358,0.001,46,2687569341.8,1463
390000,0.8216211795806885,266,1.0,119108.27279268,31.31,0.007439600769430399,0.0,0.05126579478383064,0.001,47,2727536921.6,1463
400000,0.816902220249176,273,1.0,119136.40783038002,30.58,0.00836739782243967,0.0,0.05349549278616905,0.001,48,3001571576.8,1463
410000,0.7977503538131714,281,1.0,120905.74426781,28.49,0.008469942025840282,0.0,0.053327132016420364,0.001,50,3308817479.2,1456
420000,0.7937716245651245,288,1.0,120238.2135336,27.46,0.007884417660534382,0.0,0.04089595749974251,0.001,51,3638050947.6,1456
430000,0.7903062701225281,295,1.0,120827.6411227,24.95,0.008771155029535294,0.0,0.04651632159948349,0.001,52,3559028569.6,1455
440000,0.7860777378082275,302,1.0,121400.72195946,25.92,0.00837499275803566,0.0,0.046523306518793106,0.001,53,3735537793.6,1455
