time/total_timesteps,train/std,time/time_elapsed,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,train/kl_divergence_loss,train/explained_variance,train/policy_objective,train/learning_rate,train/n_updates,train/value_loss,time/fps
450000,0.7820883393287659,309,1.0,121918.59073187999,22.29,0.00831842515617609,0.0,0.04583076015114784,0.001,54,3889132565.2,1455
460000,0.7734935283660889,317,1.0,121736.47991727998,21.75,0.006630796939134598,1.1920928955078125e-07,0.035229310393333435,0.001,56,4095724330.4,1448
470000,0.7655179500579834,324,1.0,122057.37950054002,21.12,0.008824290707707405,0.0,0.04749777168035507,0.001,57,4239175017.2,1448
480000,0.7602973580360413,331,1.0,121949.87553539,21.33,0.007807389833033085,-1.1920928955078125e-07,0.04261479899287224,0.001,58,4434683251.6,1448
490000,0.7587531208992004,338,1.0,122460.14494655,21.09,0.008371054194867611,0.0,0.050976064056158066,0.001,59,4305374407.6,1448
500000,0.7526495456695557,346,1.0,122672.49958166,20.77,0.009161625988781452,1.7881393432617188e-07,0.04573715478181839,0.001,61,4379432603.6,1442
510000,0.7470945715904236,353,1.0,123280.70316385999,20.58,0.007568197790533304,0.0,0.04088619723916054,0.001,62,4451916893.6,1442
520000,0.7430191040039062,360,1.0,122900.18985672998,19.89,0.009146953001618385,-2.384185791015625e-07,0.035241078585386276,0.001,63,4497323531.6,1441
530000,0.7365738153457642,367,1.0,122910.05617084,19.6,0.00927797332406044,-1.1920928955078125e-07,0.03712834045290947,0.001,64,4450329856.4,1441
540000,0.7293093800544739,374,1.0,123529.14091117,19.02,0.009552814066410065,1.1920928955078125e-07,0.050062187016010284,0.001,65,4623329926.8,1441
550000,0.7252568006515503,383,1.0,122540.12484129,18.6,0.008165288716554642,-2.384185791015625e-07,0.04147213697433472,0.001,67,4759955466.8,1435
560000,0.7239229083061218,390,1.0,122944.16087780999,18.43,0.0062795886769890785,0.0,0.038987889885902405,0.001,68,4761170427.6,1435
570000,0.7223489284515381,397,1.0,123048.39955729,18.3,0.008751322515308857,2.384185791015625e-07,0.04911284148693085,0.001,69,4827476549.2,1434
580000,0.7202103137969971,404,1.0,123424.06870697,19.08,0.009299243800342083,2.384185791015625e-07,0.07537052780389786,0.001,70,4876334372.8,1434
590000,0.715796709060669,412,1.0,123251.62529872,18.31,0.006421221885830164,0.0,0.039816077798604965,0.001,72,4930070245.6,1429
600000,0.7117603421211243,419,1.0,124457.32378265001,18.37,0.00923291128128767,0.0,0.04660655930638313,0.001,73,4978682368.8,1429
610000,0.7100602984428406,426,1.0,122971.04027908998,17.75,0.009287212044000626,0.0,0.03949902579188347,0.001,74,5046440823.2,1428
620000,0.706403374671936,433,1.0,125288.92433948001,17.57,0.00884829182177782,0.0,0.04440382495522499,0.001,75,4962398197.6,1428
630000,0.7037947177886963,440,1.0,125794.01210306,17.46,0.008917706087231636,1.1920928955078125e-07,0.04614252969622612,0.001,76,5035410172.8,1428
640000,0.6998646259307861,449,1.0,126315.08446536,17.21,0.009540330618619919,-2.384185791015625e-07,0.04240095987915993,0.001,78,5141146227.2,1423
650000,0.6970565915107727,456,1.0,126406.59964023,17.53,0.009265584871172905,-3.5762786865234375e-07,0.026525380089879036,0.001,79,5191144428.0,1423
660000,0.6940405964851379,463,1.0,127813.21659598999,17.63,0.008276442997157574,0.0,0.03914846479892731,0.001,80,5228869664.0,1423
670000,0.6923738718032837,470,1.0,127115.89963962002,17.37,0.007572198286652565,0.0,0.03679516166448593,0.001,81,5172658812.0,1423
680000,0.6911723613739014,479,1.0,126118.44262334,17.03,0.007971557788550854,0.0,0.035624511539936066,0.001,83,5270418689.6,1419
690000,0.6866421699523926,486,1.0,129339.89966761999,17.2,0.009352456778287888,5.960464477539063e-08,0.03514180704951286,0.001,84,5367220951.2,1419
700000,0.6832293272018433,493,1.0,129324.59959105002,17.47,0.006434313021600246,0.0,0.03166498988866806,0.001,85,5431161428.0,1419
710000,0.6816431879997253,500,1.0,127828.81237169998,17.05,0.009032892063260078,2.384185791015625e-07,0.03820251673460007,0.001,86,5347831427.2,1419
720000,0.6786466240882874,507,1.0,127923.06024772002,17.17,0.009493942372500896,-1.1920928955078125e-07,0.035620760172605515,0.001,87,5315444988.8,1419
730000,0.6718435287475586,515,1.0,128348.55102052001,16.43,0.009176514111459255,0.0,0.0354989692568779,0.001,89,5448282304.8,1415
740000,0.6684679388999939,522,1.0,130160.77413476,16.74,0.009844564832746983,2.384185791015625e-07,0.03240993618965149,0.001,90,5548545892.0,1415
750000,0.6652820110321045,529,1.0,130449.49949428003,17.06,0.008642628788948059,0.0,0.03582289069890976,0.001,91,5578077623.2,1415
760000,0.6633808612823486,537,1.0,129756.83566633001,16.66,0.006471624597907066,-1.1920928955078125e-07,0.03436364606022835,0.001,92,5535357953.6,1415
770000,0.6630116105079651,544,1.0,129661.81989652998,16.43,0.008056271821260452,0.0,0.039309028536081314,0.001,93,5645752082.4,1415
780000,0.656830370426178,552,1.0,130769.42129271998,16.66,0.009637013077735901,0.0,0.03075411729514599,0.001,95,5683129052.0,1411
790000,0.6550964713096619,559,1.0,129270.78562179,16.17,0.006990313529968262,2.980232238769531e-07,0.03419145569205284,0.001,96,5700911192.8,1411
800000,0.6534590125083923,566,1.0,130083.50045484999,16.01,0.009656756184995174,0.0,0.035620998591184616,0.001,97,5687670108.0,1411
810000,0.6515315771102905,573,1.0,129469.20002206,16.22,0.009295180439949036,-1.1920928955078125e-07,0.04266125708818436,0.001,98,5793458311.2,1411
820000,0.6456763744354248,582,1.0,130990.21507668,16.18,0.006686949171125889,0.0,0.034425344318151474,0.001,100,5798709256.8,1407
830000,0.6443672180175781,589,1.0,130584.2331234,16.08,0.006674451753497124,5.960464477539063e-08,0.03280346095561981,0.001,101,5710890991.2,1407
840000,0.642379879951477,596,1.0,130088.16422584,15.83,0.009288685396313667,5.960464477539063e-08,0.037469521164894104,0.001,102,5741264543.2,1407
850000,0.6391525864601135,603,1.0,131896.63122672998,16.08,0.008780051954090595,0.0,0.02936686761677265,0.001,103,5771037388.8,1407
860000,0.6391757130622864,610,1.0,131087.29954618,16.07,0.0064202710054814816,0.0,0.025183260440826416,0.001,104,5850524820.8,1407
870000,0.6353525519371033,619,1.0,132303.79956642,15.97,0.008467957377433777,0.0,0.034675221890211105,0.001,106,5876615045.6,1404
880000,0.6306090354919434,626,1.0,131298.80980971002,15.89,0.007338065188378096,-2.384185791015625e-07,0.03083796426653862,0.001,107,5899781199.2,1404
890000,0.6281029582023621,633,1.0,130584.98794771,16.14,0.00884367898106575,1.7881393432617188e-07,0.0319269597530365,0.001,108,5857966633.6,1404
900000,0.626656174659729,640,1.0,130982.66362009002,16.19,0.008818428963422775,0.0,0.03281482309103012,0.001,109,5778462971.2,1404
910000,0.6221705675125122,649,1.0,131900.70522515,15.83,0.007604191545397043,-2.384185791015625e-07,0.02965100109577179,0.001,111,5913574828.8,1401
920000,0.6208027601242065,656,1.0,132517.19402,15.67,0.008877270855009556,0.0,0.03315368667244911,0.001,112,5928594704.8,1401
930000,0.6184661388397217,663,1.0,130587.49973894,15.91,0.008803016506135464,0.0,0.035012830048799515,0.001,113,5957031756.0,1401
940000,0.6174255013465881,670,1.0,131810.77739388,15.67,0.00967468786984682,1.7881393432617188e-07,0.032241422683000565,0.001,114,5897630810.4,1401
950000,0.6142594814300537,677,1.0,132015.01594515,15.53,0.009354756213724613,0.0,0.03095681592822075,0.001,115,5932621542.4,1401
960000,0.6118722558021545,686,1.0,131406.16449268,15.62,0.007091565988957882,0.0,0.029454143717885017,0.001,117,5984281290.4,1399
970000,0.6096608638763428,692,1.0,131711.89958236,15.52,0.008155652321875095,1.1920928955078125e-07,0.039386261254549026,0.001,118,5960224921.6,1399
980000,0.6075596809387207,699,1.0,131608.89956274998,15.5,0.009741957299411297,0.0,0.0327567458152771,0.001,119,5948518795.2,1400
990000,0.6061154007911682,706,1.0,132215.16382765002,15.62,0.009001129306852818,2.384185791015625e-07,0.031487613916397095,0.001,120,5965807730.4,1400
1000000,0.6026710867881775,715,1.0,131814.83002475,15.47,0.006437718868255615,-1.1920928955078125e-07,0.03334977850317955,0.001,122,5913258919.2,1398
