train/n_updates,time/total_timesteps,time/time_elapsed,train/kl_divergence_loss,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/std,rollout/ep_len_mean,time/fps,train/policy_objective,train/is_line_search_success,train/learning_rate
1,10000,6,0.00627405010163784,-451355.85058352945,1.1920928955078125e-07,3358743589.6,0.9978557229042053,131.3235294117647,1572,0.06445834040641785,1.0,0.001
2,20000,12,0.005523272790014744,-410384.39967727003,0.0,2438250550.0,0.9877558946609497,141.13,1563,0.0623820498585701,1.0,0.001
3,30000,19,0.004351769108325243,-279020.55010967003,0.0,1848900976.4,0.9888413548469543,113.28,1561,0.04102268069982529,1.0,0.001
4,40000,25,0.004222195129841566,-252858.15087842994,1.1920928955078125e-07,1875577401.0,0.9752689003944397,111.09,1566,0.042051736265420914,1.0,0.001
6,50000,33,0.005006081890314817,-254907.30465535,-1.1920928955078125e-07,1425916718.0,0.9785962700843811,120.06,1497,0.03993035852909088,1.0,0.001
7,60000,39,0.005322549492120743,-230865.17337701994,-1.1920928955078125e-07,1584904074.4,0.9826298952102661,106.35,1505,0.05166095122694969,1.0,0.001
8,70000,46,0.004633931443095207,-251539.66815699002,0.0,1333246924.9,0.9859110713005066,128.58,1512,0.04754028469324112,1.0,0.001
9,80000,52,0.004514971282333136,-222858.71926744,-1.1920928955078125e-07,1411894637.1,0.9841477870941162,108.53,1516,0.04221801087260246,1.0,0.001
10,90000,59,0.004312177654355764,-241875.02109457005,0.0,1360278565.8,0.9822367429733276,119.55,1520,0.03844618797302246,1.0,0.001
12,100000,67,0.004834165796637535,-212092.89462924,0.0,1344681909.0,0.9914005994796753,104.5,1492,0.04690021276473999,1.0,0.001
13,110000,73,0.004373816307634115,-217019.06733599,-1.1920928955078125e-07,1338321455.0,0.9850137233734131,114.88,1497,0.041763994842767715,1.0,0.001
14,120000,79,0.005091180093586445,-222332.66723766003,0.0,1255182217.5,0.9843370914459229,115.45,1501,0.048418719321489334,1.0,0.001
15,130000,86,0.005071511026471853,-207284.20682954002,1.1920928955078125e-07,1403246319.1,0.991622269153595,114.22,1505,0.04924308508634567,1.0,0.001
17,140000,94,0.005025895312428474,-208803.35944184999,-1.1920928955078125e-07,1332771686.5,0.9923046827316284,112.13,1485,0.042111754417419434,1.0,0.001
18,150000,100,0.0049089849926531315,-207244.26061178997,0.0,1265755101.0,0.9926056265830994,112.25,1490,0.04680763557553291,1.0,0.001
19,160000,107,0.004577239975333214,-193940.33286760002,0.0,1214989266.1,0.9824873805046082,105.35,1493,0.0467921644449234,1.0,0.001
20,170000,113,0.005092168692499399,-203694.73275383998,-1.1920928955078125e-07,1279727854.9,0.9745870232582092,117.14,1496,0.048107877373695374,1.0,0.001
21,180000,120,0.005512475501745939,-223356.57583429,-1.1920928955078125e-07,1187051034.2,0.9741989970207214,121.09,1499,0.053698353469371796,1.0,0.001
23,190000,127,0.005560111720114946,-200055.24471991998,0.0,1245567550.3,0.967753529548645,109.78,1485,0.05457840487360954,1.0,0.001
24,200000,134,0.0058730351738631725,-217219.42683824,5.960464477539063e-08,1207565034.5,0.9602384567260742,120.34,1489,0.05794147402048111,1.0,0.001
