train/n_updates,time/total_timesteps,time/time_elapsed,train/kl_divergence_loss,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/std,rollout/ep_len_mean,time/fps,train/policy_objective,train/is_line_search_success,train/learning_rate
25,210000,140,0.005842462182044983,-205448.74063410002,5.960464477539063e-08,1157088472.3,0.9537318348884583,121.46,1492,0.053029973059892654,1.0,0.001
26,220000,147,0.006147893611341715,-201424.64407819003,-1.1920928955078125e-07,1215409042.1,0.9551376700401306,117.41,1495,0.05576855316758156,1.0,0.001
28,230000,154,0.005213936325162649,-221902.58650718993,-1.1920928955078125e-07,984763960.8,0.960350751876831,144.67,1483,0.051988888531923294,1.0,0.001
29,240000,161,0.006332581862807274,-204770.87681388002,0.0,1036067041.6,0.9571864008903503,126.46,1487,0.053074661642313004,1.0,0.001
30,250000,167,0.005880482494831085,-212394.16768354,0.0,954411045.05,0.9509495496749878,142.59,1490,0.0533595085144043,1.0,0.001
31,260000,174,0.006673432420939207,-222881.51655293,-1.1920928955078125e-07,1000019196.7,0.9417821168899536,158.08,1492,0.05782214552164078,1.0,0.001
32,270000,180,0.006283752154558897,-199756.87448750998,-1.1920928955078125e-07,927562280.5,0.9485379457473755,136.87,1494,0.05893372744321823,1.0,0.001
34,280000,188,0.006530794780701399,-173007.27346499998,5.960464477539063e-08,1044920964.6,0.9474596381187439,108.8,1484,0.05531183257699013,1.0,0.001
35,290000,195,0.006643812637776136,-169100.27719179998,-1.1920928955078125e-07,1006042503.75,0.9479468464851379,111.51,1486,0.05212204530835152,1.0,0.001
36,300000,201,0.006758029107004404,-195003.08763315,-1.1920928955078125e-07,917673476.45,0.9439229965209961,142.63,1489,0.053767506033182144,1.0,0.001
37,310000,207,0.005974731408059597,-202862.96757990003,0.0,810286463.85,0.9419527053833008,147.97,1491,0.055089887231588364,1.0,0.001
39,320000,215,0.006310609169304371,-198597.61697434,0.0,852863899.2,0.9442833662033081,148.96,1483,0.0565040186047554,1.0,0.001
40,330000,222,0.00642767921090126,-183116.64671251003,0.0,889097245.15,0.9450849890708923,134.01,1485,0.05128073692321777,1.0,0.001
41,340000,228,0.006025334820151329,-183801.65734671,0.0,790097123.55,0.941211462020874,143.9,1486,0.04953161999583244,1.0,0.001
42,350000,235,0.006806677207350731,-179104.1613273,5.960464477539063e-08,812590917.1,0.9349709749221802,146.72,1488,0.052381936460733414,1.0,0.001
43,360000,241,0.007227723952382803,-171556.54179716,0.0,833184917.0,0.9278448820114136,123.41,1489,0.05507524684071541,1.0,0.001
45,370000,249,0.006702318787574768,-184854.20426168997,0.0,790407458.65,0.9269492030143738,144.14,1482,0.05548417940735817,1.0,0.001
46,380000,256,0.007255435921251774,-186442.56092560003,0.0,768726485.15,0.9319264888763428,154.66,1483,0.05358140543103218,1.0,0.001
47,390000,262,0.007146060466766357,-171827.19538199995,-1.1920928955078125e-07,768202078.5,0.9331029057502747,147.18,1484,0.0645725205540657,1.0,0.001
48,400000,269,0.0076198335736989975,-182528.48648436004,5.960464477539063e-08,800199076.6,0.9342173337936401,153.04,1485,0.05216518044471741,1.0,0.001
50,410000,277,0.007241344079375267,-186148.02327004998,0.0,719844859.8,0.9363201856613159,160.29,1479,0.05580876022577286,1.0,0.001
51,420000,283,0.007246469613164663,-160884.48564917,0.0,649162174.4,0.929269552230835,141.96,1480,0.056229367852211,1.0,0.001
52,430000,290,0.007273954804986715,-157332.63752555,0.0,782049286.8,0.92360919713974,139.03,1481,0.05261033773422241,1.0,0.001
53,440000,296,0.007770287338644266,-172186.07154569,0.0,662943937.05,0.920566976070404,161.16,1482,0.05341285094618797,1.0,0.001
54,450000,303,0.007810041308403015,-176672.28008487006,0.0,690312794.85,0.9189308881759644,169.75,1484,0.05267281085252762,1.0,0.001
56,460000,311,0.007362278178334236,-180032.91807113998,-1.1920928955078125e-07,635964991.8,0.913142204284668,182.25,1478,0.0582822822034359,1.0,0.001
57,470000,317,0.007483300287276506,-179895.11634559007,1.1920928955078125e-07,748478095.65,0.902153730392456,164.46,1480,0.05418388545513153,1.0,0.001
58,480000,324,0.007459363900125027,-157449.15064618,0.0,726350164.35,0.899638295173645,141.7,1481,0.059724558144807816,1.0,0.001
59,490000,330,0.00745318504050374,-157155.18199877997,0.0,799755442.5,0.8921635150909424,138.05,1482,0.05175678804516792,1.0,0.001
61,500000,338,0.007783812005072832,-174491.04545422998,0.0,621247818.15,0.8927497863769531,169.76,1477,0.054756298661231995,1.0,0.001
62,510000,344,0.008404133841395378,-181074.82932224005,0.0,613313131.05,0.8896844387054443,188.95,1478,0.05461487919092178,1.0,0.001
63,520000,351,0.008046508766710758,-183008.40962521997,1.1920928955078125e-07,458540737.975,0.8914276957511902,201.36,1480,0.05287014693021774,1.0,0.001
64,530000,357,0.00788948219269514,-185478.35275849997,0.0,632746913.025,0.8903210759162903,211.26,1481,0.056346114724874496,1.0,0.001
65,540000,364,0.008692042902112007,-180238.76617319,0.0,552547857.875,0.891438364982605,201.18,1482,0.05956572666764259,1.0,0.001
67,550000,372,0.008347396738827229,-190949.9283157,0.0,573446319.9,0.8930790424346924,218.16,1477,0.05994770675897598,1.0,0.001
68,560000,378,0.007733853999525309,-200602.92009456002,0.0,460716277.15,0.8924912214279175,239.73,1479,0.054873380810022354,1.0,0.001
69,570000,385,0.008105798624455929,-194904.51671203002,5.960464477539063e-08,553604986.675,0.8962819576263428,239.69,1480,0.05247308686375618,1.0,0.001
70,580000,391,0.008101793006062508,-192401.60981462002,0.0,412923526.2,0.8887988328933716,261.17,1481,0.06114327162504196,1.0,0.001
72,590000,399,0.008451579138636589,-205072.04557758995,0.0,300845892.9125,0.8850038051605225,300.61,1476,0.050913289189338684,1.0,0.001
73,600000,405,0.008802475407719612,-212231.55037865002,0.0,491118391.35,0.8877847194671631,321.17,1478,0.06161356717348099,1.0,0.001
74,610000,412,0.008319452404975891,-203344.45864723998,1.1920928955078125e-07,432400903.375,0.8796942234039307,316.65,1479,0.0519631989300251,1.0,0.001
75,620000,418,0.008961621671915054,-185459.4016499,-1.1920928955078125e-07,351493352.625,0.8747009634971619,291.79,1480,0.04959571734070778,1.0,0.001
76,630000,425,0.008321878500282764,-175356.43287903,-1.1920928955078125e-07,296615775.6625,0.8750748634338379,316.27,1481,0.05245812237262726,1.0,0.001
78,640000,433,0.008528313599526882,-185640.68910159,0.0,251545693.575,0.8710695505142212,350.15,1477,0.05311580002307892,1.0,0.001
79,650000,439,0.0088436808437109,-198303.70493186,1.1920928955078125e-07,175356564.7,0.8695797324180603,411.78,1478,0.04547099024057388,1.0,0.001
80,660000,446,0.008737855590879917,-185284.60168626002,0.0,226155850.84375,0.8670140504837036,447.46,1479,0.04543342441320419,1.0,0.001
81,670000,452,0.007701017893850803,-184851.66058229998,0.0,136334054.325,0.8608540296554565,499.94,1480,0.04683701694011688,1.0,0.001
83,680000,460,0.00877055898308754,-185549.76279593995,0.0,154650729.85625,0.853679895401001,540.41,1476,0.044937536120414734,1.0,0.001
84,690000,466,0.008256303146481514,-151604.07738041002,0.0,267775264.56875,0.8512766361236572,525.47,1477,0.04437106475234032,1.0,0.001
85,700000,473,0.00892751943320036,-126930.27332050001,0.0,224397377.5875,0.8513340950012207,498.9,1477,0.0485280305147171,1.0,0.001
86,710000,480,0.00786957424134016,-124973.12168798002,0.0,189278764.1625,0.8473760485649109,515.54,1478,0.046009279787540436,1.0,0.001
87,720000,486,0.00865214690566063,-126398.17947827,0.0,91251071.6703125,0.8464794158935547,533.59,1479,0.04295515641570091,1.0,0.001
89,730000,494,0.007613904774188995,-115688.80837801,0.0,54203590.71015625,0.8469139933586121,536.97,1475,0.05252889543771744,1.0,0.001
90,740000,501,0.0073304083198308945,-111556.27635171,0.0,98505192.903125,0.8455378413200378,583.28,1476,0.04263670742511749,1.0,0.001
91,750000,507,0.008361062966287136,-121743.41286268,0.0,73772501.32109375,0.8432328104972839,644.94,1477,0.045575715601444244,1.0,0.001
92,760000,514,0.00785143207758665,-130072.56908454002,0.0,175318041.575,0.8433747887611389,650.03,1477,0.04643430933356285,1.0,0.001
93,770000,520,0.008363754488527775,-138260.8353956,0.0,171613118.6625,0.8443170785903931,665.96,1478,0.052929800003767014,1.0,0.001
95,780000,528,0.009137410670518875,-148508.52719628,0.0,220591298.3875,0.8472130298614502,649.88,1475,0.04644744098186493,1.0,0.001
96,790000,535,0.009289402514696121,-153392.80124117,0.0,210266607.025,0.8474595546722412,599.58,1475,0.04889669269323349,1.0,0.001
97,800000,541,0.008727986365556717,-160372.35441861997,0.0,125048086.4359375,0.8472429513931274,570.43,1476,0.05011255666613579,1.0,0.001
98,810000,548,0.008743044920265675,-158498.27923278997,0.0,118121064.465625,0.842262327671051,555.93,1476,0.04953136295080185,1.0,0.001
100,820000,556,0.009234581142663956,-146871.36031821,0.0,101441150.309375,0.8418135643005371,573.0,1473,0.053938914090394974,1.0,0.001
101,830000,563,0.008120990358293056,-133453.81739197997,-1.1920928955078125e-07,126809271.45,0.844222903251648,600.68,1473,0.050562784075737,1.0,0.001
102,840000,569,0.00835443940013647,-120211.51055458,0.0,97802506.99609375,0.8422654271125793,620.94,1474,0.04520343989133835,1.0,0.001
103,850000,576,0.008628363721072674,-120064.54713978,0.0,44699436.98125,0.8404776453971863,651.04,1474,0.04932058975100517,1.0,0.001
104,860000,582,0.006513562519103289,-111035.56812954,0.0,69593545.9671875,0.8400761485099792,655.28,1475,0.031059321016073227,1.0,0.001
106,870000,591,0.009450099430978298,-101318.02690973999,0.0,72607357.21796875,0.8388900756835938,659.24,1471,0.04478484392166138,1.0,0.001
107,880000,597,0.004789694678038359,-96664.70560827,5.960464477539063e-08,131118736.84375,0.8410476446151733,704.6,1472,0.03310883417725563,1.0,0.001
108,890000,604,0.0069052414037287235,-86480.82584927998,0.0,46295586.607421875,0.8410647511482239,678.97,1472,0.04179519787430763,1.0,0.001
109,900000,610,0.008834117092192173,-86530.73168788,0.0,108403661.07421875,0.8427318930625916,694.66,1473,0.05931229144334793,1.0,0.001
111,910000,618,0.00795020442456007,-88106.43112706,5.960464477539063e-08,47811173.94765625,0.8405641913414001,714.24,1470,0.05017063766717911,1.0,0.001
112,920000,625,0.008182897232472897,-84035.97797535,0.0,32415986.0078125,0.8386834859848022,706.34,1471,0.0483638234436512,1.0,0.001
113,930000,631,0.009575055912137032,-84274.34076542,1.1920928955078125e-07,69604313.521875,0.8343245983123779,730.77,1471,0.04857868701219559,1.0,0.001
114,940000,638,0.00874418392777443,-82260.46542539,0.0,46201119.0484375,0.8313055038452148,734.02,1472,0.04644878953695297,1.0,0.001
115,950000,645,0.009804917499423027,-87700.27919096,0.0,67392151.3421875,0.8268595337867737,744.55,1472,0.04462762549519539,1.0,0.001
117,960000,653,0.00932095292955637,-78903.29983415,0.0,192557512.65625,0.8254650235176086,715.98,1469,0.055868569761514664,1.0,0.001
118,970000,659,0.008503763005137444,-87622.06376,0.0,223103053.99375,0.8243345022201538,725.89,1470,0.05366547778248787,1.0,0.001
119,980000,666,0.008709858171641827,-79100.26921377999,0.0,122714877.12265626,0.8234245181083679,705.81,1470,0.052079834043979645,1.0,0.001
120,990000,673,0.008835758082568645,-61301.21532898,5.960464477539063e-08,53596927.97109375,0.8224645853042603,686.1,1470,0.039284516125917435,1.0,0.001
122,1000000,681,0.009351327084004879,-94033.67371456,-1.1920928955078125e-07,397407769.2,0.8221101760864258,674.58,1468,0.06067144498229027,1.0,0.001
