train/actor_loss,train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/episodes
2121004.0,0.1332913339138031,87.10962677001953,580000,17147.19140625,22.08,151,3816,-509647.79144266003,0.0003,144974,4425
2136061.25,1.670117974281311,76.77590942382812,590000,13483.12109375,27.97,151,3884,-589665.00540235,0.0003,147474,4794
2117140.25,-0.032492414116859436,92.97622680664062,600000,16761.33984375,102.58,151,3951,-3010488.17658751,0.0003,149974,4819
2101850.0,-0.5576965808868408,89.51986694335938,610000,13390.375,210.07,151,4018,-7312945.789173939,0.0003,152474,4833
2106668.75,1.555384635925293,91.01475524902344,620000,17448.74609375,293.7,151,4086,-10092307.99240791,0.0003,154974,4877
2107345.0,-0.5566973686218262,85.28227996826172,630000,13322.76171875,384.47,151,4153,-12930777.25430756,0.0003,157474,4890
2146905.75,-0.9015183448791504,89.15113830566406,640000,13892.3388671875,448.53,151,4220,-15061736.245449748,0.0003,159974,4909
2162851.75,-0.9197765588760376,85.1566390991211,650000,13823.013671875,504.17,151,4287,-16337799.894814841,0.0003,162474,4918
2166857.25,-1.5151586532592773,86.35823822021484,660000,10408.26953125,514.11,151,4354,-14967586.830154218,0.0003,164974,4929
2191205.0,-2.9434895515441895,89.1712417602539,670000,10539.7548828125,576.94,151,4421,-15861938.524358433,0.0003,167474,4938
2225675.5,-3.3048179149627686,84.65674591064453,680000,6123.23583984375,672.58,151,4488,-17977019.36213304,0.0003,169974,4949
2204965.0,-1.3180837631225586,82.80410766601562,690000,18870.0625,753.67,151,4555,-19538299.330784597,0.0003,172474,4958
2216349.75,-0.5664471983909607,86.25399780273438,700000,6332.14404296875,850.85,151,4622,-21429185.65795377,0.0003,174974,4969
2201028.0,1.2980473041534424,87.66770935058594,710000,10676.123046875,886.5,151,4688,-21613503.66377235,0.0003,177474,4978
2212171.0,-2.3198580741882324,91.84089660644531,720000,10717.6328125,901.79,151,4755,-20916153.46483438,0.0003,179974,4991
2208030.5,-1.4134584665298462,93.11101531982422,730000,10421.65625,958.98,151,4822,-21796735.32589941,0.0003,182474,5001
2194713.0,2.354973793029785,92.09076690673828,740000,10235.2685546875,965.28,151,4889,-21232676.98648112,0.0003,184974,5012
2201082.25,-1.1470963954925537,92.40695190429688,750000,5727.85595703125,780.61,151,4956,-16540220.140196351,0.0003,187474,5041
2203207.25,-3.249878168106079,93.07923126220703,760000,18286.564453125,27.89,151,5023,-564040.9703463999,0.0003,189974,5318
2186312.5,0.6124861240386963,94.5596694946289,770000,19115.103515625,64.59,151,5090,-1321982.21856173,0.0003,192474,5510
2161374.5,0.14186859130859375,95.37664031982422,780000,17649.2421875,146.44,151,5157,-2999777.3675742196,0.0003,194974,5523
2164096.5,0.48212140798568726,92.59494018554688,790000,9572.6865234375,51.93,151,5223,-1036780.2131797199,0.0003,197474,5637
2134641.5,2.6812455654144287,104.34042358398438,800000,13524.4453125,40.84,151,5290,-1203653.83096149,0.0003,199974,5884
2106679.75,3.701277256011963,110.49848937988281,810000,5573.248046875,42.49,151,5357,-924570.5514162999,0.0003,202474,6183
2109280.0,0.5117798447608948,100.9507827758789,820000,9554.1650390625,119.85,151,5424,-3197126.69716527,0.0003,204974,6191
2110774.5,-0.4018523693084717,93.63465881347656,830000,17737.3515625,224.43,151,5491,-6131210.29701109,0.0003,207474,6252
2120852.0,1.760819435119629,102.84677124023438,840000,5854.21142578125,216.23,151,5558,-6306276.355844841,0.0003,209974,6291
2116087.5,-0.6873472929000854,102.51412200927734,850000,21814.95703125,29.47,151,5625,-598441.3037571001,0.0003,212474,6474
2128664.25,-2.110623836517334,100.54206085205078,860000,6255.7119140625,65.03,151,5692,-1504146.4598015898,0.0003,214974,6725
2100143.0,-1.8375694751739502,100.99295806884766,870000,14799.876953125,19.36,151,5759,-375573.50433699996,0.0003,217474,6982
2104059.75,1.4858441352844238,108.96868133544922,880000,6172.484375,20.19,151,5826,-411605.0903243599,0.0003,219974,7406
2081000.75,0.38219010829925537,114.90780639648438,890000,14148.4765625,16.39,151,5893,-350453.25672511995,0.0003,222474,8040
2091307.75,0.20043319463729858,111.8818588256836,900000,6520.61572265625,17.54,150,5961,-364374.72305281006,0.0003,224974,8708
2075908.625,-0.7349031567573547,114.21813201904297,910000,10283.6904296875,24.06,150,6027,-498938.76243282994,0.0003,227474,9147
2041831.5,-1.1685515642166138,116.77930450439453,920000,9745.6962890625,32.48,151,6091,-669469.39556988,0.0003,229974,9562
2037760.0,4.241434574127197,115.85902404785156,930000,20491.505859375,74.15,151,6155,-1497581.8915949499,0.0003,232474,9675
2023927.25,1.0875375270843506,111.73912811279297,940000,28192.69140625,162.12,151,6218,-3262095.15347026,0.0003,234974,9731
2022346.0,-3.888514518737793,112.4884262084961,950000,13285.1181640625,242.96,151,6281,-5000291.0658600805,0.0003,237474,9748
2004013.5,-1.3201267719268799,113.3658676147461,960000,9554.28515625,327.39,151,6345,-6923934.5698210895,0.0003,239974,9759
1996598.0,-0.7776932716369629,107.30619049072266,970000,13313.7734375,408.64,151,6408,-8940834.05137154,0.0003,242474,9775
2007503.5,3.415647029876709,104.74420166015625,980000,9413.03515625,444.36,151,6471,-9898601.543228928,0.0003,244974,9818
1979825.125,-1.1938810348510742,103.99015045166016,990000,24380.578125,108.73,151,6526,-2178859.94813098,0.0003,247474,9909
1974050.25,3.2863214015960693,100.60531616210938,1000000,20100.15625,100.0,151,6581,-1996669.1898394597,0.0003,249974,10008
